numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9847016828148903,1.0,0.9724630290668026,0.9688934217236104,0.9940291080980221,0.9997512128374176,0.9927851722851101,0.9718870506281876,0.9847016828148903,1.0,0.9724630290668026,0.9688934217236104,0.9833486176210855,1.0,0.9701763497163354,0.6462656199558511,0.4404776713521582,0.45640004975743254,0.43450677945018035,0.4561512625948501,0.13231817482893934,0.12442293129766027,28.033333333333335,0.015298317185109656,0.9702178311744613,-1.0008144655446805
2,0.9913309535951046,1.0,0.9673635900050994,0.9688934217236104,0.996392586142555,0.9995024256748352,0.9878094290334619,0.9718870506281876,0.9913309535951046,1.0,0.9673635900050994,0.9688934217236104,0.9906366341653174,1.0,0.9651807215545272,0.6462656199558511,0.6903843761661899,0.7012066177385247,0.8825724592611022,0.9074511755193432,0.2570859110362969,0.2501401535290219,15.058823529411764,0.008669046404895409,0.48546978070557834,-0.5028078735153693
3,0.9994900560938297,1.0,0.9994900560938297,0.9688934217236104,0.9998756064187088,0.9997512128374176,1.0,0.9718870506281876,0.9994900560938297,1.0,0.9994900560938297,0.9688934217236104,0.999446517534048,1.0,0.999446517534048,0.6462656199558511,0.8253514118671477,0.8362980470207737,1.3308869262346064,1.3596218435128746,0.3838181202126726,0.3759279188657428,0.0,0.0005099439061703182,0.32715646762604134,-0.328176355438382
4,0.9994900560938297,1.0,0.9887812340642529,0.9688934217236104,0.9998756064187088,0.9997512128374176,0.9988804577683792,0.9718870506281876,0.9994900560938297,1.0,0.9887812340642529,0.9688934217236104,0.999446517534048,1.0,0.9878790637249614,0.6462656199558511,0.9004851349670357,0.9105610150516233,1.7757183729319568,1.8102997885309118,0.511889679064325,0.49823968314834105,0.0,0.0005099439061703182,0.2454898009593747,-0.24650968877171534
5,0.9994900560938297,1.0,1.0,0.9688934217236104,0.9998756064187088,0.9997512128374176,1.0,0.9718870506281876,0.9994900560938297,1.0,1.0,0.9688934217236104,0.999446517534048,1.0,1.0,0.6462656199558511,0.9441472820002488,0.9523572583654684,2.2179375544221918,2.260480159223784,0.6369396574835725,0.6180902509770619,0.0,0.0005099439061703182,0.1964898009593747,-0.19750968877171535
6,0.9994900560938297,1.0,1.0,0.9688934217236104,0.9998756064187088,0.9997512128374176,1.0,0.9718870506281876,0.9994900560938297,1.0,1.0,0.9688934217236104,0.999446517534048,1.0,1.0,0.6462656199558511,0.9692747854210723,0.971513869884314,2.6636397561885805,2.7075506903843762,0.7614179684065888,0.7533747339731101,0.0,0.0005099439061703182,0.16382313429270803,-0.16484302210504867
7,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9718870506281876,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6462656199558511,0.9833312601069785,0.9839532280134345,3.1178007214827717,3.1566115188456276,0.8924556567741739,0.8718140359242582,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9718870506281876,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6462656199558511,0.9917900236347804,0.990919268565742,3.5643736783181987,3.6025625077745986,1.009771060415186,1.0027660441913382,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9718870506281876,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6462656199558511,0.9956462246548078,0.9952730439109342,4.016917527055604,4.049633038935191,1.1460671261377884,1.136371391929394,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,0.9994900560938297,0.9688934217236104,1.0,1.0,1.0,0.9718870506281876,1.0,1.0,0.9994900560938297,0.9688934217236104,1.0,1.0,0.999446517534048,0.6462656199558511,0.9975121283741759,0.9976365219554671,4.452419455156114,4.502798855579052,1.279649748948296,1.2634082777938995,0.0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.9718870506281876,1.0,1.0,1.0,0.9688934217236104,1.0,1.0,1.0,0.6462656199558511,0.9982584898619231,0.9982584898619231,4.882572459261102,4.955467097897748,1.4188300489307215,1.3958045640139354,0.0,0.0,0.0890909090909091,-0.0890909090909091
