numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,0.9815920398009951,0.9815920398009951,0.9731343283582089,1.0,0.9949937421777222,0.9939924906132666,0.9715894868585733,1.0,0.9815920398009951,0.9815920398009951,0.9731343283582089,1.0,0.9800005969971046,0.9800127658144926,0.6487880877582816,0.45118898623279097,0.4474342928660826,0.45118898623279097,0.44242803504380473,0.12380874246750864,0.1312207780114774,35.027027027027025,-0.018407960199004925,1.0043937542264862,-0.9675778338284764
2,0.991044776119403,0.9800995024875622,0.9736318407960199,0.9731343283582089,0.9966207759699625,0.9947434292866083,0.9923654568210263,0.9715894868585733,0.991044776119403,0.9800995024875622,0.9736318407960199,0.9731343283582089,0.9903425640412392,0.9786720428681327,0.9718401893075193,0.6487880877582816,0.6972465581977472,0.6827284105131415,0.8922403003754693,0.8709637046307885,0.2561243696081559,0.26604337449953114,8.166666666666666,-0.010945273631840835,0.5081269038766016,-0.4862363566129201
3,1.0,0.9955223880597015,0.9945273631840796,0.9731343283582089,1.0,0.9993742177722152,0.9989987484355445,0.9715894868585733,1.0,0.9955223880597015,0.9945273631840796,0.9731343283582089,1.0,0.9951528305299331,0.9940650333831806,0.6487880877582816,0.8249061326658322,0.8195244055068837,1.3379224030037546,1.2923654568210263,0.3817257353285534,0.40270454488247875,7.111111111111111,-0.004477611940298498,0.3340761937691453,-0.32512096988854833
4,1.0,0.9960199004975124,0.9990049751243781,0.9731343283582089,1.0,0.9997496871088861,0.9994993742177722,0.9715894868585733,1.0,0.9960199004975124,0.9990049751243781,0.9731343283582089,1.0,0.9956952355252294,0.9989218866661518,0.6487880877582816,0.907133917396746,0.9003754693366708,1.7833541927409262,1.7387984981226534,0.5060906152200269,0.5360841414353859,6.125,-0.003980099502487566,0.25174365098600593,-0.24378345198103082
5,1.0,0.9985074626865672,0.9995024875621891,0.9731343283582089,1.0,1.0,0.9997496871088861,0.9715894868585733,1.0,0.9985074626865672,0.9995024875621891,0.9731343283582089,1.0,0.9983833134353088,0.9994607818020028,0.6487880877582816,0.9469336670838548,0.9397997496871089,2.207008760951189,2.1779724655819774,0.6494375755348092,0.6871492669175194,1.3333333333333333,-0.0014925373134327957,0.19918276223167836,-0.1961976876048127
6,1.0,0.9985074626865672,1.0,0.9731343283582089,1.0,1.0,0.999874843554443,0.9715894868585733,1.0,0.9985074626865672,1.0,0.9731343283582089,1.0,0.9983833134353088,1.0,0.6487880877582816,0.969712140175219,0.9654568210262828,2.6499374217772216,2.623404255319149,0.7751322724751097,0.8218849385641036,1.3333333333333333,-0.0014925373134327957,0.16651609556501165,-0.163531020938146
7,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.9715894868585733,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.6487880877582816,0.9824780976220275,0.9794743429286609,3.0853566958698373,3.0708385481852316,0.904590613546262,0.943671162013747,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,0.999874843554443,0.9715894868585733,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.6487880877582816,0.9891113892365457,0.9871088861076346,3.530663329161452,3.5150187734668337,1.0295258412900319,1.0802798234459865,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,0.9997496871088861,0.9715894868585733,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.6487880877582816,0.9939924906132666,0.9918648310387985,3.9780976220275344,3.959949937421777,1.1516895248938757,1.2162208991679924,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.9715894868585733,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.6487880877582816,0.9966207759699625,0.9957446808510638,4.415769712140175,4.403754693366708,1.299178940373569,1.3509894649162664,0.0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.9715894868585733,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.6487880877582816,0.9973717146433041,0.9971214017521902,4.865081351689612,4.81964956195244,1.4119277440628035,1.519941893826613,0.0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.9715894868585733,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.6487880877582816,0.9983729662077597,0.9979974968710889,5.310888610763454,5.257822277847309,1.540456535786148,1.643457194360515,0.0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,0.999874843554443,0.9715894868585733,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.6487880877582816,0.9986232790988736,0.9986232790988736,5.763329161451815,5.699624530663329,1.6622655703513607,1.7764502240072984,0.0,0.0,0.07538461538461538,-0.07538461538461538
14,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.9715894868585733,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.6487880877582816,0.9984981226533166,0.9986232790988736,6.173967459324155,6.14017521902378,1.8249978595274556,1.8958875955972365,0.0,0.0,0.06999999999999999,-0.06999999999999999
15,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.9715894868585733,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.6487880877582816,0.9986232790988736,0.9991239048811014,6.616645807259074,6.577096370463079,1.9623593286505834,2.053065518138029,0.0,0.0,0.06533333333333333,-0.06533333333333333
16,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.9715894868585733,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.6487880877582816,0.9988735919899875,0.9992490613266584,7.049061326658323,7.024405506883604,2.1118958709216415,2.191069185523494,0.0,0.0,0.06125,-0.06125
17,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.9715894868585733,1.0,1.0,1.0,0.9731343283582089,1.0,1.0,1.0,0.6487880877582816,0.9989987484355445,0.9992490613266584,7.4971214017521906,7.4411764705882355,2.245530438013453,2.35696158979554,0.0,0.0,0.05764705882352941,-0.05764705882352941
