numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9902104747919726,1.0,1.0,0.973568281938326,0.9969837878597462,1.0,0.9998743244941561,0.9705919316325248,0.9902104747919726,1.0,1.0,0.973568281938326,0.9893683011971199,1.0,1.0,0.6483598284649347,0.4469020987809476,0.449164257886138,0.4438858866406937,0.449164257886138,0.12814848870273293,0.12370786366186644,18.05,0.00978952520802745,0.974521872963739,-0.9941009233797939
2,0.9823788546255506,1.0,0.9706314243759178,0.973568281938326,0.9934648736961166,1.0,0.9919567676259897,0.9705919316325248,0.9823788546255506,1.0,0.9706314243759178,0.973568281938326,0.9809857188653686,1.0,0.968520865904744,0.6483598284649347,0.6932260902350132,0.6919693351765741,0.8796028654015332,0.8833731305768505,0.2611078366867037,0.25531236498574844,34.02777777777778,0.017621145374449365,0.47818558975553743,-0.5134278805044361
3,1.0,1.0,1.0,0.973568281938326,0.9998743244941561,1.0,1.0,0.9705919316325248,1.0,1.0,1.0,0.973568281938326,1.0,1.0,1.0,0.6483598284649347,0.8312177956516275,0.826190775417871,1.3290184742993592,1.3227346990071636,0.38187306291612877,0.38548377341961976,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,0.9985315712187959,1.0,0.9985315712187959,0.973568281938326,1.0,1.0,0.9998743244941561,0.9705919316325248,0.9985315712187959,1.0,0.9985315712187959,0.973568281938326,0.9983999281547118,1.0,0.9983999281547118,0.6483598284649347,0.9032298605001885,0.905492019605379,1.7546814125926857,1.7775543546562775,0.5247897782434879,0.5094947696702169,1.3333333333333333,0.001468428781204123,0.24519447439739273,-0.24813133195980097
5,0.9995105237395986,1.0,0.9995105237395986,0.973568281938326,1.0,1.0,0.9998743244941561,0.9705919316325248,0.9995105237395986,1.0,0.9995105237395986,0.973568281938326,0.9994659869217766,1.0,0.9994663155791181,0.6483598284649347,0.9454568304637426,0.9460852079929621,2.192409199447028,2.2121402538645216,0.6585274742201588,0.6526225027766376,0.0,0.0004894762604014113,0.19647013197652996,-0.19744908449733273
6,0.9995105237395986,1.0,1.0,0.973568281938326,1.0,1.0,1.0,0.9705919316325248,0.9995105237395986,1.0,1.0,0.973568281938326,0.9994663155791181,1.0,1.0,0.6483598284649347,0.9671986929747393,0.970340580620837,2.6301369863013697,2.6643207238909135,0.786859783970138,0.7742634599010729,0.0,0.0004894762604014113,0.16380346530986328,-0.16478241783066605
7,1.0,1.0,1.0,0.973568281938326,1.0,0.9998743244941561,1.0,0.9705919316325248,1.0,1.0,1.0,0.973568281938326,1.0,1.0,1.0,0.6483598284649347,0.9803946210883498,0.9836621842402916,3.058187759205731,3.1177579489757448,0.9428400102063917,0.8970663406632412,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.973568281938326,1.0,0.9998743244941561,1.0,0.9705919316325248,1.0,1.0,1.0,0.973568281938326,1.0,1.0,1.0,0.6483598284649347,0.9888148799798919,0.9894432575091114,3.5123790373256254,3.5502073645846424,1.0505556418006694,1.0585041519642657,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.973568281938326,1.0,0.9998743244941561,1.0,0.9705919316325248,1.0,1.0,1.0,0.973568281938326,1.0,1.0,1.0,0.6483598284649347,0.9932135226844288,0.9942189267311801,3.9599095136357922,3.993967575719492,1.156754671613555,1.180268713318254,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.973568281938326,1.0,0.9998743244941561,1.0,0.9705919316325248,1.0,1.0,1.0,0.973568281938326,1.0,1.0,1.0,0.6483598284649347,0.9962297348246827,0.9959783838129949,4.409199447027774,4.4206359180595705,1.2683052462654307,1.335095807298846,0.0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.973568281938326,1.0,0.9998743244941561,1.0,0.9705919316325248,1.0,1.0,1.0,0.973568281938326,1.0,1.0,1.0,0.6483598284649347,0.9983662184240292,0.9979891919064974,4.848812366469775,4.8705542289807715,1.403034963907672,1.4548422326024477,0.0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,0.9995105237395986,0.973568281938326,1.0,0.9998743244941561,1.0,0.9705919316325248,1.0,1.0,0.9995105237395986,0.973568281938326,1.0,1.0,0.9994663155791181,0.6483598284649347,0.998617569435717,0.9988689204474048,5.27120774161116,5.313560387080558,1.5545444436812226,1.5815884563150182,0.0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.973568281938326,1.0,1.0,1.0,0.9705919316325248,1.0,1.0,1.0,0.973568281938326,1.0,1.0,1.0,0.6483598284649347,0.9987432449415609,0.9997486489883122,5.7177328138745755,5.736081437727787,1.6773287154123815,1.7232144675115768,0.0,0.0,0.07538461538461538,-0.07538461538461538
14,1.0,1.0,1.0,0.973568281938326,1.0,1.0,1.0,0.9705919316325248,1.0,1.0,1.0,0.973568281938326,1.0,1.0,1.0,0.6483598284649347,0.9991202714590927,0.9996229734824683,6.164634912655523,6.171295714465251,1.791799146930203,1.8580295599979226,0.0,0.0,0.06999999999999999,-0.06999999999999999
