numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9965415019762845,0.9990118577075099,0.9995059288537549,0.966897233201581,0.9993731193580743,0.9996238716148446,1.0,0.9714142427281846,0.9965415019762845,0.9990118577075099,0.9995059288537549,0.966897233201581,0.9962332522894133,0.998924776880578,0.9994622237420248,0.6441066107397213,0.44270310932798396,0.4430792377131394,0.44207622868605817,0.44270310932798396,0.12430033001267332,0.12394473721948146,2.2857142857142856,0.0024703557312253377,0.9800939949189927,-0.9850347063814434
2,0.9985177865612648,0.9970355731225297,0.9456521739130435,0.966897233201581,0.9996238716148446,0.9988716148445336,0.9804413239719157,0.9714142427281846,0.9985177865612648,0.9970355731225297,0.9456521739130435,0.966897233201581,0.9983876582568387,0.9967782602605407,0.942470284237726,0.6441066107397213,0.6924523570712137,0.6955867602808425,0.8897943831494484,0.8904212637913741,0.24804568661583373,0.24708062136453648,0.5714285714285714,-0.0014822134387351138,0.49404511826424163,-0.4910806913867713
3,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,0.9997492477432297,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.8323721163490472,0.8293630892678034,1.3408976930792378,1.3385155466399197,0.3714252279923155,0.37308902064445265,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9998746238716149,0.9998746238716149,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9086008024072216,0.9034603811434303,1.7884904714142427,1.784729187562688,0.4943673435286123,0.5010106830452917,0.0,0.0,0.245,-0.245
5,0.9995059288537549,1.0,0.9995059288537549,0.966897233201581,1.0,0.9998746238716149,1.0,0.9714142427281846,0.9995059288537549,1.0,0.9995059288537549,0.966897233201581,0.9994622237420248,1.0,0.9994622237420248,0.6441066107397213,0.9494734202607823,0.9502256770310933,2.2375877632898695,2.2375877632898695,0.6287777042221574,0.6277303515226681,0.0,0.000494071146245112,0.19647454749502574,-0.19746268978751585
6,0.9995059288537549,1.0,0.9995059288537549,0.966897233201581,1.0,0.9998746238716149,0.9998746238716149,0.9714142427281846,0.9995059288537549,1.0,0.9995059288537549,0.966897233201581,0.9994622237420248,1.0,0.9994622237420248,0.6441066107397213,0.9720411233701103,0.9710381143430291,2.690195586760281,2.683801404212638,0.7634857620979058,0.7556346443883953,0.0,0.000494071146245112,0.16380788082835904,-0.16479602312084915
7,0.9995059288537549,1.0,1.0,0.966897233201581,1.0,0.9998746238716149,1.0,0.9714142427281846,0.9995059288537549,1.0,1.0,0.966897233201581,0.9994622237420248,1.0,1.0,0.6441066107397213,0.9852056168505516,0.9834503510531595,3.1341524573721165,3.131394182547643,0.8883120745929012,0.8779808166624061,0.0,0.000494071146245112,0.14047454749502572,-0.14146268978751583
8,0.9995059288537549,1.0,0.9995059288537549,0.966897233201581,0.9998746238716149,0.9998746238716149,1.0,0.9714142427281846,0.9995059288537549,1.0,0.9995059288537549,0.966897233201581,0.9994622237420248,1.0,0.9994622237420248,0.6441066107397213,0.9917251755265798,0.9900952858575727,3.581494483450351,3.584754262788365,1.0177555810070544,1.0021525343183662,0.0,0.000494071146245112,0.12297454749502572,-0.12396268978751583
9,0.9995059288537549,1.0,0.9995059288537549,0.966897233201581,1.0,0.9998746238716149,1.0,0.9714142427281846,0.9995059288537549,1.0,0.9995059288537549,0.966897233201581,0.9994622237420248,1.0,0.9994622237420248,0.6441066107397213,0.9949849548645938,0.9937311935807422,4.031720160481444,4.032221664994985,1.1366004654786503,1.1338381272714904,0.0,0.000494071146245112,0.1093634363839146,-0.11035157867640472
10,0.9995059288537549,0.9995059288537549,0.9990118577075099,0.966897233201581,0.9998746238716149,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9990118577075099,0.966897233201581,0.9994622237420248,0.9994622237420248,0.998924776880578,0.6441066107397213,0.9971163490471414,0.9968655967903711,4.483575727181544,4.481695085255767,1.2633699922636321,1.247141371118947,0.0,0.0,0.098,-0.098
11,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9981193580742227,0.9978686058174524,4.931544633901705,4.926905717151454,1.3824232095796503,1.364549481175021,0.0,0.0,0.0890909090909091,-0.0890909090909091
12,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9987462387161484,0.9986208625877633,5.374247743229689,5.368355065195587,1.5122701942490482,1.501502073504445,0.0,0.0,0.08166666666666667,-0.08166666666666667
13,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9989969909729187,0.9996238716148446,5.817953861584754,5.810932798395186,1.635690377706227,1.6366175431978434,0.0,0.0,0.07538461538461538,-0.07538461538461538
14,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994618931842019,0.6441066107397213,0.9992477432296891,0.9998746238716149,6.26993480441324,6.259027081243731,1.7496485371976087,1.7676407501507934,0.0,0.0,0.06999999999999999,-0.06999999999999999
15,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9993731193580743,0.9998746238716149,6.721414242728184,6.703861584754263,1.8879051197919359,1.8959921096505183,0.0,0.0,0.06533333333333333,-0.06533333333333333
16,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,7.163365095285857,7.153711133400201,2.0161143962445,2.023189511878877,0.0,0.0,0.06125,-0.06125
17,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,7.617602808425276,7.6092026078234705,2.1412099758977106,2.1320708520297784,0.0,0.0,0.05764705882352941,-0.05764705882352941
18,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,8.058174523570711,8.058049147442327,2.257279397383346,2.256896916755686,0.0,0.0,0.05444444444444444,-0.05444444444444444
19,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,8.494107321965897,8.509904714142428,2.396757430780135,2.3793978447201654,0.0,0.0,0.05157894736842105,-0.05157894736842105
20,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9997492477432297,8.943079237713139,8.961509528585758,2.532347953913394,2.4924113512759116,0.0,0.0,0.049,-0.049
21,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,9.393681043129389,9.413615847542628,2.6454431890745163,2.626100161946477,0.0,0.0,0.04666666666666666,-0.04666666666666666
22,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,9.847291875626881,9.857447342026079,2.7660478848371954,2.7565259786331224,0.0,0.0,0.04454545454545455,-0.04454545454545455
23,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,10.296263791374122,10.30203109327984,2.92052579927775,2.8790074230164597,0.0,0.0,0.042608695652173914,-0.042608695652173914
24,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,10.739844533600802,10.750626880641926,3.036816671722816,2.9884112763473967,0.0,0.0,0.04083333333333333,-0.04083333333333333
25,0.9995059288537549,0.9995059288537549,1.0,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,1.0,0.966897233201581,0.9994622237420248,0.9994622237420248,1.0,0.6441066107397213,0.9998746238716149,0.9998746238716149,11.18530591775326,11.19671514543631,3.1663239988483203,3.0862510410154504,0.0,0.0,0.0392,-0.0392
26,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,11.634403209628887,11.651203610832498,3.3092805426906255,3.2120985217077824,0.0,0.0,0.03769230769230769,-0.03769230769230769
27,0.9995059288537549,0.9995059288537549,1.0,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,1.0,0.966897233201581,0.9994622237420248,0.9994622237420248,1.0,0.6441066107397213,0.9998746238716149,0.9998746238716149,12.085631895687062,12.098294884653962,3.465789843643753,3.3290801237826084,0.0,0.0,0.03629629629629629,-0.03629629629629629
28,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,12.527833500501504,12.55203109327984,3.60126715722621,3.4573932265857312,0.0,0.0,0.034999999999999996,-0.034999999999999996
29,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,12.972291875626881,12.999122367101304,3.7328654336995597,3.590858873649107,0.0,0.0,0.03379310344827586,-0.03379310344827586
30,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,13.42264292878636,13.43430290872618,3.853101969026059,3.734854091286431,0.0,0.0,0.03266666666666666,-0.03266666666666666
31,0.9995059288537549,0.9995059288537549,1.0,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,1.0,0.966897233201581,0.9994622237420248,0.9994622237420248,1.0,0.6441066107397213,0.9998746238716149,0.9998746238716149,13.869734202607823,13.87988966900702,3.982958820807161,3.8926068447177147,0.0,0.0,0.03161290322580645,-0.03161290322580645
32,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,14.311935807422266,14.327482447342026,4.110101412059242,4.028892592116131,0.0,0.0,0.030625,-0.030625
33,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,14.75827482447342,14.774699097291876,4.231138463816814,4.1807440273152405,0.0,0.0,0.029696969696969697,-0.029696969696969697
34,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,15.204112337011033,15.219784353059177,4.349390171296875,4.313042644747928,0.0,0.0,0.028823529411764706,-0.028823529411764706
35,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,15.652582748244734,15.6663741223671,4.484676124863164,4.440914168487943,0.0,0.0,0.027999999999999997,-0.027999999999999997
36,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,16.105190571715145,16.114468405215646,4.582464102656953,4.589554662357641,0.0,0.0,0.02722222222222222,-0.02722222222222222
37,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,16.550401203610832,16.553410230692077,4.7056323552674995,4.731828647759296,0.0,0.0,0.026486486486486487,-0.026486486486486487
38,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,16.993731193580743,17.000626880641924,4.814176179492194,4.88972079978633,0.0,0.0,0.025789473684210525,-0.025789473684210525
39,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,1.0,1.0,1.0,0.9714142427281846,0.9995059288537549,0.9995059288537549,0.9995059288537549,0.966897233201581,0.9994622237420248,0.9994622237420248,0.9994622237420248,0.6441066107397213,0.9998746238716149,0.9998746238716149,17.43844032096289,17.444458375125375,4.954056423028441,5.03462637473062,0.0,0.0,0.025128205128205128,-0.025128205128205128
