numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,1.0,0.9792387543252595,0.9683638161146811,0.9997492791776357,1.0,0.9904726087501567,0.9719192678951987,1.0,1.0,0.9792387543252595,0.9683638161146811,1.0,1.0,0.9775882006621776,0.6457025524050636,0.4472859470979065,0.4506706781998245,0.4470352262755422,0.4506706781998245,0.12398693029797696,0.12378330900536734,0.0,0.0,0.98,-0.98
2,0.9851705388037568,1.0,0.9831932773109243,0.9683638161146811,0.9921022940955246,0.9997492791776357,0.9937319794408925,0.9719192678951987,0.9851705388037568,1.0,0.9831932773109243,0.9683638161146811,0.9841343288264266,1.0,0.9820382518227588,0.6457025524050636,0.6872257741005391,0.697379967406293,0.8646107559232794,0.895449417074088,0.27289707130865376,0.24551895484469918,28.033333333333335,0.014829461196243177,0.48051639595037077,-0.5101753183428571
3,0.9995056846267919,1.0,0.9975284231339595,0.9683638161146811,0.9994985583552715,1.0,0.9998746395888178,0.9719192678951987,0.9995056846267919,1.0,0.9975284231339595,0.9683638161146811,0.9994668477047701,1.0,0.9973327004594927,0.6457025524050636,0.8223642973548954,0.8290083991475492,1.2961012912122352,1.3428607245831767,0.4088630586468004,0.37354030237196295,0.0,0.0004943153732080985,0.32714144885609586,-0.32813007960251206
4,0.9990113692535838,1.0,0.9980227385071676,0.9683638161146811,0.9997492791776357,1.0,0.9994985583552715,0.9719192678951987,0.9990113692535838,1.0,0.9980227385071676,0.9683638161146811,0.9989340019138433,1.0,0.9978680038276867,0.6457025524050636,0.8968283815970917,0.9078600977811208,1.7372445781622163,1.796790773473737,0.5373982705312454,0.4962857091673765,0.5,0.000988630746416197,0.24538221869306945,-0.2473594801859019
5,0.9995056846267919,1.0,0.9995056846267919,0.9683638161146811,0.9997492791776357,1.0,1.0,0.9719192678951987,0.9995056846267919,1.0,0.9995056846267919,0.9683638161146811,0.9994665400918985,1.0,0.9994665400918985,0.6457025524050636,0.9398270026325687,0.944339977435126,2.179641469224019,2.245330324683465,0.6613711267982489,0.6283958990257941,0.0,0.0004943153732080985,0.19647478218942924,-0.19746341293584543
6,0.9995056846267919,1.0,0.9995056846267919,0.9683638161146811,0.9998746395888178,0.9998746395888178,1.0,0.9719192678951987,0.9995056846267919,1.0,0.9995056846267919,0.9683638161146811,0.9994665400918985,1.0,0.9994665400918985,0.6457025524050636,0.9670302118590949,0.9687852576156449,2.6313150307133006,2.6886047386235425,0.7798572106757463,0.7572166256610584,0.0,0.0004943153732080985,0.16380811552276256,-0.16479674626917876
7,0.9995056846267919,1.0,0.9995056846267919,0.9683638161146811,1.0,1.0,1.0,0.9719192678951987,0.9995056846267919,1.0,0.9995056846267919,0.9683638161146811,0.9994665400918985,1.0,0.9994665400918985,0.6457025524050636,0.9808198570891312,0.9830763444904099,3.0754669675316535,3.1385232543562744,0.9004705331467646,0.8816054921233343,0.0,0.0004943153732080985,0.14047478218942924,-0.14146341293584544
8,0.9995056846267919,1.0,1.0,0.9683638161146811,1.0,0.9998746395888178,1.0,0.9719192678951987,0.9995056846267919,1.0,1.0,0.9683638161146811,0.9994665400918985,1.0,1.0,0.6457025524050636,0.9885922025824244,0.990723329572521,3.509966152688981,3.584555597342359,1.0555198834167296,1.0083632890114567,0.0,0.0004943153732080985,0.12297478218942923,-0.12396341293584545
9,0.9995056846267919,1.0,0.9995056846267919,0.9683638161146811,1.0,0.9998746395888178,1.0,0.9719192678951987,0.9995056846267919,1.0,0.9995056846267919,0.9683638161146811,0.9994665400918985,1.0,0.9994665400918985,0.6457025524050636,0.9924783753290711,0.9954870251974427,3.938322677698383,4.035100915131002,1.2020343139595127,1.1241787217082173,0.0,0.0004943153732080985,0.10936367107831813,-0.11035230182473435
10,0.9995056846267919,1.0,0.9990113692535838,0.9683638161146811,1.0,0.9998746395888178,1.0,0.9719192678951987,0.9995056846267919,1.0,0.9990113692535838,0.9683638161146811,0.9994665400918985,1.0,0.9989327714601036,0.6457025524050636,0.9957377460198069,0.9974927917763571,4.389244076720572,4.491538172245205,1.317799536639571,1.2486299518617636,0.0,0.0004943153732080985,0.09847478218942925,-0.09946341293584547
