numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9587109768378651,1.0,0.999496475327291,0.9707955689828801,0.9822810082355877,1.0,0.9998752183678562,0.9727976041926628,0.9587109768378651,1.0,0.999496475327291,0.9707955689828801,0.9547733836925127,1.0,0.9994504051532405,0.647491855439163,0.42612927377090093,0.4517095083603693,0.40841028200648866,0.4517095083603693,0.15002482876311996,0.12383401420860135,80.01219512195122,0.0412890231621349,0.9478304426283252,-1.030408488952595
2,0.9818731117824774,0.9954682779456193,0.9536757301107754,0.9707955689828801,0.9918891939106563,0.997504367357125,0.982655353132019,0.9727976041926628,0.9818731117824774,0.9954682779456193,0.9536757301107754,0.9707955689828801,0.980425976483575,0.9950692019329258,0.9506205137075154,0.647491855439163,0.678562515597704,0.693910656351385,0.8578737209882705,0.894309957574245,0.273262528488403,0.2546606625611944,15.720930232558139,0.013595166163141936,0.4829039883943934,-0.5100943207206774
3,0.9979859013091642,1.0,0.998992950654582,0.9707955689828801,0.9996256551035687,1.0,0.9998752183678562,0.9727976041926628,0.9979859013091642,1.0,0.998992950654582,0.9707955689828801,0.9977995142532974,1.0,0.9989011597025497,0.647491855439163,0.8155727476915398,0.8275517843773397,1.2871225355627651,1.3450212128774643,0.4110942230969802,0.38291248720534116,2.25,0.002014098690835797,0.3266283714238179,-0.3306565688054896
4,0.9974823766364552,1.0,0.9954682779456193,0.9707955689828801,0.9991265285749937,1.0,0.999500873471425,0.9727976041926628,0.9974823766364552,1.0,0.9954682779456193,0.9707955689828801,0.9972537706724278,1.0,0.9950692019329258,0.647491855439163,0.8921886698278013,0.9004242575492888,1.7169952582979786,1.7916146743199401,0.5517641759780065,0.51332732096118,3.2,0.0025176233635447742,0.24469194700568178,-0.24972719373277139
5,0.998992950654582,1.0,1.0,0.9707955689828801,1.0,1.0,1.0,0.9727976041926628,0.998992950654582,1.0,1.0,0.9707955689828801,0.9989004600793927,1.0,1.0,0.647491855439163,0.9387322186174195,0.9421013226853007,2.1650860993261793,2.2203643623658595,0.6784441546184439,0.6630190690875025,0.5,0.001007049345417954,0.19638935243213948,-0.19840345112297533
6,0.999496475327291,1.0,1.0,0.9707955689828801,1.0,1.0,1.0,0.9727976041926628,0.999496475327291,1.0,1.0,0.9707955689828801,0.9994504051532405,1.0,1.0,0.647491855439163,0.9639381083104567,0.9680559021712004,2.602570501622161,2.663089593211879,0.8202561431622903,0.7758479115780956,0.0,0.000503524672708977,0.16381696545421867,-0.16482401479963657
7,0.999496475327291,1.0,0.999496475327291,0.9707955689828801,1.0,1.0,1.0,0.9727976041926628,0.999496475327291,1.0,0.999496475327291,0.9707955689828801,0.9994504051532405,1.0,0.9994507541344856,0.647491855439163,0.9791614674319941,0.9822810082355877,3.053156975293237,3.0822310955827303,0.9406510735340435,0.9280476967050939,0.0,0.000503524672708977,0.14048363212088535,-0.14149068146630325
8,0.999496475327291,1.0,1.0,0.9707955689828801,1.0,1.0,1.0,0.9727976041926628,0.999496475327291,1.0,1.0,0.9707955689828801,0.9994504051532405,1.0,1.0,0.647491855439163,0.9878961816820564,0.9885200898427752,3.4932617918642377,3.517469428500125,1.073622884390218,1.072520307356223,0.0,0.000503524672708977,0.12298363212088534,-0.12399068146630327
9,0.999496475327291,1.0,0.999496475327291,0.9707955689828801,1.0,1.0,1.0,0.9727976041926628,0.999496475327291,1.0,0.999496475327291,0.9707955689828801,0.9994504051532405,1.0,0.9994504051532405,0.647491855439163,0.9930122285999501,0.9938857000249564,3.9467182430746193,3.964187671574744,1.196807011814636,1.1968243195247494,0.0,0.000503524672708977,0.10937252100977422,-0.11037957035519215
10,0.999496475327291,1.0,0.999496475327291,0.9707955689828801,1.0,1.0,1.0,0.9727976041926628,0.999496475327291,1.0,0.999496475327291,0.9707955689828801,0.9994504051532405,1.0,0.9994507541344856,0.647491855439163,0.9952582979785376,0.9956326428749688,4.3980534065385575,4.375967057649114,1.3247389328874493,1.3508166392466694,0.0,0.000503524672708977,0.09848363212088534,-0.09949068146630327
