numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9995024875621891,1.0,0.9741293532338309,0.9661691542288557,0.999874843554443,0.999874843554443,0.988485607008761,0.9713391739674593,0.9995024875621891,1.0,0.9741293532338309,0.9661691542288557,0.9994492358489919,1.0,0.9713307344839807,0.6437811416925352,0.4485607008760951,0.43917396745932413,0.4484355444305382,0.4390488110137672,0.12386479232849447,0.1233378907043182,0.0,0.0004975124378109319,0.9804778544783891,-0.981472879354011
2,0.9895522388059701,1.0,0.9815920398009951,0.9661691542288557,0.9961201501877347,0.999874843554443,0.9951188986232791,0.9713391739674593,0.9895522388059701,1.0,0.9815920398009951,0.9661691542288557,0.9885113940243464,1.0,0.9798628769415184,0.6437811416925352,0.6891113892365457,0.6933667083854819,0.8794743429286608,0.8894868585732165,0.2626773929596533,0.24680838290803653,19.047619047619047,0.010447761194029903,0.4840441027607156,-0.5049396251487753
3,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.8292866082603254,0.825531914893617,1.3306633291614518,1.3404255319148937,0.3839978912481478,0.37846613693132475,0.0,0.0004975124378109319,0.3271445211450557,-0.3281395460206776
4,0.9995024875621891,1.0,0.9985074626865672,0.9661691542288557,0.999874843554443,0.999874843554443,0.9997496871088861,0.9713391739674593,0.9995024875621891,1.0,0.9985074626865672,0.9661691542288557,0.9994492358489919,1.0,0.9983499609654944,0.6437811416925352,0.9041301627033792,0.9041301627033792,1.7779724655819775,1.7898623279098873,0.5080395136924094,0.4981872883704646,0.0,0.0004975124378109319,0.2454778544783891,-0.24647287935401097
5,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,0.999874843554443,0.999874843554443,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.946683354192741,0.9464330413016271,2.2264080100125154,2.2355444305381726,0.6294911754326735,0.6219439134861728,0.0,0.0004975124378109319,0.1964778544783891,-0.19747287935401098
6,0.9995024875621891,1.0,0.9990049751243781,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9990049751243781,0.9661691542288557,0.9994492358489919,1.0,0.9988988485571628,0.6437811416925352,0.9668335419274092,0.9694618272841051,2.6498122653316645,2.6869837296620775,0.7833297404441777,0.7577832080950482,0.0,0.0004975124378109319,0.1638111878117224,-0.16480621268734427
7,0.9995024875621891,1.0,0.9970149253731343,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9970149253731343,0.9661691542288557,0.9994492358489919,1.0,0.9966965456714887,0.6437811416925352,0.9787234042553191,0.9823529411764705,3.101877346683354,3.1356695869837297,0.9082519883903782,0.8821816043990061,0.0,0.0004975124378109319,0.1404778544783891,-0.14147287935401096
8,1.0,1.0,0.9995024875621891,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,1.0,1.0,0.9995024875621891,0.9661691542288557,1.0,1.0,0.9994492358489919,0.6437811416925352,0.988485607008761,0.9908635794743429,3.551314142678348,3.5833541927409263,1.046118561834065,1.0260301219540842,0.0,0.0,0.1225,-0.1225
9,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.9932415519399249,0.9943679599499374,3.9968710888610763,4.033416770963704,1.1616697255513224,1.158329749186713,0.0,0.0004975124378109319,0.10936674336727797,-0.11036176824289987
10,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.9956195244055068,0.9974968710888611,4.4391739674593245,4.483479349186483,1.285405434510502,1.2807515696433824,0.0,0.0004975124378109319,0.0984778544783891,-0.09947287935401099
11,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.997747183979975,0.9984981226533166,4.895118898623279,4.938673341677096,1.423407992231971,1.4189879510759182,0.0,0.0004975124378109319,0.08956876356929819,-0.09056378844492008
12,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.9987484355444305,0.9993742177722152,5.330287859824781,5.384355444305382,1.5789432643067687,1.5358646557055688,0.0,0.0004975124378109319,0.08214452114505576,-0.08313954602067765
13,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.9992490613266584,0.9994993742177722,5.779474342928661,5.827784730913642,1.7088436860799727,1.6643909550699123,0.0,0.0004975124378109319,0.07586246986300448,-0.07685749473862637
14,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.9997496871088861,0.9994993742177722,6.22828535669587,6.276470588235294,1.8208326304492168,1.7834475000270147,0.0,0.0004975124378109319,0.07047785447838908,-0.07147287935401098
15,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.999874843554443,0.9997496871088861,6.6780976220275345,6.727784730913642,1.9431259900908011,1.9060279455940452,0.0,0.0004975124378109319,0.06581118781172242,-0.06680621268734431
16,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.9997496871088861,0.9996245306633291,7.11188986232791,7.172340425531915,2.0903382502474974,2.025610024105194,0.0,0.0004975124378109319,0.06172785447838909,-0.06272287935401098
17,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.999874843554443,0.9997496871088861,7.5430538172715895,7.618272841051314,2.2308581464245467,2.154973079616186,0.0,0.0004975124378109319,0.058124913301918504,-0.059119938177540396
18,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.999874843554443,0.999874843554443,7.96270337922403,8.07046307884856,2.3640410061811976,2.278238564607976,0.0,0.0004975124378109319,0.05492229892283353,-0.055917323798455425
19,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.999874843554443,0.999874843554443,8.41026282853567,8.5180225281602,2.4875267944007797,2.392719187991169,0.0,0.0004975124378109319,0.05205680184681014,-0.053051826722432034
20,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,0.999874843554443,1.0,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.9997496871088861,0.9997496871088861,8.84092615769712,8.966583229036296,2.620263404462206,2.511213238165836,0.0,0.0004975124378109319,0.049477854478389094,-0.050472879354010985
21,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.9997496871088861,0.9997496871088861,9.273216520650813,9.414142678347934,2.756654207708164,2.650127457362339,0.0,0.0004975124378109319,0.047144521145055754,-0.048139546020677645
22,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.999874843554443,0.9997496871088861,9.703254067584481,9.860325406758449,2.9183661069089784,2.7954387288321096,0.0,0.0004975124378109319,0.04502330902384364,-0.04601833389946553
23,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.999874843554443,0.9997496871088861,10.15043804755945,10.310387984981226,3.0479147406322618,2.9178446459271767,0.0,0.0004975124378109319,0.043086550130563006,-0.0440815750061849
24,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.999874843554443,0.9997496871088861,10.583354192740925,10.763204005006259,3.1961926713552913,3.0440558191849614,0.0,0.0004975124378109319,0.041311187811722425,-0.042306212687344316
25,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.999874843554443,0.9997496871088861,11.030913642052566,11.218523153942428,3.319380166673491,3.1728733732956393,0.0,0.0004975124378109319,0.03967785447838909,-0.04067287935401098
26,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.9997496871088861,0.9997496871088861,11.46808510638298,11.664455569461827,3.4616007767824097,3.3323558752151885,0.0,0.0004975124378109319,0.038170162170696784,-0.039165187046318675
27,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.9997496871088861,0.9997496871088861,11.89837296620776,12.116270337922403,3.5835148727269672,3.4573039197225657,0.0,0.0004975124378109319,0.036774150774685384,-0.037769175650307275
28,0.9995024875621891,1.0,1.0,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,1.0,0.9661691542288557,0.9994492358489919,1.0,1.0,0.6437811416925352,0.999874843554443,0.9997496871088861,12.348685857321652,12.565707133917396,3.694009208532117,3.5837830605944836,0.0,0.0004975124378109319,0.03547785447838909,-0.03647287935401098
29,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.999874843554443,0.9997496871088861,12.780976220275344,13.010137672090112,3.8457779450372596,3.724041732040631,0.0,0.0004975124378109319,0.03427095792666495,-0.03526598280228684
30,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.999874843554443,0.9997496871088861,13.22578222778473,13.451314142678347,3.959808762871385,3.8412759610249667,0.0,0.0004975124378109319,0.033144521145055755,-0.03413954602067765
31,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.999874843554443,0.9997496871088861,13.658823529411764,13.901251564455569,4.102909681767722,3.969289935748248,0.0,0.0004975124378109319,0.03209075770419554,-0.03308578257981743
32,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,1.0,1.0,1.0,0.9713391739674593,0.9995024875621891,1.0,0.9995024875621891,0.9661691542288557,0.9994492358489919,1.0,0.9994492358489919,0.6437811416925352,0.999874843554443,0.9997496871088861,14.110387984981227,14.34630788485607,4.245799389119635,4.073882664792011,0.0,0.0004975124378109319,0.03110285447838909,-0.03209787935401098
