numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9994969818913481,0.9874245472837022,0.9577464788732394,0.9743460764587525,0.9998751872191712,0.9947578632051922,0.9832750873689465,0.9697953070394408,0.9994969818913481,0.9874245472837022,0.9577464788732394,0.9743460764587525,0.9994527816337221,0.9862851718423815,0.9537557655753612,0.6498620245847104,0.44658012980529205,0.4475786320519221,0.4464553170244633,0.4423364952571143,0.1237604361464174,0.13159108735381106,20.346153846153847,-0.012072434607645843,0.9971275703725525,-0.9729827011572608
2,0.9934607645875252,0.9959758551307847,0.9929577464788732,0.9743460764587525,0.9960059910134798,0.9981278082875686,0.9967548676984523,0.9697953070394408,0.9934607645875252,0.9959758551307847,0.9929577464788732,0.9743460764587525,0.9929166245265576,0.9956343768665894,0.992369442677604,0.6498620245847104,0.6937094358462307,0.695581627558662,0.8856714927608587,0.8895406889665501,0.25867383408609723,0.251157262049481,0.8421052631578947,0.0025150905432594906,0.4917838374085762,-0.49681401849509527
3,0.9994969818913481,0.9984909456740443,1.0,0.9743460764587525,0.9998751872191712,1.0,0.9998751872191712,0.9697953070394408,0.9994969818913481,0.9984909456740443,1.0,0.9743460764587525,0.9994527816337221,0.9983573211996182,1.0,0.6498620245847104,0.8298801797304044,0.8283824263604593,1.3338741887169245,1.3245132301547677,0.3862311642384059,0.3869893094467284,0.5,-0.001006036217303774,0.3290676991248212,-0.32705562669021354
4,0.9994969818913481,0.9994969818913481,0.9994969818913481,0.9743460764587525,0.9997503744383425,0.9998751872191712,0.9998751872191712,0.9697953070394408,0.9994969818913481,0.9994969818913481,0.9994969818913481,0.9743460764587525,0.9994527816337221,0.999453121239005,0.999453121239005,0.6498620245847104,0.9017723414877683,0.9068896655017474,1.7695956065901148,1.769970044932601,0.5285933039025681,0.5152698387285201,0.5,0.0,0.24639429506149463,-0.24639429506149463
5,0.9994969818913481,0.9994969818913481,0.9994969818913481,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,0.9994969818913481,0.9994969818913481,0.9994969818913481,0.9743460764587525,0.9994527816337221,0.9994527816337221,0.9994527816337221,0.6498620245847104,0.9410883674488267,0.9482026959560659,2.193334997503744,2.2119321018472293,0.6680622307629636,0.6456354062802394,0.0,0.0,0.196,-0.196
6,1.0,1.0,0.9989939637826962,0.9743460764587525,0.9998751872191712,1.0,1.0,0.9697953070394408,1.0,1.0,0.9989939637826962,0.9743460764587525,1.0,1.0,0.9989059032792083,0.6498620245847104,0.9661757363954069,0.9712930604093859,2.647279081377933,2.6707438841737394,0.7853172600898151,0.7624240065875714,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,0.9994969818913481,1.0,1.0,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,0.9994969818913481,1.0,1.0,0.9743460764587525,0.9994527816337221,1.0,1.0,0.6498620245847104,0.9815277084373439,0.9846480279580629,3.1009735396904645,3.1203195207189216,0.9085870304757376,0.8915979110396304,0.0,0.0005030181086519425,0.14048314531980402,-0.14148918153710785
8,1.0,1.0,0.9994969818913481,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,1.0,1.0,0.9994969818913481,0.9743460764587525,1.0,1.0,0.9994527816337221,0.6498620245847104,0.9878931602596106,0.9918871692461309,3.524962556165751,3.545806290564154,1.0640992485567202,1.031298980090974,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,0.9989939637826962,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,1.0,1.0,0.9989939637826962,0.9743460764587525,1.0,1.0,0.9989052224413979,0.6498620245847104,0.9928856714927609,0.9950074887668497,3.9529455816275587,3.9931352970544185,1.1929592732916465,1.158110784761059,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,0.9994969818913481,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,1.0,1.0,0.9994969818913481,0.9743460764587525,1.0,1.0,0.9994527816337221,0.6498620245847104,0.9951323015476785,0.997378931602596,4.387044433349975,4.441962056914628,1.3446933223310258,1.2777251430980656,0.0,0.0,0.098,-0.098
11,0.9994969818913481,1.0,0.9994969818913481,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,0.9994969818913481,1.0,0.9994969818913481,0.9743460764587525,0.9994527816337221,1.0,0.9994527816337221,0.6498620245847104,0.9971293060409386,0.9983774338492262,4.815526709935098,4.88854218671992,1.4777096814260167,1.4078740203582125,0.0,0.0005030181086519425,0.0895740544107131,-0.09058009062801693
12,1.0,1.0,1.0,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,1.0,1.0,1.0,0.9743460764587525,1.0,1.0,1.0,0.6498620245847104,0.9978781827259111,0.9986270594108837,5.262855716425362,5.334747878182726,1.6103410421499822,1.5259960133105361,0.0,0.0,0.08166666666666667,-0.08166666666666667
13,0.9994969818913481,1.0,0.9994969818913481,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,0.9994969818913481,1.0,0.9994969818913481,0.9743460764587525,0.9994527816337221,1.0,0.9994527816337221,0.6498620245847104,0.9982526210683974,0.9991263105341986,5.712306540189715,5.766724912631053,1.722217114445207,1.6547028405887625,0.0,0.0005030181086519425,0.0758677607044194,-0.07687379692172323
14,0.9994969818913481,1.0,1.0,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,0.9994969818913481,1.0,1.0,0.9743460764587525,0.9994527816337221,1.0,1.0,0.6498620245847104,0.9991263105341986,0.9997503744383425,6.163629555666501,6.214428357463804,1.8329221316859843,1.792117659398366,0.0,0.0005030181086519425,0.07048314531980401,-0.07148918153710784
15,0.9994969818913481,1.0,1.0,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,0.9994969818913481,1.0,1.0,0.9743460764587525,0.9994527816337221,1.0,1.0,0.6498620245847104,0.9996255616575137,0.9997503744383425,6.604842735896156,6.634298552171742,1.952566851441635,1.9539052863418458,0.0,0.0005030181086519425,0.06581647865313735,-0.06682251487044118
16,0.9994969818913481,1.0,1.0,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,0.9994969818913481,1.0,1.0,0.9743460764587525,0.9994527816337221,1.0,1.0,0.6498620245847104,0.9996255616575137,0.9998751872191712,7.052296555167249,7.083125312031952,2.0798674948797773,2.088286880546461,0.0,0.0005030181086519425,0.06173314531980401,-0.06273918153710784
17,0.9994969818913481,1.0,0.9994969818913481,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,0.9994969818913481,1.0,0.9994969818913481,0.9743460764587525,0.9994527816337221,1.0,0.9994527816337221,0.6498620245847104,0.9995007488766849,0.9998751872191712,7.449700449326011,7.51410384423365,2.2556005792239437,2.2312327520293187,0.0,0.0005030181086519425,0.058130204143333426,-0.059136240360637256
18,0.9994969818913481,1.0,0.9994969818913481,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,0.9994969818913481,1.0,0.9994969818913481,0.9743460764587525,0.9994527816337221,1.0,0.9994527816337221,0.6498620245847104,0.9995007488766849,0.9998751872191712,7.898402396405392,7.965676485272092,2.3825719152527065,2.3748881065604426,0.0,0.0005030181086519425,0.054927589764248455,-0.055933625981552285
19,0.9994969818913481,0.9994969818913481,0.9994969818913481,0.9743460764587525,1.0,1.0,1.0,0.9697953070394408,0.9994969818913481,0.9994969818913481,0.9994969818913481,0.9743460764587525,0.9994527816337221,0.9994527816337221,0.9994527816337221,0.6498620245847104,0.9993759360958562,0.9998751872191712,8.32426360459311,8.393909136295557,2.5380073029501204,2.5104371549711204,0.0,0.0,0.05157894736842105,-0.05157894736842105
