numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5333333333333333,0.6888888888888889,0.5777777777777777,0.4888888888888889,0.7692307692307693,0.8106508875739645,0.8461538461538461,0.4556213017751479,0.5333333333333333,0.6888888888888889,0.5777777777777777,0.4888888888888889,0.41698232323232315,0.6658602150537635,0.5302067332309268,0.3833104395604396,0.2485207100591716,0.28402366863905326,0.01775147928994083,0.09467455621301775,0.47831869591304943,0.44654760526053544,2.769230769230769,0.15555555555555556,0.9879309569784184,-1.2990420680895296
2,0.6666666666666666,0.6222222222222222,0.7111111111111111,0.4888888888888889,0.7928994082840237,0.863905325443787,0.8994082840236687,0.4556213017751479,0.6666666666666666,0.6222222222222222,0.7111111111111111,0.4888888888888889,0.5771672771672772,0.5724089635854342,0.721031746031746,0.3833104395604396,0.3609467455621302,0.4437869822485207,0.08284023668639054,0.27218934911242604,1.125016620549962,0.9077503551807073,0.08333333333333333,-0.0444444444444444,0.6858831017978925,-0.5969942129090037
3,0.6222222222222222,0.6444444444444445,0.5777777777777777,0.4888888888888889,0.8698224852071006,0.8875739644970414,0.9467455621301775,0.4556213017751479,0.6222222222222222,0.6444444444444445,0.5777777777777777,0.4888888888888889,0.45833575510994873,0.622590989257656,0.4204545454545454,0.3833104395604396,0.47928994082840237,0.514792899408284,0.3076923076923077,0.31952662721893493,1.6214172962581463,1.4186296517958468,0.0,0.022222222222222254,0.43527232852796954,-0.47971677297241394
4,0.6888888888888889,0.6444444444444445,0.6444444444444445,0.4888888888888889,0.8875739644970414,0.9289940828402367,0.9230769230769231,0.4556213017751479,0.6888888888888889,0.6444444444444445,0.6444444444444445,0.4888888888888889,0.5905827787860456,0.603038103038103,0.5092430092430092,0.3833104395604396,0.5443786982248521,0.5798816568047337,0.514792899408284,0.47928994082840237,2.450154890670918,1.8099283450986396,0.125,-0.0444444444444444,0.41332067808917033,-0.32443178920028154
5,0.7111111111111111,0.6,0.7555555555555555,0.4888888888888889,0.9112426035502958,0.9585798816568047,0.9704142011834319,0.4556213017751479,0.7111111111111111,0.6,0.7555555555555555,0.4888888888888889,0.6531454248366013,0.5729737126288851,0.7462121212121212,0.3833104395604396,0.5798816568047337,0.6272189349112426,0.6094674556213018,0.7041420118343196,3.5714112711306623,2.488502054940043,2.2857142857142856,-0.11111111111111116,0.42683388186978694,-0.20461165964756473
6,0.7555555555555555,0.6222222222222222,0.6666666666666666,0.4888888888888889,0.893491124260355,0.9644970414201184,0.9704142011834319,0.4556213017751479,0.7555555555555555,0.6222222222222222,0.6666666666666666,0.4888888888888889,0.6682795698924732,0.5815371762740184,0.5202252944188428,0.3833104395604396,0.621301775147929,0.650887573964497,0.8165680473372781,0.8520710059171598,4.3521650891012715,3.168394178297323,3.125,-0.1333333333333333,0.4258733247529555,-0.15920665808628884
7,0.7555555555555555,0.6666666666666666,0.6666666666666666,0.4888888888888889,0.9408284023668639,0.9822485207100592,0.9644970414201184,0.4556213017751479,0.7555555555555555,0.6666666666666666,0.6666666666666666,0.4888888888888889,0.6684684684684684,0.580952380952381,0.4870787024487215,0.3833104395604396,0.6272189349112426,0.6686390532544378,1.0118343195266273,1.0591715976331362,5.262903933930565,4.203486909089408,1.5,-0.0888888888888889,0.3386934340335719,-0.16091565625579413
8,0.7333333333333333,0.6444444444444445,0.6444444444444445,0.4888888888888889,0.9467455621301775,0.9704142011834319,0.9822485207100592,0.4556213017751479,0.7333333333333333,0.6444444444444445,0.6444444444444445,0.4888888888888889,0.6576325872151644,0.6013196480938415,0.47609710550887013,0.3833104395604396,0.6449704142011834,0.6863905325443787,1.2011834319526626,1.2781065088757397,6.788245365637708,5.1506669820014235,1.5,-0.0888888888888888,0.32119343403357187,-0.1434156562557941
9,0.7111111111111111,0.6222222222222222,0.7111111111111111,0.4888888888888889,0.9644970414201184,0.9822485207100592,1.0,0.4556213017751479,0.7111111111111111,0.6222222222222222,0.7111111111111111,0.4888888888888889,0.5999612515741548,0.5639378331977952,0.5958964646464646,0.3833104395604396,0.6804733727810651,0.6863905325443787,1.378698224852071,1.4142011834319526,8.193183446740717,6.313148058563088,1.5,-0.0888888888888889,0.30758232292246074,-0.12980454514468304
10,0.7555555555555555,0.6222222222222222,0.7333333333333333,0.4888888888888889,0.9467455621301775,0.9940828402366864,0.9822485207100592,0.4556213017751479,0.7555555555555555,0.6222222222222222,0.7333333333333333,0.4888888888888889,0.6691268400887275,0.5639378331977952,0.6738351254480287,0.3833104395604396,0.6745562130177515,0.6923076923076923,1.5088757396449703,1.544378698224852,9.609906008688728,7.78297171685902,3.125,-0.1333333333333333,0.36053999141962223,-0.09387332475295557
11,0.7555555555555555,0.6222222222222222,0.7111111111111111,0.4888888888888889,0.9408284023668639,0.9881656804733728,0.9940828402366864,0.4556213017751479,0.7555555555555555,0.6222222222222222,0.7111111111111111,0.4888888888888889,0.681144781144781,0.5625811688311688,0.5722222222222223,0.3833104395604396,0.6745562130177515,0.7041420118343196,1.5621301775147929,1.757396449704142,11.160928410464393,8.915321473535355,3.125,-0.1333333333333333,0.3516309005105313,-0.08496423384386464
12,0.7333333333333333,0.6444444444444445,0.7777777777777778,0.4888888888888889,0.9704142011834319,0.9881656804733728,1.0,0.4556213017751479,0.7333333333333333,0.6444444444444445,0.7777777777777778,0.4888888888888889,0.6590203106332139,0.5736291486291486,0.6558696205755029,0.3833104395604396,0.6745562130177515,0.7100591715976331,1.7810650887573964,1.8698224852071006,12.440223570286705,10.482826675256216,1.5,-0.0888888888888888,0.28036010070023853,-0.1025823229224608
13,0.7555555555555555,0.6666666666666666,0.7333333333333333,0.4888888888888889,0.9940828402366864,0.9881656804733728,0.9940828402366864,0.4556213017751479,0.7555555555555555,0.6666666666666666,0.7333333333333333,0.4888888888888889,0.6697729988052569,0.6364898989898989,0.685769849562953,0.3833104395604396,0.6982248520710059,0.7100591715976331,1.9585798816568047,2.0532544378698225,13.412646154888323,11.970842902164648,1.5,-0.0888888888888889,0.27407804941818725,-0.09630027164040952
14,0.7333333333333333,0.6222222222222222,0.7111111111111111,0.4888888888888889,0.9881656804733728,0.9822485207100592,0.9940828402366864,0.4556213017751479,0.7333333333333333,0.6222222222222222,0.7111111111111111,0.4888888888888889,0.6590277777777778,0.5639378331977952,0.6654040404040404,0.3833104395604396,0.6863905325443787,0.7159763313609467,2.1124260355029585,2.171597633136095,15.710918279707368,13.910448447191584,2.2857142857142856,-0.11111111111111105,0.3008338818697869,-0.07861165964756467
