numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5476190476190477,0.7619047619047619,0.6428571428571429,0.5238095238095238,0.8081395348837209,0.8255813953488372,0.8662790697674418,0.436046511627907,0.5476190476190477,0.7619047619047619,0.6428571428571429,0.5238095238095238,0.4712509712509712,0.7757603131586871,0.6669960156802262,0.2558730158730159,0.27325581395348836,0.26744186046511625,0.08139534883720931,0.09302325581395349,0.4448670236579128,0.4148216901242768,3.3684210526315788,0.2142857142857142,0.9792038118690313,-1.4077752404404598
2,0.5952380952380952,0.6190476190476191,0.7142857142857143,0.5238095238095238,0.8313953488372093,0.8430232558139535,0.8488372093023255,0.436046511627907,0.5952380952380952,0.6190476190476191,0.7142857142857143,0.5238095238095238,0.4878028404344193,0.598007098007098,0.5215509627274333,0.2558730158730159,0.4011627906976744,0.436046511627907,0.22093023255813954,0.20348837209302326,0.8976500478675836,0.9857629722185861,0.0,0.023809523809523836,0.6346035486135009,-0.6822225962325483
3,0.6190476190476191,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.9011627906976745,0.877906976744186,0.9244186046511628,0.436046511627907,0.6190476190476191,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.5777777777777777,0.6249999999999999,0.6625478927203065,0.2558730158730159,0.5,0.5581395348837209,0.36627906976744184,0.29651162790697677,1.5826430463655452,1.4777015196166414,0.4444444444444444,0.0714285714285714,0.3968949576439338,-0.5397521005010766
4,0.6190476190476191,0.7142857142857143,0.6190476190476191,0.5238095238095238,0.8895348837209303,0.9418604651162791,0.9476744186046512,0.436046511627907,0.6190476190476191,0.7142857142857143,0.6190476190476191,0.5238095238095238,0.579312865497076,0.7383292383292384,0.6224386724386723,0.2558730158730159,0.5406976744186046,0.6046511627906976,0.47093023255813954,0.5232558139534884,2.5522578680700407,1.9406426423332948,0.6428571428571429,0.09523809523809523,0.3267322935802563,-0.5172084840564468
5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5238095238095238,0.9186046511627907,0.9418604651162791,0.9593023255813954,0.436046511627907,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5238095238095238,0.6427203065134098,0.6171171171171171,0.6563492063492063,0.2558730158730159,0.5755813953488372,0.627906976744186,0.5755813953488372,0.6046511627906976,3.1650942872029737,2.6419791318208423,0.1,0.0,0.3435729574745244,-0.3435729574745244
6,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.5238095238095238,0.936046511627907,0.9593023255813954,0.9709302325581395,0.436046511627907,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.5238095238095238,0.6333333333333333,0.7138047138047138,0.6641025641025641,0.2558730158730159,0.622093023255814,0.6569767441860465,0.6976744186046512,0.7674418604651163,3.8125586106609344,3.4653557066071015,0.5714285714285714,0.0714285714285714,0.2172487330845163,-0.3601058759416591
7,0.6666666666666666,0.6904761904761905,0.6904761904761905,0.5238095238095238,0.9534883720930233,0.9651162790697675,0.9825581395348837,0.436046511627907,0.6666666666666666,0.6904761904761905,0.6904761904761905,0.5238095238095238,0.6555555555555556,0.6262792397660818,0.6110333022097728,0.2558730158730159,0.6453488372093024,0.7034883720930233,0.8662790697674418,1.0406976744186047,4.684218094474729,4.186672301628561,0.0,0.023809523809523836,0.2398686727179818,-0.28748772033702935
8,0.5952380952380952,0.7142857142857143,0.6904761904761905,0.5238095238095238,0.9476744186046512,0.9593023255813954,0.9941860465116279,0.436046511627907,0.5952380952380952,0.7142857142857143,0.6904761904761905,0.5238095238095238,0.6032657657657657,0.6362271362271362,0.6019813519813519,0.2558730158730159,0.6627906976744186,0.6976744186046512,0.9534883720930233,1.2674418604651163,5.702359005907275,5.347461363345854,2.2857142857142856,0.11904761904761907,0.1320631920871403,-0.37015843018237843
9,0.5952380952380952,0.7142857142857143,0.7380952380952381,0.5238095238095238,0.9651162790697675,0.9651162790697675,1.0,0.436046511627907,0.5952380952380952,0.7142857142857143,0.7380952380952381,0.5238095238095238,0.5545354287289771,0.6362271362271362,0.7226495726495726,0.2558730158730159,0.6802325581395349,0.7034883720930233,1.1162790697674418,1.4825581395348837,6.716239780007707,6.26925691564391,1.7777777777777777,0.11904761904761907,0.13439678269462418,-0.3724920207898623
10,0.5952380952380952,0.7142857142857143,0.6904761904761905,0.5238095238095238,0.9709302325581395,0.9767441860465116,0.9767441860465116,0.436046511627907,0.5952380952380952,0.7142857142857143,0.6904761904761905,0.5238095238095238,0.5546546546546546,0.6362271362271362,0.6661070161070161,0.2558730158730159,0.6918604651162791,0.7093023255813954,1.2383720930232558,1.627906976744186,7.774822448604454,7.333278427801584,1.7777777777777777,0.11904761904761907,0.12350789380573529,-0.36160313190097343
11,0.6190476190476191,0.6904761904761905,0.7619047619047619,0.5238095238095238,0.9767441860465116,0.9767441860465116,0.9941860465116279,0.436046511627907,0.6190476190476191,0.6904761904761905,0.7619047619047619,0.5238095238095238,0.623901150726278,0.6262792397660818,0.7500000000000001,0.2558730158730159,0.6976744186046512,0.7151162790697675,1.4186046511627908,1.808139534883721,9.068009366412138,8.61108220826708,0.5714285714285714,0.0714285714285714,0.14300630884209212,-0.2858634516992349
12,0.6904761904761905,0.7142857142857143,0.7380952380952381,0.5238095238095238,0.9767441860465116,0.9709302325581395,0.9941860465116279,0.436046511627907,0.6904761904761905,0.7142857142857143,0.7380952380952381,0.5238095238095238,0.6532282282282281,0.7133088096585549,0.6228632478632478,0.2558730158730159,0.7093023255813954,0.7267441860465116,1.5872093023255813,1.9709302325581395,9.895916554896218,9.903322935907834,0.0,0.023809523809523836,0.16245513873058554,-0.2100741863496332
13,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.5238095238095238,0.9651162790697675,0.9767441860465116,0.9941860465116279,0.436046511627907,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.5238095238095238,0.6434257687228825,0.7133088096585549,0.6565359477124183,0.2558730158730159,0.7093023255813954,0.7151162790697675,1.7267441860465116,2.127906976744186,11.505551033994132,11.521035318637686,0.25,0.04761904761904767,0.12220347603612672,-0.21744157127422206
14,0.7142857142857143,0.7142857142857143,0.7380952380952381,0.5238095238095238,0.9709302325581395,0.9825581395348837,1.0,0.436046511627907,0.7142857142857143,0.7142857142857143,0.7380952380952381,0.5238095238095238,0.7115335381464414,0.7133088096585549,0.6843567251461988,0.2558730158730159,0.7209302325581395,0.7151162790697675,1.9244186046511629,2.261627906976744,12.829921099568573,13.188364944302993,0.25,0.0,0.16333333333333333,-0.16333333333333333
15,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5238095238095238,0.9883720930232558,0.9825581395348837,0.9825581395348837,0.436046511627907,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5238095238095238,0.7115335381464414,0.7133088096585549,0.5786858974358974,0.2558730158730159,0.7325581395348837,0.7325581395348837,2.122093023255814,2.488372093023256,14.272010134920935,14.519130170224905,0.25,0.0,0.15866666666666665,-0.15866666666666665
16,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5238095238095238,0.9941860465116279,0.9883720930232558,1.0,0.436046511627907,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5238095238095238,0.7115335381464414,0.7133088096585549,0.6140350877192983,0.2558730158730159,0.7441860465116279,0.7267441860465116,2.296511627906977,2.633720930232558,15.852040523272219,16.329721689343028,0.25,0.0,0.15458333333333332,-0.15458333333333332
17,0.6904761904761905,0.7380952380952381,0.7857142857142857,0.5238095238095238,0.9883720930232558,0.9767441860465116,1.0,0.436046511627907,0.6904761904761905,0.7380952380952381,0.7857142857142857,0.5238095238095238,0.6783324799453831,0.7226495726495726,0.728673835125448,0.2558730158730159,0.75,0.7267441860465116,2.395348837209302,2.761627906976744,17.45457685363181,18.41620878946999,0.5,0.04761904761904767,0.07757771855368473,-0.17281581379177996
18,0.6904761904761905,0.7380952380952381,0.6904761904761905,0.5238095238095238,0.9883720930232558,0.9883720930232558,0.9941860465116279,0.436046511627907,0.6904761904761905,0.7380952380952381,0.6904761904761905,0.5238095238095238,0.6783324799453831,0.7226495726495726,0.6110333022097728,0.2558730158730159,0.75,0.7267441860465116,2.604651162790698,2.9127906976744184,19.35924209021749,20.196890058055267,0.5,0.04761904761904767,0.07437510417459976,-0.16961319941269498
19,0.6666666666666666,0.7380952380952381,0.7142857142857143,0.5238095238095238,0.9883720930232558,0.9825581395348837,0.9883720930232558,0.436046511627907,0.6666666666666666,0.7380952380952381,0.7142857142857143,0.5238095238095238,0.6611367127496159,0.7226495726495726,0.5980215509627275,0.2558730158730159,0.7441860465116279,0.7267441860465116,2.7151162790697674,3.058139534883721,21.41734852736395,22.388374565933592,1.3333333333333333,0.07142857142857151,0.06381637859325714,-0.20667352145040005
20,0.6904761904761905,0.7380952380952381,0.7380952380952381,0.5238095238095238,0.9883720930232558,0.9883720930232558,1.0,0.436046511627907,0.6904761904761905,0.7380952380952381,0.7380952380952381,0.5238095238095238,0.6909522425651459,0.7226495726495726,0.7478070175438596,0.2558730158730159,0.7441860465116279,0.7267441860465116,2.88953488372093,3.191860465116279,23.374230945699782,24.554391347923524,0.5,0.04761904761904767,0.06893065973015533,-0.16416875496825056
21,0.6904761904761905,0.7380952380952381,0.6666666666666666,0.5238095238095238,0.9825581395348837,0.9941860465116279,0.9941860465116279,0.436046511627907,0.6904761904761905,0.7380952380952381,0.6666666666666666,0.5238095238095238,0.6783324799453831,0.7226495726495726,0.6483671171171171,0.2558730158730159,0.7383720930232558,0.7325581395348837,3.0406976744186047,3.377906976744186,25.16685036702847,26.977924466565334,0.5,0.04761904761904767,0.06659732639682199,-0.1618354216349172
22,0.6904761904761905,0.7380952380952381,0.6904761904761905,0.5238095238095238,0.9883720930232558,0.9825581395348837,1.0,0.436046511627907,0.6904761904761905,0.7380952380952381,0.6904761904761905,0.5238095238095238,0.6783324799453831,0.7226495726495726,0.6908027644869751,0.2558730158730159,0.7674418604651163,0.7325581395348837,3.197674418604651,3.5988372093023258,27.076040008055493,28.870366536590065,0.5,0.04761904761904767,0.06447611427560987,-0.1597142095137051
23,0.6666666666666666,0.7380952380952381,0.7619047619047619,0.5238095238095238,0.9883720930232558,0.9941860465116279,0.9883720930232558,0.436046511627907,0.6666666666666666,0.7380952380952381,0.7619047619047619,0.5238095238095238,0.6079695767195767,0.7226495726495726,0.7317404817404817,0.2558730158730159,0.75,0.7325581395348837,3.3255813953488373,3.738372093023256,29.145628796064354,31.089342987310808,1.3333333333333333,0.07142857142857151,0.054846126877010015,-0.19770326973415292
24,0.6666666666666666,0.7142857142857143,0.7380952380952381,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6666666666666666,0.7142857142857143,0.7380952380952381,0.5238095238095238,0.6079695767195767,0.7133088096585549,0.6035580033219686,0.2558730158730159,0.7558139534883721,0.7325581395348837,3.5174418604651163,3.883720930232558,31.87819958293678,32.64659764742484,0.5,0.04761904761904767,0.06076399306348866,-0.1560020883015839
25,0.6666666666666666,0.6904761904761905,0.6904761904761905,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6666666666666666,0.6904761904761905,0.6904761904761905,0.5238095238095238,0.6079695767195767,0.7039226726726727,0.5853146853146852,0.2558730158730159,0.75,0.75,3.63953488372093,4.034883720930233,35.02115507143815,34.08596660491104,0.0,0.023809523809523836,0.09653963013052155,-0.14415867774956923
26,0.6666666666666666,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.9941860465116279,1.0,0.9941860465116279,0.436046511627907,0.6666666666666666,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.6079695767195767,0.7039226726726727,0.7383292383292384,0.2558730158730159,0.7558139534883721,0.7383720930232558,3.75,4.226744186046512,36.99747987312374,37.11026232864161,0.0,0.023809523809523836,0.09503193782282925,-0.14265098544187693
27,0.6666666666666666,0.6904761904761905,0.6904761904761905,0.5238095238095238,0.9883720930232558,1.0,1.0,0.436046511627907,0.6666666666666666,0.6904761904761905,0.6904761904761905,0.5238095238095238,0.6079695767195767,0.7039226726726727,0.6908027644869751,0.2558730158730159,0.7558139534883721,0.7441860465116279,3.953488372093023,4.348837209302325,40.36825342549769,39.027049786117615,0.0,0.023809523809523836,0.09363592642681785,-0.1412549740458655
28,0.6666666666666666,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6666666666666666,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.6079695767195767,0.7039226726726727,0.6877240143369175,0.2558730158730159,0.75,0.7441860465116279,4.104651162790698,4.523255813953488,43.059815696853676,41.70807598813416,0.0,0.023809523809523836,0.09233963013052156,-0.13995867774956922
29,0.6666666666666666,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6666666666666666,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.6079695767195767,0.7039226726726727,0.7002136752136753,0.2558730158730159,0.75,0.7558139534883721,4.308139534883721,4.75,46.59912336537688,43.61385600289634,0.0,0.023809523809523836,0.09113273357879742,-0.1387517811978451
30,0.6666666666666666,0.6904761904761905,0.6904761904761905,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6666666666666666,0.6904761904761905,0.6904761904761905,0.5238095238095238,0.6079695767195767,0.7039226726726727,0.6006944444444444,0.2558730158730159,0.7383720930232558,0.7558139534883721,4.465116279069767,4.883720930232558,49.26019671159196,45.71617194796034,0.0,0.023809523809523836,0.09000629679718823,-0.13762534441623592
31,0.6666666666666666,0.6904761904761905,0.7380952380952381,0.5238095238095238,0.9941860465116279,1.0,0.9941860465116279,0.436046511627907,0.6666666666666666,0.6904761904761905,0.7380952380952381,0.5238095238095238,0.6079695767195767,0.7039226726726727,0.7222222222222222,0.2558730158730159,0.7325581395348837,0.7558139534883721,4.662790697674419,5.005813953488372,51.899097392485366,49.10075137810892,0.0,0.023809523809523836,0.08895253335632801,-0.1365715809753757
32,0.6904761904761905,0.6904761904761905,0.7619047619047619,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6904761904761905,0.6904761904761905,0.7619047619047619,0.5238095238095238,0.6376984126984127,0.7039226726726727,0.7058018609742748,0.2558730158730159,0.7325581395348837,0.7616279069767442,4.813953488372093,5.186046511627907,54.847096890068286,51.75786948964819,0.25,0.0,0.12395833333333332,-0.12395833333333332
33,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.5238095238095238,0.9883720930232558,1.0,1.0,0.436046511627907,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.5238095238095238,0.6350081699346405,0.7133088096585549,0.7002136752136753,0.2558730158730159,0.7325581395348837,0.7441860465116279,5.02906976744186,5.325581395348837,58.192913185979236,55.21204779453873,0.25,0.04761904761904767,0.07651583034848111,-0.17175392558657634
34,0.6904761904761905,0.7142857142857143,0.7142857142857143,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6904761904761905,0.7142857142857143,0.7142857142857143,0.5238095238095238,0.6411706349206349,0.7133088096585549,0.6073232323232324,0.2558730158730159,0.7441860465116279,0.7558139534883721,5.244186046511628,5.465116279069767,60.86519658489664,58.05138777264376,0.0,0.023809523809523836,0.0861631595422863,-0.13378220716133388
35,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5238095238095238,0.7115335381464414,0.7133088096585549,0.7383292383292384,0.2558730158730159,0.75,0.7616279069767442,5.494186046511628,5.616279069767442,64.16429845664751,61.592791023399016,0.5,0.0,0.09399663291074442,-0.09399663291074442
36,0.7142857142857143,0.7142857142857143,0.6904761904761905,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.7142857142857143,0.7142857142857143,0.6904761904761905,0.5238095238095238,0.7115335381464414,0.7133088096585549,0.5853146853146852,0.2558730158730159,0.7441860465116279,0.7616279069767442,5.6686046511627906,5.906976744186046,67.95819499255718,65.0326360529052,0.5,0.0,0.09321885513296665,-0.09321885513296665
37,0.6904761904761905,0.6904761904761905,0.7380952380952381,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6904761904761905,0.6904761904761905,0.7380952380952381,0.5238095238095238,0.6913029100529101,0.6262792397660818,0.6842958601999812,0.2558730158730159,0.75,0.7790697674418605,5.877906976744186,6.116279069767442,71.79871413148487,69.32968162491116,0.5,0.0,0.09248311939723092,-0.09248311939723092
38,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.5238095238095238,0.6913029100529101,0.6262792397660818,0.6908027644869751,0.2558730158730159,0.75,0.7790697674418605,6.046511627906977,6.238372093023256,76.86189730829936,71.59872155666163,0.5,0.0,0.09178610659495495,-0.09178610659495495
39,0.6666666666666666,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.9883720930232558,1.0,1.0,0.436046511627907,0.6666666666666666,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.6044973544973545,0.6262792397660818,0.7002136752136753,0.2558730158730159,0.75,0.7732558139534884,6.174418604651163,6.383720930232558,80.76161012240644,75.04338864897156,0.0,0.023809523809523836,0.048537635453960795,-0.09615668307300847
40,0.6904761904761905,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.9883720930232558,1.0,1.0,0.436046511627907,0.6904761904761905,0.6904761904761905,0.7142857142857143,0.5238095238095238,0.6913029100529101,0.6262792397660818,0.6073232323232324,0.2558730158730159,0.75,0.7732558139534884,6.337209302325581,6.575581395348837,84.99020919002577,79.26302121275171,0.5,0.0,0.09049663291074442,-0.09049663291074442
41,0.6666666666666666,0.6904761904761905,0.7380952380952381,0.5238095238095238,0.9883720930232558,1.0,1.0,0.436046511627907,0.6666666666666666,0.6904761904761905,0.7380952380952381,0.5238095238095238,0.6079695767195767,0.6262792397660818,0.6627240143369175,0.2558730158730159,0.7558139534883721,0.7790697674418605,6.546511627906977,6.732558139534884,88.27139946360123,83.6354567427249,0.0,0.023809523809523836,0.047311869350145974,-0.09493091696919354
42,0.6904761904761905,0.6904761904761905,0.7619047619047619,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6904761904761905,0.6904761904761905,0.7619047619047619,0.5238095238095238,0.6913029100529101,0.6262792397660818,0.7572373862696443,0.2558730158730159,0.7616279069767442,0.7732558139534884,6.77906976744186,6.866279069767442,91.54269265781303,85.78815577687871,0.5,0.0,0.08932996624407775,-0.08932996624407775
43,0.6666666666666666,0.6904761904761905,0.7619047619047619,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6666666666666666,0.6904761904761905,0.7619047619047619,0.5238095238095238,0.6044973544973545,0.6262792397660818,0.7313357810997464,0.2558730158730159,0.7732558139534884,0.7790697674418605,7.040697674418604,7.087209302325581,95.1381934455484,88.73722483143152,0.0,0.023809523809523836,0.046200128000174284,-0.09381917561922196
44,0.6904761904761905,0.6904761904761905,0.7857142857142857,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6904761904761905,0.6904761904761905,0.7857142857142857,0.5238095238095238,0.6913029100529101,0.6262792397660818,0.7666666666666666,0.2558730158730159,0.7674418604651163,0.7674418604651163,7.156976744186046,7.308139534883721,99.74724886054932,91.62340917414186,0.5,0.0,0.08826936018347172,-0.08826936018347172
45,0.6904761904761905,0.6904761904761905,0.7380952380952381,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6904761904761905,0.6904761904761905,0.7380952380952381,0.5238095238095238,0.6137253324753325,0.6262792397660818,0.7095878136200717,0.2558730158730159,0.7674418604651163,0.7732558139534884,7.22093023255814,7.546511627906977,104.7147666206844,95.73990305809613,0.0,0.0,0.021777777777777778,-0.021777777777777778
46,0.6904761904761905,0.6904761904761905,0.7619047619047619,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6904761904761905,0.6904761904761905,0.7619047619047619,0.5238095238095238,0.6913029100529101,0.6262792397660818,0.718970189701897,0.2558730158730159,0.7732558139534884,0.7732558139534884,7.395348837209302,7.75,109.42137955670702,101.15158960246923,0.5,0.0,0.08730098073683139,-0.08730098073683139
47,0.6904761904761905,0.6904761904761905,0.6666666666666666,0.5238095238095238,0.9941860465116279,1.0,1.0,0.436046511627907,0.6904761904761905,0.6904761904761905,0.6666666666666666,0.5238095238095238,0.6137253324753325,0.6262792397660818,0.6563961988304093,0.2558730158730159,0.7674418604651163,0.7790697674418605,7.511627906976744,7.930232558139535,114.95258971368408,105.56442950526309,0.0,0.0,0.02085106382978723,-0.02085106382978723
