numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.72,0.64,0.64,0.42,0.8475609756097561,0.8414634146341463,0.8475609756097561,0.4329268292682927,0.72,0.64,0.64,0.41999999999999993,0.6460674750997332,0.5862794612794613,0.4316798941798942,0.18267135914194738,0.29878048780487804,0.2926829268292683,0.14634146341463414,0.13414634146341464,0.3888970583320522,0.39804297138568057,0.75,-0.07999999999999996,1.1975914415943083,-1.0375914415943082
2,0.68,0.66,0.72,0.42,0.8353658536585366,0.8902439024390244,0.8475609756097561,0.4329268292682927,0.68,0.66,0.72,0.41999999999999993,0.6323232323232323,0.5417311661506709,0.5673251756843088,0.18267135914194738,0.4329268292682927,0.43902439024390244,0.24390243902439024,0.2682926829268293,0.8269479126681392,0.9039408743549864,0.0,-0.020000000000000018,0.6277305941546207,-0.5877305941546207
3,0.72,0.66,0.7,0.42,0.9390243902439024,0.9207317073170732,0.9146341463414634,0.4329268292682927,0.72,0.66,0.7,0.41999999999999993,0.6834500466853409,0.474025974025974,0.5883116883116883,0.18267135914194738,0.5365853658536586,0.5487804878048781,0.4573170731707317,0.4573170731707317,1.1172272933305207,1.5153308927045468,0.4444444444444444,-0.05999999999999994,0.5054368447418046,-0.38543684474180473
4,0.72,0.72,0.66,0.42,0.9634146341463414,0.926829268292683,0.9512195121951219,0.4329268292682927,0.72,0.72,0.66,0.41999999999999993,0.681140350877193,0.660271879021879,0.4617396492396493,0.18267135914194738,0.5853658536585366,0.5975609756097561,0.5487804878048781,0.6097560975609756,1.836491769501661,2.1183831059921383,0.125,0.0,0.35587434329005063,-0.35587434329005063
5,0.76,0.72,0.58,0.42,0.9390243902439024,0.9573170731707317,0.9634146341463414,0.4329268292682927,0.76,0.72,0.58,0.41999999999999993,0.7037037037037037,0.6862305854241338,0.5810568086883876,0.18267135914194738,0.6280487804878049,0.6524390243902439,0.6951219512195121,0.7621951219512195,2.3794034461940847,2.978377116459724,0.16666666666666666,-0.040000000000000036,0.3326580115665535,-0.25265801156655354
6,0.72,0.72,0.72,0.42,0.9512195121951219,0.9634146341463414,0.975609756097561,0.4329268292682927,0.72,0.72,0.72,0.41999999999999993,0.6838235294117648,0.620826418523787,0.5716294458229941,0.18267135914194738,0.6707317073170732,0.6585365853658537,0.8902439024390244,0.9634146341463414,3.1199849753772457,3.933760791848726,0.16666666666666666,0.0,0.2593533312504339,-0.2593533312504339
7,0.76,0.7,0.7,0.42,0.9634146341463414,0.9695121951219512,0.9817073170731707,0.4329268292682927,0.76,0.7,0.7,0.41999999999999993,0.7037037037037037,0.6443365357839043,0.5027380321497968,0.18267135914194738,0.7012195121951219,0.6524390243902439,1.0914634146341464,1.1219512195121952,3.75899034825054,5.139190169300618,0.5714285714285714,-0.06000000000000005,0.30503844629467824,-0.1850384462946782
8,0.74,0.68,0.72,0.42,0.9573170731707317,0.9634146341463414,0.9695121951219512,0.4329268292682927,0.74,0.68,0.72,0.41999999999999993,0.6938311688311689,0.6369440626656248,0.5690320572673513,0.18267135914194738,0.7317073170731707,0.6646341463414634,1.2865853658536586,1.2317073170731707,4.396041924525539,5.808399008831497,0.8,-0.05999999999999994,0.2717176843456498,-0.15171768434564978
9,0.74,0.74,0.72,0.42,0.9634146341463414,0.9817073170731707,0.9939024390243902,0.4329268292682927,0.74,0.74,0.72,0.41999999999999993,0.6938311688311689,0.7301587301587302,0.4623539505892447,0.18267135914194738,0.725609756097561,0.6585365853658537,1.4329268292682926,1.3719512195121952,5.411019033132627,7.15363786185111,0.16666666666666666,0.0,0.20490888680598945,-0.20490888680598945
10,0.74,0.72,0.7,0.42,0.9817073170731707,0.9817073170731707,0.9878048780487805,0.4329268292682927,0.74,0.72,0.7,0.41999999999999993,0.6938311688311689,0.7121031746031745,0.4642213642213642,0.18267135914194738,0.7317073170731707,0.676829268292683,1.6829268292682926,1.579268292682927,6.414339699543328,8.348672844694402,0.0,-0.020000000000000018,0.22186150778801553,-0.1818615077880155
