numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5833333333333334,0.6666666666666666,0.5625,0.3125,0.8554216867469879,0.8795180722891566,0.8614457831325302,0.4939759036144578,0.5833333333333334,0.6666666666666666,0.5625,0.3125,0.5086970899470898,0.6316209716209716,0.5553539597657245,0.20065717891804846,0.3192771084337349,0.30120481927710846,0.1746987951807229,0.18072289156626506,0.37950482680307457,0.3286598825714157,0.75,0.08333333333333326,1.04006862052494,-1.2067352871916066
2,0.6041666666666666,0.6875,0.5625,0.3125,0.8313253012048193,0.8554216867469879,0.8795180722891566,0.4939759036144578,0.6041666666666666,0.6875,0.5625,0.3125,0.4672694140734511,0.6344444444444445,0.42162698412698413,0.20065717891804846,0.4879518072289157,0.463855421686747,0.3132530120481928,0.3072289156626506,0.8194793337739505,0.7841502771699572,0.75,0.08333333333333337,0.5500686205249401,-0.7167352871916066
3,0.6875,0.6875,0.6041666666666666,0.3125,0.927710843373494,0.927710843373494,0.9578313253012049,0.4939759036144578,0.6875,0.6875,0.6041666666666666,0.3125,0.68482905982906,0.702035002035002,0.5900974025974025,0.20065717891804846,0.5903614457831325,0.5662650602409639,0.5120481927710844,0.4879518072289157,1.3252911969959766,1.1586305274088178,0.125,0.0,0.44216077426046935,-0.44216077426046935
4,0.6458333333333334,0.6875,0.6666666666666666,0.3125,0.9337349397590361,0.963855421686747,0.9518072289156626,0.4939759036144578,0.6458333333333334,0.6875,0.6666666666666666,0.3125,0.6643341617479549,0.6791025641025641,0.6173396454098209,0.20065717891804846,0.6265060240963856,0.6867469879518072,0.6807228915662651,0.7650602409638554,1.9667290771227555,1.523328140256851,0.1,0.04166666666666663,0.33299658128883675,-0.4163299146221701
5,0.6458333333333334,0.7083333333333334,0.75,0.3125,0.9457831325301205,0.963855421686747,0.9879518072289156,0.4939759036144578,0.6458333333333334,0.7083333333333334,0.75,0.3125,0.5600759561739598,0.7195906432748539,0.7500943800943801,0.20065717891804846,0.6506024096385542,0.7289156626506024,0.8975903614457831,0.927710843373494,2.590484172464216,2.279486605252627,0.4444444444444444,0.0625,0.25726946395752603,-0.38226946395752603
6,0.6666666666666666,0.7291666666666666,0.7083333333333334,0.3125,0.9759036144578314,0.963855421686747,0.9759036144578314,0.4939759036144578,0.6666666666666666,0.7291666666666665,0.7083333333333334,0.3125,0.6624338624338625,0.7048582995951417,0.6519493177387914,0.20065717891804846,0.7108433734939759,0.7530120481927711,1.0662650602409638,1.144578313253012,3.1732166124829684,3.1997400248349357,0.8,0.0625,0.19383567612043134,-0.31883567612043134
7,0.6666666666666666,0.6666666666666666,0.6875,0.3125,0.963855421686747,0.9578313253012049,0.9819277108433735,0.4939759036144578,0.6666666666666666,0.6666666666666666,0.6875,0.3125,0.6275132275132275,0.6745098039215686,0.6554187192118226,0.20065717891804846,0.7168674698795181,0.7409638554216867,1.2108433734939759,1.3614457831325302,3.9849476391643424,4.386564477596159,0.16666666666666666,0.0,0.24002083116364642,-0.24002083116364642
8,0.6875,0.6458333333333334,0.5833333333333334,0.3125,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.4939759036144578,0.6875,0.6458333333333334,0.5833333333333334,0.3125,0.6719667943805875,0.6369858337600273,0.539083820662768,0.20065717891804846,0.7168674698795181,0.7590361445783133,1.3674698795180722,1.5301204819277108,4.934558409359185,5.339513354179174,0.16666666666666666,-0.04166666666666663,0.26487969177229,-0.18154635843895675
9,0.7291666666666666,0.6875,0.7291666666666666,0.3125,0.9819277108433735,0.9759036144578314,1.0,0.4939759036144578,0.7291666666666665,0.6875,0.7291666666666665,0.3125,0.7353853853853853,0.6602396514161221,0.7092410144134282,0.20065717891804846,0.7349397590361446,0.7710843373493976,1.5240963855421688,1.6506024096385543,5.750543027205279,6.6400392605837215,0.16666666666666666,-0.04166666666666663,0.25126858066117896,-0.1679352473278456
10,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.3125,0.9819277108433735,0.9819277108433735,0.9819277108433735,0.4939759036144578,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.3125,0.6624338624338625,0.6344331998032188,0.6067610467610468,0.20065717891804846,0.7168674698795181,0.7650602409638554,1.680722891566265,1.8373493975903614,6.90064382433256,7.532988591318849,0.16666666666666666,0.0,0.19802083116364644,-0.19802083116364644
11,0.6666666666666666,0.6875,0.6666666666666666,0.3125,0.9879518072289156,0.9698795180722891,0.9879518072289156,0.4939759036144578,0.6666666666666666,0.6875,0.6666666666666666,0.3125,0.6973183491439069,0.669618384988404,0.6357623857623856,0.20065717891804846,0.7530120481927711,0.7650602409638554,1.9096385542168675,2.0180722891566263,7.699036944315469,8.739703899457021,0.0,0.02083333333333337,0.15975370816419923,-0.20142037483086586
12,0.6666666666666666,0.7291666666666666,0.7083333333333334,0.3125,0.9939759036144579,0.9819277108433735,0.9939759036144579,0.4939759036144578,0.6666666666666666,0.7291666666666665,0.7083333333333334,0.3125,0.6913270637408568,0.731139122315593,0.6557375109099246,0.20065717891804846,0.7530120481927711,0.7771084337349398,2.0963855421686746,2.1867469879518073,8.666264209752677,10.048407924695013,0.8,0.0625,0.1121690094537647,-0.2371690094537647
13,0.6875,0.7291666666666666,0.6666666666666666,0.3125,1.0,0.9759036144578314,1.0,0.4939759036144578,0.6875,0.7291666666666665,0.6666666666666666,0.3125,0.6722222222222222,0.731139122315593,0.6393536393536393,0.20065717891804846,0.7831325301204819,0.7650602409638554,2.2771084337349397,2.3373493975903616,9.075619576875727,11.719973069222982,0.25,0.04166666666666663,0.1162309246896327,-0.19956425802296607
14,0.7291666666666666,0.7083333333333334,0.7708333333333334,0.3125,1.0,1.0,0.9939759036144579,0.4939759036144578,0.7291666666666665,0.7083333333333334,0.7708333333333333,0.3125,0.7492562542258283,0.6913197462893202,0.7593499093499093,0.20065717891804846,0.7650602409638554,0.7650602409638554,2.4036144578313254,2.5301204819277108,10.423674538843287,13.365286090211514,0.0,-0.02083333333333326,0.18232946573995681,-0.14066279907329007
15,0.7291666666666666,0.7083333333333334,0.6458333333333334,0.3125,1.0,0.9879518072289156,1.0,0.4939759036144578,0.7291666666666665,0.7083333333333334,0.6458333333333334,0.3125,0.731139122315593,0.6913197462893202,0.6324106703613345,0.20065717891804846,0.7530120481927711,0.7469879518072289,2.602409638554217,2.6626506024096384,12.005743900963292,15.326619419826054,0.0,-0.02083333333333326,0.1776627990732901,-0.13599613240662348
16,0.7083333333333334,0.7291666666666666,0.7291666666666666,0.3125,1.0,0.9939759036144579,0.9939759036144579,0.4939759036144578,0.7083333333333334,0.7291666666666665,0.7291666666666665,0.3125,0.7198412698412698,0.7204440720569752,0.7388888888888889,0.20065717891804846,0.7771084337349398,0.7349397590361446,2.8132530120481927,2.7650602409638556,13.29772410161334,17.895228049355328,0.0,0.02083333333333326,0.13191279907329007,-0.1735794657399568
17,0.7291666666666666,0.7083333333333334,0.7083333333333334,0.3125,1.0,0.9819277108433735,1.0,0.4939759036144578,0.7291666666666665,0.7083333333333334,0.7083333333333334,0.3125,0.7301994301994301,0.6913197462893202,0.7101190476190475,0.20065717891804846,0.7530120481927711,0.7530120481927711,3.0301204819277108,3.072289156626506,14.944692524635258,19.79900282257329,0.0,-0.02083333333333326,0.14945094959548058,-0.10778428292881384
18,0.7083333333333334,0.6875,0.7083333333333334,0.3125,1.0,0.9879518072289156,1.0,0.4939759036144578,0.7083333333333334,0.6875,0.7083333333333334,0.3125,0.7074074074074074,0.6430438842203547,0.6716606330641418,0.20065717891804846,0.7530120481927711,0.7530120481927711,3.180722891566265,3.2349397590361444,16.77774339041423,21.850653585437037,0.0,-0.02083333333333337,0.16677391018440121,-0.12510724351773458
19,0.6875,0.6875,0.7083333333333334,0.3125,1.0,0.9819277108433735,1.0,0.4939759036144578,0.6875,0.6875,0.7083333333333334,0.3125,0.7279580797836376,0.6430438842203547,0.7246031746031747,0.20065717891804846,0.7530120481927711,0.7590361445783133,3.355421686746988,3.4457831325301207,18.879511480879028,23.82733930797362,0.25,0.0,0.1332456140350877,-0.1332456140350877
20,0.6875,0.7291666666666666,0.7291666666666666,0.3125,1.0,0.9819277108433735,1.0,0.4939759036144578,0.6875,0.7291666666666665,0.7291666666666665,0.3125,0.7279580797836376,0.731139122315593,0.7284900284900284,0.20065717891804846,0.7409638554216867,0.7530120481927711,3.4156626506024095,3.608433734939759,20.739125384233425,26.746962338684074,0.5,0.04166666666666663,0.0662711733131076,-0.14960450664644098
