numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.6976744186046512,0.6046511627906976,0.627906976744186,0.3953488372093023,0.8245614035087719,0.8070175438596491,0.8654970760233918,0.4444444444444444,0.6976744186046512,0.6046511627906976,0.627906976744186,0.3953488372093023,0.6777777777777779,0.6277777777777778,0.6404320987654321,0.20744810744810743,0.2982456140350877,0.22807017543859648,0.12280701754385964,0.03508771929824561,0.4297189326990864,0.4169261629573026,0.75,-0.09302325581395354,1.2333511927255254,-1.0473046810976185
2,0.6511627906976745,0.6046511627906976,0.6511627906976745,0.3953488372093023,0.8011695906432749,0.7953216374269005,0.847953216374269,0.4444444444444444,0.6511627906976745,0.6046511627906976,0.6511627906976745,0.3953488372093023,0.6100961538461539,0.48784313725490197,0.49499999999999994,0.20744810744810743,0.4327485380116959,0.391812865497076,0.21637426900584794,0.05847953216374269,0.920525245993501,0.8754088087460131,0.1,-0.04651162790697683,0.6813215276107236,-0.5882982717967702
3,0.7441860465116279,0.6744186046511628,0.7674418604651163,0.3953488372093023,0.8888888888888888,0.8538011695906432,0.9415204678362573,0.4444444444444444,0.7441860465116278,0.6744186046511628,0.7674418604651162,0.3953488372093023,0.75,0.7379629629629628,0.6405707196029776,0.20744810744810743,0.5380116959064327,0.47368421052631576,0.36257309941520466,0.1695906432748538,1.5448020685336161,1.5289464516490676,0.4444444444444444,-0.06976744186046513,0.534759204735977,-0.3952243210150468
4,0.7209302325581395,0.627906976744186,0.7209302325581395,0.3953488372093023,0.8947368421052632,0.9122807017543859,0.9473684210526315,0.4444444444444444,0.7209302325581395,0.627906976744186,0.7209302325581395,0.3953488372093023,0.7098412698412698,0.6549906498363721,0.7132756132756133,0.20744810744810743,0.6198830409356725,0.5146198830409356,0.5789473684210527,0.3216374269005848,2.3429379632316243,2.23232315180888,1.125,-0.09302325581395343,0.4699110602028848,-0.28386454857497784
5,0.7209302325581395,0.7209302325581395,0.7209302325581395,0.3953488372093023,0.9064327485380117,0.9415204678362573,0.9766081871345029,0.4444444444444444,0.7209302325581395,0.7209302325581395,0.7209302325581395,0.3953488372093023,0.7098412698412698,0.7072068612391192,0.5975308641975309,0.20744810744810743,0.6432748538011696,0.5555555555555556,0.7251461988304093,0.47953216374269003,2.994364433943334,2.8855282590783107,0.16666666666666666,0.0,0.30765116036872164,-0.30765116036872164
6,0.7441860465116279,0.6744186046511628,0.9069767441860465,0.3953488372093023,0.9239766081871345,0.9239766081871345,0.9649122807017544,0.4444444444444444,0.7441860465116278,0.6744186046511628,0.9069767441860465,0.3953488372093023,0.7031470321792902,0.6428571428571428,0.9282051282051281,0.20744810744810743,0.672514619883041,0.5847953216374269,0.8713450292397661,0.6783625730994152,3.55899980300242,3.685838062998499,0.8,-0.06976744186046513,0.3371352782848322,-0.19760039456390205
7,0.7441860465116279,0.7674418604651163,0.7906976744186046,0.3953488372093023,0.9415204678362573,0.9532163742690059,0.9941520467836257,0.4444444444444444,0.7441860465116278,0.7674418604651162,0.7906976744186046,0.3953488372093023,0.7210957501280082,0.7805555555555554,0.6515873015873015,0.20744810744810743,0.6900584795321637,0.6081871345029239,1.0467836257309941,0.783625730994152,4.709905425992987,4.363256635421328,0.0,0.023255813953488413,0.21890404003975006,-0.26541566794672683
8,0.7441860465116279,0.7209302325581395,0.7441860465116279,0.3953488372093023,0.935672514619883,0.9766081871345029,0.9824561403508771,0.4444444444444444,0.7441860465116278,0.7209302325581395,0.7441860465116278,0.3953488372093023,0.6799945265462507,0.7097105508870215,0.7218944099378882,0.20744810744810743,0.7017543859649122,0.6257309941520468,1.128654970760234,0.8947368421052632,6.0586855649516345,5.09310325589265,0.0,-0.023255813953488413,0.24791566794672684,-0.20140404003975007
9,0.7674418604651163,0.7209302325581395,0.7441860465116279,0.3953488372093023,0.935672514619883,0.9824561403508771,0.9883040935672515,0.4444444444444444,0.7674418604651162,0.7209302325581395,0.7441860465116278,0.3953488372093023,0.7342680308197549,0.7082251082251082,0.7014957264957266,0.20744810744810743,0.7134502923976608,0.6432748538011696,1.3508771929824561,1.0526315789473684,7.397424078176028,6.363004175997443,0.5,-0.04651162790697683,0.22134441899033128,-0.1283211631763778
10,0.7441860465116279,0.7209302325581395,0.7674418604651163,0.3953488372093023,0.9415204678362573,0.9824561403508771,0.9883040935672515,0.4444444444444444,0.7441860465116278,0.7209302325581395,0.7674418604651162,0.3953488372093023,0.6799945265462507,0.7082251082251082,0.6224989357173265,0.20744810744810743,0.7076023391812866,0.6549707602339181,1.5263157894736843,1.2280701754385965,9.070525630663102,7.558529401609046,0.0,-0.023255813953488413,0.22341566794672688,-0.1769040400397501
11,0.7674418604651163,0.6976744186046512,0.7441860465116279,0.3953488372093023,0.9532163742690059,0.9824561403508771,0.9883040935672515,0.4444444444444444,0.7674418604651162,0.6976744186046512,0.7441860465116278,0.3953488372093023,0.7342680308197549,0.6570409982174689,0.7042145593869731,0.20744810744810743,0.695906432748538,0.6608187134502924,1.7076023391812865,1.3801169590643274,10.453190263704458,9.169110235386858,1.3333333333333333,-0.06976744186046513,0.24051525898434056,-0.1009803752634103
12,0.7441860465116279,0.7209302325581395,0.7674418604651163,0.3953488372093023,0.9473684210526315,0.9824561403508771,1.0,0.4444444444444444,0.7441860465116278,0.7209302325581395,0.7674418604651162,0.3953488372093023,0.6799945265462507,0.7082251082251082,0.7434767025089606,0.20744810744810743,0.7017543859649122,0.6900584795321637,1.8070175438596492,1.5497076023391814,12.231372266012308,10.607047558173686,0.0,-0.023255813953488413,0.20708233461339354,-0.16057070670641677
13,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.3953488372093023,0.9532163742690059,0.9883040935672515,0.9941520467836257,0.4444444444444444,0.7674418604651162,0.7674418604651162,0.7674418604651162,0.3953488372093023,0.7342680308197549,0.76164095371669,0.7210758377425045,0.20744810744810743,0.7017543859649122,0.6783625730994152,1.9532163742690059,1.6666666666666667,14.152872528899149,12.119058655100064,0.5,0.0,0.13984644287883088,-0.13984644287883088
14,0.7441860465116279,0.7441860465116279,0.7906976744186046,0.3953488372093023,0.9707602339181286,0.9824561403508771,0.9824561403508771,0.4444444444444444,0.7441860465116278,0.7441860465116278,0.7906976744186046,0.3953488372093023,0.6796703296703298,0.7477272727272727,0.7508799171842649,0.20744810744810743,0.7192982456140351,0.6900584795321637,2.111111111111111,1.7836257309941521,15.660277287304304,14.223043581087415,0.25,0.0,0.16116279069767442,-0.16116279069767442
