numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7884615384615384,0.8076923076923077,0.6730769230769231,0.4807692307692308,0.8580246913580247,0.8271604938271605,0.8148148148148148,0.43209876543209874,0.7884615384615384,0.8076923076923077,0.6730769230769231,0.4807692307692308,0.7172465477419038,0.6736111111111112,0.599960254372019,0.2431504485852312,0.345679012345679,0.2716049382716049,0.2037037037037037,0.09876543209876543,0.3798743630194796,0.41423384168482197,0.0,0.019230769230769273,1.0858897007099217,-1.12435123917146
2,0.75,0.7307692307692307,0.7307692307692307,0.4807692307692308,0.8580246913580247,0.8024691358024691,0.8765432098765432,0.43209876543209874,0.75,0.7307692307692306,0.7307692307692306,0.4807692307692308,0.7011178861788618,0.6282407407407408,0.6009259259259259,0.2431504485852312,0.46296296296296297,0.41358024691358025,0.29012345679012347,0.2222222222222222,0.8554404211986174,0.8908477332392174,0.0,-0.019230769230769273,0.6452327990557778,-0.6067712605942392
3,0.8269230769230769,0.75,0.7307692307692307,0.4807692307692308,0.9259259259259259,0.9012345679012346,0.9197530864197531,0.43209876543209874,0.8269230769230769,0.75,0.7307692307692306,0.4807692307692308,0.8141764885185937,0.6188427800269906,0.6754548666313371,0.2431504485852312,0.5308641975308642,0.49382716049382713,0.35802469135802467,0.2839506172839506,1.3361415435494504,1.3830341519277898,1.125,-0.07692307692307687,0.5122305371713489,-0.358384383325195
4,0.8653846153846154,0.75,0.7307692307692307,0.4807692307692308,0.9320987654320988,0.9135802469135802,0.9629629629629629,0.43209876543209874,0.8653846153846154,0.75,0.7307692307692306,0.4807692307692308,0.7746910997684991,0.6219248094248094,0.5999225706542779,0.2431504485852312,0.5740740740740741,0.5740740740740741,0.43209876543209874,0.4444444444444444,1.9573148894135415,1.8776106222391769,4.166666666666667,-0.11538461538461542,0.4578927117537528,-0.22712348098452204
5,0.8846153846153846,0.7884615384615384,0.6730769230769231,0.4807692307692308,0.9444444444444444,0.9382716049382716,0.9876543209876543,0.43209876543209874,0.8846153846153846,0.7884615384615384,0.6730769230769231,0.4807692307692308,0.7836433718786661,0.6618386243386243,0.6382508558979146,0.2431504485852312,0.5802469135802469,0.6234567901234568,0.5740740740740741,0.5308641975308642,2.5836933978572385,2.59994527243764,2.2857142857142856,-0.09615384615384615,0.3952460577728391,-0.20293836546514682
6,0.8461538461538461,0.7692307692307693,0.8076923076923077,0.4807692307692308,0.9444444444444444,0.9506172839506173,0.9629629629629629,0.43209876543209874,0.8461538461538461,0.7692307692307693,0.8076923076923077,0.4807692307692308,0.7656820907594901,0.6627803168050845,0.7773897017318071,0.2431504485852312,0.6296296296296297,0.6481481481481481,0.7530864197530864,0.5925925925925926,3.4636120908324384,3.1048223156874193,2.25,-0.07692307692307687,0.31848672275325873,-0.1646405689071049
7,0.8076923076923077,0.7884615384615384,0.7692307692307693,0.4807692307692308,0.9691358024691358,0.9567901234567902,0.9814814814814815,0.43209876543209874,0.8076923076923077,0.7884615384615384,0.7692307692307693,0.4807692307692308,0.6812988353236031,0.6903962786315727,0.702515015015015,0.2431504485852312,0.6234567901234568,0.6666666666666666,0.9012345679012346,0.7098765432098766,4.115812707254061,3.888304266266325,0.0,-0.019230769230769273,0.22472467371665675,-0.18626313525511826
8,0.8076923076923077,0.8076923076923077,0.7692307692307693,0.4807692307692308,0.9691358024691358,0.9506172839506173,0.9876543209876543,0.43209876543209874,0.8076923076923077,0.8076923076923077,0.7692307692307693,0.4807692307692308,0.6812988353236031,0.6994052876405817,0.6655083655083655,0.2431504485852312,0.654320987654321,0.6728395061728395,1.0987654320987654,0.8950617283950617,5.115165492471147,4.678212143632265,0.5,0.0,0.17580497273560128,-0.17580497273560128
9,0.8461538461538461,0.7692307692307693,0.8846153846153846,0.4807692307692308,0.9691358024691358,0.9629629629629629,0.9814814814814815,0.43209876543209874,0.8461538461538461,0.7692307692307693,0.8846153846153846,0.4807692307692308,0.6988426949727259,0.6665867548220489,0.8464231846584788,0.2431504485852312,0.6604938271604939,0.6728395061728395,1.2222222222222223,0.9814814814814815,6.4603390148489845,5.551381323035323,2.25,-0.07692307692307687,0.2640422783088143,-0.1101961244626605
10,0.8461538461538461,0.7692307692307693,0.8269230769230769,0.4807692307692308,0.9691358024691358,0.9814814814814815,0.9938271604938271,0.43209876543209874,0.8461538461538461,0.7692307692307693,0.8269230769230769,0.4807692307692308,0.71767355590885,0.6845761728114669,0.8047027290448344,0.2431504485852312,0.654320987654321,0.691358024691358,1.3148148148148149,1.1049382716049383,7.700407856887544,6.3787440220381315,2.25,-0.07692307692307687,0.25315338941992543,-0.09930723557377158
