numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7111111111111111,0.7111111111111111,0.6,0.3333333333333333,0.8402366863905325,0.8579881656804734,0.863905325443787,0.46153846153846156,0.7111111111111111,0.7111111111111111,0.6,0.3333333333333333,0.5340236340236341,0.6058333333333332,0.3300653594771242,0.19151138716356106,0.2781065088757396,0.3076923076923077,0.11834319526627218,0.16568047337278108,0.3950107480176487,0.37178960564508484,0.07142857142857142,0.0,1.1429699661794872,-1.1429699661794872
2,0.6222222222222222,0.7111111111111111,0.6444444444444445,0.3333333333333333,0.8757396449704142,0.8520710059171598,0.8994082840236687,0.46153846153846156,0.6222222222222222,0.7111111111111111,0.6444444444444445,0.3333333333333333,0.40692640692640686,0.6058333333333332,0.37017543859649127,0.19151138716356106,0.41420118343195267,0.46745562130177515,0.24260355029585798,0.27218934911242604,0.8698636861125683,0.9010723773185049,0.9,0.0888888888888889,0.5412731024405835,-0.7190508802183613
3,0.6666666666666666,0.6888888888888889,0.6666666666666666,0.3333333333333333,0.9289940828402367,0.9171597633136095,0.8994082840236687,0.46153846153846156,0.6666666666666666,0.6888888888888889,0.6666666666666666,0.3333333333333333,0.44903926482873846,0.6133333333333333,0.37857142857142856,0.19151138716356106,0.4911242603550296,0.5325443786982249,0.31952662721893493,0.3727810650887574,1.386566246268353,1.347218510362635,0.0,0.022222222222222254,0.4352723285279695,-0.479716772972414
4,0.7333333333333333,0.7111111111111111,0.7777777777777778,0.3333333333333333,0.9171597633136095,0.9526627218934911,0.9467455621301775,0.46153846153846156,0.7333333333333333,0.7111111111111111,0.7777777777777778,0.3333333333333333,0.4505279034690799,0.6560683760683761,0.6234126984126984,0.19151138716356106,0.5266272189349113,0.5562130177514792,0.47928994082840237,0.44970414201183434,2.1139728975303975,2.12683234797816,0.0,-0.022222222222222143,0.38264216163593934,-0.33819771719149483
5,0.7111111111111111,0.7555555555555555,0.7333333333333333,0.3333333333333333,0.9349112426035503,0.9467455621301775,0.9585798816568047,0.46153846153846156,0.7111111111111111,0.7555555555555555,0.7333333333333333,0.3333333333333333,0.48510101010101003,0.7081720430107526,0.6212121212121212,0.19151138716356106,0.5739644970414202,0.5798816568047337,0.5857988165680473,0.6094674556213018,2.9293728637941143,2.9176733447805914,0.125,0.0444444444444444,0.27543178920028155,-0.36432067808917046
6,0.7111111111111111,0.7111111111111111,0.7555555555555555,0.3333333333333333,0.9704142011834319,0.9526627218934911,1.0,0.46153846153846156,0.7111111111111111,0.7111111111111111,0.7555555555555555,0.3333333333333333,0.39497234791352437,0.6256520924656251,0.6713513513513514,0.19151138716356106,0.6153846153846154,0.5976331360946746,0.7041420118343196,0.7337278106508875,3.6250649314628247,3.6604003434798065,0.125,0.0,0.28652704810005625,-0.28652704810005625
7,0.6444444444444445,0.7111111111111111,0.7777777777777778,0.3333333333333333,0.9822485207100592,0.9704142011834319,0.9822485207100592,0.46153846153846156,0.6444444444444445,0.7111111111111111,0.7777777777777778,0.3333333333333333,0.4511217948717949,0.6160975609756096,0.5638888888888888,0.19151138716356106,0.621301775147929,0.6272189349112426,0.9112426035502958,0.863905325443787,4.265536054981919,4.427291970479706,0.8,0.06666666666666665,0.1726552814753027,-0.30598861480863604
8,0.7333333333333333,0.7111111111111111,0.7111111111111111,0.3333333333333333,0.9881656804733728,0.9644970414201184,0.9704142011834319,0.46153846153846156,0.7333333333333333,0.7111111111111111,0.7111111111111111,0.3333333333333333,0.4949723479135244,0.5838402457757297,0.4219415408439799,0.19151138716356106,0.6272189349112426,0.6272189349112426,1.0650887573964498,0.9704142011834319,5.181220117783813,5.585199472584192,0.0,-0.022222222222222143,0.24233159459373144,-0.19788715014928698
9,0.6888888888888889,0.6666666666666666,0.6888888888888889,0.3333333333333333,0.9822485207100592,0.9704142011834319,0.9881656804733728,0.46153846153846156,0.6888888888888889,0.6666666666666666,0.6888888888888889,0.3333333333333333,0.47501693766937675,0.5579761904761905,0.5658509017642144,0.19151138716356106,0.6449704142011834,0.6272189349112426,1.1893491124260356,1.106508875739645,6.344334442806098,6.7842719982878865,0.0,-0.022222222222222254,0.2465310505248282,-0.2020866060803837
10,0.7111111111111111,0.6888888888888889,0.7777777777777778,0.3333333333333333,0.9822485207100592,0.9822485207100592,0.9940828402366864,0.46153846153846156,0.7111111111111111,0.6888888888888889,0.7777777777777778,0.3333333333333333,0.48510101010101003,0.568509235322768,0.666902103744209,0.19151138716356106,0.6331360946745562,0.6272189349112426,1.3550295857988166,1.2307692307692308,7.587743725310981,7.751749995360512,0.0,-0.022222222222222254,0.23564216163593926,-0.19119771719149486
