numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.6071428571428571,0.42857142857142855,0.4642857142857143,0.5,0.8064516129032258,0.8440860215053764,0.8655913978494624,0.4838709677419355,0.6071428571428571,0.42857142857142855,0.4642857142857143,0.5,0.5540998217468805,0.45555555555555555,0.47407407407407404,0.31721611721611714,0.25268817204301075,0.25806451612903225,0.05913978494623656,0.10215053763440861,0.43509690168926046,0.3803833015239638,1.4545454545454546,-0.1785714285714285,1.399973582662895,-1.0428307255200377
2,0.6428571428571429,0.5,0.5357142857142857,0.5,0.8172043010752689,0.8279569892473119,0.8494623655913979,0.4838709677419355,0.6428571428571429,0.5,0.5357142857142857,0.5,0.5830409356725146,0.5355555555555555,0.4166666666666666,0.31721611721611714,0.3978494623655914,0.40860215053763443,0.22580645161290322,0.15053763440860216,0.9744251949867035,0.8227150036296806,1.125,-0.1428571428571429,0.8377961581763347,-0.5520818724620491
3,0.6785714285714286,0.5,0.5714285714285714,0.5,0.8978494623655914,0.9139784946236559,0.9516129032258065,0.4838709677419355,0.6785714285714286,0.5,0.5714285714285714,0.5,0.6063725490196079,0.43777777777777777,0.5222222222222223,0.31721611721611714,0.5268817204301075,0.4838709677419355,0.3924731182795699,0.3118279569892473,1.542908309159155,1.3662582685801352,1.7777777777777777,-0.1785714285714286,0.7254084838011352,-0.368265626658278
4,0.6785714285714286,0.5714285714285714,0.6428571428571429,0.5,0.9193548387096774,0.9301075268817204,0.9516129032258065,0.4838709677419355,0.6785714285714286,0.5714285714285714,0.6428571428571429,0.5,0.6867753623188406,0.5285947712418301,0.5946570972886763,0.31721611721611714,0.5967741935483871,0.543010752688172,0.553763440860215,0.41935483870967744,2.245089255570337,1.9284897031457282,0.5714285714285714,-0.1071428571428572,0.5415498263916152,-0.32726411210590095
5,0.7142857142857143,0.6785714285714286,0.6428571428571429,0.5,0.9623655913978495,0.9516129032258065,0.989247311827957,0.4838709677419355,0.7142857142857143,0.6785714285714286,0.6428571428571429,0.5,0.7236111111111111,0.6619281045751634,0.48931623931623935,0.31721611721611714,0.6290322580645161,0.5913978494623656,0.7043010752688172,0.6344086021505376,2.8545397292958956,2.473778000947136,0.0,-0.0357142857142857,0.3887970664383358,-0.3173684950097644
6,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.5,0.9623655913978495,0.9516129032258065,0.978494623655914,0.4838709677419355,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.5,0.6861111111111112,0.7084256891162263,0.6512210012210012,0.31721611721611714,0.6505376344086021,0.6290322580645161,0.8924731182795699,0.8709677419354839,3.4074503565274106,3.2299804423972938,0.16666666666666666,0.0,0.33479761532815583,-0.33479761532815583
7,0.7142857142857143,0.6785714285714286,0.7142857142857143,0.5,0.967741935483871,0.9731182795698925,0.989247311827957,0.4838709677419355,0.7142857142857143,0.6785714285714286,0.7142857142857143,0.5,0.7007936507936509,0.7084256891162263,0.560405643738977,0.31721611721611714,0.6881720430107527,0.6344086021505376,1.0483870967741935,0.989247311827957,4.25042255981553,3.8143894135495073,0.0,-0.0357142857142857,0.3327970664383358,-0.2613684950097644
8,0.6428571428571429,0.6428571428571429,0.7857142857142857,0.5,0.9731182795698925,0.9731182795698925,0.9838709677419355,0.4838709677419355,0.6428571428571429,0.6428571428571429,0.7857142857142857,0.5,0.57,0.626388888888889,0.6699275362318841,0.31721611721611714,0.7096774193548387,0.6827956989247311,1.1935483870967742,1.2258064516129032,5.228089594169465,4.517938882211155,0.16666666666666666,0.0,0.2939642819948225,-0.2939642819948225
9,0.6785714285714286,0.6428571428571429,0.7857142857142857,0.5,0.9838709677419355,0.9838709677419355,0.989247311827957,0.4838709677419355,0.6785714285714286,0.6428571428571429,0.7857142857142857,0.5,0.681219806763285,0.5264957264957265,0.7303418803418803,0.31721611721611714,0.7150537634408602,0.6989247311827957,1.3763440860215055,1.456989247311828,6.083127006246557,5.270967952388385,0.0,-0.0357142857142857,0.2665662837796793,-0.19513771235110786
10,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.5,0.978494623655914,0.9838709677419355,0.978494623655914,0.4838709677419355,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.5,0.681219806763285,0.5264957264957265,0.5980599647266314,0.31721611721611714,0.7096774193548387,0.7150537634408602,1.5806451612903225,1.7096774193548387,6.980407422501126,6.260599931811639,0.0,-0.0357142857142857,0.25567739489079033,-0.18424882346221896
11,0.6428571428571429,0.6785714285714286,0.7142857142857143,0.5,0.9838709677419355,0.989247311827957,0.9838709677419355,0.4838709677419355,0.6428571428571429,0.6785714285714286,0.7142857142857143,0.5,0.5652777777777778,0.581111111111111,0.5548500881834215,0.31721611721611714,0.7043010752688172,0.7365591397849462,1.6774193548387097,1.881720430107527,7.897090583151759,7.2741026948173255,0.0,0.0357142857142857,0.12461565762049842,-0.19604422904906982
