numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.673469387755102,0.6326530612244898,0.42857142857142855,0.3877551020408163,0.8303030303030303,0.8303030303030303,0.8545454545454545,0.4303030303030303,0.673469387755102,0.6326530612244898,0.42857142857142855,0.3877551020408163,0.6730906072106261,0.6111214856312895,0.3635627530364372,0.1730019493177388,0.32727272727272727,0.2787878787878788,0.15757575757575756,0.10909090909090909,0.4290089891544436,0.4121955352902062,0.1,-0.04081632653061218,1.1478226737928572,-1.0661900207316326
2,0.5510204081632653,0.5510204081632653,0.6326530612244898,0.3877551020408163,0.806060606060606,0.8424242424242424,0.8787878787878788,0.4303030303030303,0.5510204081632653,0.5510204081632653,0.6326530612244898,0.3877551020408163,0.47825567502986854,0.5076181987946694,0.476062091503268,0.1730019493177388,0.4727272727272727,0.4303030303030303,0.3393939393939394,0.21818181818181817,0.9268892530945393,0.8385577855023639,0.0625,0.0,0.6499999999999999,-0.6499999999999999
3,0.7142857142857143,0.6326530612244898,0.6530612244897959,0.3877551020408163,0.9090909090909091,0.9151515151515152,0.9515151515151515,0.4303030303030303,0.7142857142857143,0.6326530612244898,0.6530612244897959,0.3877551020408163,0.7009315163015352,0.6136632430750079,0.5579319467250502,0.1730019493177388,0.5212121212121212,0.5575757575757576,0.42424242424242425,0.42424242424242425,1.5185914855319471,1.2850089167020131,1.5,-0.08163265306122447,0.5089097017945141,-0.345644395672065
4,0.7142857142857143,0.5918367346938775,0.6530612244897959,0.3877551020408163,0.9030303030303031,0.9212121212121213,0.9575757575757575,0.4303030303030303,0.7142857142857143,0.5918367346938775,0.6530612244897959,0.3877551020408163,0.6631295333382621,0.5853567853567854,0.6145833333333334,0.1730019493177388,0.6060606060606061,0.6181818181818182,0.6060606060606061,0.5333333333333333,2.1633806313584794,1.8880570379294537,1.7857142857142858,-0.12244897959183676,0.5209921663637728,-0.27609420718009925
5,0.7346938775510204,0.5714285714285714,0.7142857142857143,0.3877551020408163,0.9333333333333333,0.9575757575757575,0.9818181818181818,0.4303030303030303,0.7346938775510203,0.5714285714285714,0.7142857142857143,0.3877551020408163,0.6807422969187676,0.4381725103834638,0.6597853535353535,0.1730019493177388,0.6666666666666666,0.6242424242424243,0.8,0.7393939393939394,2.643842666339084,2.483573708326617,4.9,-0.16326530612244905,0.49376361807604696,-0.16723300583114897
6,0.7551020408163265,0.5510204081632653,0.7142857142857143,0.3877551020408163,0.9515151515151515,0.9575757575757575,0.9575757575757575,0.4303030303030303,0.7551020408163265,0.5510204081632653,0.7142857142857143,0.3877551020408163,0.7156268568033274,0.4286647992530346,0.6475081699346407,0.1730019493177388,0.6727272727272727,0.6545454545454545,0.9696969696969697,0.9151515151515152,3.4784674631290415,3.135908957739514,6.75,-0.20408163265306123,0.5172992751132974,-0.10913600980717497
7,0.7346938775510204,0.673469387755102,0.6530612244897959,0.3877551020408163,0.9757575757575757,0.9696969696969697,0.9878787878787879,0.4303030303030303,0.7346938775510203,0.673469387755102,0.6530612244897959,0.3877551020408163,0.6926470588235295,0.5905637254901961,0.5390756302521008,0.1730019493177388,0.6727272727272727,0.6848484848484848,1.1636363636363636,1.1090909090909091,4.015106221216751,3.600888202156952,0.5714285714285714,-0.061224489795918435,0.30843399287759676,-0.18598501328576003
8,0.7142857142857143,0.6326530612244898,0.7551020408163265,0.3877551020408163,0.9696969696969697,0.9757575757575757,0.9818181818181818,0.4303030303030303,0.7142857142857143,0.6326530612244898,0.7551020408163265,0.3877551020408163,0.6372718784483491,0.5583216619981326,0.6427133903414739,0.1730019493177388,0.6848484848484848,0.7212121212121212,1.2787878787878788,1.303030303030303,4.870022225868539,4.5753356989862555,1.5,-0.08163265306122447,0.3047430351278474,-0.14147772900539843
9,0.7142857142857143,0.6326530612244898,0.6326530612244898,0.3877551020408163,0.9818181818181818,0.9818181818181818,0.9939393939393939,0.4303030303030303,0.7142857142857143,0.6326530612244898,0.6326530612244898,0.3877551020408163,0.6372718784483491,0.5583216619981326,0.5369303635432667,0.1730019493177388,0.7090909090909091,0.7515151515151515,1.490909090909091,1.5272727272727273,5.558627584945974,5.6708592383089105,1.125,-0.08163265306122447,0.30594445553139427,-0.1426791494089453
10,0.7346938775510204,0.6326530612244898,0.6938775510204082,0.3877551020408163,0.9818181818181818,0.9757575757575757,0.9939393939393939,0.4303030303030303,0.7346938775510203,0.6326530612244898,0.6938775510204082,0.3877551020408163,0.6807422969187676,0.5342203548085901,0.652468487394958,0.1730019493177388,0.7212121212121212,0.7333333333333333,1.6424242424242423,1.6,6.639757275805574,6.895417436794437,1.7777777777777777,-0.10204081632653061,0.32339529144037577,-0.11931365878731454
11,0.7346938775510204,0.6530612244897959,0.7346938775510204,0.3877551020408163,0.9878787878787879,0.9818181818181818,0.9878787878787879,0.4303030303030303,0.7346938775510203,0.6530612244897959,0.7346938775510203,0.3877551020408163,0.6483690250293667,0.5600081699346405,0.7279054916985951,0.1730019493177388,0.7272727272727273,0.7333333333333333,1.8484848484848484,1.7878787878787878,7.262023756575573,8.171807343975924,1.125,-0.08163265306122458,0.28614647573341445,-0.12288116961096548
12,0.7346938775510204,0.6938775510204082,0.6530612244897959,0.3877551020408163,0.9878787878787879,0.9757575757575757,0.9939393939393939,0.4303030303030303,0.7346938775510203,0.6938775510204082,0.6530612244897959,0.3877551020408163,0.6483690250293667,0.615295961644846,0.5571067136532033,0.1730019493177388,0.7393939393939394,0.7757575757575758,2.066666666666667,2.0242424242424244,8.238866672052229,9.102159978237072,0.125,-0.04081632653061229,0.23619584315232117,-0.1545631900910967
13,0.7551020408163265,0.673469387755102,0.7346938775510204,0.3877551020408163,0.9939393939393939,0.9757575757575757,0.9939393939393939,0.4303030303030303,0.7551020408163265,0.673469387755102,0.7346938775510203,0.3877551020408163,0.6664205075969782,0.5914821842715581,0.6632014874915484,0.1730019493177388,0.7515151515151515,0.7757575757575758,2.1818181818181817,2.2363636363636363,9.12992796437429,10.864046077321056,1.125,-0.08163265306122447,0.2724401820271208,-0.10917487590467179
14,0.7551020408163265,0.673469387755102,0.7142857142857143,0.3877551020408163,0.9939393939393939,0.9757575757575757,1.0,0.4303030303030303,0.7551020408163265,0.673469387755102,0.7142857142857143,0.3877551020408163,0.6594129318394025,0.604452614379085,0.6448638075920022,0.1730019493177388,0.7575757575757576,0.7636363636363637,2.381818181818182,2.393939393939394,10.167246794884381,12.309770836681071,1.125,-0.08163265306122447,0.26705556664250535,-0.10379026052005641
15,0.7755102040816326,0.673469387755102,0.6938775510204082,0.3877551020408163,0.9939393939393939,0.9878787878787879,1.0,0.4303030303030303,0.7755102040816326,0.673469387755102,0.6938775510204082,0.3877551020408163,0.6935431161711997,0.604452614379085,0.6065359477124184,0.1730019493177388,0.7696969696969697,0.7757575757575758,2.533333333333333,2.515151515151515,11.334340798606405,13.166775648838659,2.2857142857142856,-0.10204081632653061,0.2769931559070118,-0.07291152325395062
16,0.7551020408163265,0.673469387755102,0.7142857142857143,0.3877551020408163,0.9939393939393939,0.9818181818181818,1.0,0.4303030303030303,0.7551020408163265,0.673469387755102,0.7142857142857143,0.3877551020408163,0.7007801135083084,0.604452614379085,0.6239962651727358,0.1730019493177388,0.7636363636363637,0.7757575757575758,2.6606060606060606,2.606060606060606,12.601279643755028,15.016512041300949,1.5,-0.08163265306122447,0.24349303512784737,-0.08022772900539843
17,0.7551020408163265,0.673469387755102,0.7755102040816326,0.3877551020408163,0.9939393939393939,0.9878787878787879,1.0,0.4303030303030303,0.7551020408163265,0.673469387755102,0.7755102040816326,0.3877551020408163,0.6969471409253356,0.5914821842715581,0.7334733893557424,0.1730019493177388,0.7818181818181819,0.7757575757575758,2.8484848484848486,2.7636363636363637,14.138502102493037,16.211117468755273,1.5,-0.08163265306122447,0.23989009395137678,-0.07662478782892784
18,0.7551020408163265,0.673469387755102,0.7959183673469388,0.3877551020408163,0.9939393939393939,0.9878787878787879,0.9878787878787879,0.4303030303030303,0.7551020408163265,0.673469387755102,0.7959183673469388,0.3877551020408163,0.6790931982730058,0.5914821842715581,0.7618806143146913,0.1730019493177388,0.7636363636363637,0.7818181818181819,2.987878787878788,3.018181818181818,15.96483551109904,18.458329119510754,1.5,-0.08163265306122447,0.23668747957229183,-0.07342217344984284
19,0.7551020408163265,0.673469387755102,0.673469387755102,0.3877551020408163,0.9939393939393939,0.9878787878787879,1.0,0.4303030303030303,0.7551020408163265,0.673469387755102,0.673469387755102,0.3877551020408163,0.6790931982730058,0.5914821842715581,0.6022348724436011,0.1730019493177388,0.7757575757575758,0.7636363636363637,3.2303030303030305,3.16969696969697,17.875478666915072,20.10094979922488,1.5,-0.08163265306122447,0.23382198249626845,-0.07055667637381946
20,0.7551020408163265,0.6938775510204082,0.7346938775510204,0.3877551020408163,0.9939393939393939,0.9939393939393939,1.0,0.4303030303030303,0.7551020408163265,0.6938775510204082,0.7346938775510203,0.3877551020408163,0.6790931982730058,0.6022348724436012,0.6395364597451885,0.1730019493177388,0.7757575757575758,0.7636363636363637,3.43030303030303,3.315151515151515,19.35701386433133,22.692304652519667,0.8,-0.061224489795918324,0.2012952180845425,-0.0788462384927058
21,0.7551020408163265,0.673469387755102,0.7142857142857143,0.3877551020408163,0.9939393939393939,0.9818181818181818,1.0,0.4303030303030303,0.7551020408163265,0.673469387755102,0.7142857142857143,0.3877551020408163,0.6790931982730058,0.5914821842715581,0.6200280112044819,0.1730019493177388,0.7878787878787878,0.7636363636363637,3.606060606060606,3.4909090909090907,20.741023843129067,24.476028972448123,1.5,-0.08163265306122447,0.22890970179451406,-0.06564439567206506
22,0.7551020408163265,0.7142857142857143,0.7755102040816326,0.3877551020408163,0.9939393939393939,0.9878787878787879,1.0,0.4303030303030303,0.7551020408163265,0.7142857142857143,0.7755102040816326,0.3877551020408163,0.6790931982730058,0.622933797174784,0.7172077922077923,0.1730019493177388,0.7878787878787878,0.7636363636363637,3.7696969696969695,3.587878787878788,22.912232656868884,26.60971035407764,0.25,-0.04081632653061218,0.1661739846402437,-0.08454133157901916
23,0.7551020408163265,0.7142857142857143,0.7755102040816326,0.3877551020408163,0.9939393939393939,0.9878787878787879,0.9939393939393939,0.4303030303030303,0.7551020408163265,0.7142857142857143,0.7755102040816326,0.3877551020408163,0.6790931982730058,0.6355682057769345,0.7341495218777166,0.1730019493177388,0.793939393939394,0.7696969696969697,3.993939393939394,3.7696969696969695,24.224231668262608,28.73254162317026,0.25,-0.04081632653061218,0.164237225746963,-0.08260457268573854
24,0.7346938775510204,0.7551020408163265,0.7142857142857143,0.3877551020408163,0.9939393939393939,0.9818181818181818,1.0,0.4303030303030303,0.7346938775510203,0.7551020408163265,0.7142857142857143,0.3877551020408163,0.6677462651727356,0.7072935234699941,0.6224368926456214,0.1730019493177388,0.793939393939394,0.7636363636363637,4.193939393939394,4.042424242424242,26.138619298643878,30.45241472109725,0.0,0.020408163265306034,0.0899424561285783,-0.13075878265919055
25,0.7346938775510204,0.7551020408163265,0.7346938775510204,0.3877551020408163,1.0,0.9939393939393939,1.0,0.4303030303030303,0.7346938775510203,0.7551020408163265,0.7346938775510203,0.3877551020408163,0.6715792377557084,0.6891748366013072,0.673669467787115,0.1730019493177388,0.7878787878787878,0.7757575757575758,4.418181818181818,4.266666666666667,27.64534630422241,32.707579915859895,0.0,0.020408163265306034,0.08830912279524493,-0.12912544932585723
