numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5294117647058824,0.6470588235294118,0.5882352941176471,0.47058823529411764,0.85,0.8666666666666667,0.8944444444444445,0.45555555555555555,0.5294117647058824,0.6470588235294118,0.5882352941176471,0.47058823529411764,0.37105263157894736,0.5298405298405299,0.5813242313242314,0.31644736842105264,0.29444444444444445,0.36666666666666664,0.14444444444444443,0.23333333333333334,0.38311384684099975,0.3658759124087592,1.125,0.11764705882352944,1.0301305264957221,-1.265424644142781
2,0.5588235294117647,0.5588235294117647,0.5294117647058824,0.47058823529411764,0.8111111111111111,0.8166666666666667,0.8444444444444444,0.45555555555555555,0.5588235294117647,0.5588235294117647,0.5294117647058824,0.47058823529411764,0.3468660968660968,0.44467338217338215,0.3666843908779393,0.31644736842105264,0.4666666666666667,0.4722222222222222,0.29444444444444445,0.28888888888888886,0.8079594946377541,0.8776209355811462,0.16666666666666666,0.0,0.6312058792898537,-0.6312058792898537
3,0.5294117647058824,0.6176470588235294,0.6764705882352942,0.47058823529411764,0.9388888888888889,0.8888888888888888,0.9277777777777778,0.45555555555555555,0.5294117647058824,0.6176470588235294,0.6764705882352942,0.47058823529411764,0.39959742351046695,0.460530058177117,0.6152686202686202,0.31644736842105264,0.5111111111111111,0.5444444444444444,0.3388888888888889,0.45555555555555555,1.3665381079928294,1.3484917703364927,0.8,0.08823529411764708,0.3707022429126546,-0.5471728311479487
4,0.5588235294117647,0.6176470588235294,0.6176470588235294,0.47058823529411764,0.9277777777777778,0.9444444444444444,0.9611111111111111,0.45555555555555555,0.5588235294117647,0.6176470588235294,0.6176470588235294,0.47058823529411764,0.43771929824561395,0.49496415065468774,0.5733031674208144,0.31644736842105264,0.5944444444444444,0.6166666666666667,0.5611111111111111,0.6166666666666667,1.8269620956068242,1.6905351423861306,0.16666666666666666,0.05882352941176472,0.32876000083595897,-0.4464070596594883
5,0.5882352941176471,0.6176470588235294,0.7352941176470589,0.47058823529411764,0.9555555555555556,0.9666666666666667,0.95,0.45555555555555555,0.5882352941176471,0.6176470588235294,0.735294117647059,0.47058823529411764,0.6210526315789474,0.49496415065468774,0.6519332519332519,0.31644736842105264,0.6388888888888888,0.65,0.7277777777777777,0.7388888888888889,2.323105876257004,2.235364258542962,0.0,0.02941176470588236,0.3194281005943558,-0.3782516300061204
6,0.5882352941176471,0.5882352941176471,0.6470588235294118,0.47058823529411764,0.9555555555555556,0.9666666666666667,0.9888888888888889,0.45555555555555555,0.5882352941176471,0.5882352941176471,0.6470588235294118,0.47058823529411764,0.6210526315789474,0.47635327635327634,0.6373626373626373,0.31644736842105264,0.6777777777777778,0.6555555555555556,0.9055555555555556,0.8944444444444445,3.207983434838491,2.841336560025116,0.25,0.0,0.27862745098039216,-0.27862745098039216
7,0.5882352941176471,0.6470588235294118,0.5294117647058824,0.47058823529411764,0.9666666666666667,0.9833333333333333,0.9888888888888889,0.45555555555555555,0.5882352941176471,0.6470588235294118,0.5294117647058824,0.47058823529411764,0.6208754208754209,0.504029304029304,0.4690799396681749,0.31644736842105264,0.6944444444444444,0.6611111111111111,1.1222222222222222,1.0555555555555556,4.1688203671554716,3.357402042362554,0.16666666666666666,0.05882352941176472,0.22376000083595893,-0.34140705965948825
8,0.6764705882352942,0.6470588235294118,0.6176470588235294,0.47058823529411764,0.9666666666666667,0.9833333333333333,0.9888888888888889,0.45555555555555555,0.6764705882352942,0.6470588235294118,0.6176470588235294,0.47058823529411764,0.6807532005741724,0.6844935021405609,0.6643162393162393,0.31644736842105264,0.7111111111111111,0.6833333333333333,1.3166666666666667,1.238888888888889,4.984107704164689,4.082169958737427,0.0,-0.02941176470588236,0.2811930767466719,-0.22236954733490716
9,0.5882352941176471,0.5882352941176471,0.7058823529411765,0.47058823529411764,0.9666666666666667,0.9944444444444445,0.9888888888888889,0.45555555555555555,0.5882352941176471,0.5882352941176471,0.7058823529411765,0.47058823529411764,0.6152421652421652,0.6096155667766922,0.7179536363040199,0.31644736842105264,0.7111111111111111,0.7111111111111111,1.4944444444444445,1.3888888888888888,6.023539416050641,4.963619357889139,0.25,0.0,0.2241830065359477,-0.2241830065359477
10,0.6470588235294118,0.6176470588235294,0.6764705882352942,0.47058823529411764,0.9777777777777777,0.9833333333333333,0.9888888888888889,0.45555555555555555,0.6470588235294118,0.6176470588235294,0.6764705882352942,0.47058823529411764,0.6428991700730831,0.6645175275610059,0.6573056573056574,0.31644736842105264,0.7222222222222222,0.7277777777777777,1.6944444444444444,1.5277777777777777,7.2512796055940045,5.928243886498001,0.0,-0.02941176470588236,0.25669307674667186,-0.19786954733490716
