numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7333333333333333,0.6444444444444445,0.7333333333333333,0.37777777777777777,0.8165680473372781,0.7633136094674556,0.834319526627219,0.4437869822485207,0.7333333333333333,0.6444444444444445,0.7333333333333333,0.37777777777777777,0.47688114147260735,0.46522875816993475,0.5179738562091503,0.3072391344214194,0.28402366863905326,0.1952662721893491,0.10059171597633136,-0.04142011834319527,0.4370964421922119,0.42631706351918497,0.5625,-0.0888888888888888,1.2450362769818195,-1.067258499204042
2,0.6444444444444445,0.6,0.7111111111111111,0.37777777777777777,0.8165680473372781,0.8224852071005917,0.8875739644970414,0.4437869822485207,0.6444444444444445,0.6,0.7111111111111111,0.37777777777777777,0.5036019536019536,0.42382724802079635,0.7443324372759857,0.3072391344214194,0.46153846153846156,0.3431952662721893,0.2958579881656805,0.0650887573964497,0.8231651845338624,0.8424683326809251,0.1,-0.04444444444444451,0.6727900049135427,-0.5839011160246537
3,0.7777777777777778,0.6666666666666666,0.7555555555555555,0.37777777777777777,0.9112426035502958,0.893491124260355,0.9408284023668639,0.4437869822485207,0.7777777777777778,0.6666666666666666,0.7555555555555555,0.37777777777777777,0.7474808141474808,0.4980392156862745,0.7235449735449735,0.3072391344214194,0.5325443786982249,0.4437869822485207,0.48520710059171596,0.20710059171597633,1.360075631605091,1.3470900270099486,1.7777777777777777,-0.11111111111111116,0.572416979638308,-0.35019475741608574
4,0.8,0.6666666666666666,0.6666666666666666,0.37777777777777777,0.9053254437869822,0.893491124260355,0.9349112426035503,0.4437869822485207,0.8000000000000002,0.6666666666666666,0.6666666666666666,0.37777777777777777,0.7697030363697029,0.501010101010101,0.59742587161942,0.3072391344214194,0.6094674556213018,0.5029585798816568,0.6627218934911243,0.28402366863905326,2.097701767491273,1.941786904087616,3.125,-0.13333333333333341,0.5075399914196222,-0.24087332475295556
5,0.7777777777777778,0.7555555555555555,0.7777777777777778,0.37777777777777777,0.9289940828402367,0.9349112426035503,0.9822485207100592,0.4437869822485207,0.7777777777777778,0.7555555555555555,0.7777777777777778,0.37777777777777777,0.7214619883040937,0.6158730158730159,0.7012345679012345,0.3072391344214194,0.6272189349112426,0.5502958579881657,0.7751479289940828,0.3609467455621302,2.894147295730223,2.7550696490354136,0.0,-0.022222222222222254,0.3628255005158988,-0.3183810560714543
6,0.8444444444444444,0.6666666666666666,0.7777777777777778,0.37777777777777777,0.9289940828402367,0.9349112426035503,0.9704142011834319,0.4437869822485207,0.8444444444444444,0.6666666666666666,0.7777777777777778,0.37777777777777777,0.839015939015939,0.45656565656565656,0.7170940170940171,0.3072391344214194,0.6745562130177515,0.5857988165680473,0.9585798816568047,0.46745562130177515,3.870684068269567,3.3131177685958564,4.9,-0.1777777777777778,0.48831485651583817,-0.13275930096028254
7,0.8222222222222222,0.7333333333333333,0.8222222222222222,0.37777777777777777,0.9408284023668639,0.9644970414201184,0.9585798816568047,0.4437869822485207,0.8222222222222222,0.7333333333333333,0.8222222222222222,0.37777777777777777,0.7945714945714947,0.6542145593869731,0.7745750184774575,0.3072391344214194,0.6686390532544378,0.5976331360946746,1.0591715976331362,0.6094674556213018,4.8682157457974355,4.479632400660855,1.125,-0.0888888888888889,0.354790481309068,-0.17701270353129026
8,0.8222222222222222,0.6888888888888889,0.7555555555555555,0.37777777777777777,0.9644970414201184,0.9585798816568047,0.9763313609467456,0.4437869822485207,0.8222222222222222,0.6888888888888889,0.7555555555555555,0.37777777777777777,0.7945714945714947,0.5843434343434343,0.7428070175438597,0.3072391344214194,0.6686390532544378,0.6035502958579881,1.1538461538461537,0.7988165680473372,5.577919726461728,5.541681950505679,2.5,-0.1333333333333333,0.39897149502801676,-0.13230482836135007
9,0.8444444444444444,0.7777777777777778,0.8,0.37777777777777777,0.9644970414201184,0.9585798816568047,0.9881656804733728,0.4437869822485207,0.8444444444444444,0.7777777777777778,0.8000000000000002,0.37777777777777777,0.839015939015939,0.6992063492063493,0.7633402633402634,0.3072391344214194,0.6745562130177515,0.6449704142011834,1.2899408284023668,0.9289940828402367,6.881628572091218,7.100849357883658,0.8,-0.06666666666666665,0.27487750369752495,-0.1415441703641916
10,0.8444444444444444,0.7555555555555555,0.7555555555555555,0.37777777777777777,0.9585798816568047,0.9704142011834319,0.9940828402366864,0.4437869822485207,0.8444444444444444,0.7555555555555555,0.7555555555555555,0.37777777777777777,0.839015939015939,0.6859632741985683,0.7508061383061383,0.3072391344214194,0.6863905325443787,0.6568047337278107,1.4142011834319526,1.047337278106509,7.830274251545267,8.451136734957014,1.5,-0.0888888888888889,0.29669343403357185,-0.11891565625579407
