numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.6571428571428571,0.7142857142857143,0.7714285714285715,0.4,0.7877094972067039,0.8770949720670391,0.8770949720670391,0.441340782122905,0.6571428571428571,0.7142857142857143,0.7714285714285715,0.4000000000000001,0.7098765432098766,0.7275837742504409,0.8119658119658119,0.2036764705882353,0.19553072625698323,0.31843575418994413,-0.01675977653631285,0.19553072625698323,0.40685321585147277,0.33696762066998387,0.07142857142857142,0.05714285714285716,1.133243454198922,-1.2475291684846364
2,0.6571428571428571,0.7142857142857143,0.6285714285714286,0.4,0.8156424581005587,0.88268156424581,0.8491620111731844,0.441340782122905,0.6571428571428571,0.7142857142857143,0.6285714285714286,0.4000000000000001,0.5511111111111111,0.6535353535353535,0.5895593869731801,0.2036764705882353,0.329608938547486,0.5027932960893855,0.10614525139664804,0.41899441340782123,0.9884870184084721,0.6607948108806667,0.0625,0.05714285714285716,0.6576557193650914,-0.7719414336508057
3,0.7142857142857143,0.6857142857142857,0.6571428571428571,0.4,0.8603351955307262,0.9273743016759777,0.9329608938547486,0.441340782122905,0.7142857142857143,0.6857142857142857,0.6571428571428571,0.4000000000000001,0.5751547303271441,0.6535353535353535,0.5515873015873015,0.2036764705882353,0.4245810055865922,0.5754189944134078,0.21787709497206703,0.5586592178770949,1.7467571312337893,1.1346374566996755,0.0,-0.02857142857142858,0.523504550599822,-0.4663616934569649
4,0.6571428571428571,0.7428571428571429,0.7428571428571429,0.4,0.88268156424581,0.9553072625698324,0.9553072625698324,0.441340782122905,0.6571428571428571,0.7428571428571429,0.7428571428571429,0.4000000000000001,0.5515873015873015,0.7199999999999999,0.7489425410182773,0.2036764705882353,0.4860335195530726,0.6312849162011173,0.40782122905027934,0.7262569832402235,2.3724193846698833,1.7026140939250367,0.4444444444444444,0.08571428571428574,0.32966881203898324,-0.5010973834675546
5,0.7714285714285715,0.7714285714285715,0.8285714285714286,0.4,0.9273743016759777,0.9497206703910615,0.9776536312849162,0.441340782122905,0.7714285714285715,0.7714285714285715,0.8285714285714286,0.4000000000000001,0.5994694960212201,0.6799945265462507,0.7283272283272284,0.2036764705882353,0.5363128491620112,0.6703910614525139,0.5810055865921788,0.888268156424581,2.9579400104592977,2.55564574763596,0.16666666666666666,0.0,0.333171425595858,-0.333171425595858
6,0.8,0.8857142857142857,0.7428571428571429,0.4,0.9329608938547486,0.9664804469273743,0.9832402234636871,0.441340782122905,0.8000000000000002,0.8857142857142857,0.7428571428571429,0.4000000000000001,0.6070668369518945,0.8032714412024756,0.6636363636363636,0.2036764705882353,0.5865921787709497,0.6927374301675978,0.6759776536312849,1.1173184357541899,3.8705241555650485,3.150346856912248,1.3333333333333333,0.08571428571428563,0.17868536248211164,-0.35011393391068313
7,0.8,0.8571428571428571,0.7428571428571429,0.4,0.9441340782122905,0.9776536312849162,0.9888268156424581,0.441340782122905,0.8000000000000002,0.8571428571428571,0.7428571428571429,0.4000000000000001,0.6070668369518945,0.791005291005291,0.7463369963369964,0.2036764705882353,0.6089385474860335,0.7206703910614525,0.776536312849162,1.2681564245810055,4.621166228668139,3.970633333148367,0.5,0.05714285714285705,0.16428441101713948,-0.27857012530285374
8,0.8285714285714286,0.8571428571428571,0.8285714285714286,0.4,0.9385474860335196,0.994413407821229,0.994413407821229,0.441340782122905,0.8285714285714286,0.8571428571428571,0.8285714285714286,0.4000000000000001,0.6190476190476191,0.791005291005291,0.8064373897707231,0.2036764705882353,0.6312849162011173,0.7262569832402235,0.8994413407821229,1.446927374301676,5.766194390421498,4.804120492592719,0.0,0.02857142857142847,0.1913842023587542,-0.24852705950161136
9,0.8,0.8857142857142857,0.8285714285714286,0.4,0.9497206703910615,0.994413407821229,0.9776536312849162,0.441340782122905,0.8000000000000002,0.8857142857142857,0.8285714285714286,0.4000000000000001,0.6070668369518945,0.802910052910053,0.897340930674264,0.2036764705882353,0.6424581005586593,0.7318435754189944,1.0335195530726258,1.6089385474860336,6.823887852365772,5.5485000267969165,1.3333333333333333,0.08571428571428563,0.12424091803766721,-0.2956694894662386
10,0.8,0.9142857142857143,0.7714285714285715,0.4,0.9553072625698324,0.994413407821229,0.9888268156424581,0.441340782122905,0.8000000000000002,0.9142857142857143,0.7714285714285715,0.4000000000000001,0.6070668369518945,0.8147656940760388,0.7591575091575091,0.2036764705882353,0.6312849162011173,0.7374301675977654,1.094972067039106,1.7597765363128492,8.25678345496719,6.150421585125697,2.25,0.11428571428571421,0.10194118620651715,-0.33051261477794575
