numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5142857142857142,0.5142857142857142,0.4857142857142857,0.34285714285714286,0.8324022346368715,0.8212290502793296,0.8547486033519553,0.45251396648044695,0.5142857142857142,0.5142857142857142,0.4857142857142857,0.34285714285714286,0.4611111111111111,0.36000000000000004,0.42932105375883484,0.179656862745098,0.2681564245810056,0.2905027932960894,0.1005586592178771,0.11173184357541899,0.4041209138992911,0.43228385090829846,0.07142857142857142,0.0,1.1895328136593406,-1.1895328136593406
2,0.5714285714285714,0.5142857142857142,0.5428571428571428,0.34285714285714286,0.8268156424581006,0.7877094972067039,0.8268156424581006,0.45251396648044695,0.5714285714285714,0.5142857142857142,0.5428571428571428,0.34285714285714286,0.3186379928315412,0.36118479221927496,0.3011111111111111,0.179656862745098,0.4245810055865922,0.41899441340782123,0.2681564245810056,0.2569832402234637,0.8549771398149717,0.8855260088499172,0.0625,-0.05714285714285716,0.7719414336508057,-0.6576557193650914
3,0.6,0.6,0.6571428571428571,0.34285714285714286,0.9217877094972067,0.9162011173184358,0.9385474860335196,0.45251396648044695,0.6,0.6,0.6571428571428571,0.34285714285714286,0.48194444444444434,0.36349206349206353,0.43177163338453656,0.179656862745098,0.5363128491620112,0.5027932960893855,0.41899441340782123,0.4301675977653631,1.2597024218596506,1.3587979313628262,0.1,0.0,0.5037542156360959,-0.5037542156360959
4,0.6285714285714286,0.6285714285714286,0.7142857142857143,0.34285714285714286,0.9497206703910615,0.9217877094972067,0.9329608938547486,0.45251396648044695,0.6285714285714286,0.6285714285714286,0.7142857142857143,0.34285714285714286,0.42383512544802865,0.46349206349206346,0.6353735869864902,0.179656862745098,0.6145251396648045,0.547486033519553,0.6089385474860335,0.49162011173184356,1.797933699037155,2.049476780540507,0.125,0.0,0.4033919189857866,-0.4033919189857866
5,0.6285714285714286,0.6571428571428571,0.6571428571428571,0.34285714285714286,0.9385474860335196,0.9385474860335196,0.9720670391061452,0.45251396648044695,0.6285714285714286,0.6571428571428571,0.6571428571428571,0.34285714285714286,0.42013888888888884,0.48569892473118276,0.5315963606286188,0.179656862745098,0.6368715083798883,0.5810055865921788,0.8212290502793296,0.6312849162011173,2.6240805333990505,2.582884408315793,0.0,0.02857142857142858,0.3534006123379511,-0.4105434694808083
6,0.6285714285714286,0.7142857142857143,0.6857142857142857,0.34285714285714286,0.9553072625698324,0.9776536312849162,0.9888268156424581,0.45251396648044695,0.6285714285714286,0.7142857142857143,0.6857142857142857,0.34285714285714286,0.42383512544802865,0.5285790598290598,0.6293650793650793,0.179656862745098,0.6536312849162011,0.6089385474860335,0.9664804469273743,0.7877094972067039,3.306969354124356,3.04103248952712,0.36363636363636365,0.08571428571428574,0.2655083767465954,-0.4369369481751669
7,0.6,0.6857142857142857,0.6857142857142857,0.34285714285714286,0.9441340782122905,0.9776536312849162,0.9832402234636871,0.45251396648044695,0.6,0.6857142857142857,0.6857142857142857,0.34285714285714286,0.4115918803418803,0.517921146953405,0.6245878136200717,0.179656862745098,0.6815642458100558,0.664804469273743,1.111731843575419,1.0223463687150838,3.955298291884604,3.7832792037285854,0.5714285714285714,0.08571428571428574,0.20514458873465086,-0.37657316016322223
8,0.5714285714285714,0.7428571428571429,0.7142857142857143,0.34285714285714286,0.9832402234636871,0.994413407821229,0.9497206703910615,0.45251396648044695,0.5714285714285714,0.7428571428571429,0.7142857142857143,0.34285714285714286,0.4522137079608344,0.5410195141377937,0.417027417027417,0.179656862745098,0.6983240223463687,0.6759776536312849,1.2849162011173185,1.1564245810055866,4.47251015089693,4.693805686735518,4.166666666666667,0.17142857142857149,0.09953556565510274,-0.4423927085122456
9,0.6857142857142857,0.7428571428571429,0.7428571428571429,0.34285714285714286,0.9608938547486033,0.994413407821229,0.9720670391061452,0.45251396648044695,0.6857142857142857,0.7428571428571429,0.7428571428571429,0.34285714285714286,0.6420890937019968,0.5410195141377937,0.6139846743295019,0.179656862745098,0.6983240223463687,0.6815642458100558,1.4078212290502794,1.3631284916201116,5.65503784143464,5.561745751465693,0.1,0.05714285714285716,0.22984263474563976,-0.3441283490313541
10,0.6285714285714286,0.7714285714285715,0.6857142857142857,0.34285714285714286,0.9720670391061452,1.0,1.0,0.45251396648044695,0.6285714285714286,0.7714285714285715,0.6857142857142857,0.34285714285714286,0.54320987654321,0.5485151049667178,0.6301587301587301,0.179656862745098,0.7094972067039106,0.6759776536312849,1.5865921787709498,1.5139664804469273,7.099812936746742,6.561249169313717,1.7777777777777777,0.1428571428571429,0.12968225097702854,-0.41539653669131427
11,0.6857142857142857,0.7428571428571429,0.7714285714285715,0.34285714285714286,0.9720670391061452,1.0,0.994413407821229,0.45251396648044695,0.6857142857142857,0.7428571428571429,0.7714285714285715,0.34285714285714286,0.5149425287356322,0.5375478927203065,0.5212191358024691,0.179656862745098,0.7206703910614525,0.6759776536312849,1.8268156424581006,1.6089385474860336,8.093962725951744,7.502930347630672,0.25,0.05714285714285716,0.14553678378356455,-0.2598224980692789
12,0.6857142857142857,0.8,0.7428571428571429,0.34285714285714286,0.9720670391061452,0.994413407821229,0.9888268156424581,0.45251396648044695,0.6857142857142857,0.8000000000000002,0.7428571428571429,0.34285714285714286,0.5149425287356322,0.5594135802469136,0.613600159299084,0.179656862745098,0.7262569832402235,0.6871508379888268,2.0558659217877095,1.7541899441340782,9.468368623858616,8.53344874788571,2.25,0.11428571428571432,0.08560785287318384,-0.3141792814446124
13,0.7142857142857143,0.7714285714285715,0.7714285714285715,0.34285714285714286,0.9776536312849162,0.994413407821229,1.0,0.45251396648044695,0.7142857142857143,0.7714285714285715,0.7714285714285715,0.34285714285714286,0.5258576548899129,0.6124345188861318,0.6766513056835638,0.179656862745098,0.7486033519553073,0.6983240223463687,2.223463687150838,1.994413407821229,11.036814886424146,9.92905409280812,0.25,0.05714285714285716,0.1318304900772709,-0.24611620436298512
14,0.7428571428571429,0.8,0.7714285714285715,0.34285714285714286,0.9888268156424581,0.994413407821229,0.994413407821229,0.45251396648044695,0.7428571428571429,0.8000000000000002,0.7714285714285715,0.34285714285714286,0.613600159299084,0.6366985264834727,0.6739215686274509,0.179656862745098,0.7262569832402235,0.7206703910614525,2.3798882681564244,2.1564245810055866,11.944381313666534,11.426374526800029,0.5,0.05714285714285716,0.09428441101713947,-0.2085701253028538
15,0.7428571428571429,0.7714285714285715,0.8,0.34285714285714286,0.9888268156424581,0.994413407821229,0.994413407821229,0.45251396648044695,0.7428571428571429,0.7714285714285715,0.8000000000000002,0.34285714285714286,0.613600159299084,0.6124345188861318,0.6105499438832772,0.179656862745098,0.7262569832402235,0.7206703910614525,2.6089385474860336,2.3240223463687153,13.343672331170005,12.165509027489037,0.0,0.02857142857142858,0.13421753569208755,-0.19136039283494471
16,0.7714285714285715,0.8285714285714286,0.6857142857142857,0.34285714285714286,0.9888268156424581,0.994413407821229,0.994413407821229,0.45251396648044695,0.7714285714285715,0.8285714285714286,0.6857142857142857,0.34285714285714286,0.6253968253968253,0.6983024691358025,0.5654761904761905,0.179656862745098,0.7374301675977654,0.7150837988826816,2.782122905027933,2.430167597765363,14.913181981959923,14.140583801142851,0.5,0.05714285714285716,0.08553441101713949,-0.19982012530285376
17,0.7428571428571429,0.8,0.8,0.34285714285714286,0.9888268156424581,1.0,0.994413407821229,0.45251396648044695,0.7428571428571429,0.8000000000000002,0.8000000000000002,0.34285714285714286,0.613600159299084,0.6366985264834727,0.6874039938556068,0.179656862745098,0.7374301675977654,0.7262569832402235,2.916201117318436,2.664804469273743,16.471838962654505,15.763492194505995,0.5,0.05714285714285716,0.08193146984066887,-0.1962171841263832
18,0.7428571428571429,0.8,0.7142857142857143,0.34285714285714286,0.9888268156424581,1.0,0.994413407821229,0.45251396648044695,0.7428571428571429,0.8000000000000002,0.7142857142857143,0.34285714285714286,0.613600159299084,0.6366985264834727,0.637979797979798,0.179656862745098,0.7318435754189944,0.7374301675977654,3.0279329608938546,2.88268156424581,18.22587394065039,17.115356597993326,0.5,0.05714285714285716,0.0787288554615839,-0.19301456974729822
19,0.7428571428571429,0.8,0.7714285714285715,0.34285714285714286,0.9888268156424581,0.994413407821229,1.0,0.45251396648044695,0.7428571428571429,0.8000000000000002,0.7714285714285715,0.34285714285714286,0.613600159299084,0.6366985264834727,0.6108585858585859,0.179656862745098,0.7430167597765364,0.7318435754189944,3.2290502793296088,3.0726256983240225,20.20601947761508,18.59586010015217,0.5,0.05714285714285716,0.07586335838556052,-0.19014907267127484
