numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5952380952380952,0.4523809523809524,0.6904761904761905,0.3333333333333333,0.8313953488372093,0.8313953488372093,0.8546511627906976,0.46511627906976744,0.5952380952380952,0.4523809523809524,0.6904761904761905,0.3333333333333333,0.4818865345181134,0.2475258659469186,0.5777000777000777,0.29464285714285715,0.28488372093023256,0.23837209302325582,0.11627906976744186,0.06976744186046512,0.4128258134430168,0.39062952347090335,1.3888888888888888,-0.1428571428571429,1.3255062649047515,-1.039791979190466
2,0.6904761904761905,0.5714285714285714,0.6904761904761905,0.3333333333333333,0.813953488372093,0.813953488372093,0.877906976744186,0.46511627906976744,0.6904761904761905,0.5714285714285714,0.6904761904761905,0.3333333333333333,0.6353386809269163,0.303030303030303,0.36364601581992884,0.29464285714285715,0.43023255813953487,0.43023255813953487,0.23837209302325582,0.18604651162790697,0.9601088738110126,0.9345561104923719,0.9411764705882353,-0.11904761904761907,0.8047987838424129,-0.5667035457471747
3,0.6904761904761905,0.6190476190476191,0.7380952380952381,0.3333333333333333,0.9069767441860465,0.8662790697674418,0.936046511627907,0.46511627906976744,0.6904761904761905,0.6190476190476191,0.7380952380952381,0.3333333333333333,0.6455627705627706,0.3123627580149319,0.7483812483812483,0.29464285714285715,0.47674418604651164,0.5174418604651163,0.29651162790697677,0.27906976744186046,1.503413128793792,1.5872597171425427,0.3076923076923077,-0.0714285714285714,0.5677353800952311,-0.42487823723808815
4,0.6904761904761905,0.6904761904761905,0.7857142857142857,0.3333333333333333,0.8953488372093024,0.8895348837209303,0.936046511627907,0.46511627906976744,0.6904761904761905,0.6904761904761905,0.7857142857142857,0.3333333333333333,0.6275613275613275,0.5057794989145104,0.8345560871876662,0.29464285714285715,0.5232558139534884,0.5523255813953488,0.4069767441860465,0.38953488372093026,2.26144672073321,2.120851569902417,0.07142857142857142,0.0,0.41961067804945057,-0.41961067804945057
5,0.7380952380952381,0.7380952380952381,0.8333333333333334,0.3333333333333333,0.9011627906976745,0.9069767441860465,0.9651162790697675,0.46511627906976744,0.7380952380952381,0.7380952380952381,0.8333333333333334,0.3333333333333333,0.7989510489510488,0.5865115687770149,0.9055555555555554,0.29464285714285715,0.5755813953488372,0.5813953488372093,0.5523255813953488,0.5116279069767442,3.1255821504279093,2.9054232921106533,0.07142857142857142,0.0,0.37061067804945064,-0.37061067804945064
6,0.7857142857142857,0.7142857142857143,0.8095238095238095,0.3333333333333333,0.9418604651162791,0.936046511627907,0.9767441860465116,0.46511627906976744,0.7857142857142857,0.7142857142857143,0.8095238095238095,0.3333333333333333,0.8419829257581113,0.6849206349206348,0.848989898989899,0.29464285714285715,0.6046511627906976,0.5872093023255814,0.6976744186046512,0.5988372093023255,3.725821257702422,3.590241541756952,0.3076923076923077,-0.0714285714285714,0.4044020467618977,-0.26154490390475493
7,0.8095238095238095,0.7857142857142857,0.7619047619047619,0.3333333333333333,0.9476744186046512,0.9593023255813954,0.9825581395348837,0.46511627906976744,0.8095238095238095,0.7857142857142857,0.7619047619047619,0.3333333333333333,0.852092352092352,0.8289288231148696,0.5606060606060607,0.29464285714285715,0.5988372093023255,0.6162790697674418,0.813953488372093,0.7093023255813954,4.435963697336423,4.518043747449951,0.0,-0.023809523809523836,0.3039945866794739,-0.2563755390604262
8,0.7619047619047619,0.7619047619047619,0.8571428571428571,0.3333333333333333,0.9534883720930233,0.9651162790697675,0.9593023255813954,0.46511627906976744,0.7619047619047619,0.7619047619047619,0.8571428571428571,0.3333333333333333,0.8091238471673253,0.7132063813054712,0.9205925653294074,0.29464285714285715,0.6104651162790697,0.627906976744186,0.9244186046511628,0.8837209302325582,5.1907734198452395,5.581114853408135,0.1,0.0,0.27007295747452437,-0.27007295747452437
9,0.8095238095238095,0.7619047619047619,0.7857142857142857,0.3333333333333333,0.9593023255813954,0.9767441860465116,0.9825581395348837,0.46511627906976744,0.8095238095238095,0.7619047619047619,0.7857142857142857,0.3333333333333333,0.852092352092352,0.6576508257499157,0.7859995301855767,0.29464285714285715,0.6046511627906976,0.6453488372093024,0.9651162790697675,0.9941860465116279,6.206276068053611,6.546734601738492,0.1,-0.04761904761904767,0.3047819571089345,-0.2095438618708393
10,0.7857142857142857,0.8095238095238095,0.8571428571428571,0.3333333333333333,0.9593023255813954,0.9825581395348837,1.0,0.46511627906976744,0.7857142857142857,0.8095238095238095,0.8571428571428571,0.3333333333333333,0.8194752402069475,0.845959595959596,0.8679653679653678,0.29464285714285715,0.627906976744186,0.6453488372093024,1.0872093023255813,1.1686046511627908,7.420823901364915,7.639872712207932,0.0,0.023809523809523836,0.21437553906042625,-0.26199458667947384
11,0.7857142857142857,0.8095238095238095,0.8095238095238095,0.3333333333333333,0.9593023255813954,0.9883720930232558,0.9883720930232558,0.46511627906976744,0.7857142857142857,0.8095238095238095,0.8095238095238095,0.3333333333333333,0.8419829257581113,0.845959595959596,0.6876908621094667,0.29464285714285715,0.6395348837209303,0.6686046511627907,1.1627906976744187,1.2674418604651163,8.315808563162555,8.889311131425433,0.0,0.023809523809523836,0.20546644815133533,-0.253085495770383
12,0.8333333333333334,0.8095238095238095,0.7619047619047619,0.3333333333333333,0.9651162790697675,0.9825581395348837,0.9941860465116279,0.46511627906976744,0.8333333333333334,0.8095238095238095,0.7619047619047619,0.3333333333333333,0.8611111111111112,0.845959595959596,0.7212183951314386,0.29464285714285715,0.6569767441860465,0.6569767441860465,1.2325581395348837,1.372093023255814,9.733236341776147,10.386499786176993,0.0,-0.023809523809523836,0.22915438700369606,-0.18153533938464844
13,0.8333333333333334,0.8095238095238095,0.8571428571428571,0.3333333333333333,0.9709302325581395,0.9883720930232558,0.9941860465116279,0.46511627906976744,0.8333333333333334,0.8095238095238095,0.8571428571428571,0.3333333333333333,0.9103143233578016,0.845959595959596,0.8778575225943647,0.29464285714285715,0.6569767441860465,0.6686046511627907,1.3662790697674418,1.4767441860465116,11.14810802998661,11.82841255775117,0.0,-0.023809523809523836,0.22287233572164478,-0.17525328810259716
14,0.7619047619047619,0.7857142857142857,0.8333333333333334,0.3333333333333333,0.9651162790697675,0.9941860465116279,0.9825581395348837,0.46511627906976744,0.7619047619047619,0.7857142857142857,0.8333333333333334,0.3333333333333333,0.8290043290043291,0.8289288231148696,0.7477855477855478,0.29464285714285715,0.6511627906976745,0.6686046511627907,1.5116279069767442,1.627906976744186,13.157927827345219,13.277215583586116,0.0,0.023809523809523836,0.16986867271798178,-0.2174877203370294
15,0.7857142857142857,0.7857142857142857,0.9047619047619048,0.3333333333333333,0.9709302325581395,0.9941860465116279,0.9941860465116279,0.46511627906976744,0.7857142857142857,0.7857142857142857,0.9047619047619048,0.3333333333333333,0.8915151515151515,0.8289288231148696,0.9404040404040405,0.29464285714285715,0.6511627906976745,0.6744186046511628,1.6104651162790697,1.755813953488372,14.615567400187544,15.265647056850652,0.125,0.0,0.19732659915482217,-0.19732659915482217
16,0.7380952380952381,0.8095238095238095,0.8095238095238095,0.3333333333333333,0.9709302325581395,0.9941860465116279,1.0,0.46511627906976744,0.7380952380952381,0.8095238095238095,0.8095238095238095,0.3333333333333333,0.869848484848485,0.845959595959596,0.8998778998778999,0.29464285714285715,0.6627906976744186,0.6744186046511628,1.755813953488372,1.877906976744186,16.686833819791065,17.24724703395683,0.8,0.0714285714285714,0.09638387765906714,-0.23924102051620993
17,0.7380952380952381,0.8095238095238095,0.7857142857142857,0.3333333333333333,0.9709302325581395,0.9941860465116279,0.9941860465116279,0.46511627906976744,0.7380952380952381,0.8095238095238095,0.7857142857142857,0.3333333333333333,0.869848484848485,0.845959595959596,0.8094017094017095,0.29464285714285715,0.686046511627907,0.686046511627907,1.8488372093023255,2.0290697674418605,18.188681431000877,19.661440479309416,0.8,0.0714285714285714,0.09278093648259655,-0.23563807933973935
18,0.7857142857142857,0.7857142857142857,0.8333333333333334,0.3333333333333333,0.9767441860465116,0.9941860465116279,1.0,0.46511627906976744,0.7857142857142857,0.7857142857142857,0.8333333333333334,0.3333333333333333,0.8878850617981052,0.8289288231148696,0.8606324995553881,0.29464285714285715,0.6976744186046512,0.7093023255813954,2.0290697674418605,2.186046511627907,20.190156906126315,21.69648795655266,0.16666666666666666,0.0,0.16875396577432608,-0.16875396577432608
