numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7073170731707317,0.5609756097560976,0.5121951219512195,0.4146341463414634,0.8439306358381503,0.8439306358381503,0.8034682080924855,0.5086705202312138,0.7073170731707317,0.5609756097560976,0.5121951219512195,0.4146341463414634,0.6042429792429792,0.5755926554738099,0.42940821256038647,0.22529851101279674,0.2774566473988439,0.2658959537572254,0.12138728323699421,0.10982658959537572,0.38834489895125684,0.3838972621848276,1.7857142857142858,-0.14634146341463405,1.3107347918749643,-1.0180518650456962
2,0.6585365853658537,0.5121951219512195,0.6585365853658537,0.4146341463414634,0.815028901734104,0.8208092485549133,0.8786127167630058,0.5086705202312138,0.6585365853658537,0.5121951219512195,0.6585365853658537,0.4146341463414634,0.4951159951159951,0.3894586894586895,0.5116666666666667,0.22529851101279674,0.4161849710982659,0.4161849710982659,0.2138728323699422,0.14450867052023122,0.8664827254294747,0.8088574603563383,1.3888888888888888,-0.14634146341463417,0.8440482881501599,-0.5513653613208915
3,0.7073170731707317,0.6829268292682927,0.7073170731707317,0.4146341463414634,0.8786127167630058,0.9364161849710982,0.930635838150289,0.5086705202312138,0.7073170731707317,0.6829268292682927,0.7073170731707317,0.4146341463414634,0.566911045943304,0.5780397022332505,0.5942703533026114,0.22529851101279674,0.5086705202312138,0.4913294797687861,0.2658959537572254,0.32947976878612717,1.5395030765118918,1.377150503950991,0.0,-0.024390243902438935,0.5097834338646374,-0.4610029460597593
4,0.6829268292682927,0.6341463414634146,0.7073170731707317,0.4146341463414634,0.8959537572254336,0.930635838150289,0.9421965317919075,0.5086705202312138,0.6829268292682927,0.6341463414634146,0.7073170731707317,0.4146341463414634,0.5736874236874236,0.5360245884383815,0.6442279942279944,0.22529851101279674,0.5549132947976878,0.5375722543352601,0.4046242774566474,0.4046242774566474,2.133718932594495,1.7748033227490287,0.1,-0.04878048780487809,0.44568842166993194,-0.34812744606017576
5,0.7804878048780488,0.5853658536585366,0.7317073170731707,0.4146341463414634,0.9421965317919075,0.953757225433526,0.976878612716763,0.5086705202312138,0.7804878048780488,0.5853658536585366,0.7317073170731707,0.4146341463414634,0.6535530621785881,0.46873959373959373,0.6242646242646243,0.22529851101279674,0.5838150289017341,0.5780346820809249,0.5260115606936416,0.5433526011560693,2.9428365127539364,2.360718916815374,4.9,-0.19512195121951226,0.5536653951032231,-0.16342149266419864
6,0.8048780487804879,0.6585365853658537,0.7073170731707317,0.4146341463414634,0.9421965317919075,0.9421965317919075,0.976878612716763,0.5086705202312138,0.8048780487804877,0.6585365853658537,0.7073170731707317,0.4146341463414634,0.7162933684672815,0.597036297036297,0.6552426068555101,0.22529851101279674,0.6069364161849711,0.6184971098265896,0.7341040462427746,0.6936416184971098,3.5556091333611253,3.2947715621815283,2.0833333333333335,-0.14634146341463417,0.48122737425749296,-0.18854444742822474
7,0.7560975609756098,0.6829268292682927,0.8048780487804879,0.4146341463414634,0.9595375722543352,0.9479768786127167,0.976878612716763,0.5086705202312138,0.7560975609756099,0.6829268292682927,0.8048780487804877,0.4146341463414634,0.6420858198351804,0.5760536398467432,0.7411477411477412,0.22529851101279674,0.6184971098265896,0.630057803468208,0.884393063583815,0.8208092485549133,4.511137300735259,4.308610471593366,0.4444444444444444,-0.07317073170731703,0.35832378852698277,-0.2119823251123486
8,0.7560975609756098,0.6341463414634146,0.6585365853658537,0.4146341463414634,0.9595375722543352,0.953757225433526,0.9884393063583815,0.5086705202312138,0.7560975609756099,0.6341463414634146,0.6585365853658537,0.4146341463414634,0.6215277777777778,0.5468118301451635,0.6246843434343434,0.22529851101279674,0.6184971098265896,0.630057803468208,0.953757225433526,0.8439306358381503,5.7221159340093415,5.386576445864472,1.7777777777777777,-0.12195121951219512,0.39264446085045734,-0.148742021826067
9,0.7317073170731707,0.7073170731707317,0.7560975609756098,0.4146341463414634,0.9826589595375722,0.9479768786127167,0.9884393063583815,0.5086705202312138,0.7317073170731707,0.7073170731707317,0.7560975609756099,0.4146341463414634,0.5920405982905982,0.5888888888888889,0.7529581529581528,0.22529851101279674,0.6473988439306358,0.6473988439306358,1.1098265895953756,0.9595375722543352,6.515847755597512,6.266572224992563,0.0,-0.024390243902439046,0.2599791080732982,-0.21119862026842012
10,0.7317073170731707,0.7317073170731707,0.7317073170731707,0.4146341463414634,0.9826589595375722,0.953757225433526,0.9826589595375722,0.5086705202312138,0.7317073170731707,0.7317073170731707,0.7317073170731707,0.4146341463414634,0.5954385483797248,0.6068100358422939,0.6276812792941825,0.22529851101279674,0.6647398843930635,0.6589595375722543,1.1907514450867052,1.1676300578034682,7.3718970562682085,7.5838335488694835,0.16666666666666666,0.0,0.2150975584354885,-0.2150975584354885
11,0.7560975609756098,0.7560975609756098,0.7073170731707317,0.4146341463414634,0.9884393063583815,0.9653179190751445,0.9942196531791907,0.5086705202312138,0.7560975609756099,0.7560975609756099,0.7073170731707317,0.4146341463414634,0.6437451437451437,0.626068376068376,0.6242646242646243,0.22529851101279674,0.6589595375722543,0.6820809248554913,1.3757225433526012,1.346820809248555,8.411734381569184,8.885017952748315,0.125,0.0,0.22430352285926355,-0.22430352285926355
12,0.7317073170731707,0.7560975609756098,0.6829268292682927,0.4146341463414634,0.9942196531791907,0.9595375722543352,1.0,0.5086705202312138,0.7317073170731707,0.7560975609756099,0.6829268292682927,0.4146341463414634,0.6315031586770716,0.626068376068376,0.5840972752737459,0.22529851101279674,0.6473988439306358,0.6820809248554913,1.416184971098266,1.5664739884393064,9.787755937728411,10.29224851794934,0.0,0.024390243902439046,0.20088525420216333,-0.24966574200704136
13,0.7073170731707317,0.7560975609756098,0.7073170731707317,0.4146341463414634,0.9884393063583815,0.9653179190751445,1.0,0.5086705202312138,0.7073170731707317,0.7560975609756099,0.7073170731707317,0.4146341463414634,0.5832708354447483,0.626068376068376,0.5817962231005708,0.22529851101279674,0.6358381502890174,0.6936416184971098,1.5549132947976878,1.739884393063584,10.981787429853837,11.509020859483435,0.125,0.04878048780487809,0.1626387100969488,-0.260199685706705
14,0.7804878048780488,0.7560975609756098,0.8048780487804879,0.4146341463414634,0.9942196531791907,0.9710982658959537,0.9942196531791907,0.5086705202312138,0.7804878048780488,0.7560975609756099,0.8048780487804877,0.4146341463414634,0.7013209013209013,0.626068376068376,0.7070510135026264,0.22529851101279674,0.630057803468208,0.7052023121387283,1.745664739884393,1.8381502890173411,12.426074004344596,13.287185923272508,0.0,-0.024390243902439046,0.2379990753403747,-0.18921858753549667
15,0.7804878048780488,0.7317073170731707,0.7560975609756098,0.4146341463414634,0.9942196531791907,0.9653179190751445,1.0,0.5086705202312138,0.7804878048780488,0.7317073170731707,0.7560975609756099,0.4146341463414634,0.7196976031215162,0.6055555555555555,0.6502525252525252,0.22529851101279674,0.6358381502890174,0.6936416184971098,1.861271676300578,1.8439306358381502,13.473849925460799,14.611840815817974,0.1,-0.04878048780487809,0.2660217550032652,-0.16846077939350915
16,0.7804878048780488,0.7317073170731707,0.7073170731707317,0.4146341463414634,0.9942196531791907,0.9710982658959537,0.9942196531791907,0.5086705202312138,0.7804878048780488,0.7317073170731707,0.7073170731707317,0.4146341463414634,0.6725961538461539,0.6123655913978494,0.6111423298923299,0.22529851101279674,0.6358381502890174,0.6878612716763006,2.098265895953757,1.9653179190751444,15.47856772979139,16.859894605570894,0.125,-0.04878048780487809,0.24606507032208955,-0.14850409471233347
17,0.7804878048780488,0.7317073170731707,0.8048780487804879,0.4146341463414634,0.9942196531791907,0.9653179190751445,0.9942196531791907,0.5086705202312138,0.7804878048780488,0.7317073170731707,0.8048780487804877,0.4146341463414634,0.6725961538461539,0.6123655913978494,0.6873015873015872,0.22529851101279674,0.6647398843930635,0.6936416184971098,2.2485549132947975,2.138728323699422,16.902679986121168,19.13004214250483,0.125,-0.04878048780487809,0.24246212914561893,-0.14490115353586286
