numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5869565217391305,0.6739130434782609,0.5869565217391305,0.41304347826086957,0.8214285714285714,0.8214285714285714,0.8690476190476191,0.4523809523809524,0.5869565217391305,0.6739130434782609,0.5869565217391305,0.41304347826086957,0.46587301587301577,0.3791962174940899,0.44523809523809527,0.2662779397473275,0.26785714285714285,0.27976190476190477,0.08928571428571429,0.10119047619047619,0.4215929160125589,0.42726733095672054,0.5,0.08695652173913038,1.0755551096788705,-1.2494681531571312
2,0.6956521739130435,0.782608695652174,0.717391304347826,0.41304347826086957,0.8273809523809523,0.8154761904761905,0.8392857142857143,0.4523809523809524,0.6956521739130435,0.782608695652174,0.717391304347826,0.41304347826086957,0.601167718240889,0.6596825396825396,0.6788372093023256,0.2662779397473275,0.40476190476190477,0.4107142857142857,0.26785714285714285,0.20238095238095238,0.8083105201060432,0.9546291049948817,0.75,0.08695652173913049,0.5527681920918958,-0.7266812355701567
3,0.7391304347826086,0.6739130434782609,0.7608695652173914,0.41304347826086957,0.9404761904761905,0.875,0.9345238095238095,0.4523809523809524,0.7391304347826085,0.6739130434782609,0.7608695652173914,0.41304347826086957,0.5561965811965812,0.4562927496580027,0.5372573662896244,0.2662779397473275,0.47619047619047616,0.5178571428571429,0.3630952380952381,0.36904761904761907,1.3788477177073297,1.5823428351435742,0.3076923076923077,-0.06521739130434778,0.546663639938405,-0.4162288573297093
4,0.7608695652173914,0.7608695652173914,0.717391304347826,0.41304347826086957,0.9226190476190477,0.8988095238095238,0.9345238095238095,0.4523809523809524,0.7608695652173914,0.7608695652173914,0.717391304347826,0.41304347826086957,0.5968954248366013,0.49140446876425,0.47055749128919855,0.2662779397473275,0.5238095238095238,0.5714285714285714,0.5178571428571429,0.5535714285714286,1.9835803734415078,2.3219259599779285,0.125,0.0,0.36551559053266375,-0.36551559053266375
5,0.8043478260869565,0.717391304347826,0.8043478260869565,0.41304347826086957,0.9583333333333334,0.9226190476190477,0.9523809523809523,0.4523809523809524,0.8043478260869565,0.717391304347826,0.8043478260869565,0.41304347826086957,0.6108585858585859,0.4529671717171717,0.7379220779220779,0.2662779397473275,0.5595238095238095,0.6071428571428571,0.6130952380952381,0.6845238095238095,2.807220422132484,3.2619298481369476,0.75,-0.08695652173913049,0.43268123557015664,-0.2587681920918958
6,0.782608695652174,0.717391304347826,0.6521739130434783,0.41304347826086957,0.9523809523809523,0.9166666666666666,0.9583333333333334,0.4523809523809524,0.782608695652174,0.717391304347826,0.6521739130434783,0.41304347826086957,0.601072565778448,0.4549486461251167,0.4722689075630252,0.2662779397473275,0.6011904761904762,0.6488095238095238,0.8452380952380952,0.7916666666666666,3.5468176085932344,3.9037676575356786,0.5714285714285714,-0.0652173913043479,0.34284732704966303,-0.21241254444096738
7,0.7391304347826086,0.717391304347826,0.6739130434782609,0.41304347826086957,0.9642857142857143,0.9404761904761905,0.9702380952380952,0.4523809523809524,0.7391304347826085,0.717391304347826,0.6739130434782609,0.41304347826086957,0.5409891598915989,0.45346475507765827,0.5023809523809524,0.2662779397473275,0.625,0.6547619047619048,1.0357142857142858,0.9583333333333334,4.3337539439258,4.955533733564823,0.0,-0.021739130434782594,0.3031957591547799,-0.2597174982852146
8,0.7391304347826086,0.6956521739130435,0.717391304347826,0.41304347826086957,0.9702380952380952,0.9642857142857143,0.9821428571428571,0.4523809523809524,0.7391304347826085,0.6956521739130435,0.717391304347826,0.41304347826086957,0.5409891598915989,0.448562661498708,0.5427094868955334,0.2662779397473275,0.6428571428571429,0.6726190476190477,1.1607142857142858,1.0654761904761905,5.538288131432028,6.000766316144473,0.1,-0.04347826086956519,0.3013033476022282,-0.21434682586309772
9,0.717391304347826,0.7391304347826086,0.8260869565217391,0.41304347826086957,0.9821428571428571,0.9464285714285714,1.0,0.4523809523809524,0.717391304347826,0.7391304347826085,0.8260869565217391,0.41304347826086957,0.5458220415537488,0.48516560958421423,0.6182332041343669,0.2662779397473275,0.6726190476190477,0.6785714285714286,1.3869047619047619,1.1488095238095237,6.868518503635602,7.256560403342232,0.0,0.021739130434782594,0.21513013163088673,-0.2586083925004519
10,0.717391304347826,0.6956521739130435,0.7608695652173914,0.41304347826086957,0.9821428571428571,0.9642857142857143,0.9880952380952381,0.4523809523809524,0.717391304347826,0.6956521739130435,0.7608695652173914,0.41304347826086957,0.5458220415537488,0.4484126984126984,0.5695245134269524,0.2662779397473275,0.6845238095238095,0.7142857142857143,1.5416666666666667,1.3869047619047619,7.823484666195197,7.879153069578579,0.0,-0.021739130434782594,0.26119575915477994,-0.21771749828521464
