numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.6511627906976745,0.627906976744186,0.7441860465116279,0.46511627906976744,0.8245614035087719,0.8128654970760234,0.8421052631578947,0.4327485380116959,0.6511627906976745,0.627906976744186,0.7441860465116278,0.46511627906976744,0.6776218323586745,0.5176820728291317,0.6561904761904762,0.29624143971970057,0.26900584795321636,0.24561403508771928,0.0935672514619883,0.05847953216374269,0.4171988080034057,0.42162910050877334,0.0,-0.023255813953488413,1.2020620668611317,-1.1555504389541549
2,0.7209302325581395,0.6511627906976745,0.7209302325581395,0.46511627906976744,0.8011695906432749,0.847953216374269,0.8654970760233918,0.4327485380116959,0.7209302325581395,0.6511627906976745,0.7209302325581395,0.46511627906976744,0.7385812356979404,0.42954545454545456,0.4798387096774194,0.29624143971970057,0.3684210526315789,0.4269005847953216,0.1286549707602339,0.22807017543859648,0.9271516865374232,0.8487951815968979,0.21052631578947367,-0.06976744186046502,0.7595434871227946,-0.6200086034018644
3,0.7906976744186046,0.813953488372093,0.813953488372093,0.46511627906976744,0.8947368421052632,0.9005847953216374,0.9415204678362573,0.4327485380116959,0.7906976744186046,0.8139534883720931,0.8139534883720931,0.46511627906976744,0.7741193919169448,0.7214211076280042,0.642921146953405,0.29624143971970057,0.47953216374269003,0.5087719298245614,0.3391812865497076,0.3508771929824561,1.2950255299317834,1.4022584435897307,0.0,0.023255813953488413,0.45474696003592463,-0.5012585879429013
4,0.813953488372093,0.8604651162790697,0.7674418604651163,0.46511627906976744,0.935672514619883,0.9181286549707602,0.9415204678362573,0.4327485380116959,0.8139534883720931,0.8604651162790697,0.7674418604651162,0.46511627906976744,0.7338720538720539,0.835,0.6004190583986849,0.29624143971970057,0.5146198830409356,0.5672514619883041,0.4619883040935672,0.5029239766081871,1.838586464413377,1.9494146507692356,0.125,0.046511627906976716,0.32815941684980476,-0.4211826726637583
5,0.8837209302325582,0.8372093023255814,0.7209302325581395,0.46511627906976744,0.9532163742690059,0.9532163742690059,0.9766081871345029,0.4327485380116959,0.8837209302325582,0.8372093023255814,0.7209302325581395,0.46511627906976744,0.8257322951427511,0.7093879976232919,0.5042562724014337,0.29624143971970057,0.543859649122807,0.6140350877192983,0.5730994152046783,0.672514619883041,2.3650091748051127,2.578792883958577,0.125,-0.046511627906976716,0.37218267266375826,-0.27915941684980483
6,0.8837209302325582,0.8837209302325582,0.8604651162790697,0.46511627906976744,0.9649122807017544,0.9707602339181286,0.9707602339181286,0.4327485380116959,0.8837209302325582,0.8837209302325582,0.8604651162790697,0.46511627906976744,0.7733333333333332,0.8760752688172044,0.835,0.29624143971970057,0.5672514619883041,0.6257309941520468,0.6198830409356725,0.8830409356725146,3.0259385690612857,3.2305461314761748,0.16666666666666666,0.0,0.2749844937020549,-0.2749844937020549
7,0.8837209302325582,0.8604651162790697,0.8372093023255814,0.46511627906976744,0.9766081871345029,0.9649122807017544,0.9824561403508771,0.4327485380116959,0.8837209302325582,0.8604651162790697,0.8372093023255814,0.46511627906976744,0.8330172413793104,0.835483870967742,0.821421107628004,0.29624143971970057,0.6023391812865497,0.6198830409356725,0.7309941520467836,0.9766081871345029,3.8873084202421606,4.205763053241611,0.0,-0.023255813953488413,0.26541566794672683,-0.21890404003975006
8,0.8837209302325582,0.8372093023255814,0.8604651162790697,0.46511627906976744,0.9707602339181286,0.9766081871345029,0.9883040935672515,0.4327485380116959,0.8837209302325582,0.8372093023255814,0.8604651162790697,0.46511627906976744,0.8330172413793104,0.8506720430107528,0.835483870967742,0.29624143971970057,0.6374269005847953,0.6198830409356725,0.9239766081871345,1.0350877192982457,4.787266290990895,5.3103610161063335,0.16666666666666666,-0.046511627906976716,0.2815249722018702,-0.18850171638791677
9,0.8604651162790697,0.8604651162790697,0.8837209302325582,0.46511627906976744,0.9824561403508771,0.9590643274853801,0.9883040935672515,0.4327485380116959,0.8604651162790697,0.8604651162790697,0.8837209302325582,0.46511627906976744,0.7594957360029662,0.8635752688172044,0.7119252873563218,0.29624143971970057,0.6608187134502924,0.631578947368421,1.1695906432748537,1.1461988304093567,5.39846272203183,6.505650566145789,0.16666666666666666,0.0,0.22054004925761048,-0.22054004925761048
10,0.8604651162790697,0.8604651162790697,0.8372093023255814,0.46511627906976744,0.9941520467836257,0.9707602339181286,0.9941520467836257,0.4327485380116959,0.8604651162790697,0.8604651162790697,0.8372093023255814,0.46511627906976744,0.7594957360029662,0.8635752688172044,0.6612554112554112,0.29624143971970057,0.6666666666666666,0.6549707602339181,1.3216374269005848,1.280701754385965,6.510786152504732,7.8650499983948965,0.16666666666666666,0.0,0.2096511603687216,-0.2096511603687216
11,0.8604651162790697,0.8837209302325582,0.8837209302325582,0.46511627906976744,0.9883040935672515,0.9649122807017544,1.0,0.4327485380116959,0.8604651162790697,0.8837209302325582,0.8837209302325582,0.46511627906976744,0.7594957360029662,0.8760752688172044,0.8483870967741935,0.29624143971970057,0.6783625730994152,0.672514619883041,1.4210526315789473,1.4970760233918128,7.810221531224707,9.55831834280383,0.0,0.023255813953488413,0.1679949491306592,-0.21450657703763598
12,0.8604651162790697,0.8604651162790697,0.8372093023255814,0.46511627906976744,0.9883040935672515,0.9766081871345029,0.9941520467836257,0.4327485380116959,0.8604651162790697,0.8604651162790697,0.8372093023255814,0.46511627906976744,0.7594957360029662,0.8635752688172044,0.7610752688172042,0.29624143971970057,0.7134502923976608,0.6900584795321637,1.6666666666666667,1.672514619883041,8.280540820949504,10.379664737869359,0.16666666666666666,0.0,0.19331782703538827,-0.19331782703538827
13,0.8604651162790697,0.8837209302325582,0.8372093023255814,0.46511627906976744,0.9941520467836257,0.9883040935672515,0.9883040935672515,0.4327485380116959,0.8604651162790697,0.8837209302325582,0.8372093023255814,0.46511627906976744,0.6884686688913607,0.8760752688172044,0.7891666666666667,0.29624143971970057,0.7134502923976608,0.6842105263157895,1.8771929824561404,1.7309941520467835,9.14759943627934,12.108654321249514,0.0,0.023255813953488413,0.15428865542436548,-0.2008002833313422
14,0.8604651162790697,0.9069767441860465,0.8837209302325582,0.46511627906976744,0.9883040935672515,0.9824561403508771,1.0,0.4327485380116959,0.8604651162790697,0.9069767441860465,0.8837209302325582,0.46511627906976744,0.6884686688913607,0.9498039215686275,0.8760752688172044,0.29624143971970057,0.7309941520467836,0.6666666666666666,1.976608187134503,1.8654970760233918,10.97781970089529,13.529822323756791,0.16666666666666666,0.046511627906976716,0.13600171638791675,-0.22902497220187024
15,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.46511627906976744,0.9941520467836257,0.9883040935672515,0.9883040935672515,0.4327485380116959,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.46511627906976744,0.6884686688913607,0.924705882352941,0.7008960573476702,0.29624143971970057,0.7192982456140351,0.6666666666666666,2.134502923976608,2.0584795321637426,12.171224158215129,15.519677098663928,0.16666666666666666,0.0,0.17698449370205493,-0.17698449370205493
16,0.8604651162790697,0.9302325581395349,0.8604651162790697,0.46511627906976744,0.9941520467836257,0.9883040935672515,0.9824561403508771,0.4327485380116959,0.8604651162790697,0.9302325581395349,0.8604651162790697,0.46511627906976744,0.6884686688913607,0.9624633431085045,0.8590075326318211,0.29624143971970057,0.7192982456140351,0.695906432748538,2.216374269005848,2.263157894736842,13.64023664597342,16.87628808767047,1.3333333333333333,0.06976744186046513,0.07313946617250118,-0.21267434989343142
17,0.9069767441860465,0.9069767441860465,0.8837209302325582,0.46511627906976744,0.9941520467836257,0.9941520467836257,1.0,0.4327485380116959,0.9069767441860465,0.9069767441860465,0.8837209302325582,0.46511627906976744,0.8608333333333335,0.945118845500849,0.8290686274509804,0.29624143971970057,0.7134502923976608,0.7017543859649122,2.3859649122807016,2.502923976608187,15.419989667248313,17.81041867420958,0.25,0.0,0.14880984952120385,-0.14880984952120385
18,0.8837209302325582,0.9534883720930233,0.9069767441860465,0.46511627906976744,0.9941520467836257,0.9941520467836257,1.0,0.4327485380116959,0.8837209302325582,0.9534883720930233,0.9069767441860465,0.46511627906976744,0.7116487455197132,0.975,0.8279569892473118,0.29624143971970057,0.7251461988304093,0.7076023391812866,2.6023391812865495,2.6491228070175437,17.100618000807426,19.3228093149725,1.3333333333333333,0.06976744186046513,0.06633391061694567,-0.20586879433787592
19,0.8837209302325582,0.9302325581395349,0.8604651162790697,0.46511627906976744,0.9941520467836257,0.9941520467836257,1.0,0.4327485380116959,0.8837209302325582,0.9302325581395349,0.8604651162790697,0.46511627906976744,0.7116487455197132,0.957618845500849,0.835,0.29624143971970057,0.7192982456140351,0.7192982456140351,2.754385964912281,2.818713450292398,19.018652116635558,20.71706113763559,0.25,0.046511627906976716,0.09728405026734119,-0.19030730608129467
20,0.8372093023255814,0.9302325581395349,0.9069767441860465,0.46511627906976744,0.9941520467836257,0.9941520467836257,1.0,0.4327485380116959,0.8372093023255814,0.9302325581395349,0.9069767441860465,0.46511627906976744,0.6388270918304289,0.957618845500849,0.8884848484848484,0.29624143971970057,0.7192982456140351,0.7192982456140351,2.953216374269006,2.8596491228070176,20.964379610187645,22.427794103624375,1.5,0.09302325581395343,0.0710378833366694,-0.2570843949645764
21,0.8604651162790697,0.9302325581395349,0.8604651162790697,0.46511627906976744,0.9941520467836257,1.0,1.0,0.4327485380116959,0.8604651162790697,0.9302325581395349,0.8604651162790697,0.46511627906976744,0.65,0.957618845500849,0.7240143369175627,0.29624143971970057,0.7426900584795322,0.7426900584795322,3.1578947368421053,3.0701754385964914,22.495061601674884,23.659285068272773,0.8,0.06976744186046513,0.08093372789723534,-0.22046861161816556
