numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5161290322580645,0.6774193548387096,0.6774193548387096,0.3548387096774194,0.8633879781420765,0.8306010928961749,0.8360655737704918,0.4371584699453552,0.5161290322580645,0.6774193548387096,0.6774193548387096,0.35483870967741943,0.5645502645502646,0.4992063492063492,0.5739898989898989,0.24761904761904763,0.2896174863387978,0.2568306010928962,0.15300546448087432,0.08743169398907104,0.35683602190467073,0.40168334383162485,1.0666666666666667,0.16129032258064513,1.0700785924474105,-1.392659237608701
2,0.41935483870967744,0.5806451612903226,0.4838709677419355,0.3548387096774194,0.8524590163934426,0.8142076502732241,0.9016393442622951,0.4371584699453552,0.41935483870967744,0.5806451612903226,0.4838709677419355,0.35483870967741943,0.4611111111111111,0.6031513970110461,0.3193581780538302,0.24761904761904763,0.41530054644808745,0.4426229508196721,0.3005464480874317,0.25136612021857924,0.8194514268554093,0.8959296012315305,1.4545454545454546,0.16129032258064513,0.5459568201774465,-0.8685374653387368
3,0.5161290322580645,0.7096774193548387,0.6451612903225806,0.3548387096774194,0.9453551912568307,0.912568306010929,0.9398907103825137,0.4371584699453552,0.5161290322580645,0.7096774193548389,0.6451612903225806,0.35483870967741943,0.5368421052631579,0.657487922705314,0.5047619047619049,0.24761904761904763,0.5519125683060109,0.5628415300546448,0.5683060109289617,0.47540983606557374,1.231044804936458,1.260474929207582,1.7857142857142858,0.19354838709677424,0.37930377367130813,-0.7664005478648566
4,0.5483870967741935,0.6774193548387096,0.5161290322580645,0.3548387096774194,0.9398907103825137,0.8961748633879781,0.9398907103825137,0.4371584699453552,0.5483870967741935,0.6774193548387096,0.5161290322580645,0.35483870967741943,0.5664983164983165,0.6434343434343435,0.4432098765432098,0.24761904761904763,0.6065573770491803,0.644808743169399,0.726775956284153,0.6065573770491803,1.9987499935576396,1.8535223866980002,0.9,0.12903225806451613,0.3210000641768982,-0.5790645803059304
5,0.5806451612903226,0.5806451612903226,0.7419354838709677,0.3548387096774194,0.9781420765027322,0.9453551912568307,0.9672131147540983,0.4371584699453552,0.5806451612903226,0.5806451612903226,0.7419354838709677,0.35483870967741943,0.5594276094276094,0.5222222222222223,0.6712121212121213,0.24761904761904763,0.6338797814207651,0.6885245901639344,0.907103825136612,0.6885245901639344,2.653478053431302,2.4690893499784914,0.08333333333333333,0.0,0.41502061824741926,-0.41502061824741926
6,0.5806451612903226,0.5806451612903226,0.5161290322580645,0.3548387096774194,0.994535519125683,0.9508196721311475,0.9781420765027322,0.4371584699453552,0.5806451612903226,0.5806451612903226,0.5161290322580645,0.35483870967741943,0.5594276094276094,0.48412698412698413,0.4814009661835748,0.24761904761904763,0.6612021857923497,0.7103825136612022,1.1420765027322404,0.8142076502732241,3.327892995235062,3.1995263719267024,0.125,0.0,0.3421629192850279,-0.3421629192850279
7,0.5483870967741935,0.6129032258064516,0.5483870967741935,0.3548387096774194,0.994535519125683,0.9562841530054644,0.994535519125683,0.4371584699453552,0.5483870967741935,0.6129032258064516,0.5483870967741935,0.35483870967741943,0.4316498316498316,0.5386868686868687,0.42412698412698413,0.24761904761904763,0.6721311475409836,0.7158469945355191,1.3387978142076502,1.0,4.228509084935468,4.289096682490483,0.1,0.06451612903225812,0.2767072115668208,-0.40573946963133684
8,0.5161290322580645,0.6451612903225806,0.5161290322580645,0.3548387096774194,0.9890710382513661,0.9672131147540983,0.9726775956284153,0.4371584699453552,0.5161290322580645,0.6451612903225806,0.5161290322580645,0.35483870967741943,0.4187590187590187,0.5512345679012346,0.3486714975845411,0.24761904761904763,0.6830601092896175,0.7158469945355191,1.4972677595628416,1.1420765027322404,5.141810705029105,5.136359173067895,0.9,0.12903225806451613,0.1985000641768982,-0.45656458030593045
9,0.5483870967741935,0.6774193548387096,0.6451612903225806,0.3548387096774194,0.9836065573770492,0.9781420765027322,0.994535519125683,0.4371584699453552,0.5483870967741935,0.6774193548387096,0.6451612903225806,0.35483870967741943,0.4353535353535353,0.6398310591293047,0.5658730158730159,0.24761904761904763,0.6830601092896175,0.7431693989071039,1.6557377049180328,1.3278688524590163,6.272451030597747,6.170726502892519,0.9,0.12903225806451613,0.18488895306578707,-0.4429534691948193
10,0.5483870967741935,0.6451612903225806,0.7096774193548387,0.3548387096774194,0.9781420765027322,0.9617486338797814,0.9890710382513661,0.4371584699453552,0.5483870967741935,0.6451612903225806,0.7096774193548389,0.35483870967741943,0.4353535353535353,0.5704874835309617,0.6813131313131313,0.24761904761904763,0.6721311475409836,0.73224043715847,1.8087431693989071,1.5081967213114753,7.586558764604899,7.450397838171974,0.5714285714285714,0.09677419354838712,0.17193926075908217,-0.3654876478558563
