numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.673469387755102,0.7551020408163265,0.6530612244897959,0.8367346938775511,0.8858267716535433,0.8858267716535433,0.8976377952755905,0.8543307086614174,0.673469387755102,0.7551020408163265,0.6530612244897959,0.8367346938775511,0.6700336700336702,0.7365591397849462,0.6530612244897959,0.8310344827586207,0.2952755905511811,0.3346456692913386,0.18110236220472442,0.2204724409448819,0.31502123010432226,0.32241132917673715,0.75,0.08163265306122447,1.0388039838238554,-1.2020692899463046
2,0.7142857142857143,0.7959183673469388,0.5510204081632653,0.8367346938775511,0.8740157480314961,0.9330708661417323,0.9133858267716536,0.8543307086614174,0.7142857142857143,0.7959183673469388,0.5510204081632653,0.8367346938775511,0.7141666666666666,0.7850877192982455,0.5508333333333333,0.8310344827586207,0.452755905511811,0.5393700787401575,0.40551181102362205,0.43700787401574803,0.7560933589940282,0.6577480070858653,0.5625,0.08163265306122447,0.5699917540671292,-0.7332570601895781
3,0.7959183673469388,0.7551020408163265,0.6938775510204082,0.8367346938775511,0.9566929133858267,0.9409448818897638,0.968503937007874,0.8543307086614174,0.7959183673469388,0.7551020408163265,0.6938775510204082,0.8367346938775511,0.7916666666666666,0.729779411764706,0.6743464776251662,0.8310344827586207,0.5905511811023622,0.6417322834645669,0.6377952755905512,0.5748031496062992,1.1795073641218847,1.192864937198032,0.1,-0.04081632653061229,0.4944893404595238,-0.41285668739829934
4,0.7551020408163265,0.7755102040816326,0.6938775510204082,0.8367346938775511,0.9094488188976378,0.9488188976377953,0.9330708661417323,0.8543307086614174,0.7551020408163265,0.7755102040816326,0.6938775510204082,0.8367346938775511,0.754180602006689,0.7555555555555555,0.6918238993710693,0.8310344827586207,0.6653543307086615,0.6811023622047244,0.8110236220472441,0.7913385826771654,1.8659428028565022,1.5766902221072043,0.0,0.020408163265306145,0.357379837176091,-0.3981961637067033
5,0.8163265306122449,0.7755102040816326,0.7755102040816326,0.8367346938775511,0.952755905511811,0.9448818897637795,0.9763779527559056,0.8543307086614174,0.8163265306122449,0.7755102040816326,0.7755102040816326,0.8367346938775511,0.8135306553911206,0.7555555555555555,0.76936243046641,0.8310344827586207,0.7204724409448819,0.7244094488188977,1.047244094488189,0.9448818897637795,2.3885315439045858,2.338573830720723,0.125,-0.04081632653061229,0.3505291764856545,-0.26889652342443005
6,0.7551020408163265,0.7959183673469388,0.7755102040816326,0.8367346938775511,0.9488188976377953,0.968503937007874,0.9921259842519685,0.8543307086614174,0.7551020408163265,0.7959183673469388,0.7755102040816326,0.8367346938775511,0.754180602006689,0.7850877192982455,0.76936243046641,0.8310344827586207,0.7283464566929134,0.7322834645669292,1.2283464566929134,1.2125984251968505,3.078251381747001,3.0702012540423396,0.125,0.04081632653061229,0.23622985675776337,-0.31786250981898784
7,0.7346938775510204,0.7959183673469388,0.7959183673469388,0.8367346938775511,0.9606299212598425,0.9724409448818898,0.9763779527559056,0.8543307086614174,0.7346938775510203,0.7959183673469388,0.7959183673469388,0.8367346938775511,0.7329140461215934,0.7850877192982455,0.7916666666666666,0.8310344827586207,0.7362204724409449,0.7440944881889764,1.4094488188976377,1.4763779527559056,3.899332064750105,3.6648156037123973,0.36363636363636365,0.061224489795918324,0.21254350918373455,-0.3349924887755712
8,0.7346938775510204,0.8367346938775511,0.8163265306122449,0.8367346938775511,0.9606299212598425,0.968503937007874,0.9881889763779528,0.8543307086614174,0.7346938775510203,0.8367346938775511,0.8163265306122449,0.8367346938775511,0.7342511472674176,0.8280701754385964,0.8112965340179717,0.8310344827586207,0.7559055118110236,0.7283464566929134,1.641732283464567,1.6456692913385826,5.024059062935321,4.6114768269675315,1.7777777777777777,0.10204081632653061,0.14381365878731456,-0.34789529144037573
9,0.7755102040816326,0.7959183673469388,0.7346938775510204,0.8367346938775511,0.9606299212598425,0.984251968503937,0.9803149606299213,0.8543307086614174,0.7755102040816326,0.7959183673469388,0.7346938775510203,0.8367346938775511,0.7740041928721175,0.7850877192982455,0.717766947275144,0.8310344827586207,0.7637795275590551,0.7795275590551181,1.8267716535433072,1.9015748031496063,6.031218342242736,5.456089134036267,0.0,0.020408163265306145,0.19446493700067655,-0.23528126353128873
10,0.7755102040816326,0.7959183673469388,0.6938775510204082,0.8367346938775511,0.9645669291338582,0.9803149606299213,0.9921259842519685,0.8543307086614174,0.7755102040816326,0.7959183673469388,0.6938775510204082,0.8367346938775511,0.7740041928721175,0.7850877192982455,0.6892177589852009,0.8310344827586207,0.7677165354330708,0.7834645669291339,2.043307086614173,2.0708661417322833,6.78022858499921,6.211334621990666,0.0,0.020408163265306145,0.18357604811178765,-0.22439237464239983
11,0.7959183673469388,0.8163265306122449,0.7755102040816326,0.8367346938775511,0.9763779527559056,0.984251968503937,0.9960629921259843,0.8543307086614174,0.7959183673469388,0.8163265306122449,0.7755102040816326,0.8367346938775511,0.7916666666666666,0.8046078865750996,0.7720930232558139,0.8310344827586207,0.7834645669291339,0.7755905511811023,2.2913385826771653,2.2913385826771653,7.56278513506855,7.3506363153891465,0.0,0.020408163265306145,0.15830781520479223,-0.19912414173540452
12,0.7959183673469388,0.7959183673469388,0.7346938775510204,0.8367346938775511,0.9763779527559056,0.9921259842519685,0.9881889763779528,0.8543307086614174,0.7959183673469388,0.7959183673469388,0.7346938775510203,0.8367346938775511,0.7916666666666666,0.7850877192982455,0.727428326914848,0.8310344827586207,0.7874015748031497,0.7874015748031497,2.543307086614173,2.5393700787401574,8.656510320702772,8.306070968380105,0.25,0.0,0.16166666666666665,-0.16166666666666665
13,0.7755102040816326,0.7959183673469388,0.7755102040816326,0.8367346938775511,0.9803149606299213,0.9881889763779528,1.0,0.8543307086614174,0.7755102040816326,0.7959183673469388,0.7755102040816326,0.8367346938775511,0.76936243046641,0.7850877192982455,0.7611874169251218,0.8310344827586207,0.7874015748031497,0.8031496062992126,2.8149606299212597,2.8149606299212597,9.583439971298088,9.39420649146547,0.0,0.020408163265306145,0.1446015214984985,-0.18541784802911074
14,0.7755102040816326,0.7755102040816326,0.7551020408163265,0.8367346938775511,0.984251968503937,0.9881889763779528,0.9960629921259843,0.8543307086614174,0.7755102040816326,0.7755102040816326,0.7551020408163265,0.8367346938775511,0.76936243046641,0.7611874169251218,0.7525252525252526,0.8310344827586207,0.7992125984251969,0.8031496062992126,3.0511811023622046,3.0826771653543306,10.614921003986247,10.759278107987859,0.16666666666666666,0.0,0.16797958971132712,-0.16797958971132712
15,0.7551020408163265,0.7959183673469388,0.8163265306122449,0.8367346938775511,0.9881889763779528,0.9881889763779528,0.984251968503937,0.8543307086614174,0.7551020408163265,0.7959183673469388,0.8163265306122449,0.8367346938775511,0.7465517241379309,0.7804659498207885,0.8112965340179717,0.8310344827586207,0.8031496062992126,0.8149606299212598,3.263779527559055,3.322834645669291,11.970626415819167,11.641120742548438,0.16666666666666666,0.04081632653061229,0.1231608725263329,-0.20479352558755742
16,0.7755102040816326,0.7959183673469388,0.7346938775510204,0.8367346938775511,0.9921259842519685,0.9960629921259843,0.9960629921259843,0.8543307086614174,0.7755102040816326,0.7959183673469388,0.7346938775510203,0.8367346938775511,0.76936243046641,0.7804659498207885,0.717766947275144,0.8310344827586207,0.7952755905511811,0.7952755905511811,3.5196850393700787,3.562992125984252,13.414538590049888,12.617694923109928,0.0,0.020408163265306145,0.13046690611388312,-0.17128323264449535
