numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7659574468085106,0.7872340425531915,0.5957446808510638,0.8723404255319149,0.8671875,0.859375,0.875,0.8359375,0.7659574468085105,0.7872340425531915,0.5957446808510638,0.8723404255319149,0.7589743589743589,0.7824074074074074,0.5765765765765766,0.8649425287356323,0.33984375,0.3046875,0.20703125,0.1640625,0.36060851088909157,0.3683925721703506,0.0,0.021276595744680882,1.0971674124312771,-1.1397206039206387
2,0.7872340425531915,0.723404255319149,0.6595744680851063,0.8723404255319149,0.8515625,0.85546875,0.8828125,0.8359375,0.7872340425531915,0.723404255319149,0.6595744680851063,0.8723404255319149,0.7871376811594203,0.723404255319149,0.6556776556776557,0.8649425287356323,0.5,0.47265625,0.3984375,0.328125,0.7660521132133962,0.845778337164088,0.3076923076923077,-0.06382978723404253,0.705292290130218,-0.5776327156621329
3,0.7659574468085106,0.7659574468085106,0.7872340425531915,0.8723404255319149,0.9453125,0.91796875,0.9453125,0.8359375,0.7659574468085105,0.7659574468085105,0.7872340425531915,0.8723404255319149,0.7620800736309249,0.7548601232811759,0.7824074074074074,0.8649425287356323,0.58984375,0.55859375,0.52734375,0.515625,1.3041532103931077,1.3072411726835786,0.1,0.0,0.4585403733460288,-0.4585403733460288
4,0.7659574468085106,0.7872340425531915,0.7872340425531915,0.8723404255319149,0.94140625,0.9296875,0.953125,0.8359375,0.7659574468085105,0.7872340425531915,0.7872340425531915,0.8723404255319149,0.7655328798185941,0.7863636363636364,0.7863636363636364,0.8649425287356323,0.66015625,0.61328125,0.7578125,0.6796875,1.8472487957037067,2.007635493069402,0.0,0.021276595744680882,0.34897757982305744,-0.3915307713124192
5,0.7446808510638298,0.851063829787234,0.8085106382978723,0.8723404255319149,0.9609375,0.94921875,0.984375,0.8359375,0.7446808510638298,0.8510638297872339,0.8085106382978723,0.8723404255319149,0.7388888888888889,0.8466200466200466,0.8081632653061224,0.8649425287356323,0.671875,0.68359375,0.9296875,0.94921875,2.4792617551367213,2.7155835339049923,1.7777777777777777,0.1063829787234043,0.21836733366607675,-0.43113329111288523
6,0.7446808510638298,0.8085106382978723,0.723404255319149,0.8723404255319149,0.9609375,0.9609375,0.9765625,0.8359375,0.7446808510638298,0.8085106382978723,0.723404255319149,0.8723404255319149,0.7417582417582418,0.8053382420616659,0.7188219052001841,0.8649425287356323,0.69921875,0.71484375,1.1328125,1.140625,3.31951280450351,3.678936545186694,0.36363636363636365,0.06382978723404253,0.23901252387815303,-0.3666720983462381
7,0.7659574468085106,0.8085106382978723,0.851063829787234,0.8723404255319149,0.96484375,0.96484375,0.984375,0.8359375,0.7659574468085105,0.8085106382978723,0.8510638297872339,0.8723404255319149,0.7589743589743589,0.8053382420616659,0.8466200466200466,0.8649425287356323,0.70703125,0.72265625,1.3671875,1.32421875,3.9451229805899164,4.171839377466995,0.1,0.04255319148936165,0.22988049098565538,-0.3149868739643788
8,0.7446808510638298,0.8085106382978723,0.8723404255319149,0.8723404255319149,0.96484375,0.95703125,0.9765625,0.8359375,0.7446808510638298,0.8085106382978723,0.8723404255319149,0.8723404255319149,0.7417582417582418,0.8053382420616659,0.8694444444444445,0.8649425287356323,0.72265625,0.74609375,1.609375,1.4765625,4.645047850447612,4.985523294410532,0.36363636363636365,0.06382978723404253,0.1981791905448197,-0.32583876501290476
9,0.8085106382978723,0.851063829787234,0.6808510638297872,0.8723404255319149,0.98046875,0.9609375,0.99609375,0.8359375,0.8085106382978723,0.8510638297872339,0.6808510638297872,0.8723404255319149,0.8027972027972028,0.8466200466200466,0.6755637367694431,0.8649425287356323,0.7421875,0.73046875,1.76953125,1.64453125,5.702983880216193,5.836354643798061,0.16666666666666666,0.042553191489361764,0.1692065409294208,-0.2543129239081442
10,0.7659574468085106,0.8297872340425532,0.7659574468085106,0.8723404255319149,0.98046875,0.96875,0.98046875,0.8359375,0.7659574468085105,0.8297872340425532,0.7659574468085105,0.8723404255319149,0.7620800736309249,0.825925925925926,0.7655328798185941,0.8649425287356323,0.7578125,0.74609375,1.96875,1.8671875,6.776670286213903,7.1314220225199465,0.4444444444444444,0.06382978723404253,0.1606005096818161,-0.28826008414990123
