numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7727272727272727,0.8181818181818182,0.6590909090909091,0.8409090909090909,0.8725868725868726,0.8841698841698842,0.8996138996138996,0.8494208494208494,0.7727272727272727,0.8181818181818182,0.6590909090909091,0.8409090909090909,0.7544642857142857,0.8035714285714286,0.6546310832025117,0.8256932654216186,0.33976833976833976,0.3088803088803089,0.21235521235521235,0.19305019305019305,0.34981160580145093,0.3210992312912237,0.1,0.045454545454545525,1.07604939756581,-1.166958488474901
2,0.7045454545454546,0.7045454545454546,0.7954545454545454,0.8409090909090909,0.8764478764478765,0.8764478764478765,0.9266409266409267,0.8494208494208494,0.7045454545454546,0.7045454545454546,0.7954545454545455,0.8409090909090909,0.6968733439321675,0.7043927648578812,0.7901430842607312,0.8256932654216186,0.5057915057915058,0.5057915057915058,0.38223938223938225,0.42084942084942084,0.7743139393594581,0.6826341054683662,0.07142857142857142,0.0,0.6566738290472027,-0.6566738290472027
3,0.7954545454545454,0.75,0.7954545454545454,0.8409090909090909,0.9305019305019305,0.9382239382239382,0.9806949806949807,0.8494208494208494,0.7954545454545455,0.75,0.7954545454545455,0.8409090909090909,0.7818181818181817,0.7333333333333334,0.786522911051213,0.8256932654216186,0.6177606177606177,0.6254826254826255,0.583011583011583,0.6718146718146718,1.2901529812472368,1.2348164613259638,0.125,-0.045454545454545414,0.4988286343544251,-0.40791954344533415
4,0.8181818181818182,0.7727272727272727,0.7727272727272727,0.8409090909090909,0.9343629343629344,0.9266409266409267,0.9575289575289575,0.8494208494208494,0.8181818181818182,0.7727272727272727,0.7727272727272727,0.8409090909090909,0.8082788671023965,0.764957264957265,0.7684210526315789,0.8256932654216186,0.6872586872586872,0.6640926640926641,0.7915057915057915,0.8108108108108109,1.9018369501399406,1.8060222081612993,0.16666666666666666,-0.045454545454545525,0.4003916902585807,-0.30948259934948974
5,0.7954545454545454,0.7954545454545454,0.7727272727272727,0.8409090909090909,0.9420849420849421,0.9613899613899614,0.9806949806949807,0.8494208494208494,0.7954545454545455,0.7954545454545455,0.7727272727272727,0.8409090909090909,0.7818181818181817,0.7818181818181817,0.7471264367816093,0.8256932654216186,0.7258687258687259,0.7065637065637066,0.9845559845559846,1.054054054054054,2.4694692252908523,2.3822044674787546,0.125,0.0,0.32199357192051214,-0.32199357192051214
6,0.7954545454545454,0.75,0.7272727272727273,0.8409090909090909,0.9498069498069498,0.9691119691119691,0.9922779922779923,0.8494208494208494,0.7954545454545455,0.75,0.7272727272727273,0.8409090909090909,0.7818181818181817,0.7390835579514825,0.7179487179487178,0.8256932654216186,0.7644787644787645,0.7567567567567568,1.2123552123552124,1.3513513513513513,3.1186628590081646,2.9140676161674683,0.16666666666666666,-0.045454545454545414,0.318725023591914,-0.22781593268282307
7,0.8181818181818182,0.75,0.8181818181818182,0.8409090909090909,0.9613899613899614,0.9691119691119691,0.9845559845559846,0.8494208494208494,0.8181818181818182,0.75,0.8181818181818182,0.8409090909090909,0.8035714285714286,0.7390835579514825,0.8035714285714286,0.8256932654216186,0.7799227799227799,0.7567567567567568,1.4131274131274132,1.5328185328185329,3.6863309095542403,3.7838488534285677,0.8,-0.06818181818181823,0.30980547016118193,-0.17344183379754557
8,0.8409090909090909,0.7272727272727273,0.7727272727272727,0.8409090909090909,0.9806949806949807,0.9768339768339769,0.9884169884169884,0.8494208494208494,0.8409090909090909,0.7272727272727273,0.7727272727272727,0.8409090909090909,0.8303030303030303,0.7221052631578948,0.7603485838779956,0.8256932654216186,0.7799227799227799,0.7683397683397684,1.640926640926641,1.7104247104247103,4.490470356154183,4.492239353267432,3.2,-0.11363636363636365,0.34125025128404185,-0.11397752401131458
9,0.8409090909090909,0.8181818181818182,0.7954545454545454,0.8409090909090909,0.9691119691119691,0.9845559845559846,0.9884169884169884,0.8494208494208494,0.8409090909090909,0.8181818181818182,0.7954545454545455,0.8409090909090909,0.8303030303030303,0.8082788671023965,0.7758913412563666,0.8256932654216186,0.749034749034749,0.7722007722007722,1.752895752895753,1.9073359073359073,5.630255227690297,5.6818506025846975,0.0,-0.022727272727272707,0.2090628544629681,-0.16360830900842263
10,0.8409090909090909,0.75,0.7727272727272727,0.8409090909090909,0.9691119691119691,0.9845559845559846,0.9845559845559846,0.8494208494208494,0.8409090909090909,0.75,0.7727272727272727,0.8409090909090909,0.8303030303030303,0.7435082140964493,0.764957264957265,0.8256932654216186,0.7722007722007722,0.7683397683397684,1.9884169884169884,2.081081081081081,6.7216159888124665,6.729982669758243,2.25,-0.09090909090909094,0.2819615106381367,-0.10014332881995486
