numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.75,0.7794117647058824,0.6911764705882353,0.9117647058823529,0.8851063829787233,0.8638297872340426,0.8851063829787233,0.8212765957446808,0.75,0.7794117647058824,0.6911764705882353,0.9117647058823528,0.7486410089149815,0.7770491803278688,0.691109669046074,0.9110723626852659,0.2978723404255319,0.3191489361702128,0.1829787234042553,0.1829787234042553,0.3169914868042934,0.3631841273898238,0.07142857142857142,0.02941176470588236,1.0586623404835542,-1.1174858698953192
2,0.7352941176470589,0.6911764705882353,0.7941176470588235,0.9117647058823529,0.8595744680851064,0.8723404255319149,0.8638297872340426,0.8212765957446808,0.735294117647059,0.6911764705882353,0.7941176470588235,0.9117647058823528,0.7350649350649351,0.6894977168949772,0.7925021795989537,0.9110723626852659,0.4595744680851064,0.5063829787234042,0.30638297872340425,0.4,0.8102058407711643,0.7442570763488344,0.21052631578947367,-0.044117647058823595,0.6601933361556254,-0.5719580420379784
3,0.7941176470588235,0.7794117647058824,0.8088235294117647,0.9117647058823529,0.9276595744680851,0.9148936170212766,0.9617021276595744,0.8212765957446808,0.7941176470588235,0.7794117647058824,0.8088235294117648,0.9117647058823528,0.7925021795989539,0.7770491803278688,0.8087821760761409,0.9110723626852659,0.574468085106383,0.5872340425531914,0.5319148936170213,0.5787234042553191,1.3505771534622528,1.3232855637728402,0.0,-0.014705882352941124,0.4530603070876222,-0.4236485423817398
4,0.8088235294117647,0.7647058823529411,0.7352941176470589,0.9117647058823529,0.9574468085106383,0.902127659574468,0.9531914893617022,0.8212765957446808,0.8088235294117648,0.7647058823529412,0.735294117647059,0.9117647058823528,0.8087821760761409,0.7647058823529413,0.7332170880557978,0.9110723626852659,0.6340425531914894,0.6382978723404256,0.7276595744680852,0.7531914893617021,1.93637014373383,1.9434499792292963,0.36363636363636365,-0.044117647058823595,0.38528787425636396,-0.2970525801387169
5,0.8529411764705882,0.8235294117647058,0.8382352941176471,0.9117647058823529,0.9617021276595744,0.9574468085106383,0.9829787234042553,0.8212765957446808,0.8529411764705882,0.8235294117647058,0.8382352941176471,0.9117647058823528,0.8508771929824561,0.8221447253705318,0.8373559469449879,0.9110723626852659,0.6851063829787234,0.6808510638297872,0.9914893617021276,0.9319148936170213,2.5868691483147943,2.428191114418663,0.1,-0.02941176470588236,0.3168274571306187,-0.258003927718854
6,0.8676470588235294,0.7794117647058824,0.8382352941176471,0.9117647058823529,0.9787234042553191,0.9531914893617022,0.9702127659574468,0.8212765957446808,0.8676470588235294,0.7794117647058824,0.8382352941176471,0.9117647058823528,0.8669275929549902,0.7793640493186242,0.8382003028336578,0.9110723626852659,0.7063829787234043,0.7106382978723405,1.2127659574468086,1.1063829787234043,3.0741939143596455,3.0076095179007045,2.5,-0.08823529411764708,0.34509825683855333,-0.16862766860325926
7,0.8676470588235294,0.8529411764705882,0.8529411764705882,0.9117647058823529,0.9744680851063829,0.9829787234042553,0.9829787234042553,0.8212765957446808,0.8676470588235294,0.8529411764705882,0.8529411764705882,0.9117647058823528,0.8652872551177635,0.85178727114211,0.85178727114211,0.9110723626852659,0.723404255319149,0.7319148936170212,1.4297872340425533,1.3148936170212766,4.025809894194749,3.6422083656302813,0.0,-0.014705882352941235,0.2310458359830842,-0.20163407127720184
8,0.8529411764705882,0.8235294117647058,0.7794117647058824,0.9117647058823529,0.9787234042553191,0.9617021276595744,0.9914893617021276,0.8212765957446808,0.8529411764705882,0.8235294117647058,0.7794117647058824,0.9117647058823528,0.85178727114211,0.8233766233766234,0.7793640493186242,0.9110723626852659,0.7446808510638298,0.7531914893617021,1.6127659574468085,1.4893617021276595,5.122967086480517,4.5431602058236775,0.1,-0.02941176470588236,0.24332745713061868,-0.18450392771885396
9,0.8529411764705882,0.8235294117647058,0.7941176470588235,0.9117647058823529,0.9787234042553191,0.9702127659574468,0.9872340425531915,0.8212765957446808,0.8529411764705882,0.8235294117647058,0.7941176470588235,0.9117647058823528,0.85178727114211,0.8221447253705318,0.7939393939393938,0.9110723626852659,0.7319148936170212,0.7404255319148936,1.8382978723404255,1.625531914893617,6.070525554764275,5.575377749430249,0.08333333333333333,-0.02941176470588236,0.2383927138043389,-0.17956918439257424
10,0.8382352941176471,0.8235294117647058,0.8088235294117647,0.9117647058823529,0.9829787234042553,0.9702127659574468,0.9872340425531915,0.8212765957446808,0.8382352941176471,0.8235294117647058,0.8088235294117648,0.9117647058823528,0.8373559469449879,0.8233766233766234,0.8087821760761409,0.9110723626852659,0.7617021276595745,0.7574468085106383,2.0893617021276594,1.8595744680851063,7.017812432045471,6.402096862681664,0.0,-0.014705882352941235,0.20836659482810443,-0.17895483012222207
11,0.8529411764705882,0.8235294117647058,0.8676470588235294,0.9117647058823529,0.9787234042553191,0.9744680851063829,0.9872340425531915,0.8212765957446808,0.8529411764705882,0.8235294117647058,0.8676470588235294,0.9117647058823528,0.8508771929824561,0.8221447253705318,0.8662295081967213,0.9110723626852659,0.7617021276595745,0.774468085106383,2.2680851063829786,2.0808510638297872,8.307595535735803,7.357663178302831,0.125,-0.02941176470588236,0.200327102459583,-0.14150357304781833
12,0.8823529411764706,0.8235294117647058,0.8088235294117647,0.9117647058823529,0.9829787234042553,0.9787234042553191,0.9957446808510638,0.8212765957446808,0.8823529411764706,0.8235294117647058,0.8088235294117648,0.9117647058823528,0.8819444444444444,0.8229166666666666,0.8084507042253521,0.9110723626852659,0.7787234042553192,0.7574468085106383,2.502127659574468,2.272340425531915,9.313778928943073,8.838848861001594,1.125,-0.05882352941176472,0.2232056611254726,-0.10555860230194317
13,0.8823529411764706,0.8382352941176471,0.8235294117647058,0.9117647058823529,0.9829787234042553,0.9787234042553191,0.9914893617021276,0.8212765957446808,0.8823529411764706,0.8382352941176471,0.8235294117647058,0.9117647058823528,0.8814298169136878,0.8373559469449879,0.8233766233766234,0.9110723626852659,0.7787234042553192,0.7531914893617021,2.7148936170212767,2.4680851063829787,10.947691996181527,10.554225950611542,0.8,-0.044117647058823484,0.1848010948428115,-0.09656580072516446
14,0.8823529411764706,0.8382352941176471,0.7941176470588235,0.9117647058823529,0.9829787234042553,0.9744680851063829,0.9957446808510638,0.8212765957446808,0.8823529411764706,0.8382352941176471,0.7941176470588235,0.9117647058823528,0.8814298169136878,0.8373559469449879,0.7939393939393938,0.9110723626852659,0.7702127659574468,0.7531914893617021,2.923404255319149,2.7404255319148936,12.250129650230788,12.021221641910024,0.8,-0.044117647058823484,0.1794164794581961,-0.09118118534054909
