numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8,0.8333333333333334,0.75,0.9,0.8559670781893004,0.8930041152263375,0.9176954732510288,0.8353909465020576,0.8000000000000002,0.8333333333333334,0.75,0.9,0.7884841363102232,0.8205741626794258,0.7442455242966752,0.8901098901098901,0.2757201646090535,0.35802469135802467,0.13168724279835392,0.25102880658436216,0.3663536781472513,0.3112918924032225,0.1,0.033333333333333326,1.050311501809822,-1.1169781684764888
2,0.7833333333333333,0.7666666666666667,0.65,0.9,0.8683127572016461,0.8806584362139918,0.897119341563786,0.8353909465020576,0.7833333333333333,0.7666666666666667,0.65,0.9,0.7803435651929034,0.7643097643097643,0.6491228070175439,0.8901098901098901,0.4773662551440329,0.5308641975308642,0.3868312757201646,0.4444444444444444,0.7425605545641514,0.7578279677725506,0.0,-0.016666666666666607,0.6414207911826684,-0.6080874578493349
3,0.8,0.8166666666666667,0.8333333333333334,0.9,0.9506172839506173,0.9259259259259259,0.9588477366255144,0.8353909465020576,0.8000000000000002,0.8166666666666667,0.8333333333333334,0.9,0.7846889952153109,0.8044444444444445,0.8125,0.8901098901098901,0.5843621399176955,0.6008230452674898,0.5925925925925926,0.6172839506172839,1.1635820279382043,1.3597407161722093,0.0,0.016666666666666607,0.4080906987699913,-0.44142403210332465
4,0.7666666666666667,0.7666666666666667,0.8,0.9,0.9300411522633745,0.9382716049382716,0.9465020576131687,0.8353909465020576,0.7666666666666667,0.7666666666666667,0.8000000000000002,0.9,0.76,0.7624434389140271,0.7979797979797979,0.8901098901098901,0.6502057613168725,0.6584362139917695,0.8106995884773662,0.823045267489712,1.770102078795469,1.949075626804006,0.1,0.0,0.34830107023216705,-0.34830107023216705
5,0.8166666666666667,0.8,0.85,0.9,0.9506172839506173,0.9382716049382716,0.9629629629629629,0.8353909465020576,0.8166666666666667,0.8000000000000002,0.85,0.9,0.8044444444444445,0.7802197802197802,0.8400000000000001,0.8901098901098901,0.6748971193415638,0.6995884773662552,0.9012345679012346,1.0246913580246915,2.5248449613607775,2.756274118786981,0.0,-0.016666666666666607,0.26940394293649234,-0.236070609603159
6,0.8,0.8,0.8,0.9,0.9423868312757202,0.9465020576131687,0.9835390946502057,0.8353909465020576,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.9,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.8901098901098901,0.6790123456790124,0.720164609053498,1.0905349794238683,1.308641975308642,3.2504920749029163,3.4782287649933123,0.25,0.0,0.22866666666666666,-0.22866666666666666
7,0.8333333333333334,0.8666666666666667,0.85,0.9,0.9588477366255144,0.9465020576131687,0.9670781893004116,0.8353909465020576,0.8333333333333334,0.8666666666666667,0.85,0.9,0.8237367802585194,0.8534798534798536,0.8426114835324978,0.8901098901098901,0.7119341563786008,0.7407407407407407,1.2757201646090535,1.5185185185185186,3.9440441324180897,4.383192037220741,0.25,0.033333333333333326,0.17254219463559595,-0.23920886130226265
8,0.8166666666666667,0.7833333333333333,0.7666666666666667,0.9,0.9506172839506173,0.9588477366255144,0.9794238683127572,0.8353909465020576,0.8166666666666667,0.7833333333333333,0.7666666666666667,0.9,0.8076362576508307,0.7726610317691636,0.7569444444444444,0.8901098901098901,0.7613168724279835,0.7448559670781894,1.48559670781893,1.7366255144032923,4.720192215676946,5.544050266099643,0.16666666666666666,-0.033333333333333326,0.23629330727943532,-0.1696266406127686
9,0.85,0.8,0.8666666666666667,0.9,0.9711934156378601,0.9465020576131687,0.9917695473251029,0.8353909465020576,0.85,0.8000000000000002,0.8666666666666667,0.9,0.8400000000000001,0.7846889952153109,0.8534798534798536,0.8901098901098901,0.7613168724279835,0.7695473251028807,1.691358024691358,1.9753086419753085,5.549998162575796,6.72167100391778,0.8,-0.04999999999999993,0.23302135291256898,-0.13302135291256895
10,0.8333333333333334,0.7666666666666667,0.85,0.9,0.9670781893004116,0.9547325102880658,0.9917695473251029,0.8353909465020576,0.8333333333333334,0.7666666666666667,0.85,0.9,0.8237367802585194,0.7569444444444444,0.8447829836159817,0.8901098901098901,0.7613168724279835,0.7736625514403292,1.897119341563786,2.152263374485597,6.557847983620955,8.238214002875909,1.5,-0.06666666666666665,0.24644214972625875,-0.11310881639292539
11,0.85,0.7666666666666667,0.8833333333333333,0.9,0.9711934156378601,0.9588477366255144,0.9917695473251029,0.8353909465020576,0.85,0.7666666666666667,0.8833333333333333,0.9,0.8400000000000001,0.7532314923619272,0.8755555555555556,0.8901098901098901,0.7654320987654321,0.7860082304526749,2.0823045267489713,2.374485596707819,7.567535940909262,9.507157750378989,2.2857142857142856,-0.08333333333333326,0.26138719767758034,-0.09472053101091368
12,0.85,0.8,0.8333333333333334,0.9,0.9835390946502057,0.9629629629629629,0.9876543209876543,0.8353909465020576,0.85,0.8000000000000002,0.8333333333333334,0.9,0.8400000000000001,0.7942857142857143,0.8237367802585194,0.8901098901098901,0.7736625514403292,0.7860082304526749,2.279835390946502,2.5637860082304527,8.552035869081363,10.761260119090565,0.5714285714285714,-0.04999999999999993,0.21901564745319013,-0.1190156474531901
13,0.8666666666666667,0.8,0.8666666666666667,0.9,0.9835390946502057,0.9670781893004116,0.9958847736625515,0.8353909465020576,0.8666666666666667,0.8000000000000002,0.8666666666666667,0.9,0.8564593301435407,0.7884841363102232,0.8534798534798536,0.8901098901098901,0.7654320987654321,0.7942386831275721,2.4814814814814814,2.7901234567901234,10.217923290882897,12.025006610692282,1.5,-0.06666666666666665,0.22382676511087413,-0.09049343177754077
14,0.85,0.8166666666666667,0.8166666666666667,0.9,0.9917695473251029,0.9711934156378601,0.9917695473251029,0.8353909465020576,0.85,0.8166666666666667,0.8166666666666667,0.9,0.8400000000000001,0.8076362576508307,0.8076362576508307,0.8901098901098901,0.7695473251028807,0.7860082304526749,2.6954732510288064,2.9465020576131686,11.508770447115449,13.832745857981498,0.25,-0.033333333333333326,0.16920886130226262,-0.10254219463559591
15,0.85,0.8333333333333334,0.8666666666666667,0.9,0.9876543209876543,0.9711934156378601,0.9835390946502057,0.8353909465020576,0.85,0.8333333333333334,0.8666666666666667,0.9,0.8400000000000001,0.8237367802585194,0.8564593301435407,0.8901098901098901,0.7613168724279835,0.7901234567901234,2.8683127572016462,3.2016460905349793,13.17286422013886,15.391538997864352,0.0,-0.016666666666666607,0.13873727626982563,-0.1054039429364923
16,0.85,0.8,0.7833333333333333,0.9,0.9876543209876543,0.9711934156378601,0.9958847736625515,0.8353909465020576,0.85,0.8000000000000002,0.7833333333333333,0.9,0.8400000000000001,0.7916666666666666,0.7644216248867413,0.8901098901098901,0.7613168724279835,0.7818930041152263,3.0617283950617282,3.4074074074074074,14.916785787728315,17.060227986499527,0.8,-0.04999999999999993,0.1853824640236801,-0.08538246402368008
17,0.8666666666666667,0.8166666666666667,0.85,0.9,0.9835390946502057,0.9753086419753086,0.9917695473251029,0.8353909465020576,0.8666666666666667,0.8166666666666667,0.85,0.9,0.8564593301435407,0.8076362576508307,0.8426114835324978,0.8901098901098901,0.7613168724279835,0.7942386831275721,3.2263374485596708,3.633744855967078,16.874224209379218,19.335782765823957,0.8,-0.050000000000000044,0.1817795228472095,-0.08177952284720946
18,0.85,0.8166666666666667,0.8166666666666667,0.9,0.9835390946502057,0.9753086419753086,0.9917695473251029,0.8353909465020576,0.85,0.8166666666666667,0.8166666666666667,0.9,0.8400000000000001,0.8076362576508307,0.8076362576508307,0.8901098901098901,0.757201646090535,0.8065843621399177,3.4526748971193415,3.8106995884773665,18.64499610145335,20.762655481080017,0.25,-0.033333333333333326,0.1536533057467071,-0.08698663908004038
19,0.8666666666666667,0.8166666666666667,0.8833333333333333,0.9,0.9917695473251029,0.9794238683127572,1.0,0.8353909465020576,0.8666666666666667,0.8166666666666667,0.8833333333333333,0.9,0.8564593301435407,0.8076362576508307,0.8703303488731091,0.8901098901098901,0.7489711934156379,0.8065843621399177,3.596707818930041,4.032921810699588,20.94122951699578,23.05459243194989,0.8,-0.050000000000000044,0.17571141139210114,-0.07571141139210111
20,0.8333333333333334,0.8166666666666667,0.7666666666666667,0.9,0.9876543209876543,0.9835390946502057,0.9917695473251029,0.8353909465020576,0.8333333333333334,0.8166666666666667,0.7666666666666667,0.9,0.8237367802585194,0.8076362576508307,0.7488038277511961,0.8901098901098901,0.7448559670781894,0.8106995884773662,3.8353909465020575,4.185185185185185,23.022748589560546,25.28532854787488,0.0,-0.01666666666666672,0.12240394293649229,-0.08907060960315896
21,0.8166666666666667,0.8333333333333334,0.8166666666666667,0.9,0.9917695473251029,0.9753086419753086,1.0,0.8353909465020576,0.8166666666666667,0.8333333333333334,0.8166666666666667,0.9,0.8044444444444445,0.8237367802585194,0.8044444444444445,0.8901098901098901,0.7489711934156379,0.8024691358024691,4.065843621399177,4.345679012345679,25.01954142527758,27.548997198549703,0.0,0.01666666666666672,0.10316652746126972,-0.1364998607946031
22,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.9,0.9917695473251029,0.9794238683127572,0.9958847736625515,0.8353909465020576,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.9,0.8237367802585194,0.8237367802585194,0.8564593301435407,0.8901098901098901,0.7613168724279835,0.7942386831275721,4.271604938271605,4.502057613168724,26.24482005367888,30.141300409806757,0.25,0.0,0.10987878787878788,-0.10987878787878788
23,0.8333333333333334,0.8166666666666667,0.8666666666666667,0.9,0.9917695473251029,0.9835390946502057,0.9958847736625515,0.8353909465020576,0.8333333333333334,0.8166666666666667,0.8666666666666667,0.9,0.8205741626794258,0.8044444444444445,0.8534798534798536,0.8901098901098901,0.7695473251028807,0.7901234567901234,4.51440329218107,4.716049382716049,27.60698224443569,31.852700233192998,0.0,-0.01666666666666672,0.13244188978011034,-0.09910855644677698
24,0.8,0.8333333333333334,0.8666666666666667,0.9,0.9958847736625515,0.9835390946502057,1.0,0.8353909465020576,0.8000000000000002,0.8333333333333334,0.8666666666666667,0.9,0.7884841363102232,0.8237367802585194,0.8589894242068155,0.8901098901098901,0.7777777777777778,0.7901234567901234,4.711934156378601,4.921810699588478,29.74828070348283,34.553209220790585,0.25,0.033333333333333326,0.07337552796892928,-0.14004219463559597
25,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9,0.9958847736625515,0.9794238683127572,1.0,0.8353909465020576,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9,0.8205741626794258,0.8237367802585194,0.8237367802585194,0.8901098901098901,0.7736625514403292,0.7818930041152263,4.901234567901234,5.05761316872428,32.05261977220026,36.87023397516715,0.25,0.0,0.10453333333333333,-0.10453333333333333
26,0.8166666666666667,0.8166666666666667,0.8666666666666667,0.9,1.0,0.9876543209876543,0.9958847736625515,0.8353909465020576,0.8166666666666667,0.8166666666666667,0.8666666666666667,0.9,0.8044444444444445,0.8076362576508307,0.8611111111111112,0.8901098901098901,0.7654320987654321,0.7860082304526749,5.061728395061729,5.292181069958848,35.30365949387554,39.54318278275639,0.25,0.0,0.10302564102564102,-0.10302564102564102
27,0.8,0.8166666666666667,0.85,0.9,1.0,0.9835390946502057,0.9958847736625515,0.8353909465020576,0.8000000000000002,0.8166666666666667,0.85,0.9,0.7846889952153109,0.8076362576508307,0.8369072787677438,0.8901098901098901,0.7613168724279835,0.7901234567901234,5.267489711934156,5.518518518518518,37.05688706532371,41.62481799485284,0.0,0.016666666666666607,0.09279615709089935,-0.12612949042423272
