numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.765625,0.796875,0.796875,0.90625,0.8828451882845189,0.891213389121339,0.8661087866108786,0.8158995815899581,0.765625,0.796875,0.796875,0.90625,0.7520020666494447,0.7772423025435073,0.7772423025435073,0.9,0.3472803347280335,0.35564853556485354,0.2301255230125523,0.24686192468619247,0.330367061347792,0.3146091457441021,0.07142857142857142,0.03125,1.06359375,-1.12609375
2,0.75,0.84375,0.703125,0.90625,0.8493723849372385,0.9163179916317992,0.9246861924686193,0.8158995815899581,0.75,0.84375,0.703125,0.90625,0.7490196078431373,0.8333333333333333,0.7024712503058478,0.9,0.5355648535564853,0.5941422594142259,0.4225941422594142,0.5271966527196653,0.847925019960289,0.6247876901714707,1.7857142857142858,0.09375,0.5131175841564397,-0.7006175841564397
3,0.78125,0.84375,0.78125,0.90625,0.9288702928870293,0.9456066945606695,0.9330543933054394,0.8158995815899581,0.78125,0.84375,0.78125,0.90625,0.7666666666666666,0.8228128460686601,0.7732793522267207,0.9,0.6108786610878661,0.6652719665271967,0.606694560669456,0.7447698744769874,1.283317975802339,1.1102180999711986,0.9,0.0625,0.36221450655235715,-0.48721450655235715
4,0.78125,0.890625,0.75,0.90625,0.9414225941422594,0.9497907949790795,0.9581589958158996,0.8158995815899581,0.78125,0.890625,0.75,0.90625,0.7732793522267207,0.880053547523427,0.746031746031746,0.9,0.6903765690376569,0.7154811715481172,0.8451882845188284,1.0292887029288702,1.8356362326102675,1.6013206918843566,4.0,0.109375,0.231328125,-0.450078125
5,0.84375,0.890625,0.875,0.90625,0.9623430962343096,0.9623430962343096,0.9707112970711297,0.8158995815899581,0.84375,0.890625,0.875,0.90625,0.8303287380699893,0.880053547523427,0.8614718614718615,0.9,0.7405857740585774,0.7447698744769874,1.1589958158995817,1.2677824267782427,2.3422356669299194,2.162675006664638,0.8,0.046875,0.2185608984541903,-0.3123108984541903
6,0.828125,0.84375,0.8125,0.90625,0.9748953974895398,0.9623430962343096,0.9916317991631799,0.8158995815899581,0.828125,0.84375,0.8125,0.90625,0.8181348488762594,0.8358974358974359,0.8056680161943319,0.9,0.7656903765690377,0.7866108786610879,1.393305439330544,1.502092050209205,2.8540243551278888,2.6169878484502274,0.0,0.015625,0.1785716637760387,-0.2098216637760387
7,0.8125,0.859375,0.84375,0.90625,0.9707112970711297,0.9832635983263598,0.9916317991631799,0.8158995815899581,0.8125,0.859375,0.84375,0.90625,0.7963944856839873,0.8486997635933806,0.8303287380699893,0.9,0.7824267782426778,0.8200836820083682,1.5355648535564854,1.7364016736401673,3.5840448890480197,3.047902904477523,0.8,0.046875,0.16256089845419025,-0.25631089845419025
8,0.796875,0.859375,0.75,0.90625,0.9748953974895398,0.9790794979079498,0.99581589958159,0.8158995815899581,0.796875,0.859375,0.75,0.90625,0.7814552140793276,0.8512012399896669,0.7333333333333334,0.9,0.803347280334728,0.8158995815899581,1.698744769874477,1.9079497907949792,4.489979437898722,3.8470765369254196,2.25,0.0625,0.12313505489227045,-0.24813505489227045
9,0.828125,0.859375,0.8125,0.90625,0.9832635983263598,0.9916317991631799,0.9916317991631799,0.8158995815899581,0.828125,0.859375,0.8125,0.90625,0.811512717536814,0.8486997635933806,0.787375415282392,0.9,0.799163179916318,0.8117154811715481,1.891213389121339,2.1046025104602513,5.27160002632971,4.5317765436658375,0.25,0.03125,0.13936554977429966,-0.20186554977429966
10,0.828125,0.859375,0.828125,0.90625,0.9832635983263598,0.9916317991631799,1.0,0.8158995815899581,0.828125,0.859375,0.828125,0.90625,0.811512717536814,0.8486997635933806,0.8181348488762594,0.9,0.799163179916318,0.8200836820083682,2.1380753138075312,2.3765690376569037,6.131100038580048,5.314777791262759,0.25,0.03125,0.12847666088541077,-0.19097666088541077
11,0.828125,0.859375,0.84375,0.90625,0.9832635983263598,0.99581589958159,0.9916317991631799,0.8158995815899581,0.828125,0.859375,0.84375,0.90625,0.8073871409028728,0.8486997635933806,0.8303287380699893,0.9,0.8117154811715481,0.8117154811715481,2.301255230125523,2.5271966527196654,7.300315212710992,5.915927714647506,0.16666666666666666,0.03125,0.13324622663591051,-0.19574622663591051
12,0.828125,0.859375,0.828125,0.90625,0.9874476987447699,0.99581589958159,0.9916317991631799,0.8158995815899581,0.828125,0.859375,0.828125,0.90625,0.811512717536814,0.8486997635933806,0.811512717536814,0.9,0.7949790794979079,0.8075313807531381,2.4644351464435146,2.774058577405858,8.367064769437606,6.926070395481524,0.16666666666666666,0.03125,0.1258219842116681,-0.1883219842116681
13,0.828125,0.84375,0.828125,0.90625,0.9916317991631799,0.9916317991631799,0.99581589958159,0.8158995815899581,0.828125,0.84375,0.828125,0.90625,0.8073871409028728,0.8303287380699893,0.8150774888363541,0.9,0.7907949790794979,0.8117154811715481,2.7447698744769875,3.0460251046025104,9.561516269064548,8.15253670526326,0.0,0.015625,0.14087612983152456,-0.17212612983152456
14,0.84375,0.859375,0.859375,0.90625,0.9790794979079498,0.99581589958159,0.99581589958159,0.8158995815899581,0.84375,0.859375,0.859375,0.90625,0.8268398268398268,0.8486997635933806,0.8457831325301204,0.9,0.8075313807531381,0.8158995815899581,2.9707112970711296,3.205020920502092,11.235242208126436,9.212733897154884,0.0,0.015625,0.122961497694631,-0.154211497694631
15,0.8125,0.859375,0.84375,0.90625,0.9874476987447699,0.9916317991631799,0.99581589958159,0.8158995815899581,0.8125,0.859375,0.84375,0.90625,0.787375415282392,0.8486997635933806,0.8333333333333333,0.9,0.803347280334728,0.8158995815899581,3.200836820083682,3.405857740585774,12.765506668463358,10.52176602186336,0.8,0.046875,0.08789423178752362,-0.18164423178752362
16,0.84375,0.859375,0.890625,0.90625,0.9832635983263598,0.99581589958159,1.0,0.8158995815899581,0.84375,0.859375,0.890625,0.90625,0.8268398268398268,0.8486997635933806,0.8823220383504071,0.9,0.8158995815899581,0.8200836820083682,3.3765690376569037,3.6485355648535567,14.31601396751109,11.977920564863892,0.0,0.015625,0.09880701214711252,-0.13005701214711252
17,0.84375,0.859375,0.84375,0.90625,0.9832635983263598,1.0,0.99581589958159,0.8158995815899581,0.84375,0.859375,0.84375,0.90625,0.8268398268398268,0.8486997635933806,0.8303287380699893,0.9,0.8117154811715481,0.8117154811715481,3.514644351464435,3.778242677824268,15.877301844142393,13.337459940680636,0.0,0.015625,0.09520407097064194,-0.12645407097064193
18,0.84375,0.859375,0.859375,0.90625,0.9832635983263598,1.0,1.0,0.8158995815899581,0.84375,0.859375,0.859375,0.90625,0.8268398268398268,0.8486997635933806,0.8486997635933806,0.9,0.7949790794979079,0.8158995815899581,3.6820083682008367,3.9539748953974896,17.593363721232002,15.012186908258506,0.0,0.015625,0.09200145659155697,-0.12325145659155697
