numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8035714285714286,0.8035714285714286,0.6964285714285714,0.8392857142857143,0.8744939271255061,0.8340080971659919,0.8825910931174089,0.8704453441295547,0.8035714285714286,0.8035714285714286,0.6964285714285714,0.8392857142857143,0.7923828783282778,0.8004535147392291,0.691609977324263,0.8268636207488835,0.3076923076923077,0.3157894736842105,0.18218623481781376,0.14979757085020243,0.3398897925140842,0.418850159198219,0.07142857142857142,0.0,1.1109580085370878,-1.1109580085370878
2,0.7321428571428571,0.7678571428571429,0.6607142857142857,0.8392857142857143,0.8866396761133604,0.8825910931174089,0.9109311740890689,0.8704453441295547,0.7321428571428571,0.7678571428571429,0.6607142857142857,0.8392857142857143,0.7313719219699393,0.7617021276595745,0.6606060606060606,0.8268636207488835,0.5020242914979757,0.47368421052631576,0.3684210526315789,0.3603238866396761,0.7672973279927086,0.8624193009374116,0.05555555555555555,0.03571428571428581,0.6030724744493794,-0.6745010458779508
3,0.8214285714285714,0.8392857142857143,0.8571428571428571,0.8392857142857143,0.9271255060728745,0.9392712550607287,0.9311740890688259,0.8704453441295547,0.8214285714285714,0.8392857142857143,0.8571428571428571,0.8392857142857143,0.8177083333333335,0.835024549918167,0.8541666666666667,0.8268636207488835,0.5870445344129555,0.5668016194331984,0.5344129554655871,0.5748987854251012,1.181335244593873,1.3983693659635497,0.0,0.017857142857142905,0.4139136388574133,-0.4496279245716991
4,0.8214285714285714,0.8214285714285714,0.8035714285714286,0.8392857142857143,0.9473684210526315,0.9473684210526315,0.9676113360323887,0.8704453441295547,0.8214285714285714,0.8214285714285714,0.8035714285714286,0.8392857142857143,0.8193548387096774,0.8177083333333335,0.8019929283188685,0.8268636207488835,0.6558704453441295,0.6275303643724697,0.7327935222672065,0.7651821862348178,1.8856912882685721,1.9699919922615312,0.125,0.0,0.34399494936611663,-0.34399494936611663
5,0.8392857142857143,0.7857142857142857,0.8214285714285714,0.8392857142857143,0.951417004048583,0.9595141700404858,0.97165991902834,0.8704453441295547,0.8392857142857143,0.7857142857142857,0.8214285714285714,0.8392857142857143,0.835024549918167,0.7786561264822136,0.8177083333333335,0.8268636207488835,0.6680161943319838,0.6639676113360324,0.9271255060728745,0.9959514170040485,2.3326885170515017,2.511532369939065,0.4444444444444444,-0.0535714285714286,0.3555047802601201,-0.248361923117263
6,0.8035714285714286,0.7857142857142857,0.7857142857142857,0.8392857142857143,0.9676113360323887,0.9635627530364372,0.9757085020242915,0.8704453441295547,0.8035714285714286,0.7857142857142857,0.7857142857142857,0.8392857142857143,0.8004535147392291,0.78125,0.7846153846153845,0.8268636207488835,0.7165991902834008,0.6963562753036437,1.1497975708502024,1.1821862348178138,2.834352344050092,3.306603938465556,0.0,-0.017857142857142905,0.28629459123836576,-0.25058030552407995
7,0.8392857142857143,0.8035714285714286,0.8392857142857143,0.8392857142857143,0.979757085020243,0.9676113360323887,0.979757085020243,0.8704453441295547,0.8392857142857143,0.8035714285714286,0.8392857142857143,0.8392857142857143,0.835024549918167,0.8004535147392291,0.835024549918167,0.8268636207488835,0.7408906882591093,0.708502024291498,1.3441295546558705,1.360323886639676,3.308666916796041,4.09448839367591,0.125,-0.0357142857142857,0.2751501947210424,-0.20372162329247095
8,0.8392857142857143,0.8035714285714286,0.8571428571428571,0.8392857142857143,0.979757085020243,0.97165991902834,0.9919028340080972,0.8704453441295547,0.8392857142857143,0.8035714285714286,0.8571428571428571,0.8392857142857143,0.8367346938775511,0.7983633387888707,0.8541666666666667,0.8268636207488835,0.7449392712550608,0.7327935222672065,1.5263157894736843,1.5263157894736843,4.067770614453927,4.9147104571435145,0.125,-0.0357142857142857,0.25765019472104245,-0.18622162329247097
9,0.875,0.8571428571428571,0.8392857142857143,0.8392857142857143,0.9838056680161943,0.979757085020243,0.9959514170040485,0.8704453441295547,0.875,0.8571428571428571,0.8392857142857143,0.8392857142857143,0.8716857610474631,0.8541666666666667,0.8301314459049545,0.8268636207488835,0.7449392712550608,0.7246963562753036,1.6842105263157894,1.6963562753036436,5.09511132633518,5.648537639797921,0.0,-0.017857142857142905,0.20514804064886533,-0.16943375493457963
10,0.7678571428571429,0.7857142857142857,0.7857142857142857,0.8392857142857143,0.9838056680161943,0.979757085020243,0.9878542510121457,0.8704453441295547,0.7678571428571429,0.7857142857142857,0.7857142857142857,0.8392857142857143,0.767188999040614,0.78125,0.7846153846153845,0.8268636207488835,0.7530364372469636,0.7408906882591093,1.874493927125506,1.9352226720647774,5.839411167206586,6.876278130158229,0.0,0.017857142857142794,0.18524697219074665,-0.2209612579050324
