numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.676923076923077,0.6461538461538462,0.6153846153846154,0.7846153846153846,0.9159663865546218,0.9117647058823529,0.8823529411764706,0.8697478991596639,0.676923076923077,0.6461538461538462,0.6153846153846154,0.7846153846153847,0.6756949394155382,0.6458185264155414,0.6120792551921699,0.7804054054054054,0.3697478991596639,0.36134453781512604,0.2857142857142857,0.27310924369747897,0.2664995271192957,0.27391054861473524,0.0625,-0.03076923076923077,1.1316163454438093,-1.0700778839053475
2,0.6,0.676923076923077,0.6307692307692307,0.7846153846153846,0.9117647058823529,0.907563025210084,0.9159663865546218,0.8697478991596639,0.6,0.676923076923077,0.6307692307692307,0.7846153846153847,0.5953065134099618,0.6741465743614228,0.6198830409356726,0.7804054054054054,0.5336134453781513,0.5546218487394958,0.5084033613445378,0.5462184873949579,0.6375833822322219,0.6589550593964115,1.0666666666666667,0.07692307692307698,0.5313500384217973,-0.685196192267951
3,0.6923076923076923,0.7538461538461538,0.7384615384615385,0.7846153846153846,0.9369747899159664,0.957983193277311,0.957983193277311,0.8697478991596639,0.6923076923076923,0.7538461538461538,0.7384615384615385,0.7846153846153847,0.6916508538899431,0.7523809523809524,0.7374673319078167,0.7804054054054054,0.6386554621848739,0.6890756302521008,0.726890756302521,0.8277310924369747,1.1754194373539935,1.0664921939353291,0.9,0.06153846153846154,0.3616495025485793,-0.4847264256255024
4,0.6615384615384615,0.7692307692307693,0.7384615384615385,0.7846153846153846,0.9159663865546218,0.9663865546218487,0.9663865546218487,0.8697478991596639,0.6615384615384615,0.7692307692307693,0.7384615384615385,0.7846153846153847,0.6595238095238096,0.7690120824449183,0.738213693437574,0.7804054054054054,0.7016806722689075,0.7521008403361344,0.9285714285714286,1.084033613445378,1.8223310250594327,1.5373027709540457,3.272727272727273,0.10769230769230775,0.24068678486234651,-0.4560714002469619
5,0.7076923076923077,0.7846153846153846,0.8153846153846154,0.7846153846153846,0.9495798319327731,0.9705882352941176,0.9663865546218487,0.8697478991596639,0.7076923076923077,0.7846153846153847,0.8153846153846154,0.7846153846153847,0.7076923076923077,0.7833333333333333,0.8142857142857143,0.7804054054054054,0.7436974789915967,0.7647058823529411,1.1470588235294117,1.2773109243697478,2.6297527668868614,2.0080646488829137,1.2307692307692308,0.07692307692307687,0.22939474093805667,-0.38324089478421053
6,0.6923076923076923,0.7846153846153846,0.7538461538461538,0.7846153846153846,0.9537815126050421,0.9663865546218487,0.9831932773109243,0.8697478991596639,0.6923076923076923,0.7846153846153847,0.7538461538461538,0.7846153846153847,0.6916508538899431,0.7833333333333333,0.7537878787878789,0.7804054054054054,0.7605042016806722,0.7647058823529411,1.365546218487395,1.4663865546218486,3.5096985659186557,2.752008886849991,1.7857142857142858,0.09230769230769231,0.18606106688854318,-0.3706764515039278
7,0.7076923076923077,0.7538461538461538,0.7230769230769231,0.7846153846153846,0.9621848739495799,0.9873949579831933,0.9831932773109243,0.8697478991596639,0.7076923076923077,0.7538461538461538,0.723076923076923,0.7846153846153847,0.7076923076923077,0.7509578544061303,0.7224857685009489,0.7804054054054054,0.7563025210084033,0.8067226890756303,1.5798319327731092,1.7857142857142858,4.3965211371181745,3.310404462979362,0.3076923076923077,0.0461538461538461,0.20314484761981305,-0.29545253992750536
8,0.6923076923076923,0.7538461538461538,0.8153846153846154,0.7846153846153846,0.9663865546218487,0.9789915966386554,0.9915966386554622,0.8697478991596639,0.6923076923076923,0.7538461538461538,0.8153846153846154,0.7846153846153847,0.6916508538899431,0.7509578544061303,0.8153409090909092,0.7804054054054054,0.773109243697479,0.8067226890756303,1.781512605042017,2.0,5.119769967762374,3.9352279362726255,0.5625,0.06153846153846154,0.18250119241419405,-0.30557811549111713
9,0.7076923076923077,0.7538461538461538,0.7692307692307693,0.7846153846153846,0.9705882352941176,0.9873949579831933,0.9915966386554622,0.8697478991596639,0.7076923076923077,0.7538461538461538,0.7692307692307693,0.7846153846153847,0.7074153044302298,0.7509578544061303,0.7683535281539557,0.7804054054054054,0.7605042016806722,0.819327731092437,1.9873949579831933,2.2016806722689077,6.265534632686112,5.053332269256594,0.36363636363636365,0.0461538461538461,0.163371495300147,-0.2556791876078393
10,0.7384615384615385,0.7384615384615385,0.7692307692307693,0.7846153846153846,0.9621848739495799,0.9915966386554622,0.9873949579831933,0.8697478991596639,0.7384615384615385,0.7384615384615385,0.7692307692307693,0.7846153846153847,0.738213693437574,0.7362138935306757,0.7690120824449183,0.7804054054054054,0.773109243697479,0.8025210084033614,2.23109243697479,2.4411764705882355,7.707768041467653,5.745940638334583,0.08333333333333333,0.0,0.20245598716415386,-0.20245598716415386
