numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.6949152542372882,0.711864406779661,0.6779661016949152,0.8305084745762712,0.889344262295082,0.9344262295081968,0.9016393442622951,0.8565573770491803,0.6949152542372882,0.711864406779661,0.6779661016949152,0.8305084745762712,0.6927083333333333,0.711864406779661,0.6775956284153006,0.8304597701149425,0.3401639344262295,0.4016393442622951,0.22950819672131148,0.3360655737704918,0.3161960149122763,0.233475278461754,0.0,0.016949152542372836,1.0829065395161122,-1.1168048446008578
2,0.6949152542372882,0.6949152542372882,0.6610169491525424,0.8305084745762712,0.8565573770491803,0.9467213114754098,0.9180327868852459,0.8565573770491803,0.6949152542372882,0.6949152542372882,0.6610169491525424,0.8305084745762712,0.6793478260869565,0.6905594405594405,0.6561771561771561,0.8304597701149425,0.5286885245901639,0.5737704918032787,0.430327868852459,0.5983606557377049,0.7230095130437624,0.5596706161801135,0.07142857142857142,0.0,0.6142991267470665,-0.6142991267470665
3,0.7457627118644068,0.6949152542372882,0.6949152542372882,0.8305084745762712,0.9467213114754098,0.9508196721311475,0.9590163934426229,0.8565573770491803,0.7457627118644068,0.6949152542372882,0.6949152542372882,0.8305084745762712,0.7445887445887446,0.6941244239631337,0.6876470588235293,0.8304597701149425,0.6229508196721312,0.7049180327868853,0.6762295081967213,0.860655737704918,1.1082280436562328,0.9686109534667866,0.5714285714285714,-0.05084745762711862,0.4663593877184415,-0.36466447246420425
4,0.711864406779661,0.6779661016949152,0.7796610169491526,0.8305084745762712,0.9467213114754098,0.9631147540983607,0.9754098360655737,0.8565573770491803,0.711864406779661,0.6779661016949152,0.7796610169491526,0.8305084745762712,0.7064676616915423,0.6746008708272859,0.7773584905660378,0.8304597701149425,0.6967213114754098,0.7581967213114754,0.9385245901639344,1.151639344262295,1.604472043303932,1.39028351564092,0.125,-0.03389830508474578,0.37325691412878576,-0.3054603039592942
5,0.711864406779661,0.711864406779661,0.7627118644067796,0.8305084745762712,0.9590163934426229,0.9590163934426229,0.9795081967213115,0.8565573770491803,0.711864406779661,0.711864406779661,0.7627118644067796,0.8305084745762712,0.7105339105339106,0.7115329306873741,0.7626436781609195,0.8304597701149425,0.7418032786885246,0.7868852459016393,1.1762295081967213,1.3565573770491803,2.06816765658749,1.841216837525103,0.125,0.0,0.2899613078729243,-0.2899613078729243
6,0.7457627118644068,0.6779661016949152,0.7457627118644068,0.8305084745762712,0.9590163934426229,0.9754098360655737,0.9877049180327869,0.8565573770491803,0.7457627118644068,0.6779661016949152,0.7457627118644068,0.8305084745762712,0.7431059506531204,0.6746008708272859,0.7410008779631256,0.8304597701149425,0.7786885245901639,0.8278688524590164,1.4098360655737705,1.6065573770491803,2.598714069068009,2.5511141975991922,0.9,-0.06779661016949157,0.3375967839538786,-0.20200356361489546
7,0.7627118644067796,0.7457627118644068,0.7288135593220338,0.8305084745762712,0.9590163934426229,0.9672131147540983,0.9836065573770492,0.8565573770491803,0.7627118644067796,0.7457627118644068,0.7288135593220338,0.8305084745762712,0.7609953703703703,0.7457627118644067,0.728735632183908,0.8304597701149425,0.7991803278688525,0.8360655737704918,1.598360655737705,1.848360655737705,3.510067984452692,3.2570302146293604,0.0,-0.016949152542372836,0.2567039681164751,-0.22280566303172933
8,0.7457627118644068,0.7288135593220338,0.7457627118644068,0.8305084745762712,0.9549180327868853,0.9795081967213115,0.9918032786885246,0.8565573770491803,0.7457627118644068,0.7288135593220338,0.7457627118644068,0.8305084745762712,0.7431059506531204,0.728110599078341,0.7410008779631256,0.8304597701149425,0.7950819672131147,0.8319672131147541,1.8237704918032787,2.069672131147541,4.359905803037238,4.196509999814974,0.0,-0.016949152542372947,0.23920396811647512,-0.20530566303172934
9,0.7627118644067796,0.7457627118644068,0.7457627118644068,0.8305084745762712,0.9631147540983607,0.9713114754098361,0.9959016393442623,0.8565573770491803,0.7627118644067796,0.7457627118644068,0.7457627118644068,0.8305084745762712,0.7620967741935485,0.7457627118644067,0.7431059506531204,0.8304597701149425,0.7909836065573771,0.8401639344262295,1.9836065573770492,2.3852459016393444,5.541191436694466,4.924028620966114,0.0,-0.016949152542372836,0.21383714021031477,-0.17993883512556905
10,0.7288135593220338,0.7457627118644068,0.7288135593220338,0.8305084745762712,0.9549180327868853,0.9836065573770492,0.9918032786885246,0.8565573770491803,0.7288135593220338,0.7457627118644068,0.7288135593220338,0.8305084745762712,0.7268518518518519,0.7445887445887446,0.7268518518518519,0.8304597701149425,0.7909836065573771,0.8442622950819673,2.1598360655737703,2.692622950819672,6.634860964650886,5.8153877860517005,0.0,0.016949152542372947,0.16904994623668013,-0.2029482513214259
