numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7068965517241379,0.7241379310344828,0.8275862068965517,0.8103448275862069,0.9020408163265307,0.8204081632653061,0.8775510204081632,0.8571428571428571,0.7068965517241379,0.7241379310344829,0.8275862068965517,0.8103448275862069,0.7068093963722867,0.7228195937873358,0.8242424242424242,0.8098360655737705,0.34285714285714286,0.2857142857142857,0.24489795918367346,0.10612244897959183,0.2910202509960473,0.43159433520604956,0.0,0.017241379310344862,1.1101261618132048,-1.1446089204338943
2,0.6896551724137931,0.7068965517241379,0.8275862068965517,0.8103448275862069,0.8979591836734694,0.8122448979591836,0.9061224489795918,0.8571428571428571,0.6896551724137931,0.7068965517241379,0.8275862068965517,0.8103448275862069,0.6836363636363636,0.6959605303731113,0.8257211538461539,0.8098360655737705,0.5183673469387755,0.46938775510204084,0.35918367346938773,0.2938775510204082,0.7161994020918923,0.7795007102022936,0.0,0.01724137931034475,0.6201261618132046,-0.6546089204338941
3,0.7413793103448276,0.8275862068965517,0.7586206896551724,0.8103448275862069,0.926530612244898,0.9306122448979591,0.9795918367346939,0.8571428571428571,0.7413793103448276,0.8275862068965517,0.7586206896551724,0.8103448275862069,0.7413024085637824,0.8275862068965518,0.7583333333333333,0.8098360655737705,0.6040816326530613,0.5714285714285714,0.5836734693877551,0.4204081632653061,1.1696877572562345,1.342607568105226,1.2307692307692308,0.08620689655172409,0.36430600555385945,-0.5367197986573078
4,0.7413793103448276,0.7068965517241379,0.7931034482758621,0.8103448275862069,0.9387755102040817,0.9183673469387755,0.9795918367346939,0.8571428571428571,0.7413793103448276,0.7068965517241379,0.7931034482758621,0.8103448275862069,0.7375565610859729,0.6996649406031069,0.793103448275862,0.8098360655737705,0.6612244897959184,0.6163265306122448,0.7795918367346939,0.5755102040816327,1.892425491323747,1.9606142812182528,0.1,-0.034482758620689724,0.38671379528105393,-0.3177482780396746
5,0.7931034482758621,0.8275862068965517,0.7758620689655172,0.8103448275862069,0.9387755102040817,0.9469387755102041,0.9795918367346939,0.8571428571428571,0.7931034482758621,0.8275862068965517,0.7758620689655173,0.8103448275862069,0.7928571428571427,0.8273809523809524,0.775795420755278,0.8098360655737705,0.689795918367347,0.673469387755102,0.963265306122449,0.7306122448979592,2.8908237279890616,2.5527210387413115,0.1,0.03448275862068961,0.2687482780396746,-0.33771379528105394
6,0.8103448275862069,0.8103448275862069,0.8275862068965517,0.8103448275862069,0.9469387755102041,0.9673469387755103,0.9836734693877551,0.8571428571428571,0.8103448275862069,0.8103448275862069,0.8275862068965517,0.8103448275862069,0.8089248277927523,0.8089248277927523,0.8273809523809523,0.8098360655737705,0.6979591836734694,0.6816326530612244,1.0775510204081633,0.9142857142857143,3.7682734500313284,3.065711750189163,0.08333333333333333,0.0,0.28039607756902296,-0.28039607756902296
7,0.8275862068965517,0.8448275862068966,0.8620689655172413,0.8103448275862069,0.9510204081632653,0.9673469387755103,0.9918367346938776,0.8571428571428571,0.8275862068965517,0.8448275862068967,0.8620689655172413,0.8103448275862069,0.8275862068965518,0.8447814451382694,0.861904761904762,0.8098360655737705,0.7142857142857143,0.6816326530612244,1.1918367346938776,1.0857142857142856,4.638444444278122,4.115452866277998,0.0,0.017241379310344862,0.22423499119107917,-0.25871774981176887
8,0.8620689655172413,0.8793103448275862,0.7931034482758621,0.8103448275862069,0.9591836734693877,0.9673469387755103,0.9836734693877551,0.8571428571428571,0.8620689655172413,0.8793103448275863,0.7931034482758621,0.8103448275862069,0.8614097968936679,0.8789865871833085,0.793103448275862,0.8098360655737705,0.7183673469387755,0.6979591836734694,1.3877551020408163,1.2816326530612245,5.5352848595771205,5.028578555076155,0.0,0.017241379310344862,0.1809524672524953,-0.21543522587318492
9,0.8275862068965517,0.8448275862068966,0.8103448275862069,0.8103448275862069,0.9714285714285714,0.963265306122449,0.9836734693877551,0.8571428571428571,0.8275862068965517,0.8448275862068967,0.8103448275862069,0.8103448275862069,0.8275862068965518,0.8447814451382694,0.8098360655737705,0.8098360655737705,0.7306122448979592,0.710204081632653,1.6489795918367347,1.4081632653061225,6.36121684610682,6.351340150350096,0.0,0.017241379310344862,0.16734135614138415,-0.20182411476207382
10,0.8448275862068966,0.8793103448275862,0.8275862068965517,0.8103448275862069,0.9673469387755103,0.963265306122449,0.9836734693877551,0.8571428571428571,0.8448275862068967,0.8793103448275863,0.8275862068965517,0.8103448275862069,0.8444113263785396,0.8792744573297651,0.8267622461170848,0.8098360655737705,0.746938775510204,0.7183673469387755,1.9183673469387754,1.653061224489796,7.161722195792648,7.432694506082164,0.5,0.03448275862068961,0.11212490021955275,-0.18109041746093207
11,0.8448275862068966,0.8448275862068966,0.8793103448275862,0.8103448275862069,0.9673469387755103,0.9551020408163265,0.9918367346938776,0.8571428571428571,0.8448275862068967,0.8448275862068967,0.8793103448275863,0.8103448275862069,0.8447814451382694,0.8447814451382694,0.8792744573297651,0.8098360655737705,0.7551020408163265,0.726530612244898,2.085714285714286,1.8040816326530613,8.146566605146713,8.80231880705025,0.5,0.0,0.1368815743021378,-0.1368815743021378
12,0.8448275862068966,0.8448275862068966,0.7241379310344828,0.8103448275862069,0.9755102040816327,0.9755102040816327,1.0,0.8571428571428571,0.8448275862068967,0.8448275862068967,0.7241379310344829,0.8103448275862069,0.8447814451382694,0.8447814451382694,0.7241379310344827,0.8098360655737705,0.7591836734693878,0.7183673469387755,2.220408163265306,1.9877551020408164,9.382166936114707,10.238140928670404,0.5,0.0,0.12945733187789538,-0.12945733187789538
13,0.8275862068965517,0.8103448275862069,0.8103448275862069,0.8103448275862069,0.9714285714285714,0.9795918367346939,1.0,0.8571428571428571,0.8275862068965517,0.8103448275862069,0.8103448275862069,0.8103448275862069,0.8273809523809524,0.8098360655737705,0.8098360655737705,0.8098360655737705,0.7714285714285715,0.7183673469387755,2.4,2.2,10.40307126853205,11.587600894567036,0.0,-0.017241379310344862,0.12670917302115636,-0.09222641440046668
14,0.8275862068965517,0.8620689655172413,0.8275862068965517,0.8103448275862069,0.9755102040816327,0.9795918367346939,1.0,0.8571428571428571,0.8275862068965517,0.8620689655172413,0.8275862068965517,0.8103448275862069,0.8273809523809524,0.8620689655172413,0.8273809523809523,0.8098360655737705,0.7510204081632653,0.7346938775510204,2.563265306122449,2.363265306122449,11.62331188181164,12.79008127732719,0.5,0.03448275862068961,0.08412490021955271,-0.15309041746093205
15,0.8275862068965517,0.8103448275862069,0.8103448275862069,0.8103448275862069,0.9795918367346939,0.9795918367346939,0.9959183673469387,0.8571428571428571,0.8275862068965517,0.8103448275862069,0.8103448275862069,0.8103448275862069,0.8273809523809524,0.8098360655737705,0.8102884329467737,0.8098360655737705,0.7836734693877551,0.746938775510204,2.795918367346939,2.546938775510204,12.346279792550623,13.819952638258098,0.0,-0.017241379310344862,0.11665789096987429,-0.08217513234918462
16,0.8275862068965517,0.8103448275862069,0.8275862068965517,0.8103448275862069,0.9836734693877551,0.9877551020408163,0.9959183673469387,0.8571428571428571,0.8275862068965517,0.8103448275862069,0.8275862068965517,0.8103448275862069,0.8273809523809524,0.8098360655737705,0.8273809523809523,0.8098360655737705,0.7918367346938775,0.7428571428571429,2.979591836734694,2.706122448979592,13.616278975612824,15.270752599332296,0.0,-0.017241379310344862,0.11257455763654096,-0.0780917990158513
17,0.8103448275862069,0.8103448275862069,0.8275862068965517,0.8103448275862069,0.9836734693877551,0.9877551020408163,1.0,0.8571428571428571,0.8103448275862069,0.8103448275862069,0.8275862068965517,0.8103448275862069,0.8098360655737705,0.8098360655737705,0.8275862068965518,0.8098360655737705,0.7959183673469388,0.7510204081632653,3.2122448979591836,2.9183673469387754,15.485977762278276,16.577680959708335,0.5,0.0,0.10543772403475814,-0.10543772403475814
18,0.8448275862068966,0.8103448275862069,0.8275862068965517,0.8103448275862069,0.9836734693877551,0.9918367346938776,0.9918367346938776,0.8571428571428571,0.8448275862068967,0.8103448275862069,0.8275862068965517,0.8103448275862069,0.8447814451382694,0.8098360655737705,0.8275862068965518,0.8098360655737705,0.7877551020408163,0.7428571428571429,3.3591836734693876,3.1346938775510202,16.816002484641217,18.420151280252483,0.5,-0.034482758620689724,0.13753486190537648,-0.0685693446639972
19,0.8448275862068966,0.7931034482758621,0.8103448275862069,0.8103448275862069,0.9836734693877551,0.9918367346938776,0.9959183673469387,0.8571428571428571,0.8448275862068967,0.7931034482758621,0.8103448275862069,0.8103448275862069,0.8447814451382694,0.7921146953405018,0.8098360655737705,0.8098360655737705,0.7836734693877551,0.7510204081632653,3.440816326530612,3.326530612244898,18.63097564278233,20.184476942148706,1.3333333333333333,-0.051724137931034475,0.16332911598067187,-0.059880840118602924
20,0.8620689655172413,0.8275862068965517,0.8275862068965517,0.8103448275862069,0.9918367346938776,0.9918367346938776,1.0,0.8571428571428571,0.8620689655172413,0.8275862068965517,0.8275862068965517,0.8103448275862069,0.8620689655172413,0.8273809523809524,0.8275862068965518,0.8098360655737705,0.7795918367346939,0.7551020408163265,3.6489795918367345,3.5346938775510206,20.77638910684136,22.09237457399983,0.5,-0.03448275862068961,0.13209041746093209,-0.06312490021955273
