numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.746031746031746,0.6984126984126984,0.7777777777777778,0.8888888888888888,0.8791666666666667,0.8916666666666667,0.9291666666666667,0.8333333333333334,0.746031746031746,0.6984126984126984,0.7777777777777778,0.8888888888888888,0.7380457380457379,0.6827458256029685,0.7603260869565217,0.8734576757532282,0.3333333333333333,0.32083333333333336,0.2125,0.2125,0.3355512194735994,0.30840019003911184,0.19047619047619047,-0.04761904761904767,1.170672175969546,-1.0754340807314506
2,0.6666666666666666,0.6507936507936508,0.7301587301587301,0.8888888888888888,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8333333333333334,0.6666666666666666,0.6507936507936508,0.7301587301587301,0.8888888888888888,0.6653174803946369,0.6464285714285714,0.7298865069356872,0.8734576757532282,0.4708333333333333,0.475,0.3416666666666667,0.37083333333333335,0.7666545645268678,0.7535945113509311,0.0,-0.015873015873015817,0.648495908276675,-0.6167498765306434
3,0.746031746031746,0.6507936507936508,0.8095238095238095,0.8888888888888888,0.95,0.9291666666666667,0.9333333333333333,0.8333333333333334,0.746031746031746,0.6507936507936508,0.8095238095238095,0.8888888888888888,0.7307692307692308,0.6298076923076923,0.7945652173913043,0.8734576757532282,0.5833333333333334,0.6,0.5333333333333333,0.5541666666666667,1.3236007853022507,1.3714011657024967,0.9615384615384616,-0.09523809523809523,0.5822747045951504,-0.39179851411895994
4,0.7936507936507936,0.7142857142857143,0.7619047619047619,0.8888888888888888,0.9458333333333333,0.9458333333333333,0.9625,0.8333333333333334,0.7936507936507936,0.7142857142857143,0.7619047619047619,0.8888888888888888,0.7902688860435338,0.7053014553014553,0.7580025608194623,0.8734576757532282,0.65,0.6583333333333333,0.7416666666666667,0.6958333333333333,1.8592802927044436,2.0027765665685053,0.7619047619047619,-0.0793650793650793,0.46827482093048245,-0.30954466220032373
5,0.8095238095238095,0.746031746031746,0.746031746031746,0.8888888888888888,0.9541666666666667,0.9666666666666667,0.9708333333333333,0.8333333333333334,0.8095238095238095,0.746031746031746,0.746031746031746,0.8888888888888888,0.7904656319290465,0.7260869565217392,0.7307692307692308,0.8734576757532282,0.6625,0.6625,0.9166666666666666,0.8875,2.6837032939305683,2.5606555110240956,0.6428571428571429,-0.06349206349206349,0.37695028359822524,-0.24996615661409827
6,0.8253968253968254,0.746031746031746,0.746031746031746,0.8888888888888888,0.95,0.9666666666666667,0.9791666666666666,0.8333333333333334,0.8253968253968254,0.746031746031746,0.746031746031746,0.8888888888888888,0.8188235294117647,0.7380457380457379,0.7347368421052631,0.8734576757532282,0.7083333333333334,0.6958333333333333,1.1,1.0833333333333333,3.461015232731985,3.2215557365172893,1.2307692307692308,-0.0793650793650793,0.3565702873684905,-0.19784012863833178
7,0.7936507936507936,0.8095238095238095,0.7619047619047619,0.8888888888888888,0.9666666666666667,0.975,0.9875,0.8333333333333334,0.7936507936507936,0.8095238095238095,0.7619047619047619,0.8888888888888888,0.7794236466469162,0.7945652173913043,0.7495361781076066,0.8734576757532282,0.725,0.6916666666666667,1.3083333333333333,1.3041666666666667,4.295688112201155,4.1101198014368086,0.0,0.015873015873015928,0.21754258572955862,-0.24928861747559036
8,0.8412698412698413,0.8253968253968254,0.7301587301587301,0.8888888888888888,0.9666666666666667,0.975,0.9833333333333333,0.8333333333333334,0.8412698412698413,0.8253968253968254,0.7301587301587301,0.8888888888888888,0.8342105263157894,0.8133584702396984,0.7276887871853548,0.8734576757532282,0.7291666666666666,0.7083333333333334,1.45,1.4791666666666667,4.964165657156055,4.935666952454481,0.0,-0.015873015873015928,0.22077855059996923,-0.1890325188539375
9,0.8095238095238095,0.8095238095238095,0.8253968253968254,0.8888888888888888,0.975,0.9791666666666666,0.9833333333333333,0.8333333333333334,0.8095238095238095,0.8095238095238095,0.8253968253968254,0.8888888888888888,0.7945652173913043,0.7904656319290465,0.8011477761836443,0.8734576757532282,0.7333333333333333,0.7208333333333333,1.5958333333333334,1.6625,5.772667184858987,5.928771763656945,0.16666666666666666,0.0,0.18509523644214332,-0.18509523644214332
10,0.8412698412698413,0.7936507936507936,0.7936507936507936,0.8888888888888888,0.9791666666666666,0.9791666666666666,0.9958333333333333,0.8333333333333334,0.8412698412698413,0.7936507936507936,0.7936507936507936,0.8888888888888888,0.8317307692307693,0.7794236466469162,0.7829313543599258,0.8734576757532282,0.7583333333333333,0.7416666666666667,1.8375,1.8375,6.780826593894047,7.115907932432311,0.5714285714285714,-0.04761904761904767,0.22876698954735744,-0.1335288943092622
11,0.8253968253968254,0.8095238095238095,0.8571428571428571,0.8888888888888888,0.9791666666666666,0.9833333333333333,0.9875,0.8333333333333334,0.8253968253968254,0.8095238095238095,0.8571428571428571,0.8888888888888888,0.8133584702396984,0.7945652173913043,0.8472932938324805,0.8734576757532282,0.7625,0.7541666666666667,2.05,2.004166666666667,7.74423165241313,8.088330564532997,0.0,-0.015873015873015817,0.1746408198753611,-0.14289478812932935
12,0.8571428571428571,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.9791666666666666,0.9875,0.9916666666666667,0.8333333333333334,0.8571428571428571,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8497217068645639,0.7644230769230769,0.8764359764639955,0.8734576757532282,0.7666666666666667,0.7791666666666667,2.2708333333333335,2.1958333333333333,8.953994780730039,9.40930077253858,1.7777777777777777,-0.0793650793650793,0.25640049826541167,-0.09767033953525295
13,0.8095238095238095,0.7936507936507936,0.873015873015873,0.8888888888888888,0.9791666666666666,0.9875,0.9958333333333333,0.8333333333333334,0.8095238095238095,0.7936507936507936,0.8730158730158731,0.8888888888888888,0.7945652173913043,0.7753086419753086,0.8603104212860311,0.8734576757532282,0.775,0.7833333333333333,2.4875,2.3583333333333334,10.251723271056617,10.479535732573236,0.0,-0.015873015873015928,0.17366316598458464,-0.1419171342385529
14,0.8253968253968254,0.7619047619047619,0.8253968253968254,0.8888888888888888,0.9791666666666666,0.9833333333333333,0.9916666666666667,0.8333333333333334,0.8253968253968254,0.7619047619047619,0.8253968253968254,0.8888888888888888,0.8163265306122449,0.7495361781076066,0.8163265306122449,0.8734576757532282,0.7875,0.7875,2.6791666666666667,2.5875,11.74131954952923,11.571904083041114,0.9,-0.06349206349206349,0.23311549714216379,-0.10613137015803681
15,0.8253968253968254,0.7936507936507936,0.8095238095238095,0.8888888888888888,0.9833333333333333,0.9875,1.0,0.8333333333333334,0.8253968253968254,0.7936507936507936,0.8095238095238095,0.8888888888888888,0.8098765432098766,0.7753086419753086,0.7945652173913043,0.8734576757532282,0.7625,0.8041666666666667,2.7916666666666665,2.7875,12.837415157635688,13.292335830093894,0.16666666666666666,-0.031746031746031744,0.17368785973920448,-0.11019579624714099
16,0.7936507936507936,0.7936507936507936,0.8571428571428571,0.8888888888888888,0.9833333333333333,0.9875,1.0,0.8333333333333334,0.7936507936507936,0.7936507936507936,0.8571428571428571,0.8888888888888888,0.7794236466469162,0.7829313543599258,0.8444444444444446,0.8734576757532282,0.7791666666666667,0.7958333333333333,2.9625,2.941666666666667,13.772578496378687,14.919876988918059,0.16666666666666666,0.0,0.13745634755325445,-0.13745634755325445
17,0.7936507936507936,0.8095238095238095,0.8253968253968254,0.8888888888888888,0.9916666666666667,0.9833333333333333,0.9958333333333333,0.8333333333333334,0.7936507936507936,0.8095238095238095,0.8253968253968254,0.8888888888888888,0.7794236466469162,0.7945652173913043,0.8133584702396984,0.8734576757532282,0.7916666666666666,0.8,3.2083333333333335,3.2125,14.618824099386769,16.429353660327987,0.0,0.015873015873015928,0.11145093786194968,-0.14319696960798142
18,0.7936507936507936,0.7936507936507936,0.7936507936507936,0.8888888888888888,0.9958333333333333,0.9833333333333333,1.0,0.8333333333333334,0.7936507936507936,0.7936507936507936,0.7936507936507936,0.8888888888888888,0.7794236466469162,0.7794236466469162,0.7829313543599258,0.8734576757532282,0.7958333333333333,0.7958333333333333,3.3958333333333335,3.4125,16.198118131462117,18.454116620057786,0.16666666666666666,0.0,0.13065079199769886,-0.13065079199769886
19,0.8095238095238095,0.8095238095238095,0.7936507936507936,0.8888888888888888,0.9958333333333333,0.9833333333333333,1.0,0.8333333333333334,0.8095238095238095,0.8095238095238095,0.7936507936507936,0.8888888888888888,0.7945652173913043,0.7945652173913043,0.7858823529411765,0.8734576757532282,0.8041666666666667,0.7916666666666666,3.575,3.5791666666666666,17.716113591230375,20.624957647150904,0.16666666666666666,0.0,0.12778529492167548,-0.12778529492167548
20,0.8095238095238095,0.8253968253968254,0.8095238095238095,0.8888888888888888,0.9958333333333333,0.9833333333333333,1.0,0.8333333333333334,0.8095238095238095,0.8253968253968254,0.8095238095238095,0.8888888888888888,0.798076923076923,0.8133584702396984,0.8010526315789475,0.8734576757532282,0.8,0.7791666666666667,3.7958333333333334,3.7708333333333335,19.394041932232877,22.931856950421704,0.0,0.015873015873015817,0.10280387903842025,-0.134549910784452
21,0.8253968253968254,0.8253968253968254,0.7936507936507936,0.8888888888888888,1.0,0.9875,1.0,0.8333333333333334,0.8253968253968254,0.8253968253968254,0.7936507936507936,0.8888888888888888,0.8133584702396984,0.8098765432098766,0.7858823529411765,0.8734576757532282,0.8,0.7708333333333334,4.083333333333333,3.9791666666666665,20.979867210226033,24.69375143703177,0.25,0.0,0.10888888888888888,-0.10888888888888888
22,0.8412698412698413,0.8253968253968254,0.8253968253968254,0.8888888888888888,0.9958333333333333,0.9833333333333333,0.9958333333333333,0.8333333333333334,0.8412698412698413,0.8253968253968254,0.8253968253968254,0.8888888888888888,0.8342105263157894,0.8133584702396984,0.8163265306122449,0.8734576757532282,0.7958333333333333,0.7791666666666667,4.2625,4.2,22.713530139987757,27.021926710172508,0.0,-0.015873015873015928,0.13009536532990654,-0.09834933358387479
23,0.8571428571428571,0.8412698412698413,0.8412698412698413,0.8888888888888888,1.0,0.9833333333333333,0.9958333333333333,0.8333333333333334,0.8571428571428571,0.8412698412698413,0.8412698412698413,0.8888888888888888,0.8472932938324805,0.8288043478260869,0.8288043478260869,0.8734576757532282,0.8041666666666667,0.7833333333333333,4.408333333333333,4.3875,24.45475088383557,29.184480913298767,0.0,-0.015873015873015817,0.1281586064366259,-0.09641257469059417
24,0.8412698412698413,0.8571428571428571,0.8253968253968254,0.8888888888888888,0.9958333333333333,0.9875,1.0,0.8333333333333334,0.8412698412698413,0.8571428571428571,0.8253968253968254,0.8888888888888888,0.8317307692307693,0.8472932938324805,0.8188235294117647,0.8734576757532282,0.8125,0.7875,4.641666666666667,4.6,26.567605258594025,31.143201004399863,0.0,0.015873015873015817,0.0789887101382744,-0.11073474188430614
25,0.8412698412698413,0.8253968253968254,0.8888888888888888,0.8888888888888888,0.9958333333333333,0.9875,1.0,0.8333333333333334,0.8412698412698413,0.8253968253968254,0.8888888888888888,0.8888888888888888,0.8317307692307693,0.8098765432098766,0.8812281174252625,0.8734576757532282,0.8041666666666667,0.7875,4.883333333333334,4.795833333333333,28.66021754527821,33.858950234281956,0.0,-0.015873015873015928,0.124749910784452,-0.09300387903842025
26,0.8571428571428571,0.8412698412698413,0.9047619047619048,0.8888888888888888,0.9958333333333333,0.9875,0.9958333333333333,0.8333333333333334,0.8571428571428571,0.8412698412698413,0.9047619047619048,0.8888888888888888,0.8517647058823529,0.8288043478260869,0.8972826086956522,0.8734576757532282,0.8041666666666667,0.7875,5.095833333333333,5.033333333333333,31.446679636061,35.35786211627142,0.0,-0.015873015873015817,0.13597085829227692,-0.10422482654624518
27,0.8571428571428571,0.8253968253968254,0.7619047619047619,0.8888888888888888,0.9958333333333333,0.9875,1.0,0.8333333333333334,0.8571428571428571,0.8253968253968254,0.7619047619047619,0.8888888888888888,0.8472932938324805,0.8098765432098766,0.7529411764705882,0.8734576757532282,0.8083333333333333,0.7791666666666667,5.283333333333333,5.195833333333334,33.925909385385786,38.5519070353546,0.16666666666666666,-0.031746031746031744,0.1446508227021674,-0.08115875921010392
28,0.873015873015873,0.8412698412698413,0.8253968253968254,0.8888888888888888,0.9958333333333333,0.9791666666666666,1.0,0.8333333333333334,0.8730158730158731,0.8412698412698413,0.8253968253968254,0.8888888888888888,0.8653846153846154,0.8317307692307693,0.8163265306122449,0.8734576757532282,0.8083333333333333,0.7875,5.4375,5.345833333333333,36.117181586334326,41.437120708848994,0.16666666666666666,-0.031746031746031744,0.1433545264058711,-0.07986246291380762
29,0.873015873015873,0.8412698412698413,0.8095238095238095,0.8888888888888888,1.0,0.9833333333333333,1.0,0.8333333333333334,0.8730158730158731,0.8412698412698413,0.8095238095238095,0.8888888888888888,0.8630434782608696,0.8288043478260869,0.798076923076923,0.8734576757532282,0.8,0.7875,5.625,5.583333333333333,38.395554479687135,43.397077481788656,0.16666666666666666,-0.031746031746031744,0.14214762985414697,-0.0786555663620835
30,0.8571428571428571,0.8412698412698413,0.8412698412698413,0.8888888888888888,1.0,0.9791666666666666,1.0,0.8333333333333334,0.8571428571428571,0.8412698412698413,0.8412698412698413,0.8888888888888888,0.8472932938324805,0.8288043478260869,0.8342105263157894,0.8734576757532282,0.8083333333333333,0.7875,5.858333333333333,5.795833333333333,40.378082908043574,46.30972533073213,0.0,-0.015873015873015817,0.13094521726663588,-0.09919918552060415
31,0.873015873015873,0.8253968253968254,0.873015873015873,0.8888888888888888,1.0,0.9833333333333333,1.0,0.8333333333333334,0.8730158730158731,0.8253968253968254,0.8730158730158731,0.8888888888888888,0.8630434782608696,0.8098765432098766,0.8653846153846154,0.8734576757532282,0.8125,0.7916666666666666,6.045833333333333,5.991666666666666,43.48888854049903,48.78972399095212,0.5714285714285714,-0.04761904761904767,0.16237989277316386,-0.06714179753506863
32,0.8412698412698413,0.8571428571428571,0.8095238095238095,0.8888888888888888,1.0,0.9875,1.0,0.8333333333333334,0.8412698412698413,0.8571428571428571,0.8095238095238095,0.8888888888888888,0.8317307692307693,0.8472932938324805,0.8010526315789475,0.8734576757532282,0.7916666666666666,0.7916666666666666,6.183333333333334,6.2,46.58469160499175,51.99185580435389,0.0,0.015873015873015817,0.08442887903842025,-0.116174910784452
33,0.873015873015873,0.8571428571428571,0.873015873015873,0.8888888888888888,1.0,0.9833333333333333,1.0,0.8333333333333334,0.8730158730158731,0.8571428571428571,0.8730158730158731,0.8888888888888888,0.8630434782608696,0.8472932938324805,0.8630434782608696,0.8734576757532282,0.8,0.8041666666666667,6.4,6.433333333333334,48.447353529012894,55.23412067193149,0.0,-0.015873015873015928,0.12797552029693893,-0.09622948855090718
