numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7368421052631579,0.7017543859649122,0.6666666666666666,0.8245614035087719,0.8577235772357723,0.8699186991869918,0.9146341463414634,0.8455284552845529,0.7368421052631579,0.7017543859649122,0.6666666666666666,0.8245614035087719,0.7338935574229692,0.6922832645284218,0.6599686028257457,0.8149350649350648,0.32926829268292684,0.3170731707317073,0.18699186991869918,0.18699186991869918,0.37725428597221705,0.35083574822461927,0.0625,-0.03508771929824561,1.1529328802058019,-1.0827574416093109
2,0.7719298245614035,0.6491228070175439,0.7368421052631579,0.8245614035087719,0.8699186991869918,0.8739837398373984,0.8861788617886179,0.8455284552845529,0.7719298245614035,0.6491228070175439,0.7368421052631579,0.8245614035087719,0.7719298245614035,0.6481481481481481,0.7368421052631579,0.8149350649350648,0.532520325203252,0.5040650406504065,0.4715447154471545,0.3983739837398374,0.7369918469032589,0.7334308482700517,2.769230769230769,-0.12280701754385959,0.7408209778934065,-0.49520694280568717
3,0.7719298245614035,0.7543859649122807,0.7543859649122807,0.8245614035087719,0.9471544715447154,0.926829268292683,0.9471544715447154,0.8455284552845529,0.7719298245614035,0.7543859649122807,0.7543859649122807,0.8245614035087719,0.7646872022864402,0.7448849104859335,0.7361111111111112,0.8149350649350648,0.6260162601626016,0.5772357723577236,0.6788617886178862,0.6016260162601627,1.2362107933797566,1.233166730122051,0.0,-0.01754385964912275,0.4583467790011117,-0.4232590597028661
4,0.7719298245614035,0.7719298245614035,0.7017543859649122,0.8245614035087719,0.9552845528455285,0.9308943089430894,0.926829268292683,0.8455284552845529,0.7719298245614035,0.7719298245614035,0.7017543859649122,0.8245614035087719,0.7708011135168575,0.7673469387755103,0.700278379214352,0.8149350649350648,0.6829268292682927,0.6422764227642277,0.943089430894309,0.7845528455284553,1.66968764082765,1.6772020467529114,0.1,0.0,0.353737968665439,-0.353737968665439
5,0.7894736842105263,0.8070175438596491,0.8245614035087719,0.8245614035087719,0.967479674796748,0.9512195121951219,0.967479674796748,0.8455284552845529,0.7894736842105263,0.8070175438596491,0.8245614035087719,0.8245614035087719,0.78625,0.7980676328502416,0.8200757575757576,0.8149350649350648,0.7317073170731707,0.6788617886178862,1.1300813008130082,0.9796747967479674,2.3571488839431067,2.3463964784390132,0.0,0.01754385964912275,0.29259239303619944,-0.32768011233444505
6,0.8070175438596491,0.7894736842105263,0.7894736842105263,0.8245614035087719,0.9715447154471545,0.959349593495935,0.9959349593495935,0.8455284552845529,0.8070175438596491,0.7894736842105263,0.7894736842105263,0.8245614035087719,0.8048552754435108,0.7813299232736574,0.7840909090909092,0.8149350649350648,0.7357723577235772,0.7520325203252033,1.3008130081300813,1.1910569105691058,3.065118841219488,2.8895731097463275,0.0,-0.01754385964912275,0.28413558252611754,-0.24904786322787192
7,0.7894736842105263,0.8070175438596491,0.8596491228070176,0.8245614035087719,0.9796747967479674,0.967479674796748,0.9878048780487805,0.8455284552845529,0.7894736842105263,0.8070175438596491,0.8596491228070176,0.8245614035087719,0.7813299232736574,0.7905111927831608,0.851948051948052,0.8149350649350648,0.7479674796747967,0.7560975609756098,1.548780487804878,1.3455284552845528,3.530611252635313,3.673210082968533,0.0,0.01754385964912275,0.23659239303619944,-0.27168011233444506
8,0.7719298245614035,0.7894736842105263,0.8245614035087719,0.8245614035087719,0.9796747967479674,0.9715447154471545,0.983739837398374,0.8455284552845529,0.7719298245614035,0.7894736842105263,0.8245614035087719,0.8245614035087719,0.7673469387755103,0.7779220779220779,0.8232009925558312,0.8149350649350648,0.7723577235772358,0.7560975609756098,1.8089430894308942,1.4878048780487805,4.267038770717403,4.699285895145243,0.0,0.01754385964912286,0.22902012925557474,-0.26410784855382036
9,0.7894736842105263,0.8070175438596491,0.8421052631578947,0.8245614035087719,0.983739837398374,0.9715447154471545,0.9796747967479674,0.8455284552845529,0.7894736842105263,0.8070175438596491,0.8421052631578947,0.8245614035087719,0.7813299232736574,0.7946282345234197,0.8370911400444585,0.8149350649350648,0.7804878048780488,0.7560975609756098,2.0609756097560976,1.6666666666666667,5.155752370783237,5.644385757432849,0.0,0.01754385964912275,0.1946034187834275,-0.2296911380816731
10,0.7894736842105263,0.7719298245614035,0.8070175438596491,0.8245614035087719,0.983739837398374,0.983739837398374,0.991869918699187,0.8455284552845529,0.7894736842105263,0.7719298245614035,0.8070175438596491,0.8245614035087719,0.7840909090909092,0.7646872022864402,0.8031397174254318,0.8149350649350648,0.7886178861788617,0.7804878048780488,2.3292682926829267,1.8617886178861789,5.946377276055156,6.508341119598976,0.0,-0.01754385964912286,0.21880224919278424,-0.18371452989453863
11,0.7894736842105263,0.8070175438596491,0.8245614035087719,0.8245614035087719,0.983739837398374,0.975609756097561,0.9878048780487805,0.8455284552845529,0.7894736842105263,0.8070175438596491,0.8245614035087719,0.8245614035087719,0.7813299232736574,0.7980676328502416,0.8149350649350648,0.8149350649350648,0.8008130081300813,0.7886178861788617,2.6341463414634148,2.048780487804878,6.999036222857523,7.386662808290671,0.0,0.01754385964912275,0.1748054389854477,-0.20989315828369332
12,0.7894736842105263,0.7894736842105263,0.7368421052631579,0.8245614035087719,0.983739837398374,0.983739837398374,0.991869918699187,0.8455284552845529,0.7894736842105263,0.7894736842105263,0.7368421052631579,0.8245614035087719,0.7813299232736574,0.7813299232736574,0.7284852334074309,0.8149350649350648,0.8048780487804879,0.7804878048780488,2.902439024390244,2.1991869918699187,8.189097064434801,8.689977099641524,0.125,0.0,0.17892486253513215,-0.17892486253513215
13,0.7894736842105263,0.8245614035087719,0.7894736842105263,0.8245614035087719,0.983739837398374,0.9796747967479674,0.975609756097561,0.8455284552845529,0.7894736842105263,0.8245614035087719,0.7894736842105263,0.8245614035087719,0.7813299232736574,0.8149350649350648,0.7840909090909092,0.8149350649350648,0.8089430894308943,0.7642276422764228,3.1097560975609757,2.3902439024390243,9.464647228508499,9.663416523980583,0.125,0.03508771929824561,0.1379807316071013,-0.20815617020359253
14,0.8070175438596491,0.7719298245614035,0.7894736842105263,0.8245614035087719,0.983739837398374,0.9878048780487805,0.9878048780487805,0.8455284552845529,0.8070175438596491,0.7719298245614035,0.7894736842105263,0.8245614035087719,0.8008891711654494,0.7646872022864402,0.7813299232736574,0.8149350649350648,0.8048780487804879,0.7764227642276422,3.2560975609756095,2.6260162601626016,10.41550541556241,10.743265009745238,0.125,-0.03508771929824561,0.2027715548189771,-0.13259611622248588
15,0.7894736842105263,0.7719298245614035,0.7719298245614035,0.8245614035087719,0.9878048780487805,0.991869918699187,0.9959349593495935,0.8455284552845529,0.7894736842105263,0.7719298245614035,0.7719298245614035,0.8245614035087719,0.7813299232736574,0.7613526570048309,0.7673469387755103,0.8149350649350648,0.8008130081300813,0.7967479674796748,3.508130081300813,2.841463414634146,11.717898214622275,12.42878934273748,0.0,-0.01754385964912286,0.17396783929289422,-0.1388801199946486
16,0.7894736842105263,0.7894736842105263,0.7543859649122807,0.8245614035087719,0.9878048780487805,0.991869918699187,1.0,0.8455284552845529,0.7894736842105263,0.7894736842105263,0.7543859649122807,0.8245614035087719,0.7813299232736574,0.7813299232736574,0.7481060606060606,0.8149350649350648,0.7926829268292683,0.7886178861788617,3.66260162601626,3.1016260162601625,12.789539338275437,13.755873625328414,0.16666666666666666,0.0,0.14547806834833385,-0.14547806834833385
17,0.8070175438596491,0.8070175438596491,0.8245614035087719,0.8245614035087719,0.983739837398374,0.991869918699187,1.0,0.8455284552845529,0.8070175438596491,0.8070175438596491,0.8245614035087719,0.8245614035087719,0.7980676328502416,0.7980676328502416,0.8115079365079365,0.8149350649350648,0.8130081300813008,0.7926829268292683,3.869918699186992,3.317073170731707,13.605737454402782,15.117356270652708,0.16666666666666666,0.0,0.14187512717186324,-0.14187512717186324
18,0.8070175438596491,0.7719298245614035,0.8245614035087719,0.8245614035087719,0.991869918699187,0.9959349593495935,1.0,0.8455284552845529,0.8070175438596491,0.7719298245614035,0.8245614035087719,0.8245614035087719,0.8008891711654494,0.7646872022864402,0.821875,0.8149350649350648,0.8252032520325203,0.7967479674796748,4.065040650406504,3.5569105691056913,15.020985579841819,16.531329319884343,0.125,-0.03508771929824561,0.18721599926342156,-0.11704056066693033
19,0.7894736842105263,0.8070175438596491,0.8245614035087719,0.8245614035087719,0.991869918699187,0.9959349593495935,1.0,0.8455284552845529,0.7894736842105263,0.8070175438596491,0.8245614035087719,0.8245614035087719,0.7813299232736574,0.7946282345234197,0.8200757575757576,0.8149350649350648,0.8211382113821138,0.7926829268292683,4.288617886178862,3.7642276422764227,16.411288862409144,18.40397558638899,0.0,0.01754385964912275,0.12512573402973634,-0.16021345332798195
20,0.7719298245614035,0.7719298245614035,0.7719298245614035,0.8245614035087719,0.991869918699187,0.991869918699187,1.0,0.8455284552845529,0.7719298245614035,0.7719298245614035,0.7719298245614035,0.8245614035087719,0.7673469387755103,0.7646872022864402,0.7673469387755103,0.8149350649350648,0.8170731707317073,0.7886178861788617,4.508130081300813,3.886178861788618,18.25571039919681,19.976812117553912,0.16666666666666666,0.0,0.13322806834833384,-0.13322806834833384
21,0.7719298245614035,0.7894736842105263,0.8245614035087719,0.8245614035087719,0.991869918699187,0.991869918699187,1.0,0.8455284552845529,0.7719298245614035,0.7894736842105263,0.8245614035087719,0.8245614035087719,0.7673469387755103,0.7779220779220779,0.8177749360613811,0.8149350649350648,0.8130081300813008,0.7886178861788617,4.662601626016261,4.08130081300813,19.929017585451128,21.426740448801915,0.0,0.01754385964912286,0.12021345332798195,-0.15530117262622756
22,0.7719298245614035,0.7894736842105263,0.8245614035087719,0.8245614035087719,0.991869918699187,0.991869918699187,1.0,0.8455284552845529,0.7719298245614035,0.7894736842105263,0.8245614035087719,0.8245614035087719,0.7673469387755103,0.7813299232736574,0.8177749360613811,0.8149350649350648,0.8048780487804879,0.8008130081300813,4.849593495934959,4.247967479674797,21.761176433797957,22.84128196287621,0.0,0.01754385964912286,0.10402572539681926,-0.13911344469506487
23,0.7719298245614035,0.7894736842105263,0.7543859649122807,0.8245614035087719,0.991869918699187,0.9959349593495935,1.0,0.8455284552845529,0.7719298245614035,0.7894736842105263,0.7543859649122807,0.8245614035087719,0.7673469387755103,0.7813299232736574,0.7481060606060606,0.8149350649350648,0.8170731707317073,0.8170731707317073,5.012195121951219,4.459349593495935,23.65770956680373,24.506785301458848,0.0,0.01754385964912286,0.10208896650353862,-0.13717668580178422
24,0.7719298245614035,0.7894736842105263,0.8421052631578947,0.8245614035087719,0.991869918699187,0.991869918699187,1.0,0.8455284552845529,0.7719298245614035,0.7894736842105263,0.8421052631578947,0.8245614035087719,0.7673469387755103,0.7813299232736574,0.8370911400444585,0.8149350649350648,0.8008130081300813,0.8211382113821138,5.219512195121951,4.666666666666667,25.540050492381166,26.512019076152065,0.0,0.01754385964912286,0.10031360418469804,-0.13540132348294365
25,0.8070175438596491,0.8070175438596491,0.8070175438596491,0.8245614035087719,0.991869918699187,0.9959349593495935,0.991869918699187,0.8455284552845529,0.8070175438596491,0.8070175438596491,0.8070175438596491,0.8245614035087719,0.8008891711654494,0.7980676328502416,0.8008891711654494,0.8149350649350648,0.8089430894308943,0.8170731707317073,5.382113821138211,4.869918699186992,27.011194305454783,28.786654701413326,0.16666666666666666,0.0,0.12342806834833384,-0.12342806834833384
26,0.8245614035087719,0.7719298245614035,0.7894736842105263,0.8245614035087719,0.991869918699187,0.9959349593495935,1.0,0.8455284552845529,0.8245614035087719,0.7719298245614035,0.7894736842105263,0.8245614035087719,0.8200757575757576,0.7646872022864402,0.7813299232736574,0.8149350649350648,0.7886178861788617,0.8170731707317073,5.621951219512195,5.126016260162602,29.340666573974445,30.328526634727563,0.5714285714285714,-0.052631578947368474,0.18232092986476242,-0.07705777197002558
27,0.8421052631578947,0.7719298245614035,0.7543859649122807,0.8245614035087719,0.991869918699187,0.9959349593495935,1.0,0.8455284552845529,0.8421052631578947,0.7719298245614035,0.7543859649122807,0.8245614035087719,0.8370911400444585,0.7646872022864402,0.7481060606060606,0.8149350649350648,0.8008130081300813,0.8170731707317073,5.808943089430894,5.2682926829268295,31.67411968348464,33.22004957813698,1.125,-0.07017543859649122,0.20542150445997212,-0.06507062726698967
