numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.6805555555555556,0.7222222222222222,0.6805555555555556,0.7777777777777778,0.8874458874458875,0.8787878787878788,0.9090909090909091,0.8441558441558441,0.6805555555555556,0.7222222222222222,0.6805555555555556,0.7777777777777778,0.6729211929685956,0.7167584579071598,0.6775073028237586,0.7714285714285715,0.33766233766233766,0.31601731601731603,0.22510822510822512,0.19480519480519481,0.31963418976405983,0.33314731621937266,0.21052631578947367,0.04166666666666663,1.0573819345197584,-1.1407152678530914
2,0.6805555555555556,0.7222222222222222,0.6944444444444444,0.7777777777777778,0.8658008658008658,0.8787878787878788,0.9090909090909091,0.8441558441558441,0.6805555555555556,0.7222222222222222,0.6944444444444444,0.7777777777777778,0.6799999999999999,0.7167584579071598,0.6923076923076923,0.7714285714285715,0.5411255411255411,0.48484848484848486,0.5194805194805194,0.3852813852813853,0.6400102600751773,0.8637621614086718,0.21052631578947367,0.04166666666666663,0.5673819345197583,-0.6507152678530915
3,0.7222222222222222,0.75,0.7916666666666666,0.7777777777777778,0.9523809523809523,0.9134199134199135,0.9696969696969697,0.8441558441558441,0.7222222222222222,0.75,0.7916666666666666,0.7777777777777778,0.7167584579071598,0.737012987012987,0.7896786757546251,0.7714285714285715,0.6406926406926406,0.5800865800865801,0.7835497835497836,0.5670995670995671,1.0545941922389919,1.3841780027347512,0.05555555555555555,0.02777777777777779,0.41456109081761405,-0.47011664637316963
4,0.6805555555555556,0.7777777777777778,0.75,0.7777777777777778,0.9653679653679653,0.9523809523809523,0.961038961038961,0.8441558441558441,0.6805555555555556,0.7777777777777778,0.75,0.7777777777777778,0.6799999999999999,0.7762237762237763,0.7482517482517481,0.7714285714285715,0.7186147186147186,0.6666666666666666,1.051948051948052,0.8484848484848485,1.5193825338720282,1.84649368325464,2.4,0.09722222222222221,0.2555741878065407,-0.4500186322509851
5,0.75,0.7916666666666666,0.8055555555555556,0.7777777777777778,0.9696969696969697,0.948051948051948,0.987012987012987,0.8441558441558441,0.75,0.7916666666666666,0.8055555555555556,0.7777777777777778,0.7428571428571429,0.7846460618145563,0.8017309205350118,0.7714285714285715,0.7575757575757576,0.7229437229437229,1.2380952380952381,1.051948051948052,1.9502160214494708,2.5517241866547895,0.4444444444444444,0.04166666666666663,0.23656517398696308,-0.31989850732029645
6,0.7361111111111112,0.7916666666666666,0.8194444444444444,0.7777777777777778,0.9696969696969697,0.948051948051948,0.9783549783549783,0.8441558441558441,0.7361111111111113,0.7916666666666666,0.8194444444444444,0.7777777777777778,0.7319223985890652,0.7896786757546251,0.8185694902112813,0.7714285714285715,0.7965367965367965,0.7359307359307359,1.4415584415584415,1.2077922077922079,2.6651811847527913,3.424719360517857,0.75,0.05555555555555547,0.20294746955618045,-0.31405858066729153
7,0.7361111111111112,0.8055555555555556,0.7777777777777778,0.7777777777777778,0.9826839826839827,0.9696969696969697,0.9826839826839827,0.8441558441558441,0.7361111111111113,0.8055555555555556,0.7777777777777778,0.7777777777777778,0.7272183449651048,0.8017309205350118,0.769045709703288,0.7714285714285715,0.8181818181818182,0.7489177489177489,1.7012987012987013,1.4588744588744589,3.159990003611962,4.260547933918988,1.4545454545454546,0.06944444444444442,0.16225534848509063,-0.30114423737397955
8,0.75,0.8055555555555556,0.7222222222222222,0.7777777777777778,0.9783549783549783,0.9653679653679653,0.987012987012987,0.8441558441558441,0.75,0.8055555555555556,0.7222222222222222,0.7777777777777778,0.7450826121164438,0.803125,0.7202797202797203,0.7714285714285715,0.8008658008658008,0.7575757575757576,1.896103896103896,1.696969696969697,3.986658977644749,5.168452020917088,0.75,0.05555555555555558,0.1621141362228471,-0.2732252473339582
9,0.7222222222222222,0.7916666666666666,0.7638888888888888,0.7777777777777778,0.9826839826839827,0.9783549783549783,0.9956709956709957,0.8441558441558441,0.7222222222222222,0.7916666666666666,0.763888888888889,0.7777777777777778,0.7142857142857144,0.7883597883597884,0.7601410934744268,0.7714285714285715,0.8008658008658008,0.7748917748917749,2.1255411255411256,1.948051948051948,4.994225050470743,5.81933439374698,1.4545454545454546,0.06944444444444442,0.1311442373739795,-0.27003312626286846
10,0.75,0.7916666666666666,0.75,0.7777777777777778,0.987012987012987,0.9696969696969697,0.9826839826839827,0.8441558441558441,0.75,0.7916666666666666,0.75,0.7777777777777778,0.7450826121164438,0.7883597883597884,0.7492260061919506,0.7714285714285715,0.8051948051948052,0.7878787878787878,2.380952380952381,2.173160173160173,5.838909540802366,7.0414106346756835,0.4444444444444444,0.04166666666666663,0.13856517398696305,-0.22189850732029642
11,0.75,0.8194444444444444,0.7777777777777778,0.7777777777777778,0.9913419913419913,0.9826839826839827,0.987012987012987,0.8441558441558441,0.75,0.8194444444444444,0.7777777777777778,0.7777777777777778,0.7450826121164438,0.813359920239282,0.7734067663257278,0.7714285714285715,0.8225108225108225,0.7965367965367965,2.606060606060606,2.406926406926407,6.3208557204247535,7.7063310491204335,1.7777777777777777,0.06944444444444442,0.10287358317094275,-0.2417624720598316
12,0.7638888888888888,0.8194444444444444,0.75,0.7777777777777778,0.9956709956709957,0.9826839826839827,0.9913419913419913,0.8441558441558441,0.763888888888889,0.8194444444444444,0.75,0.7777777777777778,0.7601410934744268,0.8165784832451499,0.746875,0.7714285714285715,0.8268398268398268,0.7835497835497836,2.831168831168831,2.6493506493506493,7.308314833677792,8.909325605322568,1.5,0.05555555555555558,0.09401526368589747,-0.20512637479700857
13,0.7777777777777778,0.7916666666666666,0.7916666666666666,0.7777777777777778,0.9913419913419913,0.9913419913419913,0.9913419913419913,0.8441558441558441,0.7777777777777778,0.7916666666666666,0.7916666666666666,0.7777777777777778,0.7734067663257278,0.7866877345447363,0.7896786757546251,0.7714285714285715,0.8354978354978355,0.7965367965367965,3.0779220779220777,2.9047619047619047,8.194630557212182,10.016151883450673,0.0,0.01388888888888884,0.12245094994801131,-0.1502287277257891
14,0.7777777777777778,0.7916666666666666,0.7777777777777778,0.7777777777777778,0.9913419913419913,0.987012987012987,0.9956709956709957,0.8441558441558441,0.7777777777777778,0.7916666666666666,0.7777777777777778,0.7777777777777778,0.7734067663257278,0.7866877345447363,0.7734067663257278,0.7714285714285715,0.8268398268398268,0.8051948051948052,3.316017316017316,3.0822510822510822,9.151013299791165,11.356393050152953,0.0,0.01388888888888884,0.11706633456339588,-0.14484411234117367
