numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8035714285714286,0.8214285714285714,0.8035714285714286,0.8571428571428571,0.8825910931174089,0.8866396761133604,0.8947368421052632,0.8340080971659919,0.8035714285714286,0.8214285714285714,0.8035714285714286,0.8571428571428571,0.8030060761112887,0.8205128205128205,0.8035087719298246,0.855483870967742,0.30364372469635625,0.30364372469635625,0.1862348178137652,0.1902834008097166,0.3231495150855144,0.3151714535537564,0.0,0.017857142857142794,1.0977779374134127,-1.1334922231276983
2,0.75,0.7678571428571429,0.6607142857142857,0.8571428571428571,0.902834008097166,0.8987854251012146,0.8987854251012146,0.8340080971659919,0.75,0.7678571428571429,0.6607142857142857,0.8571428571428571,0.7496807151979565,0.7659916425586628,0.6597377678285896,0.855483870967742,0.5222672064777328,0.5384615384615384,0.4493927125506073,0.4574898785425101,0.683504589007269,0.6573395237120564,0.0,0.017857142857142905,0.5772469721907467,-0.6129612579050323
3,0.8035714285714286,0.8214285714285714,0.75,0.8571428571428571,0.9311740890688259,0.9392712550607287,0.9554655870445344,0.8340080971659919,0.8035714285714286,0.8214285714285714,0.75,0.8571428571428571,0.8030060761112887,0.8214285714285715,0.7470967741935484,0.855483870967742,0.6194331983805668,0.6234817813765182,0.6275303643724697,0.6761133603238867,1.212618052373241,1.1121882382780204,0.0,0.017857142857142794,0.4139136388574133,-0.4496279245716991
4,0.7678571428571429,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.9392712550607287,0.9433198380566802,0.9554655870445344,0.8340080971659919,0.7678571428571429,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7677830940988836,0.7854406130268199,0.7854406130268199,0.855483870967742,0.6639676113360324,0.6882591093117408,0.8097165991902834,0.8866396761133604,1.8935602777286107,1.6881195668294027,0.0,0.017857142857142794,0.3322469721907466,-0.3679612579050324
5,0.8035714285714286,0.8392857142857143,0.7857142857142857,0.8571428571428571,0.9473684210526315,0.9595141700404858,0.9676113360323887,0.8340080971659919,0.8035714285714286,0.8392857142857143,0.7857142857142857,0.8571428571428571,0.8030060761112887,0.8392344497607656,0.7832258064516129,0.855483870967742,0.708502024291498,0.7165991902834008,1.0323886639676114,1.048582995951417,2.512576703376855,2.515106618360476,0.125,0.0357142857142857,0.25972162329247095,-0.33115019472104246
6,0.8035714285714286,0.8035714285714286,0.75,0.8571428571428571,0.9352226720647774,0.97165991902834,0.9676113360323887,0.8340080971659919,0.8035714285714286,0.8035714285714286,0.75,0.8571428571428571,0.8030060761112887,0.8035087719298246,0.7496807151979565,0.855483870967742,0.7449392712550608,0.7408906882591093,1.2267206477732793,1.291497975708502,3.244145770668619,3.3374492263750306,0.1,0.0,0.27401305143922655,-0.27401305143922655
7,0.8035714285714286,0.875,0.8392857142857143,0.8571428571428571,0.9635627530364372,0.9554655870445344,0.9959514170040485,0.8340080971659919,0.8035714285714286,0.875,0.8392857142857143,0.8571428571428571,0.8030060761112887,0.8746402302526384,0.835024549918167,0.855483870967742,0.757085020242915,0.7530364372469636,1.4493927125506072,1.4817813765182186,3.8188500964208942,4.3308481479770125,1.125,0.0714285714285714,0.169318636969478,-0.3121757798266208
8,0.7857142857142857,0.8214285714285714,0.7857142857142857,0.8571428571428571,0.9554655870445344,0.9635627530364372,0.979757085020243,0.8340080971659919,0.7857142857142857,0.8214285714285714,0.7857142857142857,0.8571428571428571,0.7857142857142856,0.8214285714285715,0.7846153846153847,0.855483870967742,0.7854251012145749,0.7611336032388664,1.6842105263157894,1.6153846153846154,4.62763381055639,5.506056050429579,0.125,0.0357142857142857,0.18622162329247097,-0.25765019472104245
9,0.8214285714285714,0.8392857142857143,0.7678571428571429,0.8571428571428571,0.9676113360323887,0.951417004048583,0.9959514170040485,0.8340080971659919,0.8214285714285714,0.8392857142857143,0.7678571428571429,0.8571428571428571,0.8205128205128205,0.8388231531819634,0.7659916425586628,0.855483870967742,0.7935222672064778,0.7611336032388664,1.9068825910931173,1.777327935222672,5.657491229836906,6.519456097507716,0.0,0.017857142857142905,0.18375108058500952,-0.21946536629929522
10,0.7857142857142857,0.8392857142857143,0.8214285714285714,0.8571428571428571,0.9757085020242915,0.97165991902834,0.9959514170040485,0.8340080971659919,0.7857142857142857,0.8392857142857143,0.8214285714285714,0.8571428571428571,0.7854406130268199,0.8388231531819634,0.8212005108556832,0.855483870967742,0.7935222672064778,0.7692307692307693,2.1376518218623484,2.0,6.444243481614343,7.560741799667127,0.4444444444444444,0.0535714285714286,0.15036192311726293,-0.2575047802601201
