numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7727272727272727,0.803030303030303,0.7121212121212122,0.8333333333333334,0.9324894514767933,0.8945147679324894,0.9029535864978903,0.8312236286919831,0.7727272727272727,0.803030303030303,0.7121212121212122,0.8333333333333334,0.7714153775109673,0.7992982456140351,0.7120551090700344,0.8266061619297826,0.41350210970464135,0.34177215189873417,0.3459915611814346,0.23628691983122363,0.2381078733091677,0.30601594328736864,0.08333333333333333,0.030303030303030276,1.052829744321036,-1.1134358049270965
2,0.7575757575757576,0.7424242424242424,0.6212121212121212,0.8333333333333334,0.9240506329113924,0.8734177215189873,0.9071729957805907,0.8312236286919831,0.7575757575757576,0.7424242424242424,0.6212121212121212,0.8333333333333334,0.7573529411764707,0.7409374278457632,0.6211251435132032,0.8266061619297826,0.5738396624472574,0.5358649789029536,0.5485232067510548,0.4978902953586498,0.6098125336150919,0.7477131461559855,0.0,-0.015151515151515138,0.6276498107681192,-0.5973467804650889
3,0.7575757575757576,0.7878787878787878,0.7727272727272727,0.8333333333333334,0.9324894514767933,0.9451476793248945,0.9620253164556962,0.8312236286919831,0.7575757575757576,0.7878787878787878,0.7727272727272727,0.8333333333333334,0.7555555555555555,0.7847157502329916,0.7684210526315789,0.8266061619297826,0.6624472573839663,0.6244725738396625,0.7257383966244726,0.7172995780590717,1.0430596306217013,1.1939114141192346,0.0625,0.030303030303030276,0.41537627955077594,-0.4759823401568366
4,0.7272727272727273,0.7727272727272727,0.7272727272727273,0.8333333333333334,0.9282700421940928,0.9367088607594937,0.9662447257383966,0.8312236286919831,0.7272727272727273,0.7727272727272727,0.7272727272727273,0.8333333333333334,0.7272727272727272,0.7722567287784678,0.7232059645852749,0.8266061619297826,0.7130801687763713,0.6962025316455697,0.8565400843881856,0.9578059071729957,1.5584499357383095,1.699714578361529,0.3076923076923077,0.045454545454545414,0.3071795131661961,-0.39808860407528696
5,0.7575757575757576,0.803030303030303,0.8181818181818182,0.8333333333333334,0.9578059071729957,0.9746835443037974,0.9704641350210971,0.8312236286919831,0.7575757575757576,0.803030303030303,0.8181818181818182,0.8333333333333334,0.7539608574091332,0.8007894125841655,0.8139097744360901,0.8266061619297826,0.7721518987341772,0.7426160337552743,1.1476793248945147,1.1729957805907174,2.1264580636737302,2.2413050140486903,0.4444444444444444,0.045454545454545414,0.2403087573949056,-0.33121784830399653
6,0.803030303030303,0.803030303030303,0.7727272727272727,0.8333333333333334,0.9620253164556962,0.9789029535864979,0.9831223628691983,0.8312236286919831,0.803030303030303,0.803030303030303,0.7727272727272727,0.8333333333333334,0.8026224982746722,0.8007894125841655,0.7684210526315789,0.8266061619297826,0.7721518987341772,0.7805907172995781,1.3544303797468353,1.371308016877637,2.961097486222567,2.9454420996091963,0.1,0.0,0.2572433971807579,-0.2572433971807579
7,0.7878787878787878,0.8333333333333334,0.8181818181818182,0.8333333333333334,0.9493670886075949,0.9789029535864979,0.9831223628691983,0.8312236286919831,0.7878787878787878,0.8333333333333334,0.8181818181818182,0.8333333333333334,0.7828947368421053,0.8301754385964912,0.8139097744360901,0.8266061619297826,0.7763713080168776,0.7848101265822784,1.5696202531645569,1.5147679324894514,3.881457487411811,3.8186144151377746,0.8,0.045454545454545525,0.1618493214604493,-0.2527584123695402
8,0.7878787878787878,0.8181818181818182,0.803030303030303,0.8333333333333334,0.9620253164556962,0.9746835443037974,0.9789029535864979,0.8312236286919831,0.7878787878787878,0.8181818181818182,0.803030303030303,0.8333333333333334,0.7870967741935484,0.8154706430568499,0.8018933271761719,0.8266061619297826,0.7721518987341772,0.8016877637130801,1.8481012658227849,1.759493670886076,4.517642333874,4.419445494477152,0.1,0.030303030303030387,0.18639117962142834,-0.24699724022748895
9,0.803030303030303,0.8181818181818182,0.7878787878787878,0.8333333333333334,0.9620253164556962,0.9789029535864979,0.9915611814345991,0.8312236286919831,0.803030303030303,0.8181818181818182,0.7878787878787878,0.8333333333333334,0.8007894125841655,0.8139097744360901,0.7806267806267806,0.8266061619297826,0.8016877637130801,0.7974683544303798,2.1223628691983123,1.9451476793248945,5.551202063292943,5.626007539939737,0.0,0.015151515151515249,0.17239315761335808,-0.20269618791638835
10,0.803030303030303,0.8181818181818182,0.7272727272727273,0.8333333333333334,0.9662447257383966,0.9789029535864979,0.9915611814345991,0.8312236286919831,0.803030303030303,0.8181818181818182,0.7272727272727273,0.8333333333333334,0.8007894125841655,0.8139097744360901,0.7232059645852749,0.8266061619297826,0.8016877637130801,0.8185654008438819,2.3375527426160336,2.219409282700422,6.46660838423975,6.556333630906481,0.0,0.015151515151515249,0.16150426872446924,-0.19180729902749952
11,0.803030303030303,0.8181818181818182,0.7727272727272727,0.8333333333333334,0.9746835443037974,0.9789029535864979,0.9915611814345991,0.8312236286919831,0.803030303030303,0.8181818181818182,0.7727272727272727,0.8333333333333334,0.8007894125841655,0.8139097744360901,0.7662337662337662,0.8266061619297826,0.8143459915611815,0.8227848101265823,2.5443037974683542,2.5105485232067513,7.693754180767015,7.694375845192781,0.0,0.015151515151515249,0.15259517781537832,-0.1828982081184086
12,0.803030303030303,0.8181818181818182,0.8181818181818182,0.8333333333333334,0.9746835443037974,0.9831223628691983,0.9957805907172996,0.8312236286919831,0.803030303030303,0.8181818181818182,0.8181818181818182,0.8333333333333334,0.8007894125841655,0.8139097744360901,0.811965811965812,0.8266061619297826,0.8143459915611815,0.8185654008438819,2.780590717299578,2.780590717299578,8.924387847239519,9.146935163247647,0.0,0.015151515151515249,0.14517093539113587,-0.17547396569416615
13,0.8181818181818182,0.8181818181818182,0.7727272727272727,0.8333333333333334,0.9746835443037974,0.9704641350210971,0.9873417721518988,0.8312236286919831,0.8181818181818182,0.8181818181818182,0.7727272727272727,0.8333333333333334,0.8139097744360901,0.8139097744360901,0.7662337662337662,0.8266061619297826,0.8185654008438819,0.8143459915611815,2.940928270042194,2.9451476793248945,10.076346624152697,10.809848045480628,0.16666666666666666,0.0,0.1481270380490855,-0.1481270380490855
14,0.8181818181818182,0.8181818181818182,0.7727272727272727,0.8333333333333334,0.9704641350210971,0.9704641350210971,1.0,0.8312236286919831,0.8181818181818182,0.8181818181818182,0.7727272727272727,0.8333333333333334,0.8154706430568499,0.8139097744360901,0.7662337662337662,0.8266061619297826,0.8185654008438819,0.8227848101265823,3.19831223628692,3.1392405063291138,11.13619569791014,12.57399919428492,0.16666666666666666,0.0,0.14274242266447015,-0.14274242266447015
15,0.7878787878787878,0.8181818181818182,0.8181818181818182,0.8333333333333334,0.9789029535864979,0.9704641350210971,0.9915611814345991,0.8312236286919831,0.7878787878787878,0.8181818181818182,0.8181818181818182,0.8333333333333334,0.7828947368421053,0.8139097744360901,0.8154706430568499,0.8266061619297826,0.8143459915611815,0.8185654008438819,3.4556962025316458,3.3544303797468356,12.602529166564777,14.075742232762726,0.16666666666666666,0.030303030303030387,0.1081391885816643,-0.1687452491877249
16,0.7727272727272727,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9873417721518988,0.9746835443037974,1.0,0.8312236286919831,0.7727272727272727,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7684210526315789,0.8301754385964912,0.8301754385964912,0.8266061619297826,0.8143459915611815,0.8143459915611815,3.649789029535865,3.540084388185654,13.893848306754615,15.519884877301278,1.5,0.06060606060606066,0.07484135458448968,-0.1960534757966109
17,0.7878787878787878,0.8333333333333334,0.803030303030303,0.8333333333333334,0.9915611814345991,0.9704641350210971,1.0,0.8312236286919831,0.7878787878787878,0.8333333333333334,0.803030303030303,0.8333333333333334,0.7806267806267806,0.8285714285714285,0.8007894125841655,0.8266061619297826,0.8185654008438819,0.8143459915611815,3.8649789029535864,3.721518987341772,15.249204600814178,17.032358512321615,0.8,0.045454545454545525,0.07949638028397875,-0.17040547119306965
