numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.8076923076923077,0.7884615384615384,0.8076923076923077,0.8269230769230769,0.8804780876494024,0.8844621513944223,0.8844621513944223,0.848605577689243,0.8076923076923077,0.7884615384615384,0.8076923076923077,0.8269230769230769,0.8065476190476191,0.7883832778394377,0.8074074074074074,0.8268590455049944,0.3426294820717131,0.32669322709163345,0.22310756972111553,0.21115537848605578,0.3344328602520078,0.3238187482268376,0.0,-0.019230769230769273,1.145305997229447,-1.1068444587679087
2,0.7884615384615384,0.7307692307692307,0.7115384615384616,0.8269230769230769,0.8844621513944223,0.8725099601593626,0.8924302788844621,0.848605577689243,0.7884615384615384,0.7307692307692306,0.7115384615384616,0.8269230769230769,0.784557438794727,0.7156250000000001,0.6980255516840883,0.8268590455049944,0.5179282868525896,0.4820717131474104,0.4063745019920319,0.398406374501992,0.7403083163098073,0.7950144912261435,0.4444444444444444,-0.05769230769230771,0.6618513312435375,-0.546466715858922
3,0.75,0.7692307692307693,0.8269230769230769,0.8269230769230769,0.9282868525896414,0.9322709163346613,0.952191235059761,0.848605577689243,0.75,0.7692307692307693,0.8269230769230769,0.8269230769230769,0.7491651205936921,0.7678571428571428,0.8237288135593219,0.8268590455049944,0.5697211155378487,0.6095617529880478,0.5537848605577689,0.6454183266932271,1.2721495771889255,1.250997401158756,0.0,0.019230769230769273,0.4325563673765883,-0.47101790583812675
4,0.8076923076923077,0.7307692307692307,0.8076923076923077,0.8269230769230769,0.9362549800796812,0.9163346613545816,0.952191235059761,0.848605577689243,0.8076923076923077,0.7307692307692306,0.8076923076923077,0.8269230769230769,0.8050974512743628,0.7204301075268817,0.8074074074074075,0.8268590455049944,0.6733067729083665,0.6693227091633466,0.8207171314741036,0.7848605577689243,1.8053677339629945,2.062047145304202,1.125,-0.07692307692307698,0.43056387050468226,-0.2767177166585283
5,0.8461538461538461,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.952191235059761,0.9402390438247012,0.9681274900398407,0.848605577689243,0.8461538461538461,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8459259259259259,0.8253079507278835,0.8237288135593219,0.8268590455049944,0.7211155378486056,0.7051792828685259,1.0239043824701195,1.0,2.1906101393139505,2.8631836771379504,0.0,-0.019230769230769273,0.31509213193673746,-0.276630593475199
6,0.7884615384615384,0.7692307692307693,0.8076923076923077,0.8269230769230769,0.9641434262948207,0.9402390438247012,0.9800796812749004,0.848605577689243,0.7884615384615384,0.7692307692307693,0.8076923076923077,0.8269230769230769,0.7864874953340799,0.7636363636363636,0.803030303030303,0.8268590455049944,0.7330677290836654,0.7330677290836654,1.1912350597609562,1.1952191235059761,2.8003959999582726,3.6637075122302147,0.0,-0.019230769230769162,0.2824254652700708,-0.24396392680853235
7,0.8269230769230769,0.7692307692307693,0.8461538461538461,0.8269230769230769,0.9760956175298805,0.9561752988047809,0.9880478087649402,0.848605577689243,0.8269230769230769,0.7692307692307693,0.8461538461538461,0.8269230769230769,0.8268590455049944,0.7661169415292355,0.8459259259259259,0.8268590455049944,0.7450199203187251,0.7290836653386454,1.3824701195219125,1.3745019920318724,3.43703863017361,4.497880070808469,0.36363636363636365,-0.0576923076923076,0.32368319139630203,-0.2082985760116866
8,0.7884615384615384,0.7692307692307693,0.8461538461538461,0.8269230769230769,0.9760956175298805,0.9641434262948207,0.9960159362549801,0.848605577689243,0.7884615384615384,0.7692307692307693,0.8461538461538461,0.8269230769230769,0.7877551020408162,0.7636363636363636,0.8461538461538461,0.8268590455049944,0.7768924302788844,0.7450199203187251,1.5896414342629481,1.6015936254980079,4.09521298568159,5.456204522438907,0.0,-0.019230769230769162,0.254928436520498,-0.21646689805895955
9,0.8269230769230769,0.7884615384615384,0.7884615384615384,0.8269230769230769,0.9681274900398407,0.9800796812749004,0.9920318725099602,0.848605577689243,0.8269230769230769,0.7884615384615384,0.7884615384615384,0.8269230769230769,0.8268590455049944,0.7864874953340799,0.7883832778394376,0.8268590455049944,0.7848605577689243,0.749003984063745,1.8764940239043826,1.792828685258964,4.969971183784692,6.349955713835235,0.125,-0.038461538461538436,0.254471694438433,-0.17754861751535597
10,0.8076923076923077,0.7692307692307693,0.7884615384615384,0.8269230769230769,0.9721115537848606,0.9721115537848606,0.9920318725099602,0.848605577689243,0.8076923076923077,0.7692307692307693,0.7884615384615384,0.8269230769230769,0.8074074074074075,0.7661169415292355,0.7877551020408162,0.8268590455049944,0.796812749003984,0.7450199203187251,2.0756972111553784,1.9800796812749004,6.155979794642627,7.323313029129738,0.16666666666666666,-0.038461538461538436,0.22937841391587468,-0.15245533699279776
11,0.8461538461538461,0.8461538461538461,0.8076923076923077,0.8269230769230769,0.9760956175298805,0.9760956175298805,0.9880478087649402,0.848605577689243,0.8461538461538461,0.8461538461538461,0.8076923076923077,0.8269230769230769,0.845925925925926,0.8459259259259259,0.8074074074074074,0.8268590455049944,0.8007968127490039,0.7729083665338645,2.2908366533864544,2.2270916334661353,7.099276690164051,8.225492572137867,0.16666666666666666,0.0,0.18141783016504426,-0.18141783016504426
12,0.8461538461538461,0.8076923076923077,0.8269230769230769,0.8269230769230769,0.9760956175298805,0.9800796812749004,0.9960159362549801,0.848605577689243,0.8461538461538461,0.8076923076923077,0.8269230769230769,0.8269230769230769,0.8461538461538461,0.8065476190476191,0.8263450834879407,0.8268590455049944,0.8087649402390438,0.7729083665338645,2.5179282868525896,2.406374501992032,8.275847195591831,9.217006652199174,0.125,-0.038461538461538436,0.22724947221621072,-0.1503263952931338
