numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.7837837837837838,0.7837837837837838,0.7162162162162162,0.8108108108108109,0.8908296943231441,0.8733624454148472,0.8602620087336245,0.8602620087336245,0.7837837837837838,0.7837837837837838,0.7162162162162162,0.8108108108108109,0.7797619047619049,0.7831501831501831,0.7149146945514584,0.8085735402808574,0.32751091703056767,0.30131004366812225,0.2183406113537118,0.17467248908296942,0.3112068801128887,0.3406806585740146,0.05,0.0,1.0984511685378266,-1.0984511685378266
2,0.7297297297297297,0.7162162162162162,0.7972972972972973,0.8108108108108109,0.8777292576419214,0.868995633187773,0.9126637554585153,0.8602620087336245,0.7297297297297297,0.7162162162162162,0.7972972972972974,0.8108108108108109,0.72953216374269,0.7098039215686275,0.7972602739726027,0.8085735402808574,0.5240174672489083,0.4978165938864629,0.4410480349344978,0.4017467248908297,0.708633371120382,0.7022592260402194,0.0,-0.013513513513513487,0.6249288893236248,-0.5979018622965978
3,0.7567567567567568,0.8108108108108109,0.7972972972972973,0.8108108108108109,0.9301310043668122,0.9650655021834061,0.9432314410480349,0.8602620087336245,0.7567567567567567,0.8108108108108109,0.7972972972972974,0.8108108108108109,0.7522321428571429,0.8085735402808574,0.792717086834734,0.8085735402808574,0.611353711790393,0.6069868995633187,0.6855895196506551,0.6331877729257642,1.2431086577155173,1.1647098036539598,0.75,0.05405405405405406,0.3651873965256625,-0.4732955046337706
4,0.7567567567567568,0.7972972972972973,0.8243243243243243,0.8108108108108109,0.9475982532751092,0.9694323144104804,0.9650655021834061,0.8602620087336245,0.7567567567567567,0.7972972972972974,0.8243243243243243,0.8108108108108109,0.7560439560439561,0.7963676389653274,0.8242922374429223,0.8085735402808574,0.7030567685589519,0.6855895196506551,0.9519650655021834,0.8384279475982532,1.7848248968164457,1.656409310449161,0.3076923076923077,0.04054054054054046,0.3004035226515136,-0.38148460373259474
5,0.8243243243243243,0.7972972972972973,0.7972972972972973,0.8108108108108109,0.9563318777292577,0.9737991266375546,0.9694323144104804,0.8602620087336245,0.8243243243243243,0.7972972972972974,0.7972972972972974,0.8108108108108109,0.8216867469879519,0.794253938832252,0.7963676389653274,0.8085735402808574,0.7248908296943232,0.7205240174672489,1.1703056768558953,0.9432314410480349,2.388884019945605,2.3013120874436526,0.1,-0.027027027027027084,0.3070107184136813,-0.25295666435962727
6,0.7837837837837838,0.8243243243243243,0.7297297297297297,0.8108108108108109,0.982532751091703,0.9737991266375546,0.9737991266375546,0.8602620087336245,0.7837837837837838,0.8243243243243243,0.7297297297297297,0.8108108108108109,0.7823529411764707,0.8235186204366172,0.72953216374269,0.8085735402808574,0.7248908296943232,0.7292576419213974,1.314410480349345,1.2096069868995634,2.955922378341199,2.9179303465857425,0.3076923076923077,0.04054054054054057,0.2187368559848469,-0.29981793706592796
7,0.8108108108108109,0.8513513513513513,0.7837837837837838,0.8108108108108109,0.9650655021834061,0.982532751091703,0.9781659388646288,0.8602620087336245,0.8108108108108109,0.8513513513513514,0.7837837837837838,0.8108108108108109,0.8072916666666665,0.8491195551436514,0.7812269031781227,0.8085735402808574,0.7467248908296943,0.7467248908296943,1.480349344978166,1.4148471615720524,3.829452774580358,3.393803667707999,0.4444444444444444,0.04054054054054046,0.17945400549983367,-0.26053508658091473
8,0.7837837837837838,0.8243243243243243,0.8513513513513513,0.8108108108108109,0.9868995633187773,0.9781659388646288,0.9868995633187773,0.8602620087336245,0.7837837837837838,0.8243243243243243,0.8513513513513514,0.8108108108108109,0.7823529411764707,0.8235186204366172,0.8513242009132421,0.8085735402808574,0.7641921397379913,0.74235807860262,1.685589519650655,1.6593886462882097,4.4081237515657365,4.358675197070271,0.36363636363636365,0.04054054054054057,0.1702894958514095,-0.2513705769324906
9,0.8243243243243243,0.8378378378378378,0.8513513513513513,0.8108108108108109,0.9912663755458515,0.9737991266375546,0.9956331877729258,0.8602620087336245,0.8243243243243243,0.8378378378378378,0.8513513513513514,0.8108108108108109,0.8216867469879519,0.835920177383592,0.8491195551436514,0.8085735402808574,0.7554585152838428,0.7641921397379913,1.9213973799126638,1.9213973799126638,5.238998361584419,5.619554026903706,0.0,0.013513513513513487,0.18327505580211106,-0.2103020828291381
10,0.7972972972972973,0.8243243243243243,0.8108108108108109,0.8108108108108109,0.982532751091703,0.9606986899563319,0.9781659388646288,0.8602620087336245,0.7972972972972974,0.8243243243243243,0.8108108108108109,0.8108108108108109,0.7954671088999448,0.8227381610466188,0.8095588235294118,0.8085735402808574,0.7554585152838428,0.7685589519650655,2.109170305676856,2.2096069868995634,6.312880959968674,6.670967984538089,0.125,0.027027027027027084,0.14614073525263066,-0.20019478930668472
11,0.8243243243243243,0.8108108108108109,0.8513513513513513,0.8108108108108109,0.982532751091703,0.982532751091703,0.9868995633187773,0.8602620087336245,0.8243243243243243,0.8108108108108109,0.8513513513513514,0.8108108108108109,0.8216867469879519,0.8085735402808574,0.8500092131932928,0.8085735402808574,0.759825327510917,0.7903930131004366,2.2794759825327513,2.3449781659388647,7.280213947795484,7.636341537710888,0.0,-0.013513513513513487,0.1905041030311583,-0.16347707600413128
12,0.8108108108108109,0.8378378378378378,0.7567567567567568,0.8108108108108109,0.9956331877729258,0.982532751091703,0.9912663755458515,0.8602620087336245,0.8108108108108109,0.8378378378378378,0.7567567567567567,0.8108108108108109,0.8085735402808574,0.8373626373626373,0.7565789473684211,0.8085735402808574,0.777292576419214,0.7947598253275109,2.524017467248908,2.537117903930131,8.4098997760973,8.774926692476814,0.1,0.027027027027026973,0.13862333102629396,-0.192677385080348
