numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5857142857142857,0.6714285714285714,0.6428571428571429,0.8857142857142857,0.8240343347639485,0.8669527896995708,0.9055793991416309,0.8369098712446352,0.5857142857142857,0.6714285714285714,0.6428571428571429,0.8857142857142857,0.5835897435897437,0.6708239623798814,0.6338146055660181,0.8794142980189492,0.3090128755364807,0.3218884120171674,0.13304721030042918,0.1888412017167382,0.43457099528987553,0.35765029322521574,0.8928571428571429,0.08571428571428563,1.0438022685531265,-1.2152308399816978
2,0.6,0.6428571428571429,0.7428571428571429,0.8857142857142857,0.8412017167381974,0.8798283261802575,0.9098712446351931,0.8369098712446352,0.6,0.6428571428571429,0.7428571428571429,0.8857142857142857,0.5986895986895987,0.641025641025641,0.740953947368421,0.8794142980189492,0.5064377682403434,0.49356223175965663,0.33905579399141633,0.41630901287553645,0.8117911093019052,0.767008311623396,0.23529411764705882,0.04285714285714293,0.5630255564555673,-0.6487398421698529
3,0.7714285714285715,0.7285714285714285,0.7571428571428571,0.8857142857142857,0.927038626609442,0.9227467811158798,0.9699570815450643,0.8369098712446352,0.7714285714285715,0.7285714285714285,0.7571428571428571,0.8857142857142857,0.7552447552447553,0.7280719689225107,0.7530608009960573,0.8794142980189492,0.6008583690987125,0.5836909871244635,0.5321888412017167,0.648068669527897,1.2367263851150734,1.3172542761190684,0.21052631578947367,-0.04285714285714293,0.4919852320208554,-0.4062709463065698
4,0.7857142857142857,0.7,0.7571428571428571,0.8857142857142857,0.9399141630901288,0.9141630901287554,0.9613733905579399,0.8369098712446352,0.7857142857142857,0.7,0.7571428571428571,0.8857142857142857,0.7802887633396107,0.6999387630128597,0.7509939317848922,0.8794142980189492,0.6866952789699571,0.6394849785407726,0.7510729613733905,0.7854077253218884,1.69780730018907,2.0872112886200345,1.5625,-0.08571428571428574,0.44450004932292,-0.2730714778943486
5,0.8,0.7285714285714285,0.7857142857142857,0.8857142857142857,0.9570815450643777,0.9313304721030042,0.9742489270386266,0.8369098712446352,0.8000000000000002,0.7285714285714285,0.7857142857142857,0.8857142857142857,0.7916666666666666,0.7280719689225107,0.7780596068484464,0.8794142980189492,0.7296137339055794,0.6781115879828327,0.9656652360515021,0.8841201716738197,2.243647541444261,3.0550041035209614,1.2307692307692308,-0.07142857142857151,0.3697613618722997,-0.2269042190151568
6,0.7428571428571429,0.6857142857142857,0.7285714285714285,0.8857142857142857,0.944206008583691,0.9399141630901288,0.9871244635193133,0.8369098712446352,0.7428571428571429,0.6857142857142857,0.7285714285714285,0.8857142857142857,0.7375,0.6854575163398693,0.7258297258297259,0.8794142980189492,0.7510729613733905,0.6995708154506438,1.1802575107296138,1.1030042918454936,2.8840211441435586,3.751285919034856,0.5625,-0.05714285714285716,0.3332733535610837,-0.21898763927536935
7,0.7857142857142857,0.7571428571428571,0.7714285714285715,0.8857142857142857,0.9656652360515021,0.9484978540772532,0.9785407725321889,0.8369098712446352,0.7857142857142857,0.7571428571428571,0.7714285714285715,0.8857142857142857,0.7754010695187166,0.755897435897436,0.7619047619047619,0.8794142980189492,0.7510729613733905,0.721030042918455,1.3733905579399142,1.257510729613734,3.5631986750638975,4.464758120469985,0.07142857142857142,-0.02857142857142858,0.2735514266663037,-0.21640856952344661
8,0.7571428571428571,0.7571428571428571,0.8428571428571429,0.8857142857142857,0.9527896995708155,0.9613733905579399,0.9871244635193133,0.8369098712446352,0.7571428571428571,0.7571428571428571,0.8428571428571429,0.8857142857142857,0.7530608009960573,0.755897435897436,0.8388784264490479,0.8794142980189492,0.7467811158798283,0.7167381974248928,1.592274678111588,1.4549356223175967,4.472596865214368,5.578133831609874,0.07142857142857142,0.0,0.22726640682967036,-0.22726640682967036
9,0.8285714285714286,0.8142857142857143,0.7571428571428571,0.8857142857142857,0.9613733905579399,0.9656652360515021,0.9871244635193133,0.8369098712446352,0.8285714285714286,0.8142857142857143,0.7571428571428571,0.8857142857142857,0.8191214470284237,0.8111641419381614,0.7530608009960573,0.8794142980189492,0.7553648068669528,0.7510729613733905,1.7725321888412018,1.6223175965665235,5.374134267214223,6.6663619428538015,0.0,-0.014285714285714346,0.21610038000751428,-0.1875289514360857
10,0.8428571428571429,0.7714285714285715,0.8142857142857143,0.8857142857142857,0.9785407725321889,0.9656652360515021,0.9914163090128756,0.8369098712446352,0.8428571428571429,0.7714285714285715,0.8142857142857143,0.8857142857142857,0.8372437116888607,0.7697368421052633,0.8095835948943294,0.8794142980189492,0.7553648068669528,0.7553648068669528,2.0257510729613735,1.8412017167381973,6.085136861911613,7.836923011265838,1.2307692307692308,-0.0714285714285714,0.2717613618722997,-0.12890421901515683
