numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.45335208626347867,0.4431942491014221,0.45335208626347867,0.4431942491014221,0.123911986072015,0.12338655333242433,0,0.0,0.98,-0.98
2,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.7105797780903266,0.6963588060634475,0.9071729957805907,0.890295358649789,0.2386982934437935,0.2427713190945578,0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.8399749960931395,0.8304422566025942,1.351773714642913,1.3409907798093452,0.36290148270673545,0.36958572577402776,0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.9129551492420691,0.9029535864978903,1.8049695264885137,1.782934833567745,0.48209454455328904,0.4942566403989369,0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.9521800281293952,0.9438974839818721,2.250976715111736,2.2273792780121893,0.6155589466144874,0.6201096382631869,0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.9721831536177528,0.96671354899203,2.6999531176746365,2.6746366619784343,0.7384669163536839,0.7564145593248235,0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.9857790279731208,0.9806219721831536,3.145335208626348,3.1206438506016565,0.8490130070734848,0.8800486753661132,0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.9918737302703547,0.9887482419127989,3.596968276293171,3.5752461322081577,0.9855119175160889,1.0112141731006221,0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.995468041881544,0.9940615721206438,4.041256446319737,4.022816065010158,1.095794721408794,1.1369486524854273,0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.9974996093139553,0.9967182372245663,4.4896077512111265,4.473198937333958,1.2020466659000113,1.26807000144629,0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.9987498046569776,0.9984372558212221,4.937021409595249,4.920456321300203,1.3239856378158235,1.4041378179008785,0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.999218627910611,0.9995311767463666,5.390686044694483,5.374120956399437,1.450076279467723,1.5124180835612697,0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9488982653539616,1.0,1.0,1.0,0.9344927536231884,1.0,1.0,1.0,0.9343653498881592,0.9993749023284888,0.9996874511642444,5.839662447257384,5.82153461478356,1.5696418483625885,1.6352739374202356,0,0.0,0.07538461538461538,-0.07538461538461538
