numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,0.9987654320987654,0.9993827160493827,0.9376543209876543,1.0,0.9996924969249692,0.9998462484624846,0.9492619926199262,1.0,0.9987654320987654,0.9993827160493827,0.9376543209876543,1.0,0.9987564079534621,0.9993781378606944,0.9370632033606294,0.44449569495694957,0.4484932349323493,0.44449569495694957,0.4481857318573186,0.12345963606084398,0.12413513371630264,0.5,-0.0012345679012345512,0.9829466475791973,-0.9804775117767282
2,1.0,1.0,0.9993827160493827,0.9376543209876543,1.0,1.0,0.9995387453874539,0.9492619926199262,1.0,1.0,0.9993827160493827,0.9376543209876543,1.0,1.0,0.99937800415355,0.9370632033606294,0.6889606396063961,0.6958794587945879,0.8876076260762608,0.893450184501845,0.2485271505736275,0.24697713118331094,0.0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9492619926199262,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9370632033606294,0.8253382533825339,0.8324108241082411,1.3310270602706027,1.3451722017220171,0.3798316739001789,0.37174244773313586,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9492619926199262,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9370632033606294,0.9000615006150061,0.9111316113161132,1.7773677736777367,1.7910516605166051,0.5133950619496948,0.49281559154916066,0.0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9492619926199262,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9370632033606294,0.9464944649446494,0.9488007380073801,2.225092250922509,2.2367773677736777,0.6349193158554562,0.6287656079839734,0.0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9492619926199262,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9370632033606294,0.9726322263222632,0.9723247232472325,2.6703567035670357,2.6880381303813037,0.7522872671691204,0.742740003379636,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9492619926199262,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9370632033606294,0.9837023370233703,0.9846248462484625,3.1231549815498156,3.134532595325953,0.8764494673662651,0.8672217947961517,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9492619926199262,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9370632033606294,0.9909286592865929,0.9909286592865929,3.572878228782288,3.5842558425584254,0.9958434394479565,0.9953404552892955,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9492619926199262,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9370632033606294,0.9949261992619927,0.9944649446494465,4.018757687576875,4.037515375153752,1.1170183071859558,1.1298014326795114,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9492619926199262,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9370632033606294,0.996309963099631,0.9970787207872078,4.468480934809348,4.487392373923739,1.2549239541806203,1.2548104760132175,0.0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9492619926199262,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9370632033606294,0.9981549815498155,0.9981549815498155,4.918511685116851,4.9318880688806885,1.3772180435741215,1.3819527756616028,0.0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9492619926199262,1.0,1.0,1.0,0.9376543209876543,1.0,1.0,1.0,0.9370632033606294,0.9989237392373924,0.9990774907749077,5.3646986469864695,5.380227552275523,1.506380882419103,1.5042095061485294,0.0,0.0,0.08166666666666667,-0.08166666666666667
