numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9987301587301587,0.9968253968253968,0.9980952380952381,0.9466666666666667,0.9996946098641014,0.9995419147961521,0.9998473049320507,0.9456405558100474,0.9987301587301587,0.9968253968253968,0.9980952380952381,0.9466666666666667,0.9987251216598187,0.9968145278563978,0.9980875284593979,0.9464193722926191,0.44785463429531225,0.4499923652466025,0.44754924415941366,0.44953428004275464,0.12409886361833976,0.12443752664999767,0.5714285714285714,-0.0019047619047618536,0.9851985960247316,-0.9813890722152079
2,0.9987301587301587,0.9968253968253968,0.9993650793650793,0.9466666666666667,0.9996946098641014,0.9995419147961521,0.9998473049320507,0.9456405558100474,0.9987301587301587,0.9968253968253968,0.9993650793650793,0.9466666666666667,0.9987251216598187,0.9968145278563978,0.9993626116491928,0.9464193722926191,0.6965948999847305,0.6885020613834173,0.8961673537944724,0.8899068560085509,0.24687709168276417,0.25320133943934703,0.5714285714285714,-0.0019047619047618536,0.49519859602473154,-0.4913890722152077
3,1.0,0.9968253968253968,1.0,0.9466666666666667,1.0,0.9995419147961521,1.0,0.9456405558100474,1.0,0.9968253968253968,1.0,0.9466666666666667,1.0,0.9968145278563978,1.0,0.9464193722926191,0.8395174835852802,0.8248587570621468,1.3464651091769735,1.3379141853718124,0.3645624462664321,0.3820465427328866,3.2,-0.0031746031746031633,0.33262834563772725,-0.3262791392885209
4,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,0.9096045197740112,0.9047182775996335,1.788822721026111,1.7897388914338066,0.4916120630227178,0.5066639194017563,0.0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,0.9502214078485265,0.947472896625439,2.2432432432432434,2.2417162925637504,0.6142697857520223,0.6386650192014969,0.0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,0.9725148877691251,0.9683921209344938,2.6930829134218963,2.686975110703924,0.738990255920026,0.7741531929580544,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,0.9842724080012215,0.9824400671858299,3.144602229347992,3.1349824400671857,0.8687033222144843,0.902445117474561,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,0.9920598564666361,0.9902275156512444,3.595358069934341,3.5826843792945486,1.0012163756700794,1.030234747230485,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,0.9967934035730646,0.9957245380974195,4.045808520384791,4.023209650328295,1.0977703705086956,1.159770980643004,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,0.9981676591846084,0.9967934035730646,4.4921362040006105,4.473812795846694,1.2306094138271793,1.2909602040265242,0.0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,0.9993892197282028,0.998014964116659,4.946251336081844,4.926553672316384,1.3610321723044834,1.4000367695964648,0.0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,0.9989311345243549,5.393953275309207,5.370438234845015,1.4757712503065634,1.5265932877449053,0.0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,0.9990838295923041,5.8460833715071,5.823789891586502,1.6103978664853946,1.652973563472306,0.0,0.0,0.07538461538461538,-0.07538461538461538
14,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,0.9995419147961521,6.29439609100626,6.271644525881814,1.7233522083382913,1.749997564580844,0.0,0.0,0.06999999999999999,-0.06999999999999999
15,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,0.9996946098641014,6.741334554893877,6.718430294701482,1.8641013175340588,1.8783430609840468,0.0,0.0,0.06533333333333333,-0.06533333333333333
16,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,0.9996946098641014,7.1902580546648345,7.171171171171171,1.981094268480168,2.0151901522466997,0.0,0.0,0.06125,-0.06125
17,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,0.9996946098641014,7.640861200183234,7.616277294243396,2.1231708734926382,2.1338178143066564,0.0,0.0,0.05764705882352941,-0.05764705882352941
18,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,0.9996946098641014,8.09650328294396,8.068102000305391,2.248205676358847,2.2609482346129908,0.0,0.0,0.05444444444444444,-0.05444444444444444
19,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,0.9996946098641014,8.541762101084135,8.517178195144297,2.380965220983012,2.3815505099634393,0.0,0.0,0.05157894736842105,-0.05157894736842105
20,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,0.9998473049320507,8.992517941670483,8.962131623148572,2.509750780139939,2.5103731868010044,0.0,0.0,0.049,-0.049
21,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,9.434570163383723,9.41304015880287,2.635761131826291,2.6540025252890014,0.0,0.0,0.04666666666666666,-0.04666666666666666
22,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,9.886547564513666,9.855855855855856,2.7693367545091903,2.7683798061966645,0.0,0.0,0.04454545454545455,-0.04454545454545455
23,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,10.335165674148724,10.306000916170408,2.9172081815358677,2.9021602569125315,0.0,0.0,0.042608695652173914,-0.042608695652173914
24,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,10.783936478851732,10.754313635669568,3.041649833164237,3.0185780424972184,0.0,0.0,0.04083333333333333,-0.04083333333333333
25,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,11.233623453962437,11.2087341578867,3.1875848953684573,3.1548183494458537,0.0,0.0,0.0392,-0.0392
26,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,11.680867307985952,11.659948083676897,3.315272964407815,3.2795226017687393,0.0,0.0,0.03769230769230769,-0.03769230769230769
27,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,12.132233928844098,12.105206901817072,3.4457125052795248,3.3832484465511836,0.0,0.0,0.03629629629629629,-0.03629629629629629
28,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,12.582989769430448,12.554435791723927,3.564095941936284,3.5223119703235914,0.0,0.0,0.034999999999999996,-0.034999999999999996
29,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,13.033440219880898,13.002748511223087,3.7138672467023146,3.6566974483982353,0.0,0.0,0.03379310344827586,-0.03379310344827586
30,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,13.487555351962131,13.456252863032525,3.841562816078247,3.7356840405580964,0.0,0.0,0.03266666666666666,-0.03266666666666666
31,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,13.941670484043366,13.905939838143228,3.9690233626754825,3.850759719859852,0.0,0.0,0.03161290322580645,-0.03161290322580645
32,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,14.386165826843794,14.350129790807756,4.06876924028699,3.9874368962843225,0.0,0.0,0.030625,-0.030625
33,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,14.840739044128874,14.796915559627424,4.175836625845314,4.127448363378608,0.0,0.0,0.029696969696969697,-0.029696969696969697
34,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9456405558100474,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,1.0,0.9464193722926191,1.0,1.0,15.286455947472897,15.245839059398381,4.326384448419915,4.294086646288589,0.0,0.0,0.028823529411764706,-0.028823529411764706
