numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,1.0,1.0,0.942711648631445,1.0,1.0,0.9996947962765146,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.45399053868457195,0.4488020753853197,0.45399053868457195,0.4488020753853197,0.12394156473473204,0.12368938625757472,0,0.0,0.98,-0.98
2,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.6996795360903403,0.6906760262475202,0.9030978177933771,0.8939417060888143,0.24717435634814544,0.2506706459432111,0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.8325957576682436,0.8321379520830154,1.3526629024874104,1.3451854112620174,0.3743320641196087,0.3716763772108435,0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.9072180680604304,0.9081336792308866,1.8028383946284146,1.7955135052647642,0.5065822681107822,0.48756204006216886,0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.9508622005188463,0.951014802380589,2.2502670532580495,2.2429421638943996,0.6219717711473222,0.6132485941614613,0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.9748206928124523,0.9745154890889669,2.700900350984282,2.6885396001831223,0.7510884089675864,0.7237379310219557,0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.9861132305814131,0.9870288417518693,3.149397222646116,3.138409888600641,0.8733969265244502,0.8424738464092189,0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.9923699069128643,0.9916068976041508,3.5995727147871204,3.5872119639859608,0.9976559441173047,0.9710368047140254,0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.9963375553181749,0.994658934839005,4.0497482069281245,4.034182817030368,1.1328995944255627,1.0914595686136157,0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.9981687776590874,0.9971005646268885,4.49214100412025,4.483290096139173,1.26717143907123,1.2152262513361602,0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.9992369906912865,0.9983213795208301,4.938806653441172,4.936670227376774,1.3703699752282836,1.3219140124314233,0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,0.9995421944147719,0.998931786967801,5.384251487868152,5.381199450633297,1.4945373574692562,1.4442283732394199,0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,1.0,0.9995421944147719,5.831527544636044,5.8332061651152145,1.6115456029141484,1.5853078377078729,0,0.0,0.07538461538461538,-0.07538461538461538
14,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,1.0,0.9996947962765146,6.279719212574394,6.282160842362277,1.7409745967951327,1.691560721213882,0,0.0,0.06999999999999999,-0.06999999999999999
15,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9490309781779338,1.0,1.0,1.0,0.942711648631445,1.0,1.0,1.0,0.9425187823202263,1.0,1.0,6.729436899130169,6.732183732641539,1.8692023297953808,1.8050721257036253,0,0.0,0.06533333333333333,-0.06533333333333333
