numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9993746091307066,0.9993746091307066,1.0,0.9474671669793621,0.9995402298850574,0.9995402298850574,1.0,0.944367816091954,0.9993746091307066,0.9993746091307066,1.0,0.9474671669793621,0.999374291969689,0.999374291969689,1.0,0.9474093889095974,0.45026819923371647,0.45272030651340994,0.44980842911877394,0.4522605363984674,0.1244538152437611,0.12457275400174454,0,0.0,0.98,-0.98
2,0.9993746091307066,0.9993746091307066,1.0,0.9474671669793621,0.9995402298850574,0.9995402298850574,1.0,0.944367816091954,0.9993746091307066,0.9993746091307066,1.0,0.9474671669793621,0.999374291969689,0.999374291969689,1.0,0.9474093889095974,0.6993103448275862,0.6986973180076629,0.8960919540229885,0.9019157088122606,0.2451343205131599,0.2480082088855792,0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.944367816091954,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.9474093889095974,0.829272030651341,0.8334099616858237,1.3459003831417624,1.3497318007662835,0.3753156377321145,0.3731190147127034,0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.944367816091954,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.9474093889095974,0.9066666666666666,0.9054406130268199,1.7972413793103448,1.8004597701149425,0.49591831447327966,0.5055267873975252,0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.944367816091954,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.9474093889095974,0.949272030651341,0.9477394636015326,2.2413793103448274,2.2462835249042143,0.6111614842087087,0.6229902645751608,0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.944367816091954,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.9474093889095974,0.9721072796934865,0.9695019157088123,2.6884291187739464,2.6927203065134098,0.7306027262380085,0.7609089659853358,0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.944367816091954,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.9474093889095974,0.9837547892720306,0.9840613026819923,3.129655172413793,3.139770114942529,0.8431405756171171,0.882408740801915,0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.944367816091954,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.9474093889095974,0.9917241379310345,0.9909578544061303,3.5868199233716473,3.5859003831417624,0.968280591875682,1.0128771189559984,0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.944367816091954,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.9474093889095974,0.9954022988505747,0.9950957854406131,4.035862068965518,4.030651340996169,1.086863451364341,1.145966615089843,0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.944367816091954,1.0,1.0,1.0,0.9474671669793621,1.0,1.0,1.0,0.9474093889095974,0.9969348659003832,0.9973946360153256,4.483984674329502,4.477394636015326,1.2007237847041863,1.2747065441991636,0,0.0,0.098,-0.098
