numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.997626112759644,1.0,1.0,0.9376854599406528,0.9990681782885541,1.0,1.0,0.9450225190246933,0.997626112759644,1.0,1.0,0.9376854599406528,0.9976218904630045,1.0,1.0,0.9375302109443328,0.44789563596831805,0.4461872961640006,0.4469638142568722,0.4461872961640006,0.1250435371828334,0.12355209645292949,2.25,0.002373887240356032,0.9799552819352799,-0.984703056415992
2,0.9982195845697329,1.0,1.0,0.9376854599406528,0.9992234819071284,1.0,1.0,0.9450225190246933,0.9982195845697329,1.0,1.0,0.9376854599406528,0.9982163278512908,1.0,1.0,0.9375302109443328,0.6963814256872185,0.6917223171299891,0.8962571827923591,0.8951700574623389,0.24750013457884326,0.25036805317495553,1.3333333333333333,0.0017804154302670794,0.49023610702283044,-0.4937969378833646
3,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9450225190246933,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9375302109443328,0.8310296629911477,0.8318061810840193,1.3439975151421029,1.344152818760677,0.3743626245764123,0.3726787819247042,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9450225190246933,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9375302109443328,0.9032458456282031,0.9108557229383445,1.7936014909147384,1.7912719366361236,0.5041772591365695,0.48699095223163147,0.0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9450225190246933,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9375302109443328,0.9451778226432676,0.9504581456747943,2.2373039291815497,2.244447895635968,0.6300004214484608,0.610284128922891,0.0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9450225190246933,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9375302109443328,0.9687839726665631,0.9739089920795154,2.6813169746855103,2.689548066469949,0.7612467552102359,0.7322881336289341,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9450225190246933,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9375302109443328,0.9832272091939742,0.985090852616866,3.132939897499612,3.13899673862401,0.8896965579353237,0.8657087994200575,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9450225190246933,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9375302109443328,0.990060568411244,0.9923901226898587,3.579437800900761,3.5901537505823886,1.0023414273759839,0.991257629118413,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9450225190246933,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9375302109443328,0.9942537661127504,0.9951855878241963,4.029818294766268,4.037738779313558,1.131182707737363,1.1152220435336875,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9450225190246933,1.0,1.0,1.0,0.9376854599406528,1.0,1.0,1.0,0.9375302109443328,0.9964280167727908,0.9968939276285137,4.478801056064606,4.48936170212766,1.2550026888151202,1.2258907653824909,0.0,0.0,0.098,-0.098
