numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.44648598989435,0.45031388761292296,0.44648598989435,0.45031388761292296,0.12356812536120616,0.12376564511792934,0,0.0,0.98,-0.98
2,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.7009646302250804,0.6966773847802786,0.9007808911345889,0.9020058184045322,0.24691978686726626,0.24952409460870473,0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.8332567753789619,0.831113152656561,1.3503291992037973,1.3435920992191088,0.3710014702119134,0.37455224139781595,0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.9067524115755627,0.906293063849334,1.8006430868167203,1.795590261828204,0.4977844254549382,0.4992752962360854,0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.9500842137498086,0.9465625478487215,2.2497320471597,2.25340682896953,0.6058114518917388,0.6267870093340654,0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.9725922523350176,0.9713673250650743,2.69621803705405,2.6949931097841064,0.7235250204869079,0.747958382282755,0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.9825447864033073,0.9842290613994794,3.1436227224008575,3.1451538814882865,0.8502737690748655,0.8753516222405864,0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.990506813657939,0.990506813657939,3.5988363190935537,3.5934772622875517,0.9695231698464145,1.0019255764869703,0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.9951002909202266,0.9954065227377125,4.039044556729444,4.0401163680906444,1.1091914004354784,1.1282324595735072,0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.9966314500076559,0.9978563772775991,4.48583677844128,4.48736793752871,1.2387801439512132,1.2579419560102412,0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.998009493186342,0.9984688409125708,4.939978563772776,4.938906752411576,1.3448802152328352,1.3680907242735618,0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.9989281886387996,0.9996937681825142,5.390904915020671,5.3843209309447255,1.462510793773058,1.4848157538584315,0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.9990813045475425,1.0,5.838768948093707,5.837084673097535,1.5877782454148033,1.6060286569149518,0,0.0,0.07538461538461538,-0.07538461538461538
14,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9451845046700352,1.0,1.0,1.0,0.9409918392969241,1.0,1.0,1.0,0.9408607501350699,0.9995406522737712,1.0,6.293370081151432,6.284489358444342,1.7156867896172594,1.7296514912048477,0,0.0,0.06999999999999999,-0.06999999999999999
