numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,0.9987546699875467,1.0,0.9445828144458281,1.0,0.9998465787051243,1.0,0.945688861613992,1.0,0.9987546699875467,1.0,0.9445828144458281,1.0,0.998752161960986,1.0,0.9444121004233242,0.4504449217551396,0.4521325559987726,0.4504449217551396,0.4519791347038969,0.12377214711007285,0.12408457319433308,0.5,-0.001245330012453305,0.9829723437014856,-0.980481683676579
2,0.9987546699875467,1.0,0.9993773349937733,0.9445828144458281,0.9993863148204971,1.0,0.9995397361153728,0.945688861613992,0.9987546699875467,1.0,0.9993773349937733,0.9445828144458281,0.9987518749077118,1.0,0.9993759740691192,0.9444121004233242,0.6979134703896901,0.6954587296716784,0.902730899048788,0.8998158944461492,0.250133421066014,0.24982235407308293,0.5,0.001245330012453305,0.490481683676579,-0.4929723437014856
3,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.945688861613992,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.9444121004233242,0.8298557839828168,0.8240257747775391,1.353482663393679,1.3439705431113838,0.3774171813820268,0.38308891747366747,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.945688861613992,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.9444121004233242,0.906106167536054,0.9016569499846578,1.800398895366677,1.7936483583921448,0.5033564607760125,0.5074086130535715,0.0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.945688861613992,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.9444121004233242,0.9475299171525008,0.9450751764344891,2.247161706044799,2.248389076403805,0.6238367981863532,0.6296550315213226,0.0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.945688861613992,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.9444121004233242,0.9682417919607241,0.9697760049094815,2.700828474992329,2.694077938017797,0.7537716903453708,0.7486411329428477,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.945688861613992,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.9444121004233242,0.9828168149739184,0.9834305001534213,3.143142068119055,3.1492789199140843,0.8801016584702901,0.878265138605696,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.945688861613992,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.9444121004233242,0.9895673519484505,0.9906413010125805,3.600030684258975,3.596655415771709,1.0162545594311108,1.0062847714498302,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.945688861613992,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.9444121004233242,0.9941699907947223,0.9935563056152193,4.046179809757595,4.044338754219085,1.1429024950237825,1.1418791111066455,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.945688861613992,1.0,1.0,1.0,0.9445828144458281,1.0,1.0,1.0,0.9444121004233242,0.9970849953973612,0.9964713102178583,4.4946302546793495,4.483583921448297,1.283926349747972,1.2598243258244983,0.0,0.0,0.098,-0.098
