numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.9980903882877148,1.0,1.0,0.9420751113940166,0.9998473981382573,1.0,1.0,0.9461315428048223,0.9980903882877148,1.0,1.0,0.9420751113940166,0.9980874094076082,1.0,1.0,0.9419010056306375,0.44819166793834886,0.4420875934686403,0.44803906607660615,0.4420875934686403,0.12388693802881276,0.12332307658487324,1.3333333333333333,0.0019096117122852085,0.9802533796502089,-0.9840726030747793
2,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,0.9993895925530292,0.9461315428048223,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9419010056306375,0.6996795360903403,0.6902182206622921,0.8969937433236685,0.8844803906607661,0.24390038943288553,0.2453495845971463,0.0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9461315428048223,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9419010056306375,0.8339691744239279,0.8269494887837632,1.3424385777506485,1.3369449107279108,0.3684315018467568,0.3744869248521879,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9461315428048223,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9419010056306375,0.9052342438577751,0.9029452159316343,1.7909354494124827,1.7831527544636046,0.49692428537585315,0.4999893227600166,0.0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9461315428048223,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9419010056306375,0.9455211353578513,0.9487257744544484,2.2339386540515793,2.233480848466351,0.6224235032469112,0.623590287032389,0.0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9461315428048223,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9419010056306375,0.9693270257897146,0.9725316648863116,2.6804517015107585,2.6838089424690983,0.7581255101302197,0.742930881183883,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9461315428048223,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9419010056306375,0.983518998931787,0.9841294063787578,3.1323058141309326,3.1265069433847095,0.8792470066006219,0.8835743738695299,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9461315428048223,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9419010056306375,0.9913016938806654,0.9900808789867236,3.5814130932397377,3.5792766671753395,1.0114408570259192,1.013357681321716,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9461315428048223,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9419010056306375,0.9954219441477186,0.9951167404242331,4.033114603998169,4.025789714634518,1.14611247209663,1.1280819119660292,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9461315428048223,1.0,1.0,1.0,0.9420751113940166,1.0,1.0,1.0,0.9419010056306375,0.996795360903403,0.997863573935602,4.486952540820998,4.475354799328552,1.2678365144280366,1.2483038150535282,0.0,0.0,0.098,-0.098
