numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.4502698535080956,0.45196607555898227,0.4502698535080956,0.45196607555898227,0.12376345626494684,0.12384637105139727,0,0.0,0.98,-0.98
2,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.6943716268311488,0.7011565150346954,0.9005397070161912,0.9037779491133384,0.2509520517367341,0.24610311798355616,0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.8331534309946029,0.8388589051657671,1.3529683885890516,1.3551272166538164,0.3729418163854789,0.36539259984936484,0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.9068619892058597,0.910254433307633,1.8010794140323825,1.8009252120277564,0.5023432879029891,0.48758631061895386,0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.9474171164225135,0.9518889745566692,2.253816499614495,2.255821125674634,0.6322450301954151,0.6059053779881091,0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.9747108712413262,0.9748650732459522,2.6996144949884346,2.710100231303007,0.7423252237526654,0.7282180751618851,0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.9858134155744025,0.9858134155744025,3.1471087124132615,3.1653045489591363,0.8532575968306568,0.8494058229387674,0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.9913646877409407,0.9929067077872012,3.5919814957594447,3.6115651503469546,0.980993240543138,0.9678128460851174,0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.9950655358519661,0.9970701619121048,4.04070932922128,4.0561295296838855,1.110366809187967,1.0995962651314606,0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.9979953739398613,0.9979953739398613,4.491441788743254,4.503932151117964,1.236313369544507,1.244825432146287,0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.9992289899768697,0.9989205859676176,4.942020046260601,4.955281418658442,1.3665705237048569,1.3676754286227717,0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.9995373939861218,0.9993831919814957,5.392289899768697,5.407247494217425,1.4982456235830912,1.4875215819175391,0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.9995373939861218,0.9995373939861218,5.841634541249036,5.853970701619121,1.631040928197833,1.6271766240556607,0,0.0,0.07538461538461538,-0.07538461538461538
14,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.9996915959907479,1.0,6.2860447185813415,6.302698535080956,1.7618069377984644,1.7639649127167487,0,0.0,0.06999999999999999,-0.06999999999999999
15,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,0.999845797995374,1.0,6.73307632999229,6.7475713184271395,1.902330112305951,1.888017608790004,0,0.0,0.06533333333333333,-0.06533333333333333
16,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,1.0,1.0,7.183346183500386,7.193215111796453,2.0341768259627484,1.990333404485092,0,0.0,0.06125,-0.06125
17,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,1.0,1.0,7.637779491133385,7.640555127216654,2.178753616560089,2.1291371968770485,0,0.0,0.05764705882352941,-0.05764705882352941
18,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,1.0,1.0,8.084811102544332,8.084348496530454,2.2985497609993404,2.268827037115394,0,0.0,0.05444444444444444,-0.05444444444444444
19,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,1.0,1.0,8.527062451811874,8.529838087895143,2.420302260313542,2.389565362584569,0,0.0,0.05157894736842105,-0.05157894736842105
20,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,1.0,1.0,8.980724749421743,8.98041634541249,2.5373131141753444,2.5163996991245674,0,0.0,0.049,-0.049
21,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9432536622976099,1.0,1.0,1.0,0.949359365466748,1.0,1.0,1.0,0.9491217853994556,1.0,1.0,9.430223592906708,9.426060138781803,2.6615284835888895,2.6386254341072277,0,0.0,0.04666666666666666,-0.04666666666666666
