numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,1.0,0.9987760097919217,0.9314565483476133,0.9996918335901387,1.0,0.9996918335901387,0.9473035439137134,1.0,1.0,0.9987760097919217,0.9314565483476133,1.0,1.0,0.9987759804516438,0.9314364154876493,0.44884437596302,0.44838212634822805,0.4485362095531587,0.44838212634822805,0.12415415456393052,0.12366779755983483,0,0.0,0.98,-0.98
2,1.0,1.0,1.0,0.9314565483476133,0.9996918335901387,1.0,1.0,0.9473035439137134,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9314364154876493,0.6930662557781202,0.6919876733436056,0.8979969183359013,0.8924499229583975,0.2515187016318994,0.24845377859976586,0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9473035439137134,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9314364154876493,0.8303543913713405,0.8305084745762712,1.3537750385208012,1.3426810477657936,0.3798140582765975,0.37133107471254806,0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9473035439137134,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9314364154876493,0.9030816640986132,0.9053929121725732,1.8040061633281972,1.793682588597843,0.509010894183348,0.5011356691935674,0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9473035439137134,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9314364154876493,0.9485362095531588,0.9480739599383667,2.256548536209553,2.237442218798151,0.6265082862906637,0.6207320139315912,0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9473035439137134,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9314364154876493,0.9716486902927581,0.9733436055469954,2.703081664098613,2.6870570107858245,0.7561696608578228,0.7370888127046226,0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9473035439137134,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9314364154876493,0.9828967642526965,0.9856702619414484,3.151617873651772,3.1380585516178736,0.8771216448717258,0.8553389474383964,0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9473035439137134,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9314364154876493,0.9906009244992295,0.9912172573189523,3.6033898305084744,3.585362095531587,1.009042457904789,0.9765184436884042,0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9473035439137134,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9314364154876493,0.9942989214175655,0.9947611710323575,4.053004622496148,4.033744221879815,1.1281970955777811,1.103359785470594,0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9473035439137134,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9314364154876493,0.9963020030816641,0.9970724191063174,4.506317411402157,4.484129429892142,1.241945471481967,1.2359680532572326,0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9473035439137134,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9314364154876493,0.9979969183359014,0.9978428351309707,4.956086286594761,4.928967642526964,1.3775588840451176,1.3714463940478594,0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9473035439137134,1.0,1.0,1.0,0.9314565483476133,1.0,1.0,1.0,0.9314364154876493,0.9989214175654854,0.9990755007704161,5.407550077041602,5.377195685670262,1.5030246626485897,1.4965905565700208,0,0.0,0.08166666666666667,-0.08166666666666667
