numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,1.0,1.0,0.9456654456654456,0.9995374653098983,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.44788775824853533,0.45004625346901017,0.44742522355843356,0.45004625346901017,0.12433675723884341,0.12375231160375878,0,0.0,0.98,-0.98
2,1.0,1.0,1.0,0.9456654456654456,0.9995374653098983,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.6922602528522973,0.6979648473635522,0.898859081097749,0.8980881899475794,0.25293198988201676,0.24588623909615698,0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.8274745605920444,0.826395312981807,1.3459759481961147,1.3374961455442491,0.380282174024105,0.3766744478417853,0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9062596361393771,0.9056429232192414,1.791859389454209,1.7887758248535306,0.49385696406739604,0.4938249228673989,0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9469626888683318,0.9491211840888066,2.240672217082948,2.2431390687634907,0.6241635615592066,0.6291170652289921,0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9707061362935554,0.9711686709836571,2.689022510021585,2.696731421523281,0.7606498199444947,0.758080598546297,0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9824236817761333,0.9841196423065063,3.138914585260561,3.1460067838421213,0.885848214413427,0.8789748517249767,0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9919827320382362,0.990440949737897,3.5891150169596053,3.5928152944804195,1.001645133850747,1.001460469157762,0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9958371877890841,0.994295405488745,4.034073388837496,4.041165587419057,1.1243302088836349,1.1191263239592075,0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9972247918593895,0.9966080789392537,4.481344434165896,4.486432315757015,1.2604059941420165,1.2387905896057514,0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9992291088498304,0.9984582176996608,4.930619796484736,4.932624113475177,1.3888015962312916,1.3572948873326445,0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9995374653098983,0.9987665741597287,5.3724946037619485,5.384212149244527,1.5065348822145863,1.4693023989768688,0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9996916435399321,0.9993832870798643,5.813598519888991,5.836416897934011,1.6279711425605994,1.590863701688794,0,0.0,0.07538461538461538,-0.07538461538461538
14,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9996916435399321,0.9996916435399321,6.262565525747765,6.285383903792784,1.7466982202064558,1.7298821727123574,0,0.0,0.06999999999999999,-0.06999999999999999
15,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,0.9996916435399321,0.9998458217699661,6.704594511255011,6.733888374961455,1.867890784669357,1.872648970749908,0,0.0,0.06533333333333333,-0.06533333333333333
16,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,1.0,0.9998458217699661,7.1543324082639534,7.181776133209991,1.9880311995376787,1.9876642590308309,0,0.0,0.06125,-0.06125
17,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,1.0,0.9998458217699661,7.60422448350293,7.632284921369103,2.092126108368146,2.113266768092204,0,0.0,0.05764705882352941,-0.05764705882352941
18,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,1.0,0.9998458217699661,8.06213382670367,8.074776441566451,2.2135337234185233,2.2184707260122276,0,0.0,0.05444444444444444,-0.05444444444444444
19,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,1.0,0.9998458217699661,8.509559050262103,8.52204748689485,2.3417326663693396,2.3530397663366878,0,0.0,0.05157894736842105,-0.05157894736842105
20,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,1.0,0.9998458217699661,8.95513413506013,8.97209374036386,2.459377542484241,2.494854875311739,0,0.0,0.049,-0.049
21,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9443416589577551,1.0,1.0,1.0,0.9456654456654456,1.0,1.0,1.0,0.9455743861895686,1.0,0.9998458217699661,9.403330249768732,9.42013567684243,2.5891188945514867,2.61836549522283,0,0.0,0.04666666666666666,-0.04666666666666666
