numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,0.9981572481572482,1.0,0.9447174447174447,1.0,0.9998460591133005,1.0,0.9444273399014779,1.0,0.9981572481572482,1.0,0.9447174447174447,1.0,0.9981564906890323,1.0,0.9446150496468699,0.45427955665024633,0.44689039408866993,0.45427955665024633,0.4467364532019704,0.12395482052995095,0.12382068476664478,1.3333333333333333,-0.0018427518427518441,0.9839299422900454,-0.9802444386045417
2,1.0,0.9975429975429976,1.0,0.9447174447174447,1.0,0.999384236453202,1.0,0.9444273399014779,1.0,0.9975429975429976,1.0,0.9447174447174447,1.0,0.9975415133887852,1.0,0.9446150496468699,0.6967364532019704,0.6948891625615764,0.8985529556650246,0.8910098522167488,0.24739427322839064,0.246178523069917,2.25,-0.002457002457002422,0.4948678211120284,-0.4899538161980235
3,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.8346674876847291,0.8346674876847291,1.3485221674876848,1.3357450738916257,0.3730715681040548,0.36317260340625507,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.9090209359605911,0.9071736453201971,1.8008004926108374,1.7858682266009853,0.502599093052422,0.48003973032066805,0.0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.9448891625615764,0.947506157635468,2.247229064039409,2.2358374384236455,0.627037505453974,0.6116617254334551,0.0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.9676724137931034,0.9701354679802956,2.6895012315270934,2.6901169950738915,0.7541762616450631,0.7407118462586482,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.9827586206896551,0.9835283251231527,3.144704433497537,3.1463977832512313,0.876808241955327,0.8560487379168589,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.9901477832512315,0.9910714285714286,3.591594827586207,3.601293103448276,0.9902209679115656,0.998374920865407,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.9943041871921182,0.9943041871921182,4.044181034482759,4.05634236453202,1.114052502194775,1.1303121789222925,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.9964593596059114,0.9969211822660099,4.489839901477833,4.510775862068965,1.2342028597005021,1.2472887923118354,0.0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.9976908866995073,0.9978448275862069,4.9407327586206895,4.958128078817734,1.3522827627910536,1.3825139602385976,0.0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.9987684729064039,0.9992302955665024,5.390394088669951,5.404248768472907,1.4768046148289733,1.5039562986738795,0.0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.999384236453202,0.999384236453202,5.843134236453202,5.852832512315271,1.5943510512746208,1.6287145231394107,0.0,0.0,0.07538461538461538,-0.07538461538461538
14,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.999384236453202,0.999692118226601,6.292179802955665,6.306958128078818,1.7121747857251566,1.7385090532916716,0.0,0.0,0.06999999999999999,-0.06999999999999999
15,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.999384236453202,0.9998460591133005,6.747536945812808,6.748152709359606,1.840605251610625,1.8513950442723701,0.0,0.0,0.06533333333333333,-0.06533333333333333
16,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.999692118226601,1.0,7.194427339901478,7.196274630541872,1.9552462192545248,1.973304861194378,0.0,0.0,0.06125,-0.06125
17,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,0.9998460591133005,1.0,7.64070197044335,7.644704433497537,2.050209427174752,2.114272432207967,0.0,0.0,0.05764705882352941,-0.05764705882352941
18,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,8.093442118226601,8.094673645320198,2.1880635648017424,2.2505824990207746,0.0,0.0,0.05444444444444444,-0.05444444444444444
19,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,8.54371921182266,8.543257389162562,2.317632174405688,2.37551077140086,0.0,0.0,0.05157894736842105,-0.05157894736842105
20,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,8.987838669950738,8.995535714285714,2.442206655118737,2.49473521596151,0.0,0.0,0.049,-0.049
21,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,9.437961822660098,9.446428571428571,2.5518807751571013,2.602672057071146,0.0,0.0,0.04666666666666666,-0.04666666666666666
22,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,9.888700738916256,9.898399014778326,2.685316668668038,2.744394198010022,0.0,0.0,0.04454545454545455,-0.04454545454545455
23,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,10.336514778325123,10.343288177339902,2.8050700340179313,2.865505922159362,0.0,0.0,0.042608695652173914,-0.042608695652173914
24,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,10.78463669950739,10.794181034482758,2.940337639240934,3.00509293177095,0.0,0.0,0.04083333333333333,-0.04083333333333333
25,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,11.238916256157635,11.241841133004925,3.048975770976479,3.1343485959411836,0.0,0.0,0.0392,-0.0392
26,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,11.692426108374384,11.693041871921181,3.155517648682,3.252481771266356,0.0,0.0,0.03769230769230769,-0.03769230769230769
27,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,12.144704433497537,12.14716748768473,3.263258479518592,3.3691152111091176,0.0,0.0,0.03629629629629629,-0.03629629629629629
28,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,12.591286945812808,12.5935960591133,3.3934177415490283,3.4992686812488505,0.0,0.0,0.034999999999999996,-0.034999999999999996
29,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,13.039100985221674,13.039408866995075,3.521207288338577,3.6173994441307626,0.0,0.0,0.03379310344827586,-0.03379310344827586
30,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,13.489839901477833,13.488146551724139,3.677262181980091,3.750500634743658,0.0,0.0,0.03266666666666666,-0.03266666666666666
31,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,13.938577586206897,13.94057881773399,3.8340245033402014,3.8810443525371414,0.0,0.0,0.03161290322580645,-0.03161290322580645
32,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,14.383312807881774,14.38469827586207,3.934002036917753,3.9770104863972042,0.0,0.0,0.030625,-0.030625
33,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,14.83420566502463,14.830049261083744,4.035045259505834,4.112388991562568,0.0,0.0,0.029696969696969697,-0.029696969696969697
34,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9444273399014779,1.0,1.0,1.0,0.9447174447174447,1.0,1.0,1.0,0.9446150496468699,1.0,1.0,15.286330049261084,15.281711822660098,4.138868868283426,4.2477175545120724,0.0,0.0,0.028823529411764706,-0.028823529411764706
