numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,0.454011439171433,0.4523110217962591,0.454011439171433,0.4523110217962591,0.12394252613645856,0.12386288067894154,0.0,0.0,0.98,-0.98
2,1.0,0.9987915407854985,1.0,0.9480362537764351,1.0,0.9996908332045138,1.0,0.9431133096305456,1.0,0.9987915407854985,1.0,0.9480362537764351,1.0,0.9987914662180123,1.0,0.9480347170296289,0.6982532076055031,0.6977894574122739,0.9010666254444273,0.9052403771834905,0.24786645541971836,0.2509757817991331,0.5,-0.0012084592145015227,0.49288430991878285,-0.4904673914897798
3,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,0.8350595146081311,0.8344411810171588,1.3462668109445046,1.3532230638429432,0.36609538317443824,0.3728610733000343,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,0.9104962127067553,0.9015303756376565,1.7988869995362498,1.8002782501159376,0.4859732690223007,0.5092134804766,0.0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,0.9488328953470397,0.9460503941876642,2.251352604730252,2.249652187355078,0.6119560139969804,0.6294660228461086,0.0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,0.9712474880197867,0.9704745710310713,2.6987169577987324,2.7031998763332816,0.7385993414398404,0.746354692615124,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,0.985005410418921,0.9823774926572886,3.143144226310094,3.1561292317205134,0.8596106093221851,0.8698794681345207,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,0.9911887463286443,0.9913433297263874,3.5932910805379503,3.6087494203122583,0.9840119056689944,0.997908808763653,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,0.9948987478744783,0.9956716648631937,4.040810017004174,4.062142525892719,1.1112561284375284,1.1251524971191242,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,0.9975266656361107,0.9978358324315968,4.495130622971093,4.518163549234812,1.2262549945747223,1.2338299029530115,0.0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,0.9986087494203123,0.9979904158293399,4.947750811562838,4.971247488019786,1.3521823812382392,1.3593160389652783,0.0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,0.9993816664090277,0.9986087494203123,5.388931828721596,5.417375173906322,1.4690259748444805,1.493838460521785,0.0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,1.0,0.9987633328180553,5.835832431596846,5.864739526974803,1.6103392540375392,1.6176256851273336,0.0,0.0,0.07538461538461538,-0.07538461538461538
14,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9431133096305456,1.0,1.0,1.0,0.9480362537764351,1.0,1.0,1.0,0.9480347170296289,1.0,0.9996908332045138,6.2770134487556035,6.316586798577832,1.734155735635446,1.7341021988123442,0.0,0.0,0.06999999999999999,-0.06999999999999999
