numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,1.0,0.9994169096209913,1.0,0.9463556851311954,0.9995319082540178,0.9998439694180059,1.0,0.9483538773599626,1.0,0.9994169096209913,1.0,0.9463556851311954,1.0,0.9994158219929565,1.0,0.9462297432877489,0.45139647370884695,0.4479638009049774,0.4509283819628647,0.4478077703229833,0.12452179979998639,0.12388025371135444,0.0,-0.0005830903790087216,0.9817262806678116,-0.9805600999097942
2,1.0,1.0,1.0,0.9463556851311954,0.9995319082540178,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.6977687626774848,0.6915275393977219,0.8953034794819784,0.8946793571540022,0.24528030992772992,0.25035306779629046,0.0,0.0,0.49,-0.49
3,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.8350756748322671,0.8316430020283976,1.3473240755188016,1.3451396473708848,0.3684819610827943,0.37007738887818925,0.0,0.0,0.32666666666666666,-0.32666666666666666
4,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9109065376813855,0.905289436729599,1.7990326103916368,1.794975815259791,0.48973986117596857,0.4956860763570695,0.0,0.0,0.245,-0.245
5,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9497581525979092,0.9489779996879388,2.248400686534561,2.244187860820721,0.6104591710947423,0.6110108104887563,0.0,0.0,0.196,-0.196
6,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9739428928069902,0.9722265564050554,2.6977687626774847,2.697612732095491,0.7189746984769299,0.7340509672794051,0.0,0.0,0.16333333333333333,-0.16333333333333333
7,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9859572476205336,0.9837728194726166,3.1462006553284443,3.144640349508504,0.8333766747065483,0.8513031467815775,0.0,0.0,0.13999999999999999,-0.13999999999999999
8,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9918864097363083,0.9909502262443439,3.5933843033234516,3.592916211577469,0.9554208926807496,0.9683256838799404,0.0,0.0,0.1225,-0.1225
9,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9948509907941957,0.9945389296302075,4.046497113434233,4.038851614916523,1.0786694047212273,1.0872526193190952,0.0,0.0,0.10888888888888888,-0.10888888888888888
10,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9973474801061007,0.9964112966141364,4.487283507567483,4.485411140583555,1.2038908726458584,1.2241436981010942,0.0,0.0,0.098,-0.098
11,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9982836635980652,0.9981276330160711,4.928850054610704,4.93025432984865,1.324841399379032,1.331024608945757,0.0,0.0,0.0890909090909091,-0.0890909090909091
12,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9987517553440475,0.9987517553440475,5.377281947261663,5.385863629271337,1.445622929690869,1.454830338913961,0.0,0.0,0.08166666666666667,-0.08166666666666667
13,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9990638165080356,0.9998439694180059,5.827274145732564,5.834763613668279,1.572982718470894,1.575851948397961,0.0,0.0,0.07538461538461538,-0.07538461538461538
14,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9993758776720237,0.9998439694180059,6.278514588859417,6.280699017007334,1.706399594826433,1.6925756240566727,0.0,0.0,0.06999999999999999,-0.06999999999999999
15,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,0.9998439694180059,0.9998439694180059,6.730847246060228,6.735372132938056,1.8208336873783386,1.7964231671641087,0.0,0.0,0.06533333333333333,-0.06533333333333333
16,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,7.178967077547199,7.178967077547199,1.9404313968239897,1.9175448280616125,0.0,0.0,0.06125,-0.06125
17,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,7.627086909034171,7.6295833983460755,2.0559707299157703,2.0415146478553914,0.0,0.0,0.05764705882352941,-0.05764705882352941
18,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,8.073022312373226,8.084880636604774,2.16776999655274,2.165809278453473,0.0,0.0,0.05444444444444444,-0.05444444444444444
19,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,8.52129817444219,8.532844437509752,2.2981775271523395,2.3023986056045986,0.0,0.0,0.05157894736842105,-0.05157894736842105
20,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,8.966921516617257,8.980652207832735,2.4168882994978884,2.4175677329220595,0.0,0.0,0.049,-0.049
21,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,9.415977531596193,9.433608987361524,2.5403106305372507,2.5266603943092103,0.0,0.0,0.04666666666666666,-0.04666666666666666
22,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,9.87236698392885,9.885473552816352,2.6768884963415736,2.648671930744225,0.0,0.0,0.04454545454545455,-0.04454545454545455
23,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,10.32423154938368,10.33655796536121,2.812474594121978,2.804583896896976,0.0,0.0,0.042608695652173914,-0.042608695652173914
24,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,10.772819472616632,10.785926041504135,2.9511976716665096,2.9156147535475863,0.0,0.0,0.04083333333333333,-0.04083333333333333
25,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,11.230925261351224,11.243251677328756,3.076112621586309,3.026976377858356,0.0,0.0,0.0392,-0.0392
26,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,11.677484787018255,11.692463722889686,3.1984504805378298,3.174206196373225,0.0,0.0,0.03769230769230769,-0.03769230769230769
27,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9483538773599626,1.0,1.0,1.0,0.9463556851311954,1.0,1.0,1.0,0.9462297432877489,1.0,1.0,12.12654080199719,12.142455921360586,3.344037350758443,3.3046120847066263,0.0,0.0,0.03629629629629629,-0.03629629629629629
