numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.547040971168437,0.5144157814871017,0.5576631259484067,0.5166919575113809,0.7914655338868507,0.7939756709789535,0.8391581386368024,0.5344661131492566,0.547040971168437,0.5144157814871017,0.5576631259484067,0.5166919575113809,0.32091989529030274,0.28948140183261983,0.3287167333509867,0.21546408690894178,0.24406256033983395,0.2448349102143271,0.03552809422668469,0.038810581193280555,0.4485706963787405,0.4460477630554918,3.859956236323851,-0.03262518968133532,1.0444645498209453,-0.9792141704582744
2,0.5500758725341427,0.539453717754173,0.5477996965098634,0.5166919575113809,0.7959065456651864,0.8065263564394671,0.8347171268584669,0.5344661131492566,0.5500758725341427,0.539453717754173,0.5477996965098634,0.5166919575113809,0.3421957359436929,0.2986436427763786,0.3041820355822125,0.21546408690894178,0.3834717126858467,0.3747827765977988,0.11083220698976637,0.09789534659200617,0.9301076486572396,0.9014149636398302,0.40625,-0.01062215477996975,0.5309586173304972,-0.5097143077705577
3,0.5773899848254932,0.5622154779969651,0.578907435508346,0.5166919575113809,0.8854991311063912,0.8907124927592199,0.9212203128016991,0.5344661131492566,0.5773899848254932,0.5622154779969651,0.578907435508346,0.5166919575113809,0.3506030388223334,0.33480161621244664,0.3445879457342262,0.21546408690894178,0.4608997876037845,0.45877582544892836,0.18420544506661518,0.1670206603591427,1.4845120338470048,1.4690294432239928,0.9116161616161617,-0.015174506828528056,0.3714454607533148,-0.3410964470962587
4,0.6009104704097117,0.5872534142640364,0.6388467374810318,0.5166919575113809,0.9046147905000965,0.9104074145587951,0.936667310291562,0.5344661131492566,0.6009104704097117,0.5872534142640364,0.6388467374810318,0.5166919575113809,0.3657673304088949,0.34158544917386224,0.380055695705627,0.21546408690894178,0.5058891677930102,0.5101370921027225,0.24695887236918324,0.25680633326897084,2.129146528835209,2.0706770128608274,0.8257142857142857,-0.01365705614567525,0.286487949420609,-0.2591738371292584
5,0.6244309559939302,0.6145675265553869,0.629742033383915,0.5166919575113809,0.9310677737014867,0.9378258351033018,0.9590654566518633,0.5344661131492566,0.6244309559939302,0.6145675265553869,0.629742033383915,0.5166919575113809,0.3832292959904869,0.36305751978045464,0.3691751902401762,0.21546408690894178,0.5331145008688936,0.5383278625217224,0.31492566132458005,0.3340413207182854,2.801165141854693,2.781292750232775,0.44036697247706424,-0.009863429438543236,0.23276017095984577,-0.2130333120827593
6,0.6418816388467374,0.6176024279210925,0.6274658573596358,0.5166919575113809,0.942653021818884,0.9432322842247538,0.9689129175516509,0.5344661131492566,0.6418816388467374,0.6176024279210925,0.6274658573596358,0.5166919575113809,0.39190597586709525,0.3671424476862269,0.3801399892444824,0.21546408690894178,0.5568642595095579,0.5578296968526743,0.40818690866962737,0.4118555705734698,3.557328217712576,3.5468073735765384,3.0220125786163523,-0.02427921092564489,0.214163741332887,-0.1656053194815972
7,0.6517450682852808,0.6251896813353566,0.6547799696509864,0.5166919575113809,0.9536590075304113,0.9569414944970072,0.9787603784514385,0.5344661131492566,0.6517450682852808,0.6251896813353566,0.6547799696509864,0.5166919575113809,0.4066351101130591,0.36943017903017966,0.3898018597004963,0.21546408690894178,0.5688356825642016,0.5723112569994208,0.49044217030314735,0.4981656690480788,4.406559403831333,4.3632346016575525,3.91864406779661,-0.02655538694992421,0.19213740176927685,-0.13902662786942865
8,0.6585735963581184,0.6396054628224582,0.6669195751138088,0.5166919575113809,0.9586792817146167,0.9590654566518633,0.9793396408573084,0.5344661131492566,0.6585735963581184,0.6396054628224582,0.6669195751138088,0.5166919575113809,0.4028699837254108,0.38333425517472364,0.39446015985259997,0.21546408690894178,0.5844757675226878,0.5844757675226878,0.5624637960996332,0.5921992662676192,5.324057940393342,5.347978471194695,2.125461254612546,-0.01896813353566018,0.1659703258784847,-0.12803405880716456
9,0.6600910470409712,0.6456752655538694,0.6646433990895296,0.5166919575113809,0.9654373431164317,0.9665958679281714,0.9870631396022398,0.5344661131492566,0.6600910470409712,0.6456752655538694,0.6646433990895296,0.5166919575113809,0.39976825404911087,0.391832418794327,0.404144691170088,0.21546408690894178,0.5945163158910987,0.5923923537362425,0.650704769260475,0.6821780266460706,6.342926704581602,6.377980402719526,1.2806324110671936,-0.014415781487101764,0.1469712708802597,-0.11813970790605641
10,0.6593323216995448,0.6487101669195751,0.6509863429438544,0.5166919575113809,0.9685267426144043,0.9694921799575208,0.9878354894767329,0.5344661131492566,0.6593323216995448,0.6487101669195751,0.6509863429438544,0.5166919575113809,0.4064860276820519,0.39648822527532374,0.3935155581769799,0.21546408690894178,0.5999227650125507,0.6010812898242904,0.7337323807684881,0.7879899594516316,7.422107871808195,7.4594720466622535,0.6706349206349206,-0.01062215477996975,0.13223612637852733,-0.11099181681858807
11,0.6456752655538694,0.6509863429438544,0.6638846737481032,0.5166919575113809,0.9741262792044796,0.9741262792044796,0.9913110639119521,0.5344661131492566,0.6456752655538694,0.6509863429438544,0.6638846737481032,0.5166919575113809,0.3919924965731551,0.39150745395965275,0.4014082086144074,0.21546408690894178,0.6070670013516123,0.6072600888202355,0.8215871789920834,0.8773894574242131,8.606536859216956,8.613849511177573,0.1506276150627615,0.005311077389984931,0.10677165362918249,-0.11739380840915213
12,0.657814871016692,0.6547799696509864,0.665402124430956,0.5166919575113809,0.977022591233829,0.976443328827959,0.9918903263178219,0.5344661131492566,0.657814871016692,0.6547799696509864,0.665402124430956,0.5166919575113809,0.3987214098454492,0.3943617041014417,0.39843733079965865,0.21546408690894178,0.6159490249082834,0.6118941880671944,0.9241166248310485,0.9638926433674454,9.834478527123943,9.954032716587596,0.04017857142857143,-0.003034901365705611,0.1069590709085606,-0.10088926817714938
13,0.6623672230652504,0.6585735963581184,0.661608497723824,0.5166919575113809,0.9795327283259316,0.9818497779494111,0.9915041513805753,0.5344661131492566,0.6623672230652504,0.6585735963581184,0.661608497723824,0.5166919575113809,0.4039933496127806,0.39676184577428286,0.39498695580613014,0.21546408690894178,0.6188453369376328,0.6171075497200231,1.0110059857115272,1.0617879899594516,11.08478469662745,11.225836686341427,0.07239819004524888,-0.003793626707132014,0.10128654644224704,-0.09369929302798301
14,0.6623672230652504,0.6593323216995448,0.6532625189681336,0.5166919575113809,0.9822359528866577,0.9853253523846303,0.9938212010040548,0.5344661131492566,0.6623672230652504,0.6593323216995448,0.6532625189681336,0.5166919575113809,0.4007907809053825,0.3964960537532414,0.39343673090272524,0.21546408690894178,0.6225139988414752,0.6145974126279204,1.0868893608804788,1.1579455493338482,12.42133593768001,12.672281340018856,0.04411764705882353,-0.003034901365705611,0.094275593604732,-0.08820579087332078
15,0.6532625189681336,0.6608497723823976,0.6593323216995448,0.5166919575113809,0.9857115273218768,0.9857115273218768,0.9953659007530411,0.5344661131492566,0.6532625189681336,0.6608497723823976,0.6593323216995448,0.5166919575113809,0.39300862309109086,0.3983853287102634,0.39353116242037506,0.21546408690894178,0.624444873527708,0.6225139988414752,1.1901911565939371,1.2490828345240395,13.920683428828845,14.156291848296334,0.38571428571428573,0.007587253414264028,0.07930012312649502,-0.09447462995502308
16,0.6593323216995448,0.661608497723824,0.6684370257966616,0.5166919575113809,0.9857115273218768,0.9876424020081097,0.9965244255647808,0.5344661131492566,0.6593323216995448,0.661608497723824,0.6684370257966616,0.5166919575113809,0.3971177249599962,0.3965428630048375,0.401307226519506,0.21546408690894178,0.6267619231511875,0.6225139988414752,1.2668468816373817,1.3510330179571346,15.47908036627664,15.695352832419454,0.019138755980861243,0.0022761760242792084,0.0804729546179129,-0.08502530666647132
17,0.6570561456752656,0.6631259484066768,0.6600910470409712,0.5166919575113809,0.9880285769453563,0.9880285769453563,0.995945163158911,0.5344661131492566,0.6570561456752656,0.6631259484066768,0.6600910470409712,0.5166919575113809,0.3985639138565681,0.4067029744414902,0.39247345315937404,0.21546408690894178,0.6269550106198107,0.6277273604943039,1.3523846302374976,1.437536203900367,17.14060484663213,17.240052785169492,0.25,0.006069802731411222,0.07239925827650898,-0.08453886373933142
18,0.6585735963581184,0.665402124430956,0.6661608497723824,0.5166919575113809,0.9876424020081097,0.990538714037459,0.9971036879706507,0.5344661131492566,0.6585735963581184,0.665402124430956,0.6661608497723824,0.5166919575113809,0.4017385517664955,0.4119723063252353,0.3997749871222527,0.21546408690894178,0.6306236725236533,0.6294651477119135,1.4338675419965243,1.5329214134002702,18.850827606260943,18.977565128497066,0.30917874396135264,0.006828528072837625,0.06901475943322816,-0.08267181557890341
19,0.657814871016692,0.6646433990895296,0.6646433990895296,0.5166919575113809,0.989187101757096,0.9903456265688357,0.9974898629078973,0.5344661131492566,0.657814871016692,0.6646433990895296,0.6646433990895296,0.5166919575113809,0.39924390332586474,0.40607714708497306,0.4035786301688738,0.21546408690894178,0.6283066229001738,0.6340992469588723,1.5132264916006952,1.623093261247345,20.60416217105906,20.808393570862208,0.3248730964467005,0.006828528072837625,0.06562614133412983,-0.07928319747980508
20,0.661608497723824,0.6707132018209409,0.6608497723823976,0.5166919575113809,0.9895732766943426,0.9916972388491987,0.9980691253137671,0.5344661131492566,0.661608497723824,0.6707132018209409,0.6608497723823976,0.5166919575113809,0.3977575145315133,0.41193668571900066,0.393501970752717,0.21546408690894178,0.6323614597412628,0.6371886464568449,1.6055223016026259,1.7165475960610157,22.461025446377057,22.704730112883723,0.6648351648351648,0.009104704097116834,0.05996341508912788,-0.07817282328336154
