numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5350809560524287,0.5535851966075559,0.551272166538165,0.535851966075559,0.7975,0.7926923076923077,0.8405769230769231,0.5340384615384616,0.5350809560524287,0.5535851966075559,0.551272166538165,0.535851966075559,0.2839066288459679,0.3272890365151035,0.3099317985989232,0.21880970951792203,0.25076923076923074,0.24423076923076922,0.04826923076923077,0.036923076923076927,0.44588282366743176,0.44718499435454934,1.106694560669456,0.018504240555127227,0.994550343592677,-1.0315588247029315
2,0.5381649961449498,0.5427910562837317,0.5582112567463376,0.535851966075559,0.7990384615384616,0.7936538461538462,0.8396153846153847,0.5340384615384616,0.5381649961449498,0.5427910562837317,0.5582112567463376,0.535851966075559,0.27488725423766985,0.3181463552271658,0.3020746408187959,0.21880970951792203,0.38576923076923075,0.3726923076923077,0.10923076923076923,0.09903846153846153,0.9261543258240953,0.919066557832252,0.06188118811881188,0.004626060138781862,0.5157493182139581,-0.5250014384915216
3,0.5813415574402467,0.5898226676946801,0.582112567463377,0.535851966075559,0.8886538461538461,0.8776923076923077,0.9192307692307692,0.5340384615384616,0.5813415574402467,0.5898226676946801,0.582112567463377,0.535851966075559,0.3281570314825383,0.364448448734474,0.3419320273081622,0.21880970951792203,0.4603846153846154,0.4571153846153846,0.18153846153846154,0.15711538461538463,1.4769393624761589,1.4581890460290665,0.2570694087403599,0.008481110254433322,0.34799425167260306,-0.3649564721814697
4,0.6090979182729376,0.5875096376252892,0.6044718581341557,0.535851966075559,0.8986538461538461,0.9007692307692308,0.9355769230769231,0.5340384615384616,0.6090979182729376,0.5875096376252892,0.6044718581341557,0.535851966075559,0.3423231009991573,0.3400225445315167,0.3424374265505305,0.21880970951792203,0.5040384615384615,0.5003846153846154,0.24596153846153845,0.21173076923076922,2.1314085280635364,2.0609049785040323,2.119186046511628,-0.021588280647648395,0.2946411022386596,-0.2514645409433628
5,0.6183500385505012,0.6060138781804163,0.6345412490362374,0.535851966075559,0.9286538461538462,0.93,0.963076923076923,0.5340384615384616,0.6183500385505012,0.6060138781804163,0.6345412490362374,0.535851966075559,0.3420759208548671,0.3572001431583626,0.38552634819415427,0.21880970951792203,0.541923076923077,0.5265384615384615,0.3409615384615385,0.29096153846153844,2.8350539290386156,2.7174779369800777,0.7075471698113207,-0.012336160370084892,0.23529271565856774,-0.21062039491839807
6,0.6322282189668466,0.6183500385505012,0.6299151888974557,0.535851966075559,0.9409615384615385,0.9371153846153846,0.9667307692307693,0.5340384615384616,0.6322282189668466,0.6183500385505012,0.6299151888974557,0.535851966075559,0.35921504787168235,0.36177085520959495,0.36588438119724553,0.21880970951792203,0.5625,0.5536538461538462,0.4255769230769231,0.3951923076923077,3.5778348789269785,3.4872444594072087,0.9506578947368421,-0.013878180416345365,0.203570654623821,-0.17581429379113017
7,0.6368542791056284,0.6144949884348496,0.6329992289899768,0.535851966075559,0.9486538461538462,0.9511538461538461,0.9767307692307692,0.5340384615384616,0.6368542791056284,0.6144949884348496,0.6329992289899768,0.535851966075559,0.34989009493702505,0.35435220364196324,0.3623502889854965,0.21880970951792203,0.5771153846153846,0.5765384615384616,0.500576923076923,0.48365384615384616,4.421887695509535,4.293598483217669,2.71280276816609,-0.022359290670778798,0.18807814844234275,-0.14335956710078526
8,0.6445643793369313,0.6299151888974557,0.6661526599845798,0.535851966075559,0.96,0.9540384615384615,0.9813461538461539,0.5340384615384616,0.6445643793369313,0.6299151888974557,0.6661526599845798,0.535851966075559,0.36106792730168397,0.36209857957784475,0.3860091744522,0.21880970951792203,0.5923076923076923,0.5888461538461538,0.5940384615384615,0.583076923076923,5.298843613186716,5.212111445513146,1.2226415094339622,-0.014649190439475657,0.161762328428198,-0.13246394754924656
9,0.653816499614495,0.6353122590593677,0.6530454895913647,0.535851966075559,0.9657692307692308,0.9644230769230769,0.9861538461538462,0.5340384615384616,0.653816499614495,0.6353122590593677,0.6530454895913647,0.535851966075559,0.37488024659077285,0.3736228341320409,0.3713624182183016,0.21880970951792203,0.6038461538461538,0.5963461538461539,0.6825,0.67,6.293432971962227,6.1791763966265885,2.0992063492063493,-0.018504240555127227,0.15140349152285007,-0.11439501041259562
10,0.6507324595219738,0.6376252891287587,0.653816499614495,0.535851966075559,0.9701923076923077,0.9698076923076923,0.9876923076923076,0.5340384615384616,0.6507324595219738,0.6376252891287587,0.653816499614495,0.535851966075559,0.3737910036154424,0.3735150788452419,0.38598305327380367,0.21880970951792203,0.61,0.6032692307692308,0.7667307692307692,0.7498076923076923,7.392650296120142,7.277628754435884,1.080168776371308,-0.013107170393215073,0.1343824190380516,-0.10816807825162134
11,0.6515034695451041,0.6422513492675405,0.669236700077101,0.535851966075559,0.9730769230769231,0.9748076923076923,0.9930769230769231,0.5340384615384616,0.6515034695451041,0.6422513492675405,0.669236700077101,0.535851966075559,0.37796054000865675,0.3811462158835986,0.4094696251520156,0.21880970951792203,0.6163461538461539,0.614423076923077,0.8480769230769231,0.8401923076923077,8.686367508348608,8.505688735639401,0.5353982300884956,-0.009252120277563614,0.12106662043209564,-0.10256237987696841
12,0.6468774094063223,0.6399383191981496,0.6545875096376252,0.535851966075559,0.9757692307692307,0.9773076923076923,0.9901923076923077,0.5340384615384616,0.6468774094063223,0.6399383191981496,0.6545875096376252,0.535851966075559,0.3694464704175747,0.3899004770722078,0.3727801018264581,0.21880970951792203,0.6173076923076923,0.6219230769230769,0.9228846153846154,0.9451923076923077,9.928994650101409,9.696876410113633,0.3004694835680751,-0.006939090208172738,0.11066393073422609,-0.09678575031788061
13,0.6584425597532768,0.6329992289899768,0.6507324595219738,0.535851966075559,0.9817307692307692,0.9798076923076923,0.995,0.5340384615384616,0.6584425597532768,0.6329992289899768,0.6507324595219738,0.535851966075559,0.39243711226510863,0.37314881902843877,0.3642498544553196,0.21880970951792203,0.6230769230769231,0.6301923076923077,1.0276923076923077,1.055576923076923,11.276464696504561,10.989852258493096,4.995121951219512,-0.025443330763299965,0.12250901014951465,-0.07162234862291483
14,0.6561295296838859,0.6329992289899768,0.6430223592906708,0.535851966075559,0.9832692307692308,0.9817307692307692,0.9967307692307692,0.5340384615384616,0.6561295296838859,0.6329992289899768,0.6430223592906708,0.535851966075559,0.3824685975373033,0.38607901822064156,0.3810599505608983,0.21880970951792203,0.6246153846153846,0.6328846153846154,1.1413461538461538,1.1567307692307693,12.605381121039551,12.341600600866435,4.380208333333333,-0.02313030069390909,0.11410762482560714,-0.06784702343778908
