numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5284005979073244,0.5351270553064275,0.5366218236173393,0.5224215246636771,0.7955030044582283,0.8013180849001744,0.8377592556697034,0.5373134328358209,0.5284005979073244,0.5351270553064275,0.5366218236173393,0.5224215246636771,0.29647055107441644,0.28655320536487,0.29444217621752916,0.202312179198664,0.24617173870905215,0.24345803450281062,0.04167474316728048,0.04477611940298507,0.44512555781906427,0.43566689660475494,0.12237093690248566,0.006726457399103047,1.006775943873722,-1.0202288586719286
2,0.5186846038863976,0.523916292974589,0.5433482810164425,0.5224215246636771,0.8028687730180267,0.8005427408412483,0.8311688311688312,0.5373134328358209,0.5186846038863976,0.523916292974589,0.5433482810164425,0.5224215246636771,0.2913196161005846,0.28197317417998063,0.29737794165722814,0.202312179198664,0.37177747625508817,0.3791432448148866,0.1023454157782516,0.09691800736576855,0.9244040664270715,0.9362963409761836,0.07947019867549669,0.0052316890881913825,0.5159476290268001,-0.5264110072031829
3,0.554559043348281,0.5695067264573991,0.5754857997010463,0.5224215246636771,0.8836983911610777,0.8827292110874201,0.9228532661368483,0.5373134328358209,0.554559043348281,0.5695067264573991,0.5754857997010463,0.5224215246636771,0.317745317509265,0.3136970106889511,0.3308498269392586,0.202312179198664,0.45454545454545453,0.45880984686954834,0.16456677650707502,0.16669897266912193,1.4592090676900145,1.483252677534434,0.8279816513761468,0.014947683109118093,0.3423169133398372,-0.3722122795580734
4,0.593423019431988,0.5852017937219731,0.6031390134529148,0.5224215246636771,0.9030819926342314,0.9001744524132583,0.9395231634037604,0.5373134328358209,0.593423019431988,0.5852017937219731,0.6031390134529148,0.5224215246636771,0.3256612996015286,0.30566340222478783,0.34435931275040105,0.202312179198664,0.5000969180073658,0.5103702267881373,0.2386121341345222,0.22717580926536152,2.0280470116944826,2.0978051884952054,0.2544529262086514,-0.008221225710014934,0.2822645413844807,-0.2658220899644507
5,0.6113602391629297,0.6046337817638266,0.6307922272047832,0.5224215246636771,0.9325450668734251,0.9247916262841636,0.9600697809653034,0.5373134328358209,0.6113602391629297,0.6046337817638266,0.6307922272047832,0.5224215246636771,0.33474892445561844,0.32712707609287833,0.35160738090300747,0.202312179198664,0.5349874006590425,0.5413839891451832,0.3273890288815662,0.3169218840860632,2.733117947538874,2.7963892127501486,0.1763085399449036,-0.006726457399103047,0.23063836260082984,-0.21718544780262353
6,0.6150971599402093,0.6068759342301944,0.6023916292974589,0.5224215246636771,0.9439813917425858,0.9356464431091297,0.9672417135103702,0.5373134328358209,0.6150971599402093,0.6068759342301944,0.6023916292974589,0.5224215246636771,0.3331102782715686,0.33234533883752154,0.3371369758880653,0.202312179198664,0.5566970343089747,0.5646443109129676,0.420430315952704,0.4103508431866641,3.4444385301783775,3.5490357970062387,0.2849002849002849,-0.008221225710014934,0.19900248009603763,-0.18256002867600776
7,0.6360239162929746,0.6218236173393124,0.6472346786248132,0.5224215246636771,0.9525101763907734,0.9528978484202365,0.9777088583058733,0.5373134328358209,0.6360239162929746,0.6218236173393124,0.6472346786248132,0.5224215246636771,0.3327968321408662,0.343530044721197,0.3460078499198186,0.202312179198664,0.5712347354138398,0.5782128319441753,0.4923434774181043,0.5026167861988757,4.288988135346696,4.361671561046997,1.0418006430868167,-0.01420029895366226,0.18004481803745764,-0.15164422013013334
8,0.64050822122571,0.6292974588938715,0.6315396113602392,0.5224215246636771,0.9600697809653034,0.9563868966854041,0.9806163985268462,0.5373134328358209,0.64050822122571,0.6292974588938715,0.6315396113602392,0.5224215246636771,0.35014371804655736,0.3444177028826978,0.3372780434898696,0.202312179198664,0.5867416165923629,0.5917813529753828,0.5791820120178329,0.5972087613878658,5.160677014309275,5.243228547494379,0.6384364820846905,-0.011210762331838597,0.15938443838560873,-0.13696291372193153
9,0.6442451420029895,0.6263079222720478,0.6397608370702541,0.5224215246636771,0.9666602054661756,0.9622019771273502,0.9846869548362086,0.5373134328358209,0.6442451420029895,0.6263079222720478,0.6397608370702541,0.5224215246636771,0.3457720218745184,0.33952667868974623,0.3449361203431895,0.202312179198664,0.5985656134909866,0.5999224655941073,0.6821089358402791,0.6677650707501454,6.056182682424447,6.2710224867855695,1.9028776978417266,-0.017937219730941756,0.15126932522548253,-0.11539488576359902
10,0.6420029895366218,0.6345291479820628,0.6375186846038864,0.5224215246636771,0.9666602054661756,0.9680170575692963,0.9889513471603024,0.5373134328358209,0.6420029895366218,0.6345291479820628,0.6375186846038864,0.5224215246636771,0.34192743112090246,0.3472168361728176,0.34890884443175524,0.202312179198664,0.605543710021322,0.6070943981391742,0.7767009110292692,0.7588679976739678,7.161174222847102,7.35817298535193,0.3068181818181818,-0.007473841554558991,0.1292785785217096,-0.1143308954125916
