numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5254365983295368,0.5337889141989369,0.5497342444950646,0.5125284738041003,0.7963320463320464,0.7942084942084942,0.838996138996139,0.5382239382239382,0.5254365983295368,0.5337889141989369,0.5497342444950646,0.5125284738041003,0.2880400744345936,0.3060199494747544,0.3107354491471079,0.24264193877041695,0.24266409266409267,0.2444015444015444,0.038996138996139,0.03861003861003861,0.4414415770527952,0.4454260539356122,0.1988071570576541,0.008352315869400107,1.00502826950301,-1.0217329012418102
2,0.5444191343963554,0.5315110098709187,0.5535307517084282,0.5125284738041003,0.81003861003861,0.8077220077220078,0.8395752895752896,0.5382239382239382,0.5444191343963554,0.5315110098709187,0.5535307517084282,0.5125284738041003,0.3338693980261127,0.35731516669456714,0.35724206379080664,0.24264193877041695,0.37200772200772203,0.3735521235521235,0.10057915057915058,0.09517374517374518,0.9275423680016522,0.9353525182179571,0.6023529411764705,-0.01290812452543666,0.5335967085883258,-0.5077804595374527
3,0.5603644646924829,0.5770690964312832,0.5846621108580107,0.5125284738041003,0.8907335907335907,0.8849420849420849,0.9268339768339768,0.5382239382239382,0.5603644646924829,0.5770690964312832,0.5846621108580107,0.5125284738041003,0.37539078277221244,0.3840538840116241,0.3907094001011617,0.24264193877041695,0.45791505791505793,0.4492277992277992,0.1750965250965251,0.16274131274131273,1.4730169924540493,1.463001695336337,1.0450236966824644,0.016704631738800324,0.3405475320637365,-0.37395679554133715
4,0.5968109339407744,0.5968109339407744,0.6036446469248291,0.5125284738041003,0.9135135135135135,0.9065637065637066,0.9393822393822394,0.5382239382239382,0.5968109339407744,0.5968109339407744,0.6036446469248291,0.5125284738041003,0.39747896894670376,0.39036208708335707,0.45331910913610046,0.24264193877041695,0.5055984555984556,0.4951737451737452,0.2554054054054054,0.24150579150579152,2.018882723554868,2.1048977463861975,0.002702702702702703,0.0,0.27362669154204694,-0.27362669154204694
5,0.6044039483675019,0.6203492786636294,0.6203492786636294,0.5125284738041003,0.9386100386100386,0.9283783783783783,0.9617760617760618,0.5382239382239382,0.6044039483675019,0.6203492786636294,0.6203492786636294,0.5125284738041003,0.40504605264859456,0.4264172457613779,0.42623821445587495,0.24264193877041695,0.538030888030888,0.5268339768339768,0.34266409266409265,0.32915057915057916,2.663087300409944,2.7864921804724916,1.146131805157593,0.015945330296127547,0.20787045044373328,-0.23976111103598838
6,0.6317388003037205,0.6287015945330297,0.6256643887623387,0.5125284738041003,0.9442084942084942,0.9416988416988417,0.9656370656370656,0.5382239382239382,0.6317388003037205,0.6287015945330297,0.6256643887623387,0.5125284738041003,0.43864027313348036,0.4310969873397675,0.4416487547004659,0.24264193877041695,0.5617760617760618,0.5523166023166023,0.4366795366795367,0.41795366795366795,3.4377090670979995,3.514064391977217,0.026627218934911243,-0.0030372057706908873,0.1937318216827112,-0.1876574101413292
7,0.6324981017463933,0.6347760060744115,0.6355353075170843,0.5125284738041003,0.9586872586872587,0.9521235521235522,0.9745173745173745,0.5382239382239382,0.6324981017463933,0.6347760060744115,0.6355353075170843,0.5125284738041003,0.44065303517469595,0.43602348927571205,0.42916496409162735,0.24264193877041695,0.5722007722007721,0.567953667953668,0.5216216216216216,0.5057915057915058,4.3008686745122855,4.3782508538602185,0.014134275618374558,0.002277904328018221,0.16275831558397727,-0.1673141242400137
8,0.642369020501139,0.639331814730448,0.6476841305998481,0.5125284738041003,0.9608108108108108,0.9540540540540541,0.9793436293436294,0.5382239382239382,0.642369020501139,0.639331814730448,0.6476841305998481,0.5125284738041003,0.4267856467106887,0.43323700775810886,0.441603580140622,0.24264193877041695,0.5864864864864865,0.5793436293436294,0.6250965250965251,0.5932432432432433,5.15503354762273,5.32455916814229,0.031914893617021274,-0.0030372057706909983,0.15052938951993672,-0.14445497797855472
9,0.6567957479119211,0.6385725132877752,0.6355353075170843,0.5125284738041003,0.9664092664092664,0.9621621621621622,0.9872586872586873,0.5382239382239382,0.6567957479119211,0.6385725132877752,0.6355353075170843,0.5125284738041003,0.44340116872794527,0.4436492982638079,0.43132494339568117,0.24264193877041695,0.6017374517374517,0.5893822393822394,0.711969111969112,0.6884169884169884,6.173282367778111,6.376381012558917,1.9306569343065694,-0.01822323462414588,0.15176638006708704,-0.1153199108187955
10,0.6529992406985573,0.6529992406985573,0.6514806378132119,0.5125284738041003,0.967953667953668,0.966988416988417,0.9876447876447877,0.5382239382239382,0.6529992406985573,0.6529992406985573,0.6514806378132119,0.5125284738041003,0.4366246399218841,0.4504705563579134,0.44883865303557774,0.24264193877041695,0.6052123552123552,0.5984555984555985,0.7888030888030888,0.7731660231660231,7.162065038433796,7.450576195136278,0.004166666666666667,0.0,0.12105557284302669,-0.12105557284302669
