numberOfClassifier,test accuracy,test accuracy_modify,test accuracy_sklearn,test accuracy_regression,training accuracy,training accuracy_modify,training accuracy_sklearn,training accuracy_regression,micro f1,micro f1_modify,micro f1_sklearn,micro f1_regression,macro f1,macro f1_modify,macro f1_sklearn,macro f1_regression,oobscore,oobscore_modify,strength,strength_modify,correlation,correlation_modify,mcnemar,e-e_modify,upper,downer
1,0.5287528005974608,0.5399551904406273,0.5526512322628827,0.5511575802837939,0.7954633578906553,0.7886777820860799,0.8375339278790229,0.5292749127568825,0.5287528005974608,0.5399551904406273,0.5526512322628827,0.5511575802837939,0.288124420478943,0.29491575625774286,0.3033380013662117,0.2600832935781542,0.24117875145405196,0.2365257851880574,0.03664210934470725,0.02520356727413726,0.4413896493969502,0.44580088416959646,0.3865877712031558,0.011202389843166571,1.0017624850263525,-1.0241672647126856
2,0.5347274085138163,0.5287528005974608,0.5571321882001493,0.5511575802837939,0.7908103916246607,0.7853819309810004,0.83714618069019,0.5292749127568825,0.5347274085138163,0.5287528005974608,0.5571321882001493,0.5511575802837939,0.35601138646147584,0.33272198134671466,0.37554203378270196,0.2600832935781542,0.36952307095773557,0.3671965878247383,0.09073284218689415,0.07386583947266383,0.9269584167348764,0.9259842994248159,0.10986547085201794,-0.005974607916355512,0.5268893902937416,-0.5149401744610306
3,0.5825242718446602,0.5489171023151606,0.5892457057505601,0.5511575802837939,0.8774718883288096,0.8755331523846452,0.9208995734780923,0.5292749127568825,0.5825242718446602,0.5489171023151606,0.5892457057505601,0.5511575802837939,0.40142560303117425,0.3595446959762083,0.4074917684615645,0.2600832935781542,0.4488173710740597,0.4472663823187282,0.1518030244280729,0.1638231872818922,1.472296997386873,1.4701522912852503,4.7104622871046224,-0.0336071695294996,0.39000377104911005,-0.32278943199011084
4,0.5937266616878267,0.5772964899178491,0.6004480955937267,0.5511575802837939,0.9026754556029469,0.9005428460643661,0.9387359441644048,0.5292749127568825,0.5937266616878267,0.5772964899178491,0.6004480955937267,0.5511575802837939,0.40335258626644815,0.3157659731604769,0.40805106597997254,0.2600832935781542,0.49631640170608765,0.4998061264055836,0.24311748739821637,0.23439317564947654,2.042432935428281,2.1010737773015564,1.1983695652173914,-0.01643017176997763,0.28952410781219656,-0.2566637642722415
5,0.6221060492905153,0.6019417475728155,0.6407766990291263,0.5511575802837939,0.9305932531989143,0.9298177588212485,0.9629701434664598,0.5292749127568825,0.6221060492905153,0.6019417475728155,0.6407766990291263,0.5511575802837939,0.42908367679406756,0.4037239733581138,0.44135195982681924,0.2600832935781542,0.5261729352462194,0.5310197751066305,0.323962776269872,0.32260566110895694,2.7256198631822124,2.833150698457561,1.8221024258760108,-0.020164301717699784,0.2443793550441792,-0.20405075160877964
6,0.6183719193427931,0.6026885735623599,0.6422703510082151,0.5511575802837939,0.9391236913532377,0.9424195424583172,0.9705312136487011,0.5292749127568825,0.6183719193427931,0.6026885735623599,0.6422703510082151,0.5511575802837939,0.4282884566015886,0.39495996563404745,0.44721725113335603,0.2600832935781542,0.5494377665761924,0.5552539744086855,0.40248158200853046,0.41411399767351686,3.45151911519301,3.6319553071936395,1.2307692307692308,-0.015683345780433178,0.20541869677632327,-0.1740520052154569
7,0.6318147871545929,0.6123973114264376,0.6430171769977595,0.5511575802837939,0.9573478092283831,0.9515316013958899,0.9724699495928655,0.5292749127568825,0.6318147871545929,0.6123973114264376,0.6430171769977595,0.5511575802837939,0.43127472173591475,0.4127473135579966,0.42841930144514234,0.2600832935781542,0.5659170221015898,0.5717332299340829,0.48487785963551766,0.5032958511050795,4.267765447404828,4.513893298368742,1.9904458598726114,-0.01941747572815533,0.18537654820186553,-0.14654159674555486
8,0.6333084391336818,0.6258401792382375,0.6340552651232263,0.5511575802837939,0.9592865451725475,0.9557968204730516,0.9813881349360217,0.5292749127568825,0.6333084391336818,0.6258401792382375,0.6340552651232263,0.5511575802837939,0.4106539786391279,0.41754150562004094,0.4436923718909327,0.2600832935781542,0.577937184955409,0.5800697944939899,0.5794881737107406,0.5787126793330748,5.139261553197548,5.450720094048312,0.27364864864864863,-0.007468259895444307,0.1551552418219911,-0.1402187220311024
9,0.6348020911127707,0.6303211351755041,0.6624346527259148,0.5511575802837939,0.9705312136487011,0.9647150058162078,0.9860411012020163,0.5292749127568825,0.6348020911127707,0.6303211351755041,0.6624346527259148,0.5511575802837939,0.4316829687254635,0.4274832761876641,0.4464678669667417,0.2600832935781542,0.5901512214036448,0.5872431174873982,0.6682822799534703,0.6556804963164017,6.158865060760001,6.415626999893736,0.09057971014492754,-0.004480955937266606,0.13768915137470286,-0.12872723950016965
10,0.6474981329350261,0.6340552651232263,0.6422703510082151,0.5511575802837939,0.9709189608375339,0.9647150058162078,0.986816595579682,0.5292749127568825,0.6474981329350261,0.6340552651232263,0.6422703510082151,0.5511575802837939,0.4349461731423368,0.42794208485448015,0.43711960938014033,0.2600832935781542,0.600814269096549,0.6013958898797984,0.7661884451337728,0.7489336952307096,7.145789474677048,7.443315758763983,1.0625,-0.013442867811799819,0.13559486419671835,-0.10870912857311858
